-5581,-6831,-8145,-9347,-11424,-12485,-7640,-7022,-6796,-6980,-8789,-9051,-9137,-9148,-9277,-9477,-9708,-9863,-4502,-2868,-1657,-1312,-1679,-798,13,372,986,1741,3375,4223,5238,6575
8143,11809,10562,-3588,-6618,-8173,-8102,-176,195,378,392,313,180,149,212,216,-53,-493,-1552,-1814,-2355,-2950,-3465,-3504,8591,8378,7943,8751,10137,11397,13115,11852
11492,9883,9262,9043,-1714,-2426,-2595,-3381,-3207,-2978,-2778,-2609,-2492,-2524,-2690,-3027,-3686,-4666,-6001,-12706,-13253,-13896,-13662,-12680,-12863,-13160,-11482,-10247,-6050,-5016,-4006,-4968
-9927,-8303,-6579,-5108,-4173,-3077,-721,1590,8224,16002,10004,1977,-11908,-14358,967,1467,1202,694,462,585,925,1375,1860,2243,2840,11184,11219,11018,10835,10518,10301,12037
12561,12730,12544,11984,11233,10501,7653,4409,3302,2145,909,-348,-1528,-2519,-3277,-3700,-3841,-3895,-5171,-6517,-10109,-13322,-14428,-14216,-13557,-9818,-13626,-10129,-8654,-7076,-5645,-12685
-14075,3182,2941,-5464,4355,5374,6532,11389,11240,10574,9865,9534,9539,7790,7645,2485,1133,127,-572,-12169,-12556,-13272,-15038,-15213,-585,420,30,-9081,-10141,-10454,-10279,-7759
-6622,-5009,-3245,-1327,795,6068,21789,16329,10106,2724,-12767,-7126,-3635,-1267,-390,-733,-1466,-1787,-1309,-322,772,1462,1834,1914,2209,2947,4309,5651,7060,8174,9716,10358
12291,12706,11587,11263,10428,4634,-1115,-1362,-2972,-3672,-4409,-5314,-6430,-7772,-9129,-10360,-11269,-11776,-12001,-11977,-11793,-13228,-7345,-7360,-7016,-7411,-8544,-8107,-4684,-4204,-3374,-1957
157,3469,8135,13746,18991,21863,12416,-10123,-14744,-8498,-1059,-2065,-3068,-3201,-2443,-71,-405,-287,4863,5667,6559,8098,8751,10340,9977,9093,8777,8337,7870,6118,5047,3723
2322,1112,181,-658,-1544,-2676,-3988,-5511,-6976,-8358,-9393,-11491,-11646,-11335,-10467,-9629,-8708,-8236,-8734,-9302,-10153,-10145,-9883,-8908,-7963,-7645,-8271,-2276,624,9446,22718,15189
4884,-12751,-2735,-1247,-281,184,134,-346,899,1881,2643,3341,4330,5608,9087,8357,8091,7838,8119,8433,8672,6331,5510,4829,4241,3635,-4599,-5474,-6503,-7716,-8628,-10819
-11776,-14118,-15080,-7403,-7889,-14207,-15039,-14574,1806,25859,24734,1607,-6888,-12564,-13969,-11693,-8841,-5859,294,-725,-884,-439,99,764,979,1439,6816,7073,7796,8197,8444,8293
8781,10021,9275,8336,7191,6798,6215,5389,2149,1217,358,-561,-1666,-2918,-4135,-5419,-6691,-8041,-9099,-10047,-10577,-10845,-10679,-10550,-10501,-10692,-11244,-11653,-11930,-9369,-10993,-12315
17559,20801,20376,-13204,-12541,-10134,2833,2555,2045,1391,417,-368,-481,182,1360,2688,4973,5252,5592,4467,4540,4785,5046,5286,7223,7801,8061,8035,6337,5787,5223,4319
4253,-4962,-5726,-6701,-7774,-9773,-10207,-10010,-7294,-7134,-6891,-4570,-3855,-3041,-11693,-14371,-18706,-16387,-13543,-10440,-7538,-5451,-3721,-1438,5863,10871,16369,-2353,-10345,-15754,-12989,917
1440,1413,1448,-1373,-1024,-190,759,3732,4695,5833,7021,5345,5017,4922,4885,5171,8394,8844,8854,8432,1932,998,906,614,8,-741,-4210,-5154,-5704,-6379,-7280,-5827
-9442,-17988,-18492,-7654,-5333,-3150,-1176,768,12944,16436,19422,18358,12399,3616,-5771,-13203,-16374,-3794,609,-5335,-5051,-3094,-460,1935,8479,8908,9298,9616,9823,9726,9203,8134
3528,2430,1803,1371,748,-300,-1670,-3265,-4984,-6611,-8028,-10215,-9886,-6322,-6285,-6145,-6281,-6537,-13761,-11601,-9370,14784,22578,2490,3831,3990,6165,6485,5048,5082,4935,4763
9730,9102,3463,-3334,-3986,-4463,-4848,-5179,-5866,-6076,-3329,-3537,-3822,-4309,-5138,-6351,-7791,-10311,-14865,-16348,-16755,-16655,6293,12069,18523,23483,25029,21552,-7472,-4652,-2470,-629
-748,-417,1605,3043,7421,6255,5837,5759,5303,5259,4357,3502,2588,1685,753,-3969,-4519,-5080,-5704,-6338,-6975,-7434,-7551,-7162,-7601,-8055,-8377,-8280,901,-8867,-16111,-19518
-20224,-14688,20985,-15726,-18280,-4707,-629,1453,2096,1915,1727,1625,1404,553,-81,-66,868,2112,3636,4718,5299,5578,6042,6205,8680,8719,7856,6813,5661,1699,1102,183
-1023,-2395,-3824,-5185,-7727,-6590,-7034,-6778,-6116,-5150,-4046,-13610,-16806,-16559,-16112,-9321,2323,11511,25091,23442,-22433,-16769,-1065,4367,4810,5251,4046,8780,9404,9981,11428,11273
6647,5599,5047,806,-804,-2122,-3072,-5195,-5841,-6477,-7440,-6934,-6282,-5457,-4069,-6991,-10376,-1074,412,-12971,-15755,-17186,-11666,-9932,-8323,9728,19699,21646,14664,-17449,-18471,-374
2287,4322,8150,8375,7310,5332,2814,905,-571,-79,772,3041,3676,5271,5169,4835,1912,1428,1366,4971,-3532,-4965,-6155,-6932,-7188,-4633,-3840,-3061,-2183,-1245,-222,930
1893,2186,1235,-714,-3234,-5651,-7535,-6997,-7240,-8084,-9861,-16661,-17352,1575,19822,-15451,-12675,4104,4941,5558,4581,3471,2753,2398,3233,3192,3614,4574,8434,8712,6513,5834
5339,5086,5047,4845,603,-932,-2491,-7258,-7627,-7570,-7190,-6561,-4983,-5031,-5256,-5607,-5928,-6226,-6497,-8928,-7725,-5813,-2385,-3308,-4408,-10914,-12470,-13400,-9658,-8111,-6336,-4258
18670,15517,8705,-14298,-11072,-7364,3644,2991,917,772,810,1296,1756,2275,2703,3183,6541,7142,6691,6612,6690,2196,1511,1261,1389,1682,1871,-140,-263,-444,-1425,-2362
-3509,-4504,-5337,-3224,-2260,-1686,-1615,-2227,-3229,-4346,-5037,-5231,-232,1232,2104,-6476,-8002,-11293,-11083,-10630,-9958,-9053,-8285,-7550,-6591,-5017,-2868,412,21562,12297,3770,-4923
-15218,-12765,-9239,-1655,3108,2900,2819,5302,6565,7454,7550,7210,6950,7077,8696,8277,4633,4455,4318,4112,-206,-1422,-2788,-3830,-4274,-4559,-5012,-5406,-5559,-5455,-4020,-4026
-4828,-3736,-2388,-1080,-400,-331,-1126,-2160,-6055,-12259,-15764,-15080,-14215,-13487,-12869,-12013,-11036,-9320,-6296,-1308,16950,18777,-15663,-16356,-9807,-2291,-2099,-1307,1998,2930,3954,4887
5165,5694,6229,6517,1653,-1540,-2138,-2719,-3118,-3138,-2788,-2185,-1427,-662,-201,-739,-1518,-2431,-3384,-4508,-8314,-3328,-3352,-5049,-8035,-10741,-12680,-13763,-14318,-10086,-8897,-6283
14568,22092,11436,-17306,-15080,-10563,-5947,-2621,-906,-1768,-2669,-3164,-2999,-2834,-2614,-2037,360,2256,4253,4746,3640,2357,8873,7962,6968,4776,3756,2364,912,-295,-1022,-1368
