0,-772,-772,-290,9,191,360,510,207,-1147,-820,-1582,-607,348,3166,1304,-1127,-897,-939,-895,-1301,-1400,-1126,-1039,-801,-405,-455,-730,-852,-1013,-697,-505,-966,-883,-877,-397,-338,-235,-412,-604
-655,-593,-334,17,-101,-216,101,144,112,286,359,162,10,115,131,82,152,216,205,236,182,145,-98,-64,117,72,-108,154,-50,1394,9808,13781,13143,31561,31229,27003,23414,4432,-5834,-13724
-8765,-17633,-17733,-13517,-14165,-15490,-17272,-25973,-22215,-25814,28481,-32156,-15451,-20447,-19862,29722,-31984,21930,27549,20744,19264,19462,-30416,29551,14602,15796,19433,6932,8583,7450,6179,12242,-25749,-31634,32602,22775,8865,9199,-4056,-611
-2297,-12496,23112,32717,-5511,26912,27877,17903,5636,4180,10228,22899,17861,5145,5622,1002,-5107,-11382,-21379,-19211,-21913,-12639,-10149,-18532,-24080,-25290,-20103,-31874,30323,32598,32598,14524,-22677,29213,20403,8154,17800,19248,17125,3438
3589,2732,-5381,-1133,-235,11831,26636,2100,964,-23282,-5679,8877,6640,-6861,-7759,-2871,-6993,10702,12800,-541,-4844,-33,4230,10379,7738,9116,6600,-104,-2292,-8753,-8900,-8188,-8606,-9070,-8688,-14590,-13464,-12686,-15836,-14277
-18711,-23247,29637,-27208,-27018,-31173,-12948,-18729,31654,-22604,23592,31008,21634,21829,16592,17504,10182,83,11723,11422,-396,9073,15824,18685,20722,9124,6846,-3986,-9826,-8461,-11544,-9795,-12080,-11868,-10148,-15735,-13500,-13628,-16057,-27522
-22710,-17044,-28159,-30365,-21430,-11752,-27138,-24497,19987,-24351,22201,7928,10110,5027,1610,15417,-1173,-9379,871,300,-4761,321,1798,1259,-3363,-952,-1705,-18316,-8423,-621,-2062,-13101,12262,11443,979,5377,401,9257,6043,7928
20465,17759,21241,482,-12538,-12404,-7744,-10999,-25858,-22292,-16180,-14151,-21739,-27672,-20839,-15092,-23435,26836,32587,32587,2819,-30227,-26908,26692,16742,5338,9150,7106,8290,12892,3182,2505,13940,18571,15215,10544,10162,304,1956,1871
-12617,-7926,-2025,7281,3976,2533,2135,4629,-1212,-4495,-6230,-8046,-16395,-16574,-13748,-13115,-21116,-19472,-26688,28936,-30789,-19337,-30430,-26429,-7064,-14922,-20238,13987,-22955,23345,16855,14251,15555,15020,8964,6295,-2578,6270,11952,24898
22594,20036,20780,7052,83,-7082,-7719,-10219,-9211,-7788,-6007,-6150,-6954,-9888,-12794,-12983,-15177,-17015,-18812,-30503,-25059,-23980,-18637,-14641,-13910,-23207,-28162,16911,-26860,21497,6221,-4111,6299,14902,6662,-4883,150,3905,-363,14689
11340,-3860,-2063,343,2198,-15999,-15973,-7825,-3172,-3803,20391,19613,21637,21201,20794,4380,-5065,-6450,-10373,-32575,31737,-18895,-20659,27527,32410,32551,-30398,-14168,-11071,-28210,-23815,20222,30240,11005,23326,25629,10561,4837,11269,11758
11145,9631,16024,19458,19486,-27637,-32449,26118,5160,-2416,-20797,-25861,-14991,3045,4490,2409,388,9138,3713,-1108,7004,-569,-18404,-13810,-10781,-15489,-17709,868,7003,-18766,-15559,-16040,-11229,-9299,-11265,-14367,-9138,-16817,29338,-12427
-12169,26679,-23003,-17776,-15600,444,11702,-19669,31684,19214,19871,20031,9229,8407,2416,6118,11827,18294,14062,22295,28973,8850,1298,-14799,-8604,-5363,-2932,-28,212,998,743,1318,-1440,2793,4305,-10821,2981,-5486,-13897,8627
16008,18293,20289,17583,5884,8005,1626,4324,3313,-1454,-15165,-19418,31488,-27410,-11152,-19324,-25189,-29182,-32760,-17733,-18595,-19155,-15862,24610,-23456,21639,-21532,13023,24885,20987,24056,21523,2017,10203,21400,12651,11697,29524,-28606,25495
9354,-8409,-12829,-9689,-13896,-15883,-10950,-5742,-13796,11653,20465,11698,-4246,705,16385,18256,23446,17923,7116,6746,2409,1085,2581,97,-8582,-17996,-14650,-6884,-11732,-24487,-19334,-20487,-30829,29728,32571,-8590,-9737,-27422,-7154,7285
-29209,19143,23496,18663,13040,9714,16196,3463,2546,11385,7993,8599,9181,11180,5187,4660,-2866,-1254,-5634,-4440,-6877,-6660,-4752,-4672,-4672,-1698,1861,-1529,-7002,-13551,-14026,-14335,-22926,27730,32005,32569,-13282,-18048,-27294,-19589
-28338,-23612,-15714,-29225,26399,6383,16800,22487,16992,3854,7470,1102,1440,9889,11412,5383,6415,1210,-643,606,2114,-478,-4807,-7693,-18295,-23226,-17752,-30790,29439,-20907,-17263,-14181,-17656,-18662,-22272,21495,-20373,17124,12862,7604
9700,2486,-2085,8656,15289,17551,14434,8028,4777,-12950,-8614,-6786,-14294,-16346,-6846,-3565,9986,12879,6422,2516,884,1956,10233,13488,314,1481,9586,8678,13185,9924,8182,9347,3980,1288,-17919,-24670,-15695,1307,-5752,-13392
-16309,-17851,-14958,-29005,29143,32289,32559,32559,13663,-29628,30489,29424,28035,25515,22714,22927,23452,16301,-6884,-1644,32021,31523,31408,24268,-1205,-9343,-14839,-15618,32275,-28161,-27691,-19042,-2882,-6013,14681,13754,7514,4647,11091,15893
18007,15135,5969,6359,-900,-1233,-2164,-2604,-9021,-8215,-15877,-21181,-18369,-14617,-15859,-20478,29133,-31952,-14607,-22029,-27543,-31647,-28241,-8804,-32137,-26066,25161,24440,20969,27076,18885,2384,11955,14395,-7381,-235,20958,6711,-4333,-2275
437,2617,2805,4858,4103,5992,9732,7662,7009,13002,9078,699,-266,-1750,-18234,-9546,-22127,-17043,-5713,-6433,-2212,13454,17740,10168,19224,25991,17748,6535,1401,-373,-6279,-8939,-19916,-20293,-9117,-14620,-19846,-28078,-28042,-23013
-28807,-22238,-7500,-2603,-11097,-18529,-28098,-13212,22186,16011,23840,21938,21657,23058,16173,637,-6683,5781,13143,4958,11579,25238,13784,-12961,-11075,-15781,-23324,-29916,-20241,10841,5114,21175,15554,9607,15822,19448,27773,11139,-236,4092
-2250,-11117,-16980,-24500,-27227,-24076,-19244,-14394,-14719,-26667,29510,-27832,-5981,-21905,-29087,28957,4674,-28374,24875,25651,13640,16748,19080,17617,16789,14388,13397,9444,16277,21203,21909,8225,-1237,-4008,-10752,-4217,-9620,-14814,-7571,661
-7738,-2936,9326,4216,4167,4336,2598,2981,-347,615,492,2686,3106,9394,1603,-2694,-1320,-7746,-9678,-4881,-9858,-23156,-21909,-19159,-24644,-19262,-17235,-19220,-21593,-23238,-26691,-26060,28955,32551,30704,27257,19656,17377,20257,22078
15679,15229,12344,5277,21566,25897,23482,26847,-8984,-20050,-20402,-13059,-8345,-15624,-16145,-8809,-2937,-2005,-1295,666,-737,-2429,-9099,-7057,-13612,-12757,-25983,-27011,-22121,-27072,-29975,-25118,-9077,-13678,4939,-25588,30527,6722,4103,14139
10068,9993,7481,12420,4684,7916,21882,30764,19689,-5497,-20293,-12168,-4549,-7383,-7109,-7157,-4609,-1637,1471,-1036,-1571,-789,2506,2987,3002,2197,-2340,-6339,-13161,-22630,-13492,-23509,26421,32550,-27874,-11543,2474,-23349,-31866,-20158
-28982,11160,7251,14855,4310,1291,2750,7359,5979,6949,16247,9309,15107,13220,-12568,-31492,29833,-29737,32343,30485,12160,1770,-4169,12855,21383,21602,14995,10280,3607,-7549,-6035,-20600,-19416,-22107,-20759,-14682,-19016,-15036,-10647,-23441
-25111,27723,32549,-18687,-18497,-20680,-18338,-24877,-32501,26429,9506,9477,17190,14193,1889,4161,6785,5139,8341,15823,22051,-27531,23407,11284,9418,-22426,-24316,-12172,-7752,-6527,-18439,-17342,1045,12365,21563,18605,10941,-794,1877,-5879
-6149,-15140,-15887,-18755,-15700,-21226,-11680,-10865,-18330,-20873,-18370,-30409,-21885,-32037,30638,-6611,29234,29439,17514,26917,20555,19911,7548,-667,1464,9068,5913,10273,-21555,32676,32548,26462,1987,-23352,-13421,-15263,-22065,-21401,-15835,-40
-2791,12063,3130,13925,1291,7603,9355,3393,2070,-6067,-11456,-9770,-15332,-16341,-18422,-20311,-23208,-14117,-15150,-27613,-30155,-30620,-27642,-12462,-10564,-25881,-1311,26031,28305,14808,15984,23466,13731,9803,10520,9736,7629,15457,5088,7225
