0,0,0,0,0,0
56,-96,118,847,-1426,1116
56,-96,118,847,-1426,1116
7,-115,-5,715,-2278,1629
-22,-127,49,604,-3685,1566
-50,119,90,625,-3914,1437
-96,105,-68,-873,3906,-71
-70,118,-90,-1109,197,266
-94,-102,-61,-853,-4634,1108
116,-112,-52,396,-2086,487
115,-112,-55,-251,-4453,170
8,-58,-18,-1702,-5128,314
30,-66,-19,-1082,-2684,140
35,-48,-10,-841,962,-66
39,-44,-15,-987,144,729
47,-16,-20,-337,-2198,-279
30,-19,-16,-129,-3373,-581
14,-10,-4,-303,-2206,-843
11,-15,-2,-748,7,-302
36,23,-2,-1451,-1575,-123
41,19,2,367,359,-398
47,13,-2,314,-203,-273
83,6,-16,-1010,816,-205
84,17,-15,-1422,-256,628
-116,43,-18,520,3881,428
-107,28,-24,610,3181,444
-57,-1,-42,2650,411,960
-51,-19,-52,1465,-886,1115
-50,-19,-49,1179,747,1117
-8,-34,-55,1900,6528,1099
54,-60,-58,2038,3945,675
98,-86,-49,303,1026,209
89,-77,-48,-5,3178,-185
-100,-75,-34,534,3560,-231
-67,-80,-22,477,3840,-208
-37,-77,-7,418,2514,607
-12,-82,5,811,3413,257
9,-83,22,609,3259,27
28,-87,39,875,1771,44
28,-96,47,729,318,25
E
26,-94,45,37,1522,83
62,-91,59,-988,4072,132
71,-86,66,-1173,3968,264
117,-77,113,-1465,2839,-195
120,-69,124,-1403,2167,118
-97,-52,-110,-1485,2939,184
-88,-49,-96,-1133,2815,66
-76,-46,-75,-1201,3795,447
-66,-42,-43,-965,1593,249
-67,-43,-49,-939,589,52
-66,-40,-47,-1401,2157,-192
-62,-39,-32,-1601,3072,355
-45,-33,0,-2377,1959,-150
-39,-28,6,-2040,2661,104
-22,-27,24,-2112,4229,352
-18,-30,56,-1950,3921,268
-24,-35,104,-1705,2713,-155
-21,-35,115,-1441,3404,82
-11,-34,-118,-1029,3930,492
-6,-48,-73,-738,3226,667
-11,-50,49,-1245,3074,681
-19,-73,62,-2148,4045,450
-17,-73,60,-2026,4216,308
-34,-96,108,-2050,2770,220
-32,-94,103,-2270,3022,366
-36,-122,-108,-2647,3350,187
-38,-121,-113,-2246,3123,194
-57,94,-71,-1746,2956,112
-60,102,-77,-2019,2730,-11
-78,76,-54,-2477,3531,-219
-91,65,-44,-1833,3428,-343
-110,50,-28,-2923,2468,-312
-109,50,-31,-3364,2679,-353
123,-1,-23,-3846,4233,-512
120,1,-21,-3847,3705,-702
92,-37,-17,-5303,3512,-990
91,-49,-25,-6120,3584,-811
99,-92,-62,-8640,3111,-1244
100,-116,-94,-8425,3665,-737
112,91,104,-8387,6959,-1889
E
111,91,110,-7454,6744,-1362
75,61,69,-9640,5122,21
85,69,54,-9660,6321,-493
82,47,93,-8514,5416,-1327
91,47,-114,-7584,3492,-1047
-126,78,30,-3560,575,-2313
126,83,47,-4505,2446,-1777
-110,-119,-14,-4780,-4781,-5043
-41,6,-97,-6779,2567,-2508
-29,7,-79,-6471,7090,-1157
44,92,20,-8594,7862,-2500
18,77,33,-7657,3904,-3628
-9,-109,78,-6368,-5943,-2913
-4,-87,37,-5411,1655,-1851
39,-75,107,-3010,10765,-3276
15,-56,-60,-2673,7811,-1506
-49,-42,-126,-3093,3452,-3570
