0,0,0,0,0,0
-33,120,91,905,411,173
-33,120,91,905,411,173
-38,89,-96,890,698,275
-38,74,-67,921,673,268
-38,63,-45,1037,574,285
-36,53,-29,1165,575,174
-28,34,-3,928,1090,411
-21,23,7,958,747,258
-11,15,11,1024,925,324
3,8,14,1123,1268,418
15,2,24,1120,830,432
15,-1,26,874,726,594
23,-12,36,568,472,246
23,-12,33,639,738,262
39,-19,37,599,573,243
38,-18,35,588,789,256
46,-21,34,655,866,446
52,-22,35,698,591,269
57,-25,39,778,586,353
62,-27,42,1178,542,318
71,-35,39,1404,1008,554
78,-48,43,1396,76,715
75,-59,46,1533,105,698
73,-68,47,550,-442,978
63,-68,52,-155,-2528,1673
42,-70,39,695,-220,774
33,-77,33,1637,1832,723
45,-86,42,854,1196,-180
63,-89,60,1676,1977,-1320
68,-91,54,2173,4211,-1295
-103,-93,75,-1393,6553,-1629
-15,-54,109,-2424,11280,-1315
20,-20,-58,-2188,295,-111
8,-3,-41,-2152,2214,-439
33,14,-66,-6883,2441,641
19,75,18,-3683,-5284,-152
6,64,-43,-4633,3225,972
25,102,-60,-4165,-2757,616
14,115,-95,-3882,3072,405
E
46,-93,-50,-6215,1137,-321
41,-88,-35,-5012,2305,-913
48,-28,25,-5150,5191,-1289
41,-31,38,-5671,1803,-1265
21,3,112,-6184,1720,-2760
21,31,-108,-6831,9698,-3884
-17,46,117,-10773,6340,-2135
-69,9,-63,-10609,14357,-2348
-66,119,125,-12196,20532,-51
-14,-5,-119,-9777,23070,2388
116,95,4,-7784,12869,5263
-85,123,-41,-3234,10261,5507
-30,-115,-25,-8347,6202,3976
28,-105,8,-6636,4111,3741
28,-34,93,-3981,10313,4195
60,2,-14,-3489,13182,4292
-123,107,87,-1563,3654,4927
-106,108,111,-643,11160,5136
-84,-47,-52,2464,11423,7311
-95,-69,-50,-3103,8646,6453
-89,38,86,-7792,-6250,8256
117,5,50,-4657,5461,9322
66,-9,108,-6738,18430,10124
11,-76,125,-14210,-15071,3020
-64,-111,-12,-16399,-12932,15859
77,103,-87,-8814,4593,9475
54,-126,-120,-9118,2121,3968
-28,64,-80,-9508,-10039,3931
-36,100,99,-10359,-14461,6586
-115,106,51,-4187,-31834,-5644
-113,125,-81,-432,11004,-4311
2,-18,89,-10574,-12099,-5951
-118,55,37,-16920,-29656,-12064
-19,18,-39,-24563,27611,-22058
106,4,120,-23065,-29960,-2234
110,97,55,-12096,-5469,-6093
-110,-14,75,-21211,-11903,6620
-11,59,67,-18006,-18885,7434
-12,85,-17,-15771,-18176,15059
60,-29,-29,-7414,-11054,18278
E
63,-111,-121,1168,-26064,18381
0,-58,-22,11223,-3775,26938
36,-42,30,14691,1161,31046
68,89,114,19263,-13281,-30791
-73,33,127,23004,-26039,32712
102,33,-28,-26839,-97,32712
74,-52,-51,-32755,10202,32712
38,65,-89,-32755,-18691,32712
96,-6,-76,-9027,-32748,3601
-37,-31,47,-24359,5683,-17480
94,31,-14,-30909,11204,-18622
-62,-117,115,22904,16528,23710
72,-52,-27,12172,18508,32711
-86,-8,85,8742,12046,32711
14,-44,-51,2673,-21092,32711
-87,103,36,-12912,-31282,32711
58,63,125,-22245,8013,32711
24,-93,-45,-16715,-2278,32711
-52,-9,-24,-20946,-15416,-11370
44,-111,-11,-18852,-15472,-11854
-56,-97,-121,-13635,-26767,-3786
-90,3,11,-8169,-10069,524
14,-80,69,-7645,-18950,1850
33,48,13,-6712,-13455,9988
35,52,-18,-6134,-13990,10404
26,-30,-36,-2779,-5022,24308
-62,-46,9,-777,-15486,22749
-48,-28,33,-7903,22834,24070
123,83,71,1321,-23524,23703
-104,-42,-42,3470,-12855,-28243
-112,43,-26,1851,-31969,32712
112,-20,-20,7599,18599,32712
-94,-10,14,3070,-4935,32712
-2,51,102,12633,13639,32712
-90,80,-18,1124,-28329,32712
25,127,71,-18362,30193,5670
94,-55,86,-32755,-25962,23898
124,94,85,-32755,-23361,27733
7,19,-122,-32755,-25756,-24440
91,-119,-81,-32755,-4847,32510
E
-119,71,125,-32755,32727,31928
57,-65,118,15291,-9981,-10830
13,-29,36,9316,-24314,-1823
-64,-31,3,-3600,24662,-747
-105,-69,-90,18310,-25616,-4330
31,42,-38,-5634,-7554,620
-104,-100,-105,5221,860,-2569
-128,-42,-57,2125,8870,707
-52,-75,-75,-68,3190,1529
-49,-78,-58,-311,2671,1142
73,-119,-21,-3024,-12081,-701
-109,107,-50,-3046,-20178,-357
16,41,46,-2766,24219,-6612
-13,37,-18,-2279,-30602,-9765
93,124,32,-2286,-31968,-15167
122,84,-116,-3838,-29176,-16499
17,-12,40,2531,-23030,-21719
-98,101,51,3118,-23226,-23430
-103,-88,-54,-3733,28292,-20242
-90,97,14,-4864,-26659,-13930
36,66,-74,-3832,-18995,-8427
-99,74,-14,-2596,-22218,-5517
-42,124,-95,-414,-25570,2674
-11,-98,121,486,-23439,5243
-14,96,-118,4683,-16405,15453
-77,-25,-67,7465,-10897,18106
42,-49,-114,7992,-11924,25143
3,-124,-12,9795,-4491,28863
-115,41,-128,10685,-23288,-29760
5,43,-55,24867,-4011,32715
97,-27,-19,24634,6727,32715
-76,-71,-102,-29346,-31649,32715
83,-57,-9,-32272,-22933,32715
-77,-86,-71,-32754,-27220,32715
-82,-15,-14,21448,32727,32715
-9,34,48,20255,-6515,1977
19,125,94,31158,-7215,1171
79,-16,64,-30401,-10048,-14044
-85,-103,14,27972,20109,-15492
80,9,6,25755,28463,22760
E
124,-88,54,20484,12253,32715
-96,103,119,13925,-2791,32715
-69,-37,-36,7751,-19054,32715
50,-77,-71,-2360,-98,32715
-100,-91,-95,-3785,-1487,32715
109,-113,-111,-5668,-7865,32715
-49,75,114,-11473,-16967,-30422
-128,81,-42,-11324,-21885,-21636
107,8,69,-6950,-31956,-19273
29,-118,114,-11374,30145,-7936
46,-26,95,-19185,-21851,7205
-23,-22,74,-12046,-15857,32089
-103,-6,-34,-9192,-28558,-31933
-1,7,64,-3976,29020,-31267
-26,104,37,189,-2074,32716
45,-6,-74,767,27800,32716
117,-17,12,7074,-20213,32716
-78,101,85,3004,-388,32716
22,-44,50,680,-15334,32716
5,14,-112,22613,32742,32716
121,-40,-16,19918,-31782,32716
26,-110,44,23111,15505,32716
89,83,1,30682,2784,32716
-104,31,-11,24759,-28541,32716
38,61,-111,5117,24427,-24407
100,3,-127,8275,32726,28596
8,103,115,-21118,-6841,29514
-20,-30,124,-32753,20587,32716
-107,27,1,-32753,-14288,-28542
102,-106,-54,19299,-3394,-29875
-5,112,-97,12276,-3364,-27410
91,67,-103,3899,-6548,-22795
-13,-79,-64,1759,-5172,-22302
12,-17,-10,684,3581,-17583
123,-77,-22,-2015,-463,-12775
-69,11,-36,8,-4854,-9253
-41,-9,-47,728,-7978,-10827
-76,-76,-94,4731,29191,-15612
40,-12,-94,3992,-25347,-15030
-45,-15,69,6786,-29361,-18596
E
96,31,45,3066,30388,-18136
-33,112,40,1841,-24088,-16711
-46,63,119,792,-20556,-14270
-51,-38,-82,-3050,-21738,-2866
-66,-44,-89,1852,-9054,3651
72,-24,114,6586,-379,7843
84,-5,8,2529,-12722,5587
63,-6,38,-3777,-13547,4600
71,-119,13,-15874,16494,-311
-3,-98,-101,-19449,4242,2362
86,72,-123,-19099,7070,-4517
82,33,38,-17824,-681,-10697
-20,126,37,4284,-3050,31729
125,98,8,1566,-6747,-21703
116,-112,80,-249,-10335,-15499
-56,51,35,-6374,-31523,72
-105,-25,-8,-4931,-24552,-2618
65,17,-11,1420,6766,22700
-66,-87,112,-1815,7206,18245
-55,-82,-110,1389,-32253,23013
114,-35,6,-45,-16191,20450
90,60,-1,-1333,-4548,-32213
-118,-44,89,-2490,-11245,30575
-122,69,23,3741,-26243,16582
9,-19,-12,12371,23926,27825
51,82,-21,25081,-872,24080
55,-34,-75,22419,11317,32349
5,-59,21,-27119,16592,-31343
-26,-47,-88,-32756,19521,32715
13,1,-72,-5178,-32093,32715
77,64,-92,-9984,25548,32715
57,123,-118,-30114,5200,28029
119,113,-22,20275,-4309,2213
-39,-53,11,-31239,-31379,-14652
-75,-62,-57,-31286,16031,32145
76,16,-102,24491,-2250,-23242
81,-40,-80,12501,6369,28094
67,-60,19,9278,8934,32714
-60,-72,-47,7892,2060,32714
92,-89,-7,4229,-21309,32714
E
-75,-44,-86,-6296,-24555,32714
41,78,-33,-9579,32512,32714
127,-46,-41,-14347,-27915,32714
-4,-36,15,-9438,2983,-20534
121,36,7,-6107,9634,-10866
-53,-36,-36,-3376,-8182,-10462
-57,-22,17,-9632,-18656,-3807
-8,-33,-75,-11950,28526,-6568
-123,-74,47,-21059,-983,3736
-4,123,-43,-9504,-5729,5714
-12,-102,-66,-8552,-8018,8792
59,-118,12,-16795,12766,23419
94,86,-93,-10493,14165,15058
-127,-43,86,14232,-21504,20635
-110,3,-107,-17897,21587,15023
120,82,16,-13057,-5456,30437
-100,-10,28,-13735,-27841,32170
15,80,-52,1043,7572,-31479
111,56,78,-3925,10903,32715
83,-100,-95,-4598,-9974,32715
41,7,-127,17928,-4526,32715
68,70,-127,27702,-14183,32715
85,-25,40,4558,8852,32715
-7,8,93,-21550,7917,9663
-15,-86,-50,-32758,32726,17455
-56,116,102,-32758,9177,-14851
-72,-2,89,-32758,18731,25824
-61,-111,22,-32758,32726,30225
113,81,-10,-32758,-43,32715
34,79,43,30144,4766,-26884
-12,-10,29,23838,3793,-26490
8,-112,8,17346,12541,-8403
53,77,44,16486,10082,-10524
68,24,37,-2163,-1529,3791
93,-29,111,3959,-17468,-4067
-37,-111,39,-10498,-13781,1282
72,89,-64,65,-698,-7590
43,95,-12,696,-10450,-7526
125,78,-50,4038,-23348,-10199
76,60,5,4324,-18823,-3712
E
97,27,2,9274,-14057,-10392
68,5,-36,902,-5689,-19043
67,-19,9,2906,-11211,-16596
-76,124,-66,-3651,21559,-22277
23,-37,-120,-5876,-29791,-21151
-124,103,103,-4731,-28404,-21485
110,13,124,-6316,30924,-11417
106,-19,48,-8556,32727,-9876
-25,-61,-76,-9732,-31715,-221
-105,-62,52,2139,-32594,7419
126,-43,22,-1610,-19405,12909
-9,-115,-102,-2620,-23073,15737
107,-104,102,10876,-27959,18474
-86,4,104,13689,-16512,26894
-51,-23,59,22649,-10389,-29891
120,51,97,22686,-9146,-32272
109,-26,-52,17992,-3180,32716
-6,-44,24,-32635,25000,32716
-73,-95,-113,-30525,18362,32716
-7,85,-98,24970,-17446,32716
-106,41,-32,24193,20028,32716
-91,-50,52,18910,-29291,7978
-82,-119,34,31368,28149,-26733
-61,24,-4,-30333,13091,28823
15,0,69,18625,20093,30613
75,-114,-37,11089,7656,32716
83,-28,14,-4307,29362,32716
27,46,126,397,27178,32716
7,90,-57,-11883,-13058,32716
-115,78,-95,-12678,-12436,32716
-42,-85,53,-20578,-16130,32716
-79,-71,121,-19691,-11698,32716
0,110,-43,-18616,-3775,-29119
21,-16,49,-15219,-11292,-25618
-46,-61,-41,-10575,-17973,-12799
-122,-117,-102,-7101,-18611,-6321
-2,-61,66,-14300,-18547,-1824
-77,20,12,-3725,-32497,8867
-46,-78,3,-770,25137,13847
98,-58,96,-3937,-10626,17403
E
-16,71,77,-6065,-7850,-32018
122,-104,107,2225,-12103,-30161
-8,-97,67,-2661,-29864,32717
-50,-67,87,-742,22405,32717
-52,-75,61,29,-2655,32717
27,-126,25,4174,-13029,32717
39,-41,-57,-17698,31799,32717
54,-112,121,-32755,-3784,32717
34,70,102,25692,11842,20961
-31,-99,-88,-30392,28767,-19495
27,65,-52,-32755,17133,-27534
41,-55,-101,-32755,-27405,32265
11,-2,-36,-32755,-22789,-27714
115,88,-82,-32755,-27676,-8871
114,115,-77,23160,3557,-5580
-65,59,111,10390,-19334,-9710
12,-91,32,-2366,13187,-1330
-93,-67,88,-1973,5083,-3861
-59,-100,0,-1546,5101,-3861
-34,46,-84,-991,-5889,-4049
-54,40,117,-238,380,-725
-44,36,62,-4490,6303,1260
-65,104,58,-12552,-1624,42
-37,-2,-120,-14409,-11551,-3171
14,37,-43,-2717,-5642,-12151
-23,-106,88,-2958,-10835,-20621
120,105,-41,3448,-16003,-22416
-42,-62,-120,6476,-18737,-26627
-6,-74,-42,26314,25057,28602
0,-45,47,19838,32662,-30325
-80,8,87,-1896,32726,-9224
-6,-86,37,-2913,32726,-6916
-7,39,-98,-18223,-31634,-3718
-77,17,-61,-7696,-13957,4588
25,-2,48,-5026,-17533,18556
28,3,-10,-5820,-26044,19699
71,106,73,14813,-23040,32656
32,-58,-51,-5505,-10091,-31420
-12,64,-47,11328,-14639,-32422
-98,-98,-36,24366,2903,32720
E
-22,-117,-128,31299,-3692,32720
-82,-99,-102,-29906,-991,32720
-105,-27,-111,-32755,-23917,32720
41,72,-30,9898,21029,32720
126,31,110,19868,-4614,32720
6,67,-117,23649,-30005,24088
-95,-23,-26,29119,-29061,-25612
-61,8,91,18054,-28756,27637
26,55,95,13047,5383,32720
51,-61,70,9688,28286,32720
-46,-31,5,7630,-17634,32720
-107,94,-61,-1903,-28520,32720
30,1,123,-4704,-7003,32720
-21,116,-64,-4195,-13851,32720
-48,-94,-82,-802,-28200,32720
-1,84,-5,-1294,-11709,32720
50,-18,43,1630,-6884,-19865
-44,85,46,-2907,-25003,-21639
86,124,-1,-2428,197,-11259
-43,125,84,3822,-31,-9733
93,117,17,-7056,-25714,4114
-29,70,113,-9060,-23401,6493
64,85,-67,13339,27096,8779
-26,-41,54,-10415,-23887,7042
20,-6,99,-16228,29747,14068
-17,-52,121,-5164,914,28526
-88,18,41,-6114,-10994,19846
-43,108,-76,-13930,-15272,30376
50,17,-72,-23559,-20618,-30056
-5,-63,23,-16279,16352,32723
52,-51,24,-22835,-5388,32723
