0,0,0,0,0,0
17,0,77,672,1017,-46
17,0,77,672,1017,-46
24,-4,-108,876,798,-343
29,-10,-83,1389,1392,-393
37,-16,-64,1476,1298,-722
43,-19,-48,445,1189,117
49,-11,0,-243,-171,454
48,-16,-13,230,758,225
52,-23,3,-229,-871,391
46,-19,0,-38,-260,352
46,-21,-2,90,1058,268
50,-21,0,-278,-312,191
46,-19,1,31,583,122
51,-19,-7,27,583,102
52,-19,-6,-52,126,287
55,-17,-8,599,842,181
58,-18,-10,443,629,318
67,-25,-9,320,342,626
65,-25,-7,227,409,821
71,-30,1,-175,1372,1298
73,-25,0,-788,1233,1657
100,-1,10,-2699,2329,3098
114,1,10,-1523,2804,2251
120,-7,26,-983,-1587,2398
113,11,10,-1602,1327,2575
101,20,10,-1518,-975,2167
101,16,2,-966,-1148,1287
69,32,1,-237,-2031,2371
52,34,-13,-779,-2609,2414
22,42,-2,342,-4830,3474
-20,21,-30,-156,-751,2493
-10,32,-19,-1013,-2628,3216
-70,53,5,-2040,-2780,1059
-61,56,-1,-1710,-3005,1514
-107,83,10,-2039,-3746,678
121,104,24,-2406,-5836,1435
54,-115,51,-1467,-4265,1333
58,-125,58,-1145,-6065,685
-51,-94,-106,-2071,-7245,706
E
-37,-93,-104,-2160,-6151,16
-104,-92,37,660,-4205,-1671
-90,-108,-1,-234,-4338,85
-95,-71,108,-2204,-6906,1050
-79,-74,-97,106,-2617,160
-81,-81,-70,311,-2236,184
-91,-68,-71,-1269,-5051,1280
-69,-44,27,-701,-2941,543
-65,-63,-2,819,-1605,340
-61,-51,-1,-145,-3411,402
-58,-54,13,-3,-2997,781
-26,-51,49,-439,-1221,627
-23,-39,66,-2350,-2442,1351
14,-53,-121,-6516,-2528,2188
47,-74,-101,-10671,-2578,1878
91,34,26,-10391,-10957,1056
-56,-79,57,-5889,-5065,2076
53,58,55,-5318,-2989,4017
31,69,62,-5392,-6413,5271
100,5,82,-9093,-2645,2906
62,-52,119,-8448,-6991,3216
118,113,60,-5238,-1765,3300
106,-124,27,-9682,-3042,5116
95,26,-86,-7317,-473,1751
82,43,-105,-9167,-2797,1958
61,-63,-99,-8605,-502,1355
67,-56,-98,-8329,1004,700
59,-76,-62,-6330,661,-666
72,-50,127,-4049,-1,287
83,-57,65,19,4369,-674
88,-36,55,117,1230,-1236
105,-54,16,-431,3988,-3222
-85,-103,-22,1270,1179,-4546
-33,109,-6,1823,378,-4402
37,38,19,689,593,-3928
125,8,91,-1413,-2593,-2732
-11,-38,-73,-3346,711,1373
-6,1,-93,-5988,1504,4252
-32,59,108,-9564,-87,5726
-128,-33,-89,-10416,-451,6271
E
66,82,85,-8914,-6007,4605
-24,-26,3,-8173,-5242,4895
98,-45,-57,-3621,-7940,4705
37,14,-46,-3143,-7009,4720
-30,97,-26,-1025,-6067,3974
109,-86,29,2785,-8467,1721
63,-109,51,5350,-6972,2512
23,-102,84,7172,-6790,2656
-67,115,-60,10724,-6750,2058
-110,87,-27,12061,-5698,1167
39,27,82,10300,-5319,-2208
-11,-31,-108,11089,-5869,-4333
-49,90,-5,12460,-541,-7694
-13,23,17,12140,1344,-7583
39,-78,66,12701,5685,-7682
-108,7,-45,11264,7926,-5655
-86,-33,7,7961,8673,-6906
-44,114,57,3315,5529,-10252
-99,-54,66,-306,7826,-8778
18,-79,28,-4567,8338,-8862
42,-126,-119,-10736,4603,-7021
-89,-76,-15,-9867,23685,-4807
-44,81,-91,-16961,13006,-5100
90,-44,-93,-15957,17648,1074
-92,82,117,-17359,1915,2789
-100,115,28,-18354,3385,4562
127,-56,-71,-20731,-9738,5028
92,18,0,-16659,-15487,7831
-87,-59,-120,-9893,-6122,6282
112,13,98,-6878,-4263,4992
-33,124,52,-282,-8394,3028
-40,106,67,-715,-7633,2990
-92,-125,103,4318,-10532,1234
-64,106,107,4546,-4978,1087
-52,-4,-15,8794,-9054,4465
-46,-3,-11,8508,-6875,4147
-43,-104,-50,12022,-17321,5083
10,-113,-68,13141,-5893,4462
