0,0,0,0,0,0
-18,-10,78,453,-622,291
-18,-10,78,453,-622,291
-25,-11,-112,222,-599,485
-25,-8,-86,-108,-257,635
-24,-3,-67,-666,182,609
-23,2,-52,-980,48,830
-23,23,-9,-293,-391,1245
-24,21,-16,-55,-438,1376
-25,42,4,-295,-307,1606
-25,39,-1,-298,-379,1453
-22,46,2,-71,-23,1227
-17,50,5,-78,-358,921
-17,53,6,144,-448,620
-21,53,9,474,-287,406
-27,45,13,1215,-330,523
-35,35,12,1340,-470,705
-41,24,10,1209,-322,625
-44,16,4,785,-202,601
-46,10,4,807,-559,480
-47,1,6,1120,92,301
-46,-1,8,1215,-85,220
-49,-19,7,745,-183,66
-51,-18,6,935,-47,-2
-57,-43,8,1294,-134,270
-56,-42,8,1137,-145,288
-67,-65,14,1892,-575,518
-69,-66,13,2066,-790,488
-87,-95,24,1456,-185,176
-88,-97,28,1275,-163,-24
-93,-110,36,1899,268,94
-94,124,45,2368,-109,446
-100,89,62,2719,-151,1219
-101,88,64,2399,-457,1217
-111,52,79,1922,-365,1209
-114,59,78,606,544,877
-115,67,76,375,1186,934
-116,74,67,631,1076,711
-111,80,58,560,793,1453
-113,79,56,313,329,1675
-123,82,42,5,-145,3001
-121,86,43,-19,-517,2734
110,106,46,882,-1476,3455
95,105,56,965,-1904,2922
78,122,63,-503,-1461,2399
63,-101,71,-968,-1107,984
61,-103,72,-440,-1394,1022
31,-90,91,332,-2367,364
17,-90,98,73,-1980,483
14,-79,109,-416,-1682,-544
17,-70,120,7,-2307,-1712
17,-86,-107,778,-1721,-2774
17,-95,-101,144,-1734,-3739
22,-104,-91,2135,-2334,-6660
68,90,-54,4410,-1964,-8923
96,22,-33,4119,-2009,-8386
-78,-91,7,3504,-1026,-7700
-73,-81,1,2902,-1198,-6572
-6,107,27,2156,-2026,503
-28,112,18,-823,2181,-1674
-63,123,-16,2867,-599,-4823
-2,116,6,-633,3144,-3949
55,125,0,-99,547,-3656
96,-118,-9,1,-298,-2833
119,-105,-14,-875,771,-2320
-100,-75,-12,1382,505,-695
-104,-76,-1,1358,-569,-58
-115,-67,4,1240,32,721
-103,-57,13,1936,1065,463
-86,-50,34,1154,1299,1
-88,-50,30,1140,1197,215
-82,-49,25,-158,1047,383
-74,-53,28,500,2094,-375
-63,-52,43,1511,2480,-1346
-21,-42,77,891,4557,-1108
-21,-41,75,109,2981,-1099
1,-31,85,-1688,4316,-1194
37,-10,90,-1413,4052,-1816
107,15,119,794,2491,-1571
104,21,122,407,-335,-1464
-85,71,-123,1474,-1143,-6013
17,-89,-124,31,2008,-8407
21,-68,-122,421,3042,-7602
-91,-85,-75,4739,-2220,-12649
-103,-85,-91,3077,1252,-12840
-53,67,-73,3693,3057,-21043
