0,0,0,0,0,0
0,0,74,17,-195,276
0,0,74,17,-195,276
3,1,-112,19,-27,202
5,1,-85,3,91,114
8,2,-64,-48,318,87
10,3,-49,-115,406,11
12,4,-40,-184,387,34
14,5,-31,-185,406,-92
16,6,-16,-120,345,-60
17,6,-16,-123,340,-84
20,7,-9,-188,485,-101
21,6,-10,-177,390,-109
22,8,-7,-30,172,3
21,7,-6,-28,130,56
21,6,-5,-4,-15,96
21,7,-6,-31,-15,103
20,6,-5,178,-145,264
21,6,-4,193,-176,243
22,6,-4,0,-175,147
22,7,-5,-22,-76,107
25,7,-3,98,131,12
27,8,-5,77,154,25
25,9,-6,28,102,61
24,10,-7,-103,58,99
24,9,-6,-19,262,114
27,9,-7,-40,251,89
27,9,-6,-126,115,118
28,12,-7,-95,4,84
28,12,-6,26,88,89
32,10,-4,37,270,-12
34,10,-5,-102,254,-5
33,11,-6,-101,152,-7
30,15,-6,-72,135,69
30,13,-6,-17,100,90
29,13,-6,-4,22,185
27,12,-6,20,-202,234
21,12,-8,153,-537,434
21,12,-8,93,-391,369
23,13,-6,-59,-73,317
25,13,-6,72,-122,297
29,13,-5,29,-3,84
30,13,-6,-116,196,43
33,15,-6,-74,425,-49
31,15,-5,-199,406,-4
30,16,-6,-143,196,137
29,13,-6,267,333,236
29,13,-8,-332,282,111
28,15,-7,-132,-89,218
28,19,-11,-105,94,48
29,19,-11,-137,15,32
22,21,-16,-66,-582,-244
20,18,-17,78,-491,-124
10,8,-22,583,-723,-422
10,8,-22,440,-738,-504
-7,-6,-24,1509,-1659,-1094
-10,-11,-20,2134,-1887,-1044
-52,-77,0,3813,-3262,-1803
-53,-79,4,4008,-3577,-1851
-120,79,50,7559,-7229,-2654
104,37,88,5317,-6941,-3200
73,-30,-34,7777,-7504,-6018
-117,-70,56,6764,-5388,-8396
-9,-110,-102,-798,-134,-8257
76,-110,-128,829,4051,-8274
-11,-96,119,-3953,10962,-8092
18,-49,113,3749,718,-7181
60,-13,107,2238,-1289,-4325
98,59,121,-1995,-1858,-1945
88,79,81,-4254,-839,-780
67,87,49,-3273,-402,3483
24,56,4,-5134,-217,4834
12,50,6,-5418,-174,4522
-58,-32,-66,-3611,-778,8118
-85,-55,-104,-3228,1582,10058
97,-32,74,-2070,4316,11031
109,-2,49,-6819,5740,8743
-114,51,19,-11906,7467,3949
2,-34,-9,-10958,9485,115
17,-25,10,-10827,10775,-351
-48,-72,-121,-1403,7590,-1754
-90,-115,-123,-2883,6667,-1356
-46,-5,28,-3360,6484,356
-51,-19,21,-3095,6110,10
-37,23,-109,-3166,3715,-860
-34,37,-81,-3465,4293,947
-11,20,7,-1919,6640,669
-4,3,17,-510,3976,-2922
35,55,125,9397,3451,-9967
63,82,90,13755,5493,-12185
-54,102,81,17319,-16453,-29645
78,44,71,17228,-16295,-29534
51,-40,-10,8145,3314,30137
-2,-46,88,9959,-3148,-32749
115,-20,76,14329,-10409,-32749
-118,-37,87,5649,-11036,-32749
-5,-100,-89,3485,-11801,-32749
90,-100,50,4482,-6169,-32749
101,-104,-12,-8449,-7998,-32749
-15,-86,100,-22258,-7122,-32749
104,-11,-123,-6936,-368,-30860
30,125,11,822,-14441,-21303
43,44,-21,-4359,13283,-18241
52,121,-57,-6135,2683,-26765
-18,-85,14,-18703,1724,28734
82,105,87,-13662,-3014,-32749
48,-21,47,-31968,-11365,-32749
112,-97,-74,-16037,-22657,-32749
112,-115,-21,-20057,-11353,-32749
-112,9,101,26345,-9668,-32749
-48,-113,-24,26313,-25127,-1879
-88,30,43,8122,6051,4546
-41,-2,68,-2544,18382,4330
-20,124,54,-10994,-24551,23391
17,91,-118,-6424,24444,-24576
-66,-78,122,-6207,3311,-32748
75,-80,-21,703,-29969,-32748
58,73,110,15426,24489,-32748
-34,-32,-6,-12260,-7850,26380
-20,62,-69,19475,-12634,9110
-33,-51,-92,1760,-25316,-16640
10,112,110,7661,-7093,7337
-110,59,-45,-3751,-9108,8836
-68,-12,60,-1130,-1835,29216
27,-3,28,-7625,4445,-32593
-94,47,-117,-15715,5785,-30962
29,93,-35,-21930,812,-32747
119,-77,-59,-32667,-2600,-32747
73,57,-8,-30311,-23053,-32747
90,-108,-34,31207,-13145,-32747
-54,17,12,-24720,-19100,-32747
108,81,33,30130,3338,-32747
81,66,96,-32735,-14622,-32747
105,87,49,32,-16,-5325
-16,61,-81,-32735,32751,10259
-73,-120,68,-32735,14743,13222
127,-54,-99,22777,31805,-21119
72,-55,29,-30105,-9745,-19239
-96,57,-28,11197,21618,1547
113,27,-84,31586,-23691,-17520
-106,44,65,1560,8320,-6787
-81,-97,109,5861,-2993,9491
20,-55,46,11168,-10276,2056
-67,-44,11,6819,-9771,-158
-83,-28,23,3345,-6344,-1684
-30,-3,-120,-3467,1377,-1785
-123,14,6,-1191,-3484,-4937
33,-8,7,-4456,-2954,-4953
-25,-23,39,421,-5107,-1043
-29,-21,74,-4170,2815,1504
-3,-5,84,-7418,3919,-994
-88,-1,-47,10517,-1269,-3600
-53,-63,85,11559,-5546,1784
-55,-28,87,11674,-5264,-366
9,-26,54,-10412,474,2323
17,-15,55,58,88,1081
-125,-15,-4,8756,11953,-12469
106,-55,123,-10380,-29413,-15650
-16,-89,112,-7605,20280,-17561
46,-2,88,25738,-429,25151
51,22,-109,14507,-6484,-30168
71,-106,-48,15541,-11190,31849
-103,-67,-111,2844,6973,-32749
125,-20,-87,9073,6706,-32749
68,6,-102,7282,10087,-32749
-26,98,5,6578,5790,-32749
-100,-38,-5,10107,6135,-32749
-75,-81,-20,-28430,-25979,-32749
-113,-92,-85,24403,-30646,-32749
-13,13,29,20682,-6982,-26455
-110,53,-74,-15633,-773,-12140
39,-12,-106,-17782,23678,-17987
115,-104,-103,10641,-4884,25344
66,3,-78,3285,68,-32749
-46,-16,-104,5392,-1520,-32749
46,34,76,-3176,-10671,-32749
39,-23,125,1357,-9001,-32749
-79,81,113,1106,7938,-32749
99,-115,105,4525,-3070,-18554
-7,-80,62,31282,-6045,38
14,-91,90,24396,-3199,-2167
4,-118,-90,-3835,-30908,13749
114,35,-1,-6039,25171,27915
