0,1586,1586,2060,1089,1303,1115,1305,1850,1526,1317,1398,1142,1205,696,988,1026,1413,1282,1172,954,1511,1466,1375,1315,1149,1867,2809,2534,2679,3084,5928,4968,3638,5259,9737,10438,6030,5168,4759
6407,6285,5769,5781,4846,4160,4189,4854,4634,3692,3399,2308,2351,1430,1591,1229,1001,692,929,853,1038,494,430,534,502,205,-367,-152,-553,-408,-251,503,564,1006,990,2343,3414,2724,5222,10228
10320,11127,4061,3073,17310,13756,7085,-30981,11764,10559,139,71,-1965,-2720,7761,-1250,-10385,-17780,-31737,-32495,31786,-28146,31460,-32594,-31310,-21329,-17249,-10974,-13520,-5857,-4968,953,956,-1533,235,2439,556,2318,11228,12093
16503,21098,23769,21899,24274,23376,24497,7283,-8466,15870,-19955,-1442,910,1933,6118,16043,25413,-1492,-10923,-16736,-1989,743,460,1429,-995,214,275,-1434,-2519,-1998,-624,4213,6919,9704,27989,25010,10362,-777,-16453,-30083
28257,-32593,-32593,-32593,-32593,-32593,-26222,-11919,-11621,-6554,405,-132,-806,51,2491,2118,2754,3892,7006,7708,12494,18979,20363,24952,26169,23636,27021,29218,-4248,5470,1138,9255,14070,11200,-114,30489,28744,-29362,-12719,-23432
2504,-418,5577,6817,7440,7245,-4301,-3850,-3793,17163,8071,2986,32620,-10921,23676,-32590,-32590,-32590,-32590,-32590,-30425,-14936,-15161,-15909,-879,-3845,-3020,4575,5672,6002,5613,6686,12178,18752,20559,21808,17933,24347,-31151,31222
22161,13515,14622,13925,-4934,3190,7584,6391,-4009,-6830,-13738,-32587,26593,-15273,-9112,3965,-2848,-2624,1975,2111,2064,2565,-6696,-2266,25619,11746,6664,-11440,-14024,-22547,28544,32097,-32588,-32588,-32588,-32588,-32588,-18605,-14278,-18595
-20766,14263,6639,5333,3190,4394,7402,11849,12056,14356,24812,22131,26073,20825,27895,21243,17701,21083,17038,20234,5813,-10114,-8353,-7463,-21836,-7636,26003,-25025,-9844,16052,-7087,11168,295,5566,8899,3011,-9953,-4573,-2207,6513
4367,22163,4664,-8841,32002,-31968,-31841,32118,-32589,-32589,-32589,-32589,-24318,-23170,-10275,-9842,-32741,21913,5315,5361,5064,1804,2131,11557,19685,16164,14121,23859,30527,25020,22568,23060,24417,16137,13910,7178,4065,1097,3913,8090
-1650,-9411,5722,586,-798,-32,-5766,1518,762,7851,7105,3211,1348,10741,26261,-26194,14168,2048,-3781,-12408,-27970,30624,31852,-32590,-32590,-32590,-32590,-32590,-20333,-6586,-7896,-5203,-7514,-11538,8790,9642,5361,5871,7040,7773
7411,11666,16019,18876,17964,27274,29932,26406,27081,19303,20368,17630,16328,11068,14130,12142,11937,13961,-4636,24240,-5040,-9349,-9275,-7011,-3111,187,8673,7885,34,-1701,-12304,1514,16108,21625,6040,-5736,-30980,-32114,-27605,30578
-32590,-32590,-32590,-32590,-32590,-30923,-5609,-10014,-4859,-3666,1400,4964,3582,8236,11280,2983,5716,11853,14582,28342,26021,-28657,30355,21885,21566,-1040,5159,25209,19530,393,-898,-4408,7524,-2291,-13065,-4554,32123,16965,-909,-15869
-5132,-796,2674,2338,5349,3034,-1318,-3199,835,427,-821,-2265,-1340,-260,1419,5589,8121,7933,4914,7505,11739,10515,6925,8112,8616,2009,-1174,-12208,-12575,-19341,-22719,26989,-32588,-32588,-32588,-32588,-27929,-20933,-11868,-10370
1900,-108,-3310,-1648,7428,3938,668,733,2188,1730,-1706,-962,1308,1971,-676,320,2240,1752,6759,6582,14681,20019,24505,25790,25758,25624,24847,22942,16911,17972,14205,9820,1571,2536,-2563,1105,-3398,4405,7222,-5961
-3787,-2044,1099,16180,9247,12087,20682,24815,19114,30869,23443,-28478,26401,-20516,-19987,-25277,27534,-32586,-32586,-32586,-32586,-18120,-22226,-16262,-7790,-5390,-1920,-2904,6766,9143,5194,1349,5138,5547,5087,7941,9036,11619,20712,22554
28062,17864,12965,11613,-3981,-6780,-6717,-4385,-6352,-2218,-4556,-7734,-1917,-3954,19609,20910,4663,-22461,-23257,18138,18372,-32312,15345,19099,29090,12020,27655,20935,-2655,-15215,-12144,-28912,28109,-32583,-32583,-32583,-32583,-32583,-31683,-20137
-11644,-7914,-7424,-1760,3322,2243,-1030,-8,1255,2000,4390,3562,4444,5345,16085,18836,17907,19273,16815,25507,17699,21094,-31878,28203,28885,9904,4081,12014,1037,-3620,-9405,-4533,2971,1314,-1047,-10292,953,10231,6607,4423
24776,-31851,19589,-4671,-11870,-1472,6470,8839,8921,7840,11003,13888,17640,15491,12975,27016,22243,4362,12990,-2917,15772,1970,-12178,-22382,30825,31081,-32580,-32580,-32580,-32580,-32580,-24580,-29942,-23504,-6957,30567,-3195,16833,1814,7932
6056,-473,7088,10979,10269,8187,8120,22210,25523,-29087,-32061,-32577,-32577,25733,20326,18050,10281,17496,10523,-8458,-10556,-14742,-3143,-2357,1731,14038,13940,-3749,9035,18728,20989,23904,26575,27062,27364,21917,-27910,-32576,4685,-1168
-6103,-29867,31284,-24275,-32710,31927,-32576,-32576,-21147,-16993,-13731,-15944,-17578,-21645,-20084,-3811,10871,8628,-308,-2400,1838,3980,13481,6698,18219,23982,-26546,-32575,31672,22512,7726,8887,-14996,15859,3652,14198,-3968,-1048,28417,-2374
10323,-1351,-11816,-2844,-4691,9850,14103,7852,22824,19387,-2887,-12529,-16797,-23101,26622,-32576,-32576,-32576,-32576,-32576,-32576,-17052,-7124,-11564,-12251,-7786,7411,10799,1006,-744,3119,3390,2910,10036,9796,9924,10868,15651,-31987,-29595
-32573,-32573,25320,19085,15823,8991,7069,-9176,1252,22814,13000,11149,5626,17347,4949,-10348,-1304,1758,11151,7756,11419,26849,-26740,-32574,-32574,-2368,-2338,30786,-25560,-27691,-26561,29970,-32575,-32575,-32575,-32575,-32575,-21440,-22573,-15142
-6876,-6871,14527,7808,5152,6945,12612,10582,10203,22466,31038,-32045,32746,-32221,-32574,23617,16737,5901,13797,13405,-6092,-10823,-12443,-10508,30347,-24451,-18862,-14425,-9989,-14363,-3658,-3875,1087,8231,23333,21555,-26162,-32576,-32576,7229
