0,-1823,-1823,-1040,-2558,-2051,-1830,-1895,-2587,-2909,-2880,-2754,-3280,-3086,-2717,-2567,-3019,-2734,-2057,-3028,-2783,-3027,-2520,-3960,-3744,-3525,-3064,-2116,-2725,-2711,-2131,-2539,-4592,-6853,-7545,-9085,-11369,-14350,-13484,-11901
-9434,-9143,-6328,-6713,-4486,-5094,-4821,-5070,-4639,-4155,-3885,-2781,-2942,-2796,-2632,-1821,-1318,-698,-645,75,371,591,234,-278,-73,335,1283,1246,1596,1558,1019,311,-172,-829,-1336,-3020,-6788,-5726,-5775,-5671
-4954,-13394,-3740,-12097,277,-7059,-2033,17778,-21596,-11217,-1674,-10157,-2389,-1831,-19811,-19442,-16145,-13761,-12802,10209,-4230,-18578,12648,-5106,-14891,-15694,-16797,360,-1568,-14031,1479,3724,-2679,-5432,6114,7812,-433,-2106,5232,9432
18175,16649,29078,25768,1815,-9108,-2896,-25048,19838,19960,15605,-9694,28967,-20057,-19801,26429,32607,-2258,28208,2582,2965,-5204,-3201,2730,3149,4686,4429,5121,4134,2984,1669,521,11258,16799,-287,3966,23621,29429,32607,32607
-23189,-30535,-14804,-21081,-25467,-4183,-12976,-11278,-6225,-2129,-1785,-4454,1592,-1355,-2809,56,5115,4683,12121,22564,18335,9784,12697,7923,8266,4630,-25353,-15511,23403,1490,-14667,-19903,-15884,-14713,23703,32607,32607,-16829,-27374,32607
19843,-1433,-19574,-20991,-20595,-12622,-1919,14685,15256,-27694,-30544,-15985,-2291,20077,-21106,-6228,-12007,-3507,-11148,-14527,-23008,-18463,-11007,-14339,-10323,-3479,1374,-3019,-1023,-6496,-2915,7381,9634,13519,9541,7301,15539,21492,9940,11705
1026,6682,5071,-6566,-4123,-7532,-8205,-9284,-27470,26750,32607,32607,-162,32607,32607,15169,-11167,-21451,-23019,-14135,11504,16892,15708,-678,-32551,-7647,-18084,-18363,24929,32605,-24928,-16330,-22044,-19707,-25856,-11825,-24329,-16389,-13490,6668
2661,-8341,-2524,5181,984,1828,648,1321,11959,14797,25253,16339,10711,22363,8354,6385,3570,3325,5106,-17846,-5623,2805,3061,-12187,-17415,23193,32603,-166,23435,16160,-9057,-20738,-18586,-19212,-10902,-5294,18984,18423,6935,911
-2582,30642,-16495,25535,-7073,-27639,-25699,-13521,-18354,-20092,-21182,-15427,-8060,-9062,-14260,1729,19041,-19564,11073,5307,219,5801,8731,25108,14625,11433,7704,6795,5733,430,7808,7177,-6255,6854,-3382,-17763,2270,-1012,-9624,-27877
-6161,-13252,-31389,-2943,7475,23519,20899,231,-1635,-14347,-12329,-7318,-1882,7498,25006,-24927,-31368,-21309,-32291,30625,32601,32601,-20746,-23876,-21325,-20543,-21661,-14818,-23974,-25867,-18638,1698,15056,9103,1521,-8792,3508,2035,2213,3611
9811,11832,13526,10542,9716,13500,11303,110,2332,18645,-9898,-17177,-4403,5925,-7839,-14783,-17448,-16458,30776,30403,-3278,15870,16898,10228,-5286,-13207,-15556,-6159,9144,8261,22930,18266,3644,-16708,-12070,-31682,28498,-27681,-20096,-19429
-11843,-17617,-12742,-8575,-16341,-15842,-11906,-13437,1891,2100,-1844,-3931,-1073,8699,6369,13375,10576,5455,4466,-6851,594,997,6846,1157,-1579,9322,-1230,24300,-19510,2504,-5165,-3838,-12143,-14124,-9492,31019,-30326,-7022,18962,14249
-294,-2352,-13085,-10588,-9526,-7936,2316,5729,2284,1776,2986,4512,4346,2375,510,1880,1655,9147,14944,5775,-12548,-15252,-15991,-12299,-16068,-18623,-27244,-14845,-21352,-23597,30658,-12951,-22177,-21960,-13041,-19093,-11498,-9944,-7571,-9466
-5790,2378,882,-2266,-6967,-4908,-2121,-2193,-2994,-3881,-3702,-478,-2778,-5489,-4386,-4584,-116,-727,2295,1818,6092,7592,11681,16230,15335,10447,15645,26628,18751,6,6143,10757,7737,1960,-3388,-3292,-5224,-24072,-13681,-1496
-3442,-4841,-9997,-10721,-5794,-10311,-8645,20774,-22073,31005,18006,-18459,18545,32608,32608,32608,32608,32608,32608,-31482,32126,-24333,-27079,-16926,-2157,-22233,852,2518,-4052,-8662,-5851,-331,-5385,2814,6119,-31753,-28588,32609,32609,30321
17861,29578,-2656,-3023,5205,-4086,-5836,-8955,-6001,-3445,-14603,-29484,-30940,-31745,-29872,-4482,13508,5576,-9598,-9239,-7560,13360,16635,16268,1921,4189,30262,27083,32608,32608,32608,32608,32608,32608,-29845,-27242,-13741,-12949,-17828,-4921
-10137,-5688,-5838,597,-5945,-4182,6803,-438,-5726,-309,-2758,-1554,1955,506,797,5503,9010,28354,32072,10836,28707,22695,-4984,12767,-8320,11136,-1604,-18758,3482,4967,-7535,-7595,-24780,-22007,-22509,-19860,-28677,31375,11643,7772
-9351,-17826,-12484,13424,17397,18797,20463,1884,2317,1105,1454,2633,-913,64,2426,-5692,-4513,-5687,-8607,-2973,-15346,-11752,22012,32606,32606,-31733,-23046,-20106,-10202,-14205,-15707,-17949,-15487,-8051,-7359,7231,8180,-3480,18734,-2610
-1790,-1739,-4928,-7756,-2696,11443,13279,4744,1637,6507,8173,5538,7078,-27585,10450,5117,24614,-22074,-32226,4902,18812,12909,-25056,-27536,32263,-29993,8880,120,-9531,400,1926,8618,9711,30627,9676,18290,-23615,-8018,20499,32607
32607,32607,8798,-20316,23767,-16630,-25916,-31007,-29143,-25048,-30278,-21333,-5957,24452,14499,-22489,-3128,172,-221,3768,1075,1473,1803,11259,11965,10039,-14830,-3069,15771,11546,-2540,-5290,10444,26159,-31306,-18632,-16757,-9385,-16016,24898
32159,11888,6896,7745,252,-8575,1075,24768,7552,-24946,-23681,26229,32607,32607,-25691,30195,-23052,29316,-19672,-1317,-25276,-8020,-10434,-10967,12171,-2480,-679,-13288,10142,-2488,4246,-2695,-741,1431,615,4341,25293,22694,16395,5360
13750,9582,16487,15986,19974,4281,300,17038,-11236,24023,-12448,-23708,-27910,-8217,17083,13912,-21175,-18784,-2954,-2576,3789,-3246,15265,-16999,-15150,31919,29492,-28659,-28715,30736,32612,32612,32612,32612,32612,-27756,-25823,-10958,-4137,-3142
-669,11694,-5907,-5667,5037,2097,-3835,10726,20033,11563,13178,9206,17294,14603,20624,14487,12180,29861,-18577,-17400,3817,6290,-7112,-14703,21647,32615,14851,-29931,23045,22729,-919,-5607,-12123,-16312,19379,-26189,31461,-4994,12711,32614
32614,32614,32614,32614,32614,32614,32614,-17947,-23378,-23113,5604,-8357,-1773,9728,-2214,3288,324,-1243,3148,9112,10376,21337,15851,1182,1167,9849,13623,16999,17542,-8598,7714,5364,-3746,-4754,-27962,-29850,29400,32614,32614,-24990
20300,9397,19806,20840,-26940,-13153,-8928,-5580,13659,10897,11812,8860,5052,3984,2157,3793,7478,17496,-23473,30318,19599,26288,32616,32616,32616,32616,32616,32616,-32477,-18965,-22222,-10589,-10739,8804,-10014,-4255,9312,-3968,8366,-5406
-6669,-4487,-2765,-985,2037,12302,16416,8859,6569,-3790,-3815,9713,28590,-7301,17064,10514,-17308,-28248,-26596,-23038,27983,32616,18104,-23047,-32692,-32342,15975,9837,3679,-11039,-8000,-7109,3823,4664,20024,24076,15767,11797,11445,31907
32617,32617,32617,32617,-31948,32294,-5677,-20255,-22981,9692,7442,-10654,2923,-1240,-6179,-9597,-1349,1761,61,3731,7531,5946,5521,6700,313,-538,2339,11627,14109,4996,4498,5285,-14054,-25116,25793,32616,32616,3652,23724,6844
-4392,-14201,-19415,31753,29257,4413,-6730,-14953,-14384,1514,1449,-17407,-22877,31435,30711,-20702,-23879,-18953,-29366,-13608,-17282,-26268,-7823,-10481,-9723,-8779,11642,-6793,-6255,-1918,4021,1032,2474,5811,9427,9537,3932,2104,7706,6219
4771,17838,7513,3087,-4477,-7141,-15433,-28600,-17836,25948,32617,32617,-2422,30256,18543,14031,12600,3689,-2539,-3671,848,5207,23267,29417,-29192,32617,-22508,-32617,27719,32617,32617,-16485,-31089,-3397,-11150,-22690,-19713,-18510,-17762,19009
8603,-14562,7543,-10688,-1986,7772,7306,3796,10315,19585,3043,3712,3513,8607,59,2347,-32276,11576,-10036,-15009,-10151,21294,-32595,-12020,-26219,21894,27682,8253,-9318,-14228,-1562,6796,-25871,-30344,32615,32615,-9750,13969,32615,-10635
-22533,-25480,28156,-27740,30888,32615,32753,-30102,-10755,-11591,4190,6985,951,15196,-4572,-4986,10405,-953,-6612,-8112,-14304,1902,12004,15989,-28011,9213,12092,13288,14408,23341,8579,-2163,-3572,-31099,-22893,-11616,-20105,-22401,-31386,-27252
-26247,6478,15822,5112,6502,4051,2302,548,4135,16933,12092,19243,29555,-32728,32550,32614,32614,32614,32614,32614,32614,32614,32614,32614,32614,-7386,-13618,23342,22410,4037,1456,-8318,-5901,7896,2989,-1782,-474,7019,15864,20668
19221,13829,-24,23775,4355,-30169,30630,4253,11630,-10151,-9889,6036,-3017,-11704,31511,-31323,-17051,2484,11316,11650,6885,1349,-9998,-15912,18565,-27186,6410,9299,32614,32614,-25410,-26517,29645,32614,32614,32614,-19900,-25625,-6614,-4476
-5439,-27280,31868,554,6259,-2768,2138,93,2849,326,-3767,-1819,12045,16538,10513,6749,-16566,4821,742,-4262,-3577,6580,17592,6866,12210,26187,12224,-15758,-32286,-26750,22560,-19867,16558,-17383,8523,-2877,-3194,24824,23743,13994
-14373,-25530,-29410,29022,32613,-15037,-7898,-9517,-28856,-16682,-23431,-991,1489,27519,-12476,-27472,-16619,27054,-30554,-19986,-12999,-4257,6822,-29163,24442,-7714,-4493,1059,374,-1466,-3223,238,3200,13992,22326,13238,15167,3956,9008,14633
24667,14274,-16308,-20766,-1759,4652,15668,32614,23399,-18928,32614,31316,19474,7074,4024,7060,5086,3270,4669,8797,7900,3094,993,-5281,-9361,-4921,1078,10707,-6630,24096,-28295,30933,32401,-26354,-25915,-20178,-15220,-13895,-11969,2412
-3841,-7777,8427,-568,-9024,-1847,2982,-1998,-7771,-3901,14759,25414,15645,17027,16789,11769,10496,4891,-1410,15349,-6143,-10484,929,-7008,-7887,-21348,24429,32608,10496,30714,19819,18720,-3956,-5513,-18986,-10782,-266,7200,-1892,-2184
3981,6539,9188,13187,12445,29066,-4770,32134,26510,-25694,-2932,-18055,-6710,-13112,-19294,8683,-17232,-17024,26783,-17964,-449,2896,-6448,-2701,3742,-3222,-8804,-5238,1289,3512,17758,4370,6474,5046,1484,7029,-1239,4662,-2411,-15336
-9512,-12454,22120,-17133,-8875,-11292,-9240,21223,32609,32113,15391,21024,14037,16000,12873,7261,5666,23357,-30813,24572,14554,-9915,-13750,20808,32608,-8256,-32527,-16387,30685,-25909,-11072,-8018,3102,-6726,147,4173,-4791,-18472,1889,4907
8944,4319,-4812,-7968,-764,6945,15522,8813,4221,3150,1002,15542,4256,-3283,31510,8016,-8972,5641,-27693,-26881,-31883,30727,-29515,-29550,-5230,30659,-16518,6570,22397,20232,14567,337,-2799,-7076,-6125,165,310,-2094,-73,-2635
-7683,-14551,-3301,30694,-25845,10915,-22086,20481,-32569,-5795,26958,-4574,26471,-26681,-23695,-20174,-18513,-15647,-9577,-26351,12322,-4055,11023,-132,-2979,-2905,3146,373,-4825,-611,18806,15361,22303,10259,-2856,-6057,15191,3439,8923,31884
-10059,-9886,-13551,9985,30138,30430,-30975,-23416,-9301,-23445,26645,2428,-855,6006,1735,698,-414,1528,2409,6051,15603,29332,10850,-2579,-2867,-10910,-6849,-22108,24693,32607,32607,32607,32607,32607,32607,32607,32607,32607,-26267,-3424
-17624,-5268,6389,-5439,-17546,-7624,-7988,-5339,-2300,3483,7573,6111,13302,14563,2158,188,5278,32231,16784,-7078,31751,9083,-2046,-12152,-18110,-19141,-28062,-20807,-16433,-5903,-4000,-7977,6879,-1276,22593,-25245,965,10803,10840,10550
6091,24,-12387,-14272,22141,-20584,-24497,-24241,28320,32627,32603,-27894,-29697,-22968,-6136,-17969,-19629,-3549,-8662,1483,-6521,-933,-8419,-3097,2087,-7216,-3920,674,-1387,-2048,7825,10307,25163,18401,-6276,2643,9428,14550,15536,556
-5726,7373,159,-8032,-9288,-7811,-13724,-19099,27218,31691,29112,9961,-2103,3046,-3828,-5643,709,10138,1095,5791,8230,16665,-14034,4072,-16780,-12176,-26191,26827,32607,32607,32607,32607,32607,-32704,32532,-29795,-10430,-18086,-2080,1392
-10575,7764,6021,-12914,-5782,2663,2350,3655,19216,13838,18056,5976,10235,7390,22479,9502,17760,29004,14807,-31184,-3950,-17400,-13960,-9984,-3714,19303,32610,-15113,11063,-12060,2055,2672,6240,6350,2058,-5584,-8153,-8429,-1795,12391
9448,1895,-11221,-21327,24273,32610,32610,32610,32610,32610,32610,32610,-24197,-11988,-18083,-2321,-7552,-8283,10585,739,-22230,10836,-457,4435,5788,29007,22080,16446,8560,7162,6578,-5621,7294,2292,-2162,13624,-460,-2157,1275,-10191
-18096,-22700,26092,32611,4116,18906,23218,12277,2278,783,3255,455,1307,28447,-19828,14798,6422,-646,-1298,-15935,-17468,31295,30100,32610,32610,32610,32610,32610,-30799,-28169,-5738,-17906,-3846,5728,-269,-15850,-5602,1744,-1783,-17139
-8324,-1561,5108,8674,17528,11186,4807,-298,6245,5577,13324,12648,29637,-15474,6497,-825,27298,-22910,-17258,25850,-14355,30600,-32117,381,2286,-13933,-6907,3882,5018,-2947,-3307,-10626,-7767,5133,7599,5664,9975,-10595,-16543,32459
-27656,-28766,30261,32608,-31158,32018,32608,-31792,-23355,-23430,-5985,-12547,-1950,-9460,-2494,11350,-15815,8436,1146,-4565,-1845,-5124,-6112,1071,23917,25498,12880,9310,4913,3488,-6288,3803,-27585,-8593,-18151,-20316,-22106,-15637,-1681,19581
32608,14339,27771,10278,6788,-6326,-5010,-3840,-910,6058,4295,-7333,-6663,-9131,2959,27169,17565,-9013,-27624,-30867,29510,-30961,31953,32608,32608,32608,-14943,-26122,-12784,-16841,4781,11188,-24339,18929,5642,-9975,-1540,7062,4190,-1652
