0,38,38,155,256,648,1006,10,-275,-1269,-864,-994,-748,-535,-1053,-1620,-1581,-1158,-707,183,674,107,-309,-2139,-1726,-3343,-2979,-1506,-1394,-1629,-3582,-4787,-4530,-1488,1587,2752,375,-735,-4849,-3620
460,320,3500,4683,-10522,2034,-362,11207,2994,-28653,24156,-27743,-24948,-13957,-11245,29071,-25464,-26147,-16358,5720,10786,19629,18645,19713,18678,7317,7020,23389,27557,28218,-14475,6287,-9007,-32691,-16692,-2784,6621,-4057,-5903,11519
8334,12344,2967,3696,9955,21550,7823,8281,22350,2149,-28826,-16340,414,5891,137,-16530,7267,3811,2236,5132,1474,-15189,-8640,-11853,-24209,-28443,30335,32346,20173,-10542,32559,-26096,31414,-12843,19338,-14800,-1010,-17611,-18985,-7753
-11860,3052,10426,-3774,9256,14430,-4928,6356,10469,168,-146,16333,8611,6102,10336,-2892,21888,2299,4479,4188,8653,12057,11468,6850,-9682,4644,-11324,19818,-5583,-22628,-15483,-29771,32748,-19,-4178,-23170,-25922,9926,79,-5699
-15315,2891,-7555,-11456,-168,1108,14456,14055,10446,-15083,17232,30587,17766,11982,-8972,-7789,-3846,-8889,-17630,-20590,-20880,-17761,-18931,-13334,-7900,-9453,-5732,7045,4441,4367,2337,2858,-1551,-8063,-26236,-10673,4410,22301,-21723,5825
29587,20741,5871,-19414,1230,1342,-15029,-15970,-11770,-4113,-6703,5585,15269,1262,14380,18472,25229,16364,1037,4842,11695,-3327,-2440,-15503,2711,12840,7245,-4135,-2813,455,-2844,-7563,5141,1309,13816,5033,3070,-1102,185,8759
4266,-8267,-6270,-20077,14324,14874,-22120,-19741,-7668,-9312,-9935,-2171,8529,6345,6574,6467,9695,10519,3600,7224,2117,31105,21557,22055,-974,574,1254,11881,6749,-1653,5529,5789,-1171,6191,7814,1652,-4705,611,5851,-3960
-2201,-5166,-11683,-10180,-7305,1637,711,-1054,2265,6702,1567,-9739,-10898,-6833,-9299,-8520,15243,-4257,-6384,4587,-309,-7118,-14003,-12065,-14587,-11961,-10315,-14199,-9491,-3154,-2947,-2328,18700,21897,15217,4699,3079,3084,12033,11383
-1188,-2923,5378,8055,5800,2913,-1931,1479,5173,14266,9493,-11651,-21752,30706,8811,-20744,-10347,32015,16914,2851,3181,4304,3020,144,433,577,3577,1276,-4367,-6777,-11793,-3441,9236,9347,-20255,5279,-4814,-6251,-2959,-950
-5607,-16527,-12771,-15590,-15677,-6333,-13724,5225,-5689,-2704,-2658,-5170,-5539,-8716,-4886,-2120,3965,6014,6509,-11602,-17107,23214,11159,-3525,-8243,-8389,-13589,-15282,-7143,-5447,-9759,-1237,9009,23998,20162,28393,22114,4087,15999,2373
-9583,-23101,-6186,-19354,-11223,637,2825,-66,-1377,1420,5387,-959,-8087,-17963,-15275,-2274,7396,5557,5706,629,-4197,-6831,18701,23689,893,-28866,-24161,-3400,-30894,-7021,-1391,2388,-5593,-6572,-12981,-21973,-23035,-22191,-10732,1732
11944,13894,13128,11908,11100,10839,4912,16674,767,29443,11808,14097,-30515,9711,-16355,31544,32388,-32392,-30196,32270,-29248,-26828,-24455,-11788,-8536,-14320,-20642,-4790,-8005,-17417,-9,-13675,-8219,-15115,-2441,-706,-15296,21862,32746,30303
10385,-21185,7372,9823,119,2052,-18486,-3222,-1101,1148,8070,-3965,9374,17262,14805,13844,4866,4672,18315,28851,10019,14669,182,5227,2504,1559,2662,2873,733,6251,2851,-12913,-4324,-8353,-15373,4880,-8428,-5439,32491,5884
-4696,10000,5729,2933,-7134,-10042,-10986,-11321,-9328,-4218,1260,3547,6734,12134,11126,6572,3050,18811,16636,2651,-19932,32747,-20,19819,12984,-25896,2069,-1896,1737,-3755,-22645,-15864,-17057,-21214,-4470,-16156,-12109,-14019,-6627,-8725
-1251,-4953,-9206,-1902,-4382,-18680,-22160,-17399,-11562,-17789,-22799,-9710,-12173,-10129,17846,31901,16969,-3804,-6396,-8783,1262,931,-4281,1255,875,-3067,5882,10638,7564,7997,7643,11302,3869,7939,19381,11233,6196,7213,3735,3485
2004,2107,-3514,-2228,4260,1715,549,-350,951,98,790,5084,2510,2799,356,7530,4371,6280,776,-3683,7809,7387,-732,-3437,-14968,-14985,9941,-292,21379,27828,-15037,28068,13952,-18139,-11315,-10857,-13911,-15693,-15411,-16028
-15313,-5047,-5200,-3307,4355,8100,7279,9366,4799,14899,-29353,-30979,-5091,14149,4688,-14475,7556,-3936,95,-6118,-12755,-8154,-442,-128,-24726,-2976,2530,4926,15204,8021,-1556,-1154,-11435,17487,25686,24124,27258,25313,14549,-5818
614,-12422,-4308,-3496,-8251,-16372,-15907,-15313,-9788,-13240,-9302,4087,6349,4507,9927,-5519,-3472,2837,-205,326,11732,27520,15178,-1348,1045,5508,13753,6226,7445,9101,7975,16336,-23220,32750,21226,-2901,19419,-13324,-18851,-8596
2824,2656,-114,-4482,-6306,174,-1293,-4322,-5779,6337,-27030,-17428,-10954,30616,14850,14112,11290,10898,-3108,6887,13010,-3619,-7461,-13093,360,-12715,-5236,3401,-3197,4592,6042,18768,14567,8562,9213,10776,6381,31159,11364,-8718
4443,-2457,-18979,5282,-4008,-8665,-2583,-13472,-7923,-11727,-5634,7616,2604,2438,998,2873,4822,5602,14594,17525,16985,9854,4331,24939,18955,-18989,-10504,6015,5701,32199,-24047,-11802,-12252,23861,24277,9479,9314,13187,2530,-1606
13520,3792,2911,429,-11107,-25201,25903,-6950,-14539,-8974,-7587,-8148,18175,7398,-4821,13653,7353,-2789,804,-761,5717,3266,-3185,29,1181,-176,1332,108,1063,542,1429,-666,-2171,1221,-1950,-5209,-4050,-3346,-4932,-6152
214,-12363,-18719,-7540,-16481,-29303,-5541,22987,7168,-5238,-7369,11588,1065,-17969,-8736,-14656,-10840,-5043,-2115,-6966,-1251,-2351,-12037,4332,6277,13346,11700,20152,12510,786,4575,11335,-1286,-876,5493,2588,-8457,-3188,-11872,-16051
1386,32750,-3214,-32742,-3627,2416,-7056,-9761,-7725,10581,-2358,-10308,-12305,-9375,-3675,26350,17497,25601,28844,17717,-2581,-9874,-19903,-18104,-21666,-15566,-14609,-8106,-8396,-17446,-9556,1260,-4262,27862,24887,-14326,2335,21654,15846,24603
27425,-1422,-12453,1204,-1175,-8377,-27096,10719,2892,-5003,-7998,-18762,-26858,-17371,-6692,-8004,-1351,7760,-4829,9915,24193,14913,26474,11501,-3372,-9348,-19868,-11533,-11777,7005,8940,9700,10496,15049,5470,-14889,2614,18467,10287,20030
-12053,28421,-10259,-18257,-10813,-5184,-1011,11510,19628,13743,11771,10318,-1675,27382,-3310,-14830,-21019,582,-3800,-12224,-8022,-12245,-10269,-11296,-18475,-14026,-12797,-9701,5363,-9460,-2491,6053,15701,14304,15938,11366,20509,8573,15451,14309
32649,29271,27824,18657,-20458,-14296,-5784,-1710,-3791,-13603,-14223,-3023,-9183,6161,-6832,-1891,7615,1765,-4037,-3190,13382,14327,10090,-16479,-11099,3993,2714,2174,11322,-4960,-4079,1417,1936,4913,757,18217,21708,22600,8653,478
2321,11391,2303,-5453,-18676,10922,-28059,-15965,-7301,-6834,2970,-4112,693,-3209,-7110,-11788,-8816,-26180,-8900,20256,29429,13580,9850,-1857,-7584,-1929,-11872,-8283,-16318,-15969,-15059,-12815,-8072,1056,-581,1574,8615,2519,-11516,-7047
7015,3706,9114,13019,-7858,-6587,-10481,3875,14228,18267,8713,-20040,12981,25508,-1492,-27909,-11811,19450,1546,-20922,-17860,1626,-7395,5164,6633,-4893,10328,9217,-13586,6518,18711,4750,10548,9237,-7397,-12002,-5640,10200,8624,-1572
-7880,-25751,-6685,12106,9875,5658,2793,4145,6291,5112,3606,844,-3546,9797,26492,16228,1444,18380,351,-9596,-7828,-930,-2977,-14172,-10613,11335,8267,7899,19777,17667,27892,-16393,22141,-6403,-2760,-12520,-28486,-12824,-21891,-26809
-21313,-21053,-19895,-9344,-588,-5942,2806,6386,-11089,9424,4581,-8192,7981,6936,4217,12660,13811,-21473,-29489,460,5173,-3719,-9432,-4545,-2791,-20607,-10146,-6973,5062,8183,-10384,889,4236,22063,30255,18538,-784,-11214,-2031,-2899
421,2050,-7086,3131,9499,8107,2312,2219,-22782,14893,-19065,9839,-5165,-7562,-184,366,2643,-4461,14672,10749,968,-6907,-11933,-5803,-22911,19453,12812,-2952,26061,13235,19524,-154,-2034,-8428,19055,32756,-10124,-11985,-493,-6316
-10315,1885,-3044,-2902,-1963,17308,7066,-4529,3312,6385,5942,5159,-14496,20315,-25488,4620,-2365,-18454,-6748,-2878,4581,-10094,-10669,-11990,-3616,4420,2871,59,1860,-1445,12080,-4950,-8323,18987,13760,22929,13964,8809,4702,7511
11308,14270,9556,4957,-3259,-3413,24135,-24072,32758,22830,9991,27734,-18354,-15186,13262,2458,5525,-11224,-4817,-778,-7395,-11197,-13907,-2700,-14535,-22755,-6871,32757,19444,16552,25518,-21138,-26988,2554,67,4922,-4918,10293,4389,5248
-1021,-688,16666,14591,11809,17291,6168,3290,17046,18730,-18364,19677,-9283,-6108,-9162,-10877,-24566,-3702,-9969,-8873,-6712,-5326,-4732,3301,3999,608,-4703,397,113,-2717,-7288,-13567,-10071,-8857,-2435,-2604,7423,16778,9756,294
12554,13182,15442,19047,7970,10517,14185,8289,3196,14517,3207,7780,472,-1752,28318,12934,-18668,-11402,-7707,-6661,-6336,1070,-504,-7119,-5759,-10847,9124,25433,-3545,20219,1884,-10706,-4187,-19018,-18352,-12355,-8830,-10195,-15035,-12967
-9733,-875,1182,4239,4525,4102,5944,13713,14279,18383,11669,31550,-10745,424,-4240,-4069,-15459,-5467,5652,4395,6859,4114,2682,-8158,-11134,-9131,-9034,-9808,-12689,-2965,5297,6345,5544,20931,21419,30441,27012,2160,2781,-8374
2893,2587,5467,9558,-4767,-763,-25654,-12342,-18902,-32036,30524,-13268,-13147,-8863,-8035,-978,6924,2847,-1482,-6115,-19784,30899,30339,-11,32758,32758,22975,19499,18986,30044,19051,6613,-5668,-3640,-870,-407,-323,-1680,4381,3662
6178,6541,9294,1729,2956,30311,28625,25124,-2119,15656,11579,13452,-16646,-5216,15702,19468,6533,-583,-7036,-7297,-12870,-9996,-4655,-6893,-6036,-6805,6662,3964,5808,8393,18739,6764,-739,4502,9930,7850,11477,13616,11964,7219
