0,-741,-741,-702,-559,-793,-872,-974,-1154,-1460,-930,211,-863,-3116,-1843,44,-371,-163,420,67,-1882,-3446,-2951,-392,-458,6161,5255,4144,2707,-3249,-3201,-958,222,2283,483,-1598,-3734,-3130,-2528,-876
6861,5325,-4862,-11418,-20489,-1054,-2309,22390,-885,18117,31401,32684,-4700,1281,-19892,1129,848,9015,10724,13888,5263,-4065,-391,7385,15214,24275,1319,-22969,-29752,-20997,-16704,15632,-19951,-21516,-28297,-10839,-19715,-11317,-15296,-10496
15687,11627,15945,3455,-16203,-12266,32685,29600,-1684,20514,336,24967,-13805,-20077,-6188,26105,-5581,-22,-4324,-11993,-7155,16442,14423,5174,8599,7706,21178,-1253,17056,-16605,-5856,26676,1917,-6710,-27117,-14059,-23736,-3664,2110,2056
-2236,-15467,-21394,3370,3135,-16284,14649,13582,-16145,-7434,-7556,-11387,-13569,-4158,-42,31622,-13908,-31624,-4497,807,-9009,2597,1245,5316,-31226,15094,-289,23722,14646,-21072,27946,32681,-88,-86,32681,13618,-15579,-31701,29114,-21479
28029,28527,28042,517,594,2800,10274,10318,28413,-30836,-4897,6723,23884,-26384,-10674,-9265,-103,-17417,-367,-6905,2322,8426,15894,12730,7773,14938,6234,5367,8802,-411,3524,-3009,670,-2747,6086,29541,-7291,-27708,-27042,5323
15654,-29834,-13645,10760,-18671,-25734,-9548,-5085,-6009,-19790,-5559,-6589,-14196,12097,2028,-14571,-24152,10099,10377,-11054,-18332,4401,2014,4391,-13476,-14087,-4397,1629,-2320,7367,16693,9390,-4577,3464,-21683,-675,260,1373,-9314,-16611
15229,18255,-3534,20332,-2111,17406,-1028,-5693,32756,-5651,8385,-4908,-8114,7981,2219,-332,25857,9889,9626,28336,32232,-25173,-8546,10484,-2036,-4522,13163,137,-11857,-1948,-6020,-7357,-5352,-15012,-9589,-12078,-16729,-6874,-22001,-15179
-22316,-17849,-16991,-18551,-16768,-24438,-7631,-4696,-18160,-12707,2916,18009,-10388,4287,10016,-3361,-17962,-10555,9223,-17994,-31013,-16890,-2068,1081,-12140,-2505,-7657,-11180,9461,-1899,-4616,12006,-9988,-22951,-12596,10119,6385,2797,-9133,-13533
5526,10236,-5464,-7993,-7714,4352,14210,1708,-5428,4307,-363,17821,20678,-7832,20283,15890,23935,-17900,-10482,16263,-10628,-11818,-12643,-13354,-11865,-10802,-7347,5619,17296,13832,14666,21429,-8893,9195,23872,-13158,9931,2620,-4828,4389
-1133,5017,5675,10749,5200,2782,21731,-8194,11031,13237,-11064,-3778,9095,12291,-4118,914,12438,-886,-13071,-17945,16230,-24111,20879,-27913,-5676,-3182,-12430,1695,-970,-13433,-7507,-11148,-11376,-1793,-991,-3156,20645,6517,-26604,20939
-17248,20511,21823,17090,-961,-9625,-11381,10162,6224,-8474,-9372,1239,-8513,-3401,2083,-7602,3258,17879,18977,17057,10689,-1823,15791,-3753,-24476,24198,-82,-1678,17689,-5305,14790,30232,-27190,-12705,-12032,-18101,-9184,-7515,-4675,2162
1804,9414,17840,14327,7604,13196,18450,-21136,11987,-592,15614,-79,-17878,16779,-13667,-8028,-3602,-5991,-18038,385,-9813,-12515,9601,8733,-1336,11831,26853,1807,13213,-22255,-24796,-4679,262,3363,-17349,15374,-20442,-10785,32690,3435
31520,2966,-4478,-20148,-11811,-9703,18694,-7194,-2915,-3824,-18120,3247,253,-11095,-4113,-2132,-1590,536,-10656,-25074,3358,-450,4748,-731,6778,-2128,-695,2562,1096,3708,11290,-528,-1277,1305,-5929,-21645,887,-26581,23029,-16686
27107,10615,-10991,-16843,-3688,6920,3719,697,-255,-3681,-2324,2037,-1221,-7093,-8261,-2031,2495,-12201,865,-10529,-15643,7622,27022,19147,-24444,-24458,15879,-7093,-13354,-6309,-8012,16779,559,3925,-8284,11348,-3364,12733,1852,10000
4984,808,10032,-3840,2525,12143,4108,-5089,6632,15819,5376,11197,-23735,22514,-1483,-30770,21230,-15542,537,7502,-15364,-22399,-11788,-3312,-13528,-5827,4728,-6404,-2528,85,582,-8313,8755,9420,-5349,-3267,4661,4813,11991,8020
1303,2072,1599,1760,-1011,2516,1217,-523,3268,5198,5972,-100,3689,2918,-3568,-1192,181,5170,8627,9119,-2789,-7235,3579,1804,-1288,-1451,-14267,-6273,-2850,18459,-29595,12035,-12937,4503,12651,-9737,-10152,-15022,-5220,5615
1163,-2369,8992,10047,1478,-4584,-8379,10108,28602,-26815,32690,31144,8839,-14282,-16319,-5069,-26084,-25043,-11663,-12532,-13334,-18335,-7327,-22288,26974,10854,5975,3746,31444,-14391,-5472,12919,-13194,32697,14237,-2721,-15832,32690,-30765,21074
32690,-5322,-11025,-398,2544,9418,-2986,6343,2025,8567,10662,-3688,-14360,-5626,-4795,11225,2641,5244,6460,-360,-8541,-10814,-8695,744,-8173,-8398,-15071,-15707,-2757,-1095,-18794,-7839,24241,-4060,-10024,-9303,22732,16687,7561,-3592
