-30,127,47,-16461,6425,-627
36,125,62,22854,-13097,5184
56,97,70,-5493,2787,-1870
65,92,62,-4272,1941,-2466
48,106,56,-3610,-827,2972
44,117,59,-3345,-483,1651
40,-127,62,-2717,2,-724
37,-121,58,-709,522,-2761
35,126,48,1645,854,-3701
21,-123,56,-2833,4054,-1204
45,-117,68,-2900,6538,-2170
73,-108,87,-3979,7590,-2987
98,-93,109,-5954,7628,-3105
117,-69,-120,-7972,6501,-2422
-127,-37,-93,-9219,4847,-1509
-124,44,-34,-3213,-1418,-1069
85,-42,-89,5182,-1359,-1450
73,-61,-122,4110,250,209
67,-70,100,2670,992,2183
67,-70,71,818,1320,4178
117,-60,42,-818,3609,5397
-109,-63,61,-973,4236,5261
-76,-71,94,-1417,4885,5155
-46,-85,-114,-2919,4377,5583
-67,-73,-101,4350,-5822,1223
-89,-75,88,6473,-4822,194
-109,-79,27,7281,-2669,-465
-122,-88,-16,6894,142,-560
-124,-106,-35,5860,3169,-135
-111,122,-23,4585,5694,685
-84,107,-82,-5750,-4084,1178
-110,-119,-118,-5978,-5208,1594
E
121,-87,97,-5289,-5237,1659
102,-57,55,-3281,-4000,1405
126,-81,-22,7172,5658,278
-100,-125,-1,7969,7024,362
-97,89,-92,-4551,-4860,351
120,117,115,-4354,-6003,-102
84,-106,60,-3735,-5862,-274
119,-76,-46,6060,7748,1076
-95,-122,-5,7126,8027,848
-89,49,-110,-962,486,-1209
-91,77,121,138,1803,-1122
-88,98,106,338,2003,-1697
-86,110,99,470,1907,-2849
-85,111,98,276,1556,-3850
-89,99,100,114,1387,-4404
-94,80,102,-255,1169,-4016
-101,57,102,-555,809,-2972
-107,39,102,-1027,191,-1652
-114,30,102,-1148,-787,56
-120,26,103,-1210,-1645,1991
-126,29,104,-1057,-2117,3674
-126,38,111,-420,-1895,3927
-122,52,125,807,-1380,3130
-117,62,-113,1346,-1020,1495
-117,74,-100,1053,-1359,-303
-128,86,-99,410,-2239,-1960
102,95,-125,-142,-3114,-2140
61,95,75,-940,-3095,-887
-2,118,-124,682,5581,2733
27,124,116,1774,8900,3029
80,123,-116,2856,10733,2786
-115,108,-59,3709,10098,2228
E
-97,80,-42,-3981,-1901,-687
-128,105,-89,-4241,-3437,-252
91,-123,113,-4057,-5097,-304
54,-96,59,-3346,-5537,-529
65,-78,-66,6708,8871,167
106,-115,-31,8170,9635,-1038
-115,97,16,7078,6487,-2265
-95,58,65,4668,1816,-3279
-94,32,106,1431,-3054,-3511
-107,28,-128,-801,-5698,-2932
-124,40,-121,-2782,-6266,-1816
118,68,-127,-2715,-3036,-1192
114,97,121,-1927,991,-894
119,119,113,-698,4240,-1009
-126,121,110,-769,4537,-1094
-117,110,111,-1038,3768,-1331
-114,89,116,-1229,1650,-1168
-118,71,119,-984,-856,-410
-128,55,120,-444,-2946,1076
115,53,120,423,-3632,2198
106,57,-128,1477,-3330,2272
101,62,-113,1877,-2808,1386
92,63,-100,1161,-2641,94
75,69,-96,-367,-3219,-1433
41,79,-116,-1482,-3974,-2501
-92,-109,-70,111,-310,1261
-97,-88,119,2273,3923,2545
-63,-83,91,3977,8288,3638
-2,-96,109,4896,11226,4149
72,-127,-87,5028,11717,4288
124,61,-40,-5629,-4722,-2335
75,107,-98,-6401,-5924,-1344
E
18,-107,87,-5674,-6808,-834
-90,-67,-111,1700,-240,-1046
-79,-77,113,3320,4514,-474
-40,-92,111,4081,9163,548
17,-113,-114,4488,11249,1715
84,111,-53,4733,10219,2518
-115,72,21,4478,5931,2163
-82,33,92,3867,992,925
-127,0,-101,557,-4982,-2521
104,22,-126,-152,-1769,-2328
89,49,102,-278,967,-1656
91,72,85,-211,3031,-869
100,93,76,-418,3626,-696
113,107,76,-663,3688,-608
125,113,83,-905,3244,-495
-122,102,90,-1231,2855,-410
-118,81,95,-1594,2114,-428
-119,52,98,-1627,1069,-677
-126,20,99,-1230,-486,-634
116,-10,95,-569,-2316,-235
96,-29,86,-60,-3870,986
52,89,81,868,2,4160
73,106,113,1575,1260,1337
97,97,-102,1597,1904,-1546
111,71,-68,118,1491,-3102
108,44,-50,-2550,38,-3052
-3,97,113,-8653,-7935,903
-56,-109,49,-7008,-8967,638
125,-39,-80,-549,-4891,-980
118,-29,123,2537,-514,-733
-118,-36,90,4997,4564,368
-70,-59,84,6741,9311,1766
E
-2,-96,107,8195,12853,2627
71,108,-98,9436,13475,2573
-45,-69,-105,4219,1833,397
-50,-117,33,-2423,-5360,-1434
-69,-107,64,-5290,-6170,-2309
-94,-76,62,-5947,-4857,-3339
13,76,-127,-6301,-6407,-1906
-46,-124,38,-5435,-6815,-1057
-94,-77,-43,-4164,-6052,-212
-119,-43,-110,-2115,-2942,301
-117,-24,102,463,1731,706
42,-89,-98,6064,13187,2392
107,102,-17,6256,10601,2336
-103,33,69,5477,5598,1560
-83,-25,-108,4181,59,456
-89,-53,-65,2389,-3983,-842
-109,-47,-54,605,-5331,-2403
123,-7,-77,-994,-3092,-3888
109,44,-109,-1977,538,-4465
107,92,113,-2432,3521,-4454
116,112,97,-2092,4301,-4067
127,105,90,-1597,3723,-3297
-124,74,91,-860,1504,-2115
-128,34,93,-113,-1277,-941
110,-4,90,789,-4138,487
50,61,-118,-1876,714,2896
65,74,-87,-3618,1482,-543
65,85,-72,-5273,216,-3036
44,102,-82,-6482,-2072,-4152
4,127,-119,-6667,-5102,-3888
-46,-97,79,-5698,-7081,-2821
-128,-33,-63,-926,-4726,-179
E
122,-19,-120,2213,-208,719
-108,-26,102,5135,5333,1396
-55,-53,99,7275,9876,2006
11,-100,-126,7430,11477,2977
75,93,-67,5918,10166,3453
-100,-34,102,-2116,2453,3556
-89,-75,-67,-6881,-1326,2919
-116,-65,41,-10983,-5291,-611
-24,-128,-76,-5662,-10099,-3699
-95,-63,87,-3463,-10035,-3230
73,24,114,3119,2691,-160
111,13,86,5245,9138,896
72,97,-48,8967,11917,1170
-126,-62,95,5514,-1242,-1573
112,-110,-120,3550,-6742,-2310
77,-118,-114,760,-8379,-2494
42,-89,123,-902,-6099,-1835
67,104,56,-1765,4203,-2043
77,89,60,-1466,3661,-3212
81,59,63,-1424,3107,-3661
-104,-58,-102,-3503,-8288,-7167
81,-44,92,-2137,-9828,-6048
127,-88,80,7028,15825,5049
-32,119,120,8173,16482,5768
-94,-76,84,3709,3104,2207
-81,-114,-91,-382,-2330,-247
-95,-107,-32,-5834,-4117,-3194
-61,-110,-83,-7431,-7342,-6280
110,-59,79,-3166,-8926,-4654
-114,-35,52,7870,12394,7609
-25,-101,88,8618,11727,6064
42,69,-116,7979,6739,3120
E
98,107,-5,11551,-10792,3798
48,64,110,-4430,3586,-1360
72,87,108,-3517,2559,-1160
87,98,104,-1935,1311,-774
91,101,99,-728,276,-352
92,99,96,-25,14,-62
91,99,94,-43,40,40
91,100,92,-55,34,33
91,100,91,-59,38,17
92,101,89,-23,-2,1
92,102,88,-17,9,3
93,102,87,-17,12,2
94,103,85,-17,18,2
95,104,85,-17,13,1
95,105,84,-17,16,2
96,106,83,-17,13,1
97,108,82,-17,13,1
99,109,81,-17,12,1
100,110,80,-17,9,0
101,111,80,-17,4,0
102,112,79,-17,-2,0
103,113,79,-17,-1,3
104,114,78,-17,0,3
105,115,78,-16,6,3
106,116,77,-16,9,2
107,117,77,-16,13,-1
108,118,76,-16,9,-6
109,119,75,-16,9,-12
110,120,75,-16,8,-14
111,121,74,-15,13,-18
113,122,73,-14,17,-18
114,123,73,-13,22,-20
E
115,124,72,-14,19,-18
116,125,71,-16,15,-18
117,126,70,-19,7,-15
118,-128,70,-20,6,-16
119,-127,69,-20,5,-15
120,-126,68,-17,12,-16
121,-125,68,-14,18,-15
123,-124,67,-11,24,-15
124,-123,67,-11,22,-14
125,-122,66,-11,20,-14
126,-121,65,-11,14,-14
