AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-85,-80,37,-829,3212,-7615
15,-123,-66,295,5298,-8314
-11,71,43,24,5198,-8585
122,15,-101,-2711,6308,-8326
-6,7,-109,-1290,5768,-6624
97,116,9,466,4621,-5512
104,-66,64,277,2222,-3983
-43,81,-16,-1063,-699,-1451
-84,18,-89,-1003,-2230,424
94,11,32,39,-401,-33
75,9,38,1396,133,623
-100,-10,38,338,-916,750
-54,-83,-105,1830,-204,38
-45,-21,-85,220,-1656,1213
51,22,120,1990,-3114,2683
-120,-48,-15,999,-5083,2954
90,51,114,-3387,-4158,2601
-5,-43,-80,-420,-5018,2178
100,-45,-116,225,-3802,2716
106,108,32,-656,-1543,1294
112,18,0,2381,-939,-818
5,-22,-18,1166,-403,-778
-29,-49,-41,-435,-255,-499
-14,81,-80,810,-295,-421
4,38,82,926,-96,-283
55,4,-100,494,105,-285
-119,-80,21,1011,-980,37
-101,-112,5,1480,-1713,821
-25,122,2,1494,-2743,1595
-24,-52,62,810,-2939,2642
44,7,-120,280,-2867,3887
105,59,1,1455,-3913,4912
61,-83,-56,2378,-3019,5460
5,-5,-35,2128,-953,5547
41,15,-14,-524,238,3982
-63,-112,65,2928,-123,1217
-18,-53,-2,4447,-1133,-302
-81,104,-83,3271,-27,345
127,76,94,1363,975,260
-101,42,88,979,684,-25
-60,-47,112,2290,-265,-555
-64,102,-68,2217,-1222,-956
-57,62,-34,882,-699,-954
-62,37,-18,-142,-285,-786
-60,17,-23,-536,-199,-533
-35,37,-58,-758,-39,-537
-24,47,-78,-580,-144,-447
-15,56,-101,-188,-163,-340
-8,81,-114,-283,-130,-260
-1,96,-127,-367,-108,-192
52,-64,-55,-2455,-871,-5485
-27,-107,58,-1741,582,-8347
-44,32,59,-753,1887,-10907
26,-10,50,-14,2401,-10675
126,54,-62,-2416,2055,-9424
-43,59,68,-3115,3367,-7747
-8,62,-45,-3930,4416,-6294
76,-39,77,-1619,1561,-2043
-56,24,-85,-2451,-1787,323
-18,35,17,-739,-1111,3
-57,19,69,2576,1183,-876
101,92,-77,1616,180,222
-28,10,26,2409,-82,747
71,122,82,455,590,1013
-96,-95,21,428,-2746,3682
-126,-16,66,-545,-6180,3626
88,-11,72,-2809,-7799,4525
-95,-114,-121,-992,-6580,3219
-25,-127,107,532,-2622,2282
-58,122,0,2963,552,-2323
-85,-86,-19,-49,-292,668
-37,18,-17,-580,-39,-383
5,-120,-90,971,177,-410
-22,59,-7,559,84,-85
48,9,106,-150,-1158,106
-127,13,-26,76,-1235,-57
-63,-52,-5,628,-1668,356
32,43,47,324,-2554,828
-16,-5,-116,2067,-3211,2264
42,34,-62,1821,-3785,3685
-119,-54,-62,1250,-4393,5637
16,86,51,1871,-3590,5202
-74,-81,43,1992,-1082,3712
-11,13,-88,-496,-245,1639
58,54,92,1148,151,555
-49,-90,0,3074,127,614
-121,120,-76,2757,-73,506
-107,95,-108,1918,274,224
-91,37,-127,1639,330,-144
-64,-36,-122,1385,-13,-410
-65,-70,-103,811,-263,-609
-48,121,-91,571,-74,-638
-47,93,-100,471,-101,-624
-40,75,-98,190,-165,-502
-23,76,-109,-165,-99,-336
-15,78,-107,-81,-114,-165
-12,102,-124,-197,-21,-151
6,126,114,-309,-25,-174
22,126,103,-58,-26,-160
26,-112,94,-224,-129,-197
25,-5,110,-2268,1592,-7446
68,-45,46,1129,3652,-9308
90,-35,-71,-709,4387,-9668
-112,-80,121,-2342,3781,-8658
37,54,-106,-1630,2970,-7123
27,-46,-46,-4673,3409,-6119
104,-39,8,-2020,2600,-3048
-101,-65,15,-1309,470,483
-10,45,-58,-985,-667,714
-7,-4,89,-1051,-3,-1477
22,18,-59,1881,824,-1438
71,-70,5,2204,540,-946
-118,125,0,737,-201,-142
98,-116,81,1555,31,1928
97,117,-102,511,-6498,4503
-81,-120,-35,-3052,-8298,3372
-94,-7,-89,-404,-8948,4034
-97,-27,122,-1134,-2919,3515
-82,75,25,4304,-104,-384
-81,21,-16,2627,-499,-1663
-16,0,-18,-1758,-520,236
68,-113,-15,799,279,-543
110,104,89,843,116,-675
114,62,-100,-297,-506,-401
-72,20,59,59,-1227,-742
24,-46,4,1633,-1639,-180
108,77,41,838,-2377,1314
42,9,66,1600,-3048,1967
-80,14,0,1061,-4852,5043
55,-29,71,-265,-5192,5516
65,-82,26,3196,-1207,4518
-94,37,65,2554,-1551,4909
108,-55,-71,-24,-358,3030
-109,-108,91,766,-520,770
-27,0,34,2786,-735,-404
-123,90,-38,3514,-341,-498
-114,50,-85,2430,300,-657
-104,-47,-89,2324,269,-755
-78,61,-85,2686,47,-723
-49,4,-94,1961,15,-688
-57,-63,-41,677,-702,-70
-64,29,-59,-1655,-370,178
-61,34,-59,-844,-201,-83
-34,60,-74,-212,139,-83
-16,118,-101,-655,-27,-253
-11,126,-104,-688,-173,-295
-3,-127,-114,-273,18,-306
11,126,124,200,-16,-296
22,-121,107,68,-23,-359
30,-123,96,8,-43,-380
-18,38,-43,-4815,2163,-4587
-90,31,113,2617,258,-7365
23,3,24,2242,957,-10450
-87,10,-4,-2186,1716,-11116
-23,74,-99,-2463,4228,-9808
-77,-44,85,-1847,3471,-7450
118,115,59,-5257,4221,-6219
96,45,38,-2313,2935,-3218
17,87,78,-2205,-1378,-1392
19,-84,124,-565,-1809,-209
110,20,56,1094,1100,-917
21,82,-24,1377,3112,-1956
79,51,-33,980,1556,482
20,122,-14,684,2323,1673
27,-68,-32,291,-4432,4620
44,39,26,-852,-8863,3736
127,9,-113,-1660,-9050,4712
62,-60,108,669,-7414,2675
94,-49,85,244,359,1048
0,36,22,3481,422,-1428
-54,69,-3,-1771,-552,438
22,-50,-4,1223,975,-263
24,120,45,1009,-222,-432
54,114,-78,-846,-135,-433
