AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-53,17,-62,1385,-1864,-8385
-42,-87,42,2169,-842,-9598
44,113,-23,1069,461,-9483
-88,-106,-57,-416,2337,-9134
-118,-87,97,655,6526,-6464
1,31,-42,-3403,7384,-2895
29,25,1,-7259,7378,1494
61,-55,-70,-9987,3287,9711
99,19,66,-2930,3901,11571
99,-61,95,-5441,-2233,10143
-17,66,-72,-13198,-3933,-2370
14,49,-127,-9706,-4812,-6625
-90,-99,-96,5171,-2766,-9748
4,38,69,4255,-4931,-7697
14,100,36,886,-1456,-11737
-86,-71,-19,2097,324,-7830
121,-105,-59,-1941,4299,-6129
-90,101,-70,-4814,8812,-966
3,-111,70,-7460,8467,7111
4,-15,14,-2105,7735,10745
1,26,123,2237,5486,10968
42,-88,0,-16558,-3327,1916
0,-47,112,2978,-5387,250
25,60,12,-3019,-7595,57
107,-5,118,974,-7147,-1333
-61,-74,13,-207,-4134,-389
10,34,-84,1190,-2322,-1079
-121,51,33,1584,-1317,558
-2,80,115,1691,-698,-94
-56,-123,122,-1130,160,-109
-47,93,-3,-711,512,-78
-25,116,-127,-575,0,58
-16,-126,56,-63,551,-320
18,-78,48,-756,127,-172
56,-101,-38,-1756,41,-31
77,-41,-43,-4798,1619,-474
-77,-106,-110,-5568,2395,-254
-85,121,72,-4800,2088,1575
-36,-51,34,-3964,1815,1949
-38,95,70,-4197,50,2550
-114,40,-49,-2703,1376,2007
59,11,64,-3378,-363,2312
54,58,74,-3705,-1654,665
-93,-45,105,-842,-511,1958
78,-11,-88,1008,-1427,2345
-12,25,-109,1178,-1330,2279
-50,0,86,1290,-387,1446
-77,29,57,158,62,784
-122,8,22,-58,173,-110
108,-60,33,1088,-115,-223
-52,59,76,3146,-3441,-5303
82,123,-84,2250,-4706,-8475
-23,90,-98,979,-1894,-12061
-75,117,79,-2590,43,-11558
41,63,-81,1395,4274,-8900
-13,81,102,1089,3981,-3575
18,-43,-27,-5459,6661,-584
125,88,17,-8322,5929,7290
36,86,-35,-5210,4305,12615
100,-71,29,-6535,4169,8229
-84,-96,-112,-10728,-5510,4922
-20,53,70,-3420,-2975,-2528
99,118,59,-4171,-6656,-8173
-50,-62,-83,2936,-3345,-11187
-93,-74,-83,2882,-3405,-9552
-1,25,127,-434,1136,-9554
78,-62,90,1200,2798,-5796
-75,-71,-106,-4007,6367,-3034
-74,110,107,-6519,7907,2114
92,-20,-55,-5543,6289,7470
45,116,-100,-873,7405,8332
-12,-89,124,109,4638,8000
-105,44,-28,-10528,1013,3082
-28,106,91,-5128,-3294,1086
67,-62,87,-2502,-4600,1071
-76,-30,-75,-857,-6430,-870
-112,71,-18,1499,-7039,1468
118,-8,15,-42,-4851,412
85,-47,35,351,-3140,-329
19,-101,113,-375,-2897,436
-78,73,67,-292,-990,-560
65,41,5,145,-826,411
-41,61,-113,-290,-414,-201
-12,52,18,-228,12,91
-5,95,-40,-202,398,-200
31,96,-44,-735,520,-60
104,-89,-39,-3060,915,-631
-79,-98,-70,-6635,2263,-929
-27,82,4,-8064,3428,-656
46,101,101,-6672,2855,346
16,-102,-57,-4637,-770,2914
-77,-26,-76,-2602,164,2480
-4,-118,76,-1737,1029,2670
-36,1,-20,-1715,-1237,2462
48,-57,-109,-2240,-35,1932
-4,-35,-94,-3376,-1765,1051
-41,95,-72,-721,-1132,1798
-40,98,-88,545,-794,1522
-76,78,-104,1556,-766,1788
-81,104,98,1065,-589,1259
-49,-9,-65,3497,-1005,-4718
-5,-99,99,3504,-772,-10365
50,123,79,100,634,-12634
60,-41,52,-938,5611,-11121
-71,-17,-19,5922,6319,-5284
41,42,-47,-1371,6428,-1635
58,-48,64,-8536,8661,963
87,51,84,-10133,6781,8246
-116,13,53,-3887,4664,9509
-43,81,23,-6600,-4871,8339
100,-69,-46,-15701,-3842,-4248
-94,82,82,-7135,-4779,-7300
109,27,43,-229,-1866,-10809
-127,0,100,7993,242,-8452
-26,-80,111,820,1760,-9455
-104,-74,109,1871,2944,-7026
68,-90,92,-898,5048,-5230
