AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-43,-51,-62,-5781,-937,-3653
59,47,80,-199,936,-3628
46,34,59,-1327,5058,-6659
4,58,6,-508,8016,-6446
-1,58,-7,-1363,7369,-4094
-80,0,-62,255,9003,-2483
-63,-61,-10,1905,5634,-1637
-76,34,-67,-768,5354,-3012
-6,-102,-54,1523,4660,-4915
55,127,96,2263,4914,-4734
-91,23,76,-3525,4848,-2069
56,85,-34,2949,17,1848
62,-14,-104,602,-5019,1083
91,96,-29,-1312,-3288,1279
120,-48,-68,-8,-3525,3502
33,41,7,611,-3338,4094
-101,109,59,-289,-3560,3735
9,-77,93,-682,-4304,3689
-126,-71,-91,-474,-6053,3427
57,2,-27,-2313,-5751,3362
49,-45,-80,-581,-6790,3408
31,75,-20,-1745,-1647,2107
-2,81,23,-569,-3661,1833
16,-8,57,359,-2939,3439
-108,-19,75,1198,-3448,2729
-21,-31,53,1305,-914,2579
-105,8,-117,1693,-1000,2321
48,-70,-127,3838,-2257,3149
80,-12,-93,3091,-360,2653
102,109,100,-1431,600,114
74,-58,62,-338,655,-1339
42,26,68,1563,-4,-1270
70,10,43,1256,213,-961
84,-63,24,1404,-15,-982
105,-122,20,1403,-250,-1220
60,108,58,860,-629,-918
36,122,60,-690,-547,-541
51,116,66,-812,-185,-333
38,-114,76,-771,-270,86
54,-98,62,-341,132,364
73,-60,51,-514,-14,485
99,6,48,-1135,-211,253
113,-16,46,191,220,253
104,-3,35,443,-60,240
111,24,26,-222,-73,6
113,6,22,25,-50,78
114,11,23,82,-84,66
122,17,20,47,-115,-18
-126,13,26,97,-89,-67
-123,13,20,-24,-174,-172
-125,-115,105,-5564,14,-5051
-43,-52,92,2806,6053,-6162
13,-14,-19,105,7401,-8325
-111,-30,10,-4677,10261,-5472
-76,127,-1,428,11434,-2081
-115,-64,90,-253,6259,-3578
57,74,94,1334,5201,-2677
-114,101,-78,1677,3675,-2281
42,108,-38,2630,3991,-2103
102,2,87,3693,3695,974
100,39,-60,959,-2150,741
90,-75,2,-2546,-2696,125
-90,-121,-104,-1440,-2829,1249
38,39,-41,-660,-2405,2069
-105,43,-60,-384,-3731,2179
-10,-115,-59,258,-3636,2902
-18,-89,14,2735,-4349,3736
-104,-16,34,1074,-4412,3390
-16,8,-124,-70,-5257,2547
22,102,90,1567,-2394,2854
-122,-122,18,293,-3615,3651
-123,-104,28,-1900,-4146,3231
62,-61,-120,298,-3114,3579
86,1,30,346,-3482,4629
-88,-23,0,858,-1444,4441
107,-98,-12,4662,-878,6592
83,-103,-63,181,-2123,4154
-117,64,20,-518,-1266,490
-127,123,125,2224,1420,-212
86,103,53,1572,1401,-53
43,79,53,423,1,458
34,59,36,485,-395,804
54,48,21,772,22,160
78,23,31,882,-117,-353
75,0,46,505,-472,-756
72,-37,66,298,-465,-1028
55,-79,73,81,-379,-1106
53,-93,75,-228,-391,-938
45,-95,73,-501,-398,-603
48,-75,68,-792,-276,-397
54,-65,64,-654,-163,-371
64,-56,65,-433,-187,-186
63,-35,56,-294,-193,-18
60,-29,51,6,-60,180
64,-24,28,337,106,492
97,14,10,-111,-139,302
110,29,6,-365,-300,-91
113,8,25,-72,-377,-215
97,0,34,83,-423,65
73,4,37,2,-330,143
73,-85,-3,250,4917,-5283
-51,109,-15,-553,5117,-5566
49,104,6,322,7267,-4911
12,30,47,289,7061,-3866
-45,-26,62,-383,6379,-3739
22,-100,-100,-285,6032,-3487
-50,-98,108,-1159,6065,-3541
102,122,-20,591,3957,-1799
-126,-9,-79,5828,7597,1159
-115,72,2,1906,-280,-2797
6,-49,47,-3179,-3037,1491
-114,-64,75,-1710,-3811,2937
-111,31,-125,-2355,-5927,2242
68,-85,108,-1603,-4965,1711
117,-116,-40,-724,-4972,1244
-119,117,-37,42,-4198,2025
67,-109,107,1021,-4454,2817
-85,62,12,-1532,-5059,752
36,-61,25,2009,-1095,1833
111,-74,-24,1222,-3160,3656
-115,-2,-82,-741,-4010,3569
6,-95,-48,1166,-2963,3850
108,-114,-82,2343,-2283,4636
53,-83,-127,2249,-3037,3354
15,-67,113,724,-1582,3399
-7,-74,13,1450,-62,3715
-81,-84,-71,1852,401,2853
-122,-19,126,-251,-68,1768
88,-19,72,-1486,233,132
38,-83,-128,312,-241,-388
49,55,88,2311,492,-997
74,-55,54,2566,531,-1685
90,99,35,2196,394,-1786
80,46,51,867,-232,-1411
106,44,63,-1043,-349,-1017
102,20,69,-705,-356,-737
82,31,46,-220,-195,-338
75,84,49,-757,-455,-102
106,-108,63,-1517,-391,-200
116,-107,57,-509,-80,-207
87,-111,71,485,-370,51
86,-81,71,41,-251,250
85,-51,60,-333,-103,415
86,-32,64,-251,-169,503
104,-18,59,-63,-11,555
115,9,55,-17,-62,447
121,21,49,61,-6,202
-116,18,39,247,-3,-195
-124,-7,26,474,-84,-321
127,-36,18,428,-61,-317
36,15,18,2462,6300,-5800
91,-81,-14,686,8612,-7033
84,6,28,1425,8449,-6056
-11,3,112,-440,8341,-4848
14,-121,79,902,5056,-4775
102,68,-111,1196,5664,-3730
48,-98,-36,2211,4761,-2447
113,125,-118,417,2419,-2848
81,-56,-24,-326,1481,-2906
73,66,-18,444,1220,-32
-40,4,-109,-178,-1609,1409
-56,84,-108,-504,-2989,1750
-75,-42,50,-901,-4635,2548
-70,59,-29,-579,-5442,2571
-23,-35,70,-1263,-5334,2581
-38,24,-128,-563,-5403,2445
-48,-9,-57,-115,-4244,1304
90,45,-110,-116,-4963,1379
36,-101,-104,2047,-4373,2365
-3,-44,-14,710,-4350,2805
93,16,-15,-4,-3166,2345
123,1,0,346,-3577,2105
62,-36,20,-483,-3401,2420
121,-98,35,341,-2815,2405
-127,-57,91,-741,-3316,2721
-127,-87,74,895,-2383,2527
94,-67,-12,1302,-1612,1461
39,-64,107,1258,-831,411
-4,-87,42,2009,-948,750
-19,-63,-77,1473,-164,732
-2,-78,-122,560,779,-251
6,102,112,1547,536,-194
35,46,79,1782,204,-682
59,-36,89,2437,219,-936
76,-97,67,2265,159,-1024
80,-123,74,406,-108,-1596
73,99,97,-506,-233,-1417
49,50,74,49,23,-569
43,69,68,-92,-49,-123
52,93,58,-397,-75,213
84,126,81,-282,126,454
103,-125,73,201,55,697
107,-57,63,-309,-138,807
100,-36,48,-292,110,728
112,-18,30,-175,183,597
-120,0,27,-11,-45,445
-108,-1,26,293,-20,243
-99,-10,22,514,-125,-58
-110,-24,26,383,-319,-237
-115,-44,35,304,-248,-295
10,-127,62,993,3805,-3521
89,-106,21,2038,8444,-4621
-1,-8,28,2220,7812,-3928
1,2,63,1374,7514,-3193
26,14,4,-2842,6075,-3910
79,-70,45,-474,7988,-2128
7,-112,-19,2435,7006,-980
-56,-76,-50,2620,4696,-1078
-53,48,4,2898,6121,-2094
86,60,-87,686,2655,-563
64,88,-23,-556,-2072,899
-128,46,80,-1298,-3878,1895
17,40,-105,-2122,-5719,1208
-12,121,96,-1941,-5585,456
32,-115,-19,-1768,-5069,-9
53,-69,-96,345,-5075,2016
-33,-65,-65,1816,-4959,2510
-69,41,-85,-1,-4748,1951
81,94,0,-751,-4749,1292
86,52,22,451,-5049,1760
123,35,-4,750,-4150,2655
56,-31,9,-422,-3929,1430
100,89,40,672,-2361,2860
82,-61,57,-1779,-3763,985
89,-122,122,-1111,-2478,1783
70,86,39,2480,-1538,1822
45,-31,-105,783,-1252,814
9,-69,67,878,-721,987
-29,-115,71,1978,-971,614
-6,-102,-27,1986,-236,411
0,-101,-75,574,291,-322
6,102,-100,359,595,-374
21,40,-118,1042,365,-404
66,5,101,1080,441,-629
78,-17,101,661,269,-1130
97,-69,89,584,375,-1100
103,-79,77,-248,330,-1099
85,-105,69,15,21,-691
85,-93,72,-207,-125,-294
