AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-73,25,-2,-2630,3044,-3321
26,66,-52,-1145,3271,-6351
-12,59,-30,-831,4089,-9527
-62,-35,125,1344,3549,-8159
-68,79,-62,141,6464,-4360
71,75,14,-2473,2993,-2278
68,18,-12,-2915,1037,-2855
-63,17,5,-3164,21,-3975
74,-17,29,-1352,4923,2032
-100,-47,-100,-3058,-3080,15085
124,-116,-79,-4948,-3059,-3506
90,-20,94,552,-3653,-6308
-102,-4,125,5954,-1392,840
16,-26,-92,2112,2548,-3100
72,-88,-98,1829,3664,-265
57,76,-88,171,3353,-54
72,26,54,-3325,1270,2013
-115,-63,47,-3079,-1892,3847
-64,-15,-32,-2645,-2776,-275
-40,59,105,138,-4972,-1806
10,14,-92,3769,-1156,659
29,14,109,3022,951,-3296
90,-3,124,2158,1919,-418
-108,41,-93,-724,3212,-1817
-2,-54,-122,-2600,2703,771
44,-110,-59,-3756,1784,-173
102,119,-45,-6062,-1293,-158
-60,-125,52,-1108,-2319,2999
-102,118,13,864,-2689,-120
67,11,-85,2258,-4064,-4
72,109,87,3999,-1677,435
107,108,-90,2988,1918,-2645
-92,57,-71,1599,3797,-2780
11,33,-120,-122,3137,1420
22,-118,122,-1727,1857,3011
111,-39,-99,-2163,78,3156
73,-85,38,-2363,-1042,1699
1,67,7,-2130,-3621,2586
-123,-58,-58,1869,-307,446
70,-91,-98,879,-2746,2100
-47,39,-78,-1113,-4550,4334
33,-18,-57,-330,-3083,4040
-15,104,10,-1587,-3402,3169
-61,18,-124,-1921,-4385,5596
-119,-124,-49,1912,-4244,6161
101,60,-16,-550,-1381,4868
-60,81,-2,-1019,-170,1838
67,-7,-88,-370,-1588,-700
11,60,-89,1359,-1543,-632
-51,22,-119,780,-662,285
-93,-49,-87,1750,6440,-4590
-53,-99,-5,3602,7223,-6557
-68,-88,-106,3909,3514,-6896
84,-15,108,174,4737,-7564
-12,-123,-109,-3199,-728,-3699
-58,-30,82,1819,-2857,-4758
-58,67,-25,-164,-931,-5776
-91,86,-1,-445,4321,392
-66,46,31,-479,4905,4131
4,-118,-47,-1464,4823,4446
12,41,-5,-6090,-3083,2595
91,124,41,-3586,-5253,-691
-62,-41,4,1854,-5657,-1256
28,-95,93,3640,-1672,-4610
8,39,-80,2076,2059,103
111,-26,-103,1489,4429,-581
-12,-5,-36,-763,4593,-901
114,-29,-56,-2119,2851,1934
93,64,113,-3539,-1461,2706
74,7,18,-1580,-2665,792
-76,110,-10,-2512,-4388,-1796
-17,17,57,2621,-3895,-445
46,53,118,2460,-835,-1463
68,39,-64,2717,1538,-1723
120,11,-112,415,3110,-2235
-43,7,-69,-226,3350,-779
-85,29,13,-2230,2606,1346
26,-38,17,-3049,2213,2739
47,123,60,-2596,-763,4907
-85,98,-6,-1013,-1870,873
55,-101,-70,-365,-4510,115
-4,79,72,885,-4487,-1961
101,-90,49,683,-769,-98
115,103,19,1391,319,782
-114,-27,-23,753,277,-165
-94,-44,-63,423,1248,-388
-105,118,39,512,1038,-9
120,67,-107,-417,-944,379
-67,105,-120,-264,-1269,1918
-109,-107,97,-85,-3609,3132
88,3,65,-611,-5407,4282
48,-40,103,-97,-5183,3662
16,-119,-81,-1703,-4436,4025
107,91,9,1178,-2560,4239
119,121,-107,2606,-3147,6372
11,127,-99,46,-1608,3660
70,100,103,2058,-2154,1883
-34,-62,5,3196,-1705,1693
-21,-35,-92,578,-337,502
-19,-68,-75,-1464,477,-651
-115,80,-118,1251,3236,-3700
111,44,-69,-685,1158,-5010
-122,97,-3,-1705,1850,-7433
-109,-32,-29,-4245,-1263,-9923
-41,93,-48,-6043,3329,-8753
104,-126,-67,-2591,2576,-1248
-75,-18,6,-2047,3093,4
-77,17,50,-2341,5335,2512
74,-5,-117,-1244,3137,6481
-111,-38,41,-2237,807,6536
-103,-38,-21,-1571,-2660,212
-95,107,95,-2201,-4940,-2512
18,-114,15,2968,-2480,-632
-123,55,10,679,-847,-4106
115,-73,-3,917,3429,-823
20,-50,-48,726,4158,121
49,108,-6,-2892,1872,232
-22,72,121,-2277,-2000,3417
-39,-23,-34,-1308,-2249,1350
34,72,-26,-1372,-3763,-1472
-13,-94,-2,2046,-2192,-1318
83,-22,-20,1921,-2075,-2414
73,101,-67,1518,1323,557
120,33,-95,733,2694,-1132
-76,-66,-56,-96,3942,-797
-105,-30,4,-227,3071,1231
-40,11,47,-3086,1606,2938
-111,-126,-125,-2399,-138,3614
54,64,11,-2298,-1197,171
-8,-111,10,-1046,-4058,874
-33,-25,123,1019,-2394,37
107,4,-24,698,-4675,-2958
-122,119,-96,2328,2600,-1903
-80,-23,-56,1346,2579,-963
44,-22,113,84,3802,-8
88,51,55,-868,2072,1497
94,35,81,-1703,-77,1211
123,-65,65,-953,-447,3124
-68,55,97,-839,-1397,1873
7,10,-73,-1182,-1265,1133
33,110,-60,-517,-1600,440
79,-20,125,-456,-2946,1341
33,-17,120,-2013,-6317,1148
-76,80,-44,-279,-3145,3391
43,120,-68,123,-2757,3823
-37,-121,-72,1081,-3557,3886
69,-48,-93,-301,-1801,4445
-56,-101,-1,-1167,-3713,2081
-12,-95,43,-732,-1543,2755
-77,99,0,2348,-2470,3800
102,21,-66,-2298,2730,-4766
3,103,-26,1927,3163,-6889
83,19,-63,2062,2249,-7924
-102,-39,-107,599,3238,-9223
78,66,-66,-1627,5122,-7415
-86,61,101,-4336,1262,-3608
-118,-43,-31,-2172,-2940,3729
81,27,44,-731,-4909,-2208
3,-118,-67,-67,805,-6571
-35,108,-1,2802,5290,3305
114,-52,-28,-753,5401,1909
13,39,73,-2054,1658,4784
40,25,6,-3672,-1770,1373
38,41,-82,-3163,-4065,-2178
9,-51,-110,838,-4655,-486
-18,-91,92,3838,-1207,-216
90,110,-77,1193,1362,-2838
118,28,-87,1418,2503,-792
-14,-62,-44,-266,4473,-189
75,-31,-84,-1284,2922,1625
126,-112,88,-3354,-313,2196
11,100,26,-2349,-1318,3762
106,-73,25,-1541,-3551,-265
-98,94,28,-1230,-5889,-1900
41,-31,-110,2290,-307,2131
100,56,-107,2065,-190,231
113,11,-116,844,276,-4136
-124,-49,-123,-302,2302,-4508
64,-92,-69,-290,3530,-916
-128,95,-27,-884,2961,844
24,-50,21,-1987,2097,2906
16,-109,-106,-1866,1881,4907
-98,79,4,-1408,765,5440
126,44,-80,104,-1519,3798
54,2,-75,-2146,-6215,-2794
-42,-12,-41,-152,-1985,-3384
91,-107,-27,575,-685,-1336
-87,105,-85,349,-751,-322
-46,-124,67,777,-755,2218
-85,-128,-49,-84,-1049,1161
-23,-114,-100,-420,-2648,1707
62,-81,110,-1240,-3140,1611
22,-57,-74,-626,-2525,2056
44,37,41,645,-2313,3555
65,-60,72,-735,-2141,3980
-72,-56,78,-1112,-3024,3452
-36,-86,113,263,-2421,4267
-32,-100,119,1104,-3668,4567
5,77,48,2531,-4463,4792
112,87,-72,2088,-2000,3078
-110,-6,-41,-1419,4590,-3933
-94,25,23,118,5817,-7096
-97,-103,90,2428,2110,-7889
-52,-117,-13,-806,5173,-7330
-7,14,18,-1512,4998,-4239
-110,62,89,-1881,-1647,3237
-36,-84,-78,-465,-1931,-2367
-123,20,-12,517,584,-6728
-23,115,1,1022,3056,-1455
-37,47,-5,-613,4215,1227
-56,26,-24,-859,4937,5372
33,-32,84,-5224,-1364,3149
96,74,-68,-3636,-4951,-1252
-13,18,-46,992,-4996,571
-4,49,123,3523,-2587,-4474
32,116,-79,1116,2116,-3706
73,46,-84,959,4441,-1638
58,-40,-37,-1177,4212,2871
63,-57,-125,-3169,2229,3639
-10,54,102,-3542,-671,2940
20,-12,103,-2336,-2285,-1301
-69,85,-121,127,-3944,1374
-81,-97,-100,1469,-4426,-2356
66,52,-40,1365,-2035,-2140
75,-110,-96,2475,760,644
117,-74,-112,813,2500,-3286
-98,6,-75,-90,4190,-2646
13,-98,-85,-741,4004,37
-67,25,-122,-2342,2550,2331
114,73,59,-2834,-1128,4739
-3,12,-50,-2247,-2974,2329
-78,93,26,-1046,-3228,1488
44,-7,3,2029,-1472,163
-70,114,56,857,-1088,-1549
-55,12,50,1611,-2544,-302
-20,3,-17,-627,-2410,2320
-34,123,57,-707,-3227,3199
-25,86,74,-452,-3766,3710
-31,-88,-99,-1109,-2046,2642
-81,-69,-91,-470,-4034,3740
8,-92,-67,-768,-2179,3308
-81,-70,-51,1044,-2969,5311
-6,-10,-105,-259,-1657,2993
-76,-23,85,2002,-2688,4216
30,-98,-44,2977,-2389,4369
8,92,100,1826,-2246,995
48,120,52,-729,379,-1321
42,56,80,-582,1197,-1207
-14,-88,114,1292,-201,-905
-6,-127,102,746,-426,-744
-30,-24,29,268,4674,-4156
102,100,20,731,3936,-4398
113,119,85,-230,4597,-4242
61,68,34,-2019,2866,-2722
-39,-51,-128,-1333,-2693,-449
15,-65,9,-314,-801,-8475
60,19,-67,71,3488,-2358
-105,-38,-58,667,5239,-769
-2,-12,-118,612,4788,1744
-16,-2,-126,-1905,3443,5265
106,-29,-53,-3983,-1692,5455
54,-59,104,-4042,-2834,-426
-128,-8,26,-728,-6921,2448
-63,-14,-117,813,-2826,-274
21,-70,-43,730,-1499,-2426
95,78,121,172,1488,-4662
-126,-33,-116,-58,2731,-4513
-15,105,-83,564,4318,-1291
-20,-106,87,1412,2613,1968
-88,57,55,-2267,1661,2741
-54,-5,49,-1354,802,1495
58,-123,77,-1463,111,-137
120,-63,-82,-569,181,1321
-103,-43,116,-1893,-2227,2476
108,97,111,-1656,-3674,3939
98,79,57,123,-3425,-1020
-126,-95,-23,2085,-1585,-3857
126,4,-70,2942,1690,-3754
-66,-35,-44,469,3526,-4206
51,116,2,-159,3866,-1168
40,0,-6,-455,3274,2561
66,-98,-12,-2636,1008,2971
-112,121,-89,-3000,-2031,2784
-57,-95,-105,-2762,-3225,2953
-34,-101,-33,-2745,-5067,3610
-91,35,70,-1252,-3988,3600
-19,108,50,-1380,-4436,2773
-43,106,3,-1260,-3433,1458
-23,90,9,-1513,-3219,3236
-38,-61,-16,589,-1394,2666
-105,-48,123,169,-2462,2691
-55,84,44,1326,-1601,2675
12,14,7,4810,-1745,3994
37,-105,-113,4969,-1381,3298
86,98,8,-2057,926,-417
11,-34,41,-1298,425,-658
-3,-124,73,1498,-467,995
2,-100,100,1020,-698,739
20,-90,83,-367,268,180
79,-114,26,-185,853,307
-112,-18,-21,2145,2965,-5865
-1,-99,35,2757,2668,-6473
-1,64,-45,1858,4193,-5677
48,-96,-105,-722,3305,-3919
-18,112,-86,-2754,-3050,-445
98,91,59,744,420,-5958
53,-68,18,1397,4531,-3330
-69,-93,-46,-140,4213,157
-30,56,100,-2984,2092,3426
-54,19,80,-3683,-1602,4632
52,62,41,-4068,-5511,-1588
73,34,106,1128,-5431,-30
-63,36,-38,3737,-836,-1629
88,9,-105,2011,737,-3479
97,14,-121,1255,1745,-3258
-62,104,-102,-726,3877,836
111,46,-108,-1458,2219,3481
-14,18,-104,-2590,1326,2397
-8,106,-68,-3264,-1164,2337
55,46,14,-3442,-4906,-2079
100,-25,-56,344,-4962,-1887
-37,24,94,3292,-8,-27
81,-112,-117,2544,567,-1968
108,20,122,1086,2273,-3072
-84,120,-84,942,3507,-1654
11,52,80,-531,3821,749
-124,-64,10,-1568,2951,2233
9,-78,110,-2205,912,3314
65,78,7,-1644,111,3405
-81,67,-85,-1160,-2266,3050
121,-41,44,-655,-3302,-694
-68,65,53,1077,-1400,-957
-55,61,104,1180,-13,-1681
-35,-4,-120,363,-195,-1154
-40,26,-6,830,-376,1980
115,61,-124,-441,-1970,857
-59,103,76,-1052,-1790,891
107,-68,123,-1234,-2818,2536
58,-3,-72,-442,-2768,3310
24,-73,57,-1175,-2845,3865
-9,-37,-119,-761,-2811,3358
40,-67,-98,-882,-2524,3064
-47,-75,-80,-1236,-2283,3633
-44,-110,-79,874,-2984,4914
15,-62,-125,624,-2380,4316
63,-111,37,3196,-1878,4103
68,-89,-69,1486,-2000,2377
95,-104,70,-291,-567,-366
75,93,42,-676,924,-1109
43,-4,51,744,670,-452
122,-69,-11,-3444,1666,-2947
80,13,90,-3989,1916,-3881
-37,43,-106,-2655,1416,-4228
-115,30,-25,-6105,1099,-5916
63,21,-50,-1886,3088,-5193
-49,38,-93,-437,5735,-4094
-39,-25,85,-1264,7372,-2751
-62,-13,85,-1092,8453,-346
-14,44,113,-686,7936,4193
-87,60,-98,-4138,-388,8440
91,88,-10,-3957,-3399,4135
-100,41,-90,-3894,-6032,-5698
-45,90,-111,5220,-885,-4358
-55,-55,-86,1603,2760,-4377
32,-76,-68,-67,5837,-2630
-78,84,-17,264,3195,4757
-92,-95,25,-4226,1889,2027
87,122,105,-4278,-3054,153
-41,-86,13,-2547,-5782,0
44,-82,-93,2344,-4306,954
-51,-89,-38,2901,-867,-3286
39,46,116,1982,365,-2884
59,102,112,187,3821,-2913
-72,45,-64,-219,4461,-1172
1,44,72,-718,4367,2711
15,-118,-90,-2035,1897,4482
107,-11,-78,-2870,-1849,2197
98,61,-65,-3498,-3035,339
-42,-128,89,-660,-3583,1944
4,-125,-40,-1559,-4551,-2809
27,109,-60,-1775,-3368,-2308
51,104,-21,2843,-1695,2502
