AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-115,-87,99,2201,-2249,-8432
60,-91,72,-127,-6767,-14224
57,-13,-100,-4235,-3136,-11013
3,-26,-72,2239,1462,-1626
-49,89,-56,676,2443,-12
81,-110,87,-2310,1456,9445
85,-67,101,-600,2754,15340
80,-89,-11,-4574,1359,6827
-17,0,90,2185,-522,-2473
-24,-54,-66,-341,258,2661
56,-68,4,-197,93,1550
85,46,3,-3376,-103,1623
-79,105,-31,-2501,-71,2431
-64,-89,-76,-1673,927,3337
20,105,-64,-3134,363,4043
93,-51,73,-3182,-1387,3709
-61,-26,68,-3317,584,1042
32,64,-123,-2949,-1564,3516
37,7,-26,388,-1918,3561
68,-59,-47,2966,-1287,3638
48,-63,26,1533,532,1906
-48,-122,-23,238,-86,67
-92,62,-18,-1084,-153,-1020
-68,-54,-14,976,338,-847
-71,116,-10,2116,108,-955
-60,48,-34,1822,80,-977
-45,50,-9,155,-293,-1009
-34,20,0,-373,-307,-799
-61,20,17,-590,-453,-554
-72,31,17,-716,-318,-223
-75,54,11,-713,-137,173
-76,100,15,-786,-128,511
-62,123,3,-596,64,622
-47,-107,-1,-479,77,600
-35,-73,-12,-625,53,515
-31,-64,-21,-431,76,424
-22,-56,-18,-161,42,255
-28,-49,-29,-153,-10,107
-31,-50,-33,-229,-14,-45
-24,-59,-30,-99,-60,-23
-26,-63,-31,-52,-83,-90
-12,-65,-20,-155,-106,-286
-28,-71,-18,-322,-169,-228
-43,-77,-18,-266,-25,43
-37,-76,-21,-47,90,255
-22,-60,-31,-207,-24,245
-9,-47,-33,-302,-87,148
-7,-44,-27,-264,-74,89
-17,-42,-26,-188,-96,84
-16,-40,-22,-135,-33,79
-100,-2,-19,3112,161,-5239
-67,3,-11,2050,228,-5828
-96,-6,54,1330,249,-5121
64,106,94,1326,1007,-4164
105,-63,9,3857,2313,1813
19,-36,25,-38,-4026,-9589
65,67,-51,16,-4473,-12943
48,90,-28,1078,-2259,-9298
9,-85,40,1167,2475,-3275
-51,54,89,-1402,2070,7902
-54,121,98,-3463,-10,10739
101,16,8,-3849,-411,12122
119,84,122,1542,3461,-2211
41,-72,-113,-2945,-2982,1595
-81,-86,-119,700,-2647,1759
19,-124,-65,-1521,100,1887
54,55,-76,-1513,122,2813
39,-45,-32,-2128,-1901,4597
81,71,-28,-2675,-1993,4213
-9,-111,98,-1142,-271,3346
-107,-13,39,-2015,156,2752
-3,-30,-92,-2574,-3547,1357
-21,-127,-59,745,94,3114
80,-49,95,2388,1331,4888
5,-96,54,1536,-915,3145
4,-1,-20,-2158,-704,1548
-32,-34,-28,-1869,-196,83
-76,118,15,547,-184,-1036
-66,-3,-14,1436,463,-1441
-92,-6,-40,47,221,-1357
-96,-52,-24,-262,-319,-1112
-94,-100,4,-662,-164,-1077
-92,-101,47,-4024,664,-2034
-85,113,37,-925,451,170
-95,-99,51,2092,-595,691
-64,-47,0,1794,143,849
-56,-24,-26,499,370,400
-53,-20,-44,-489,216,237
-52,-33,-39,-467,-62,265
-45,-33,-35,-429,-86,321
-39,-22,-24,-456,-151,352
-31,-8,-14,-307,-217,112
-36,-5,-5,-167,-164,-47
-42,-16,-3,-48,-89,-130
-43,-23,0,-121,-77,-71
-40,-30,0,-50,-57,-65
-41,-34,-2,-102,-39,-9
-41,-33,-7,-134,-36,29
-39,-30,-11,-173,-31,87
-27,-27,-11,-92,-66,90
53,60,-90,1041,538,-11131
-108,3,79,-1277,-481,-16616
-25,86,-118,622,-3732,-13054
94,-111,125,909,3198,-874
67,-43,-65,-50,1131,7456
-106,47,3,-714,880,14342
-65,-77,85,-4398,-1170,13221
-63,43,-79,2357,266,-908
99,-38,-107,-5782,679,-4307
-63,75,47,2966,-2632,4403
103,72,-73,-3803,509,3020
80,-34,18,-1116,-731,2851
-119,24,24,-1538,-1781,3083
-16,34,39,-1410,-188,2346
21,103,103,-1552,-552,3854
45,-124,-112,-1417,-1530,4386
-114,126,-96,-558,-764,3379
85,-88,-88,-899,-1141,2970
92,117,106,-343,-805,1978
-4,78,74,-141,-677,1118
-31,59,36,-12,80,1262
-62,48,7,633,281,1217
-76,15,-25,1339,85,763
-73,-19,-28,1659,-164,271
-79,-73,-29,1644,-143,-203
-95,-125,-11,773,-274,-691
-93,104,15,5,-292,-876
-84,68,29,-49,-256,-843
-75,54,39,-228,-191,-878
-67,47,38,-237,-146,-751
-66,43,33,-170,-92,-551
-87,49,19,-288,-116,-230
-79,65,13,-530,22,126
-79,80,1,-474,71,379
-57,113,-1,-606,56,563
-44,-125,-10,-498,100,603
-38,-97,-15,-596,-10,523
-30,-72,-18,-484,1,380
-28,-63,-20,-314,-47,192
-31,-51,-22,-321,-106,45
-26,-60,-19,-66,-93,-103
-30,-60,-19,-214,-154,-117
-36,-60,-16,-290,-124,-92
-40,-64,-10,-99,-64,-101
-34,-67,-13,-5,-50,-137
-34,-69,-14,-93,-126,-114
-30,-70,-13,-239,-79,-63
-37,-64,-10,-384,-77,141
-36,-59,-10,-225,-17,172
-32,-46,-16,-256,-5,208
-58,33,-10,2578,-2352,-4991
85,-77,58,625,-1737,-3738
-8,28,50,1675,282,-2974
-34,-50,-56,2351,-2436,-5882
21,-64,-14,-2264,-5151,-15901
65,101,87,-826,-4895,-13834
76,95,51,1082,1629,-3713
2,100,120,-632,1594,10499
51,11,101,-1388,1887,13485
-63,69,71,-4583,-304,11415
-43,-7,43,-412,2925,-4257
-67,-60,104,-2144,-2803,-938
-92,-118,-17,570,-975,3288
84,44,-114,-2457,1248,3185
-19,-59,13,-1299,-1269,2417
-121,29,-55,-1695,-635,3098
-110,15,10,-761,-830,3063
-75,-117,36,-2474,-1521,3598
19,-126,20,-1806,-1006,3167
-75,-42,-100,-2512,-3025,2497
96,120,75,-765,-278,2019
79,90,14,295,1472,1955
23,117,15,-780,9,1890
-27,108,59,-203,-1795,2640
-4,83,47,1184,-1128,2286
7,98,3,1374,-65,1368
-44,85,-16,1174,-127,246
-86,19,-1,1299,-450,-181
-97,-43,-5,1172,-40,-569
-109,-109,0,793,14,-851
-92,112,7,547,-35,-873
-79,82,12,285,-52,-1028
-67,55,7,-139,18,-1051
-63,53,-11,-637,73,-810
-59,63,-15,-861,-155,-480
-69,82,-13,-787,-275,-212
-74,97,-21,-572,-39,52
-65,124,-16,-570,-65,253
-60,-103,-26,-588,-110,415
-52,-76,-21,-771,-108,438
-42,-57,-22,-497,-33,414
-38,-40,-18,-385,-67,351
-36,-29,-23,-330,-67,238
-37,-21,-22,-211,-28,132
-34,-26,-27,-13,-18,8
-27,-33,-29,43,-39,-48
-29,-44,-35,19,-83,-109
-36,-51,-33,-31,-97,-60
-37,-58,-29,-53,-86,55
-38,-57,-25,-91,-80,147
-51,-38,14,1864,-3647,-11677
18,-98,-69,-3881,-5209,-13453
-59,-22,-123,1024,-3022,-10208
-104,78,92,1246,2482,2571
-80,103,-51,-1643,2593,7263
72,-38,-26,-1312,849,9952
-26,-58,3,-532,-605,11016
-56,25,-102,-4723,2363,-1851
12,39,18,-984,-2188,1480
54,56,-34,617,-1464,2334
7,-84,-31,-882,-240,1813
36,-26,-28,-2223,-284,2839
60,-40,-4,-1145,-1344,4174
-90,67,28,-1556,-869,3777
-40,99,74,-1791,-952,3325
45,104,55,-1345,-560,3768
52,72,123,-955,-1427,3752
126,-107,80,-1510,-87,3016
119,82,41,392,261,1901
60,76,32,745,-654,1373
-15,17,17,1085,-793,1262
-63,5,-9,909,-185,1439
-78,37,-25,52,309,1092
-94,-16,-24,1347,1,578
-88,-57,-21,1863,-218,-123
-85,-78,-21,672,-201,-756
-89,114,7,30,-233,-1166
-84,78,22,-11,-215,-1212
-73,53,28,-25,-120,-1198
-63,37,35,-133,-120,-1037
-62,33,22,-188,-21,-759
-69,41,17,-368,-132,-446
-74,55,3,-537,-55,-101
-74,72,-1,-585,-17,243
-66,88,-10,-445,59,441
-53,117,-17,-542,-25,720
-47,-104,-16,-771,-75,833
-36,-81,-15,-526,-38,723
-29,-51,-13,-332,-76,507
-24,-47,-17,-74,-61,205
-21,-46,-23,-72,-91,-12
-30,-57,-25,-118,-155,-75
-36,-61,-27,-197,-105,-55
-25,-74,-30,19,-178,-78
-59,-67,-31,-225,-307,-62
-41,-64,-18,-285,-30,-86
-38,-81,-15,139,-120,64
-33,-59,-21,-426,-79,-9
-35,-59,-21,-473,-82,46
-36,-55,-13,-206,-19,62
-50,125,75,2363,-954,-4714
-20,111,-61,117,-1593,-5650
-113,43,116,-102,-1178,-4637
43,-89,42,-544,1460,-1954
-15,113,-29,2325,648,-1029
-46,73,17,537,1466,-4407
-4,-77,72,3741,-1823,-12807
4,61,-62,542,-5465,-12607
86,92,126,776,-1081,-7398
-85,-37,-71,650,2174,2767
16,90,-14,-2264,1661,9133
-87,-55,19,169,2026,12419
-90,-36,-104,-6011,-896,7540
112,-19,-31,-2616,2629,-3525
106,29,30,1082,-2211,3811
-128,-99,-63,-1212,-351,3059
24,-66,-11,-1697,-748,3384
-85,-24,-35,-2812,-123,3682
-69,-14,52,-679,-1111,3674
37,69,48,-2524,-1031,2934
-15,121,-115,-2632,-2296,3066
-71,89,70,-597,697,4223
-122,-108,108,-492,-333,2868
118,-82,44,-340,-551,2116
58,114,38,720,-1030,1626
-11,104,17,190,-580,1082
-54,80,0,261,-90,966
-86,48,7,1212,-141,934
-119,3,-8,2064,-218,556
-98,-27,-26,1657,-10,-199
-90,-59,-5,704,-259,-819
-63,92,45,1197,-375,-1471
-71,-15,57,1934,-195,-1614
-87,-34,53,797,-3,-1205
-69,-9,39,-791,37,-579
-78,-20,35,-750,-313,-321
-80,-2,19,-633,-96,3
-67,32,6,-594,45,299
-67,58,-2,-592,-73,592
-48,93,-5,-794,-30,663
-44,127,-11,-653,-79,643
-30,-108,-8,-456,-31,454
-38,-93,-18,-389,-57,199
-37,-75,-25,-484,-51,58
-36,-83,-26,-142,-71,18
-36,-78,-29,-148,-84,-42
-28,-80,-32,-149,-124,-190
-34,-84,-28,-169,-179,-220
-37,-92,-28,-85,-87,-235
-40,-97,-29,-125,-126,-127
25,-52,-10,6072,-1279,-2166
12,81,-30,-1911,-5115,-13884
43,-45,122,-3483,-5347,-17531
-78,-8,-115,499,-1580,-6444
-113,85,75,1941,2894,2790
43,107,-61,-2647,1749,9467
-36,7,-58,-85,1602,11832
-35,-72,-3,-2208,-845,9923
101,-33,-39,-2412,2919,168
84,58,124,-2947,-1571,191
65,-72,-54,923,-1057,3133
71,-97,-98,84,610,2752
50,-21,-55,-2431,-485,1909
120,-30,-40,-1924,-922,3060
-69,-76,-7,-213,-668,3331
-51,-68,43,-586,-1085,3548
99,4,16,-1639,224,4323
-123,94,87,-2285,-176,3643
-35,108,28,-1937,582,2432
-128,-54,53,-2218,-642,1835
35,-102,75,-465,-1146,1216
-9,-99,42,-119,-440,909
-34,-108,25,120,69,766
-60,63,-32,2219,360,967
-109,67,-54,1907,-474,115
-93,34,-52,697,-277,-653
-90,-71,22,1497,-161,-1143
-69,89,-2,2563,205,-812
-36,108,-2,199,-55,-1542
-8,70,6,-1023,-117,-1651
-32,56,11,-964,-335,-1324
-31,42,-10,-441,72,-1039
-57,49,-14,-35,-125,-356
-52,71,-31,-504,-50,48
-44,97,-32,-618,-152,293
-85,123,-31,-612,-380,623
-67,-113,-15,-567,70,910
-47,-87,-14,-506,7,1206
-22,-32,-9,-849,-116,1139
-5,-5,-10,-870,-38,749
-8,7,-9,-401,-37,435
-16,8,-18,-3,-3,107
-19,-3,-23,159,62,-13
-21,-13,-30,101,-4,-69
-13,-30,-33,125,-12,-167
-18,-40,-37,81,-77,-271
-14,-45,-32,-122,-109,-360
-20,-63,-27,-6,-155,-285
-26,-66,-25,-75,-123,-221
-35,-65,-17,-111,-170,-89
-90,-117,45,2680,-7377,-13769
82,36,0,-1856,-6508,-14434
-106,-117,-28,1437,-2816,-10367
76,-115,-26,1794,3492,4657
13,21,-114,-2280,3048,12681
69,32,1,63,1844,11678
-3,-56,46,-3722,2132,-3366
24,36,-97,-1138,-1540,3559
-128,-46,111,988,6,1661
21,-35,-58,-1606,-362,314
7,-128,-55,-1483,1065,2227
-8,-75,-45,-1675,71,4435
-125,43,-2,-2025,-87,3461
-120,91,34,-2310,-448,1994
-62,-47,53,-3014,-646,2596
-83,-91,49,-1721,-1150,3883
-28,-79,74,-889,-577,4202
35,-90,127,-234,-451,4195
56,-107,117,126,-617,3954
89,98,41,-87,4,2088
33,91,-42,-567,750,197
-22,22,-38,43,358,-80
-58,-36,-28,989,-176,472
-83,-69,-43,1212,-123,426
-85,-93,-36,980,-77,18
-73,-121,-22,669,-147,-181
-77,109,0,164,-423,-414
-78,99,23,-181,-469,-579
-78,91,25,-340,-258,-648
-76,87,28,-492,-172,-569
-73,89,25,-399,-82,-375
-75,88,18,-160,-19,-208
-67,92,3,-171,71,22
-59,109,-7,-469,20,184
-46,-126,-12,-538,-6,347
-46,-107,-14,-518,6,372
-39,-89,-17,-483,26,339
-34,-69,-19,-408,-7,278
-34,-58,-21,-344,-41,178
-29,-53,-22,-262,-21,80
-25,-51,-21,-149,-86,-33
-28,-53,-24,-175,-85,-97
-30,-60,-20,-94,-122,-72
-26,-62,-16,-131,-106,-80
-26,-63,-14,-151,-123,-64
-29,-65,-13,-156,-86,-18
-32,-67,-13,-164,-69,101
-35,-56,-12,-286,-46,244
-27,-55,-16,-83,22,218
-17,-44,-20,-250,-46,254
70,-81,-45,7401,555,764
0,-2,-63,353,-3546,-6856
-104,-120,73,-3329,-8997,-13243
54,-124,-117,-1334,-3022,-9526
-94,7,65,3103,104,-1170
-13,-6,73,-1899,3471,5401
78,-54,-106,-1392,2364,10215
8,118,2,-359,2846,7592
44,-53,90,-4181,-285,797
59,-35,93,92,-647,345
79,91,-83,-497,-92,352
-20,-122,-28,-563,-94,2043
3,-96,4,-1483,112,2086
39,-48,10,-1928,-565,3191
97,-10,26,-947,-34,2947
74,-109,23,-3455,-1254,4023
-71,80,23,-1628,-691,3367
-23,-100,52,-1870,-403,4049
-8,-115,42,-1877,-1010,3916
12,87,100,-1038,-1330,3640
100,47,41,119,409,2789
83,88,50,-334,17,2342
12,124,24,-1018,-571,1254
-36,99,22,-667,-500,304
-84,13,22,1244,-178,405
-114,-15,4,1733,-72,556
-115,-42,-15,1446,95,102
-94,-76,-6,924,43,-193
-101,-100,1,162,-120,-545
-85,104,15,482,-81,-896
-65,72,17,416,-30,-958
-67,48,19,58,-110,-895
-73,48,18,-314,-183,-614
