AccX,AccY,AccZ,GyroX,GyroY,GyroZ
116,-46,-73,2252,-3621,-4719
-69,-87,105,1404,-4819,-5676
-93,90,-21,-3058,-6735,-7239
-41,-93,7,663,-5660,-5585
2,54,-114,2042,-6831,-3271
-105,-123,-107,1204,-5611,-1489
54,115,10,833,-3237,-126
19,110,-36,978,956,80
22,20,82,308,630,356
29,37,0,508,238,-28
27,-6,-2,-238,34,244
29,-31,60,403,0,441
66,21,81,-180,245,-146
90,11,82,239,162,-22
-109,32,72,63,180,-130
-83,28,53,-27,13,-150
-79,10,59,-76,-139,-2
-49,3,76,48,-47,-16
-26,15,79,20,-73,-43
-6,25,91,52,35,-141
10,39,87,-130,100,-279
6,54,108,-4,-200,-38
54,46,-108,-3,255,-90
81,28,-83,-43,742,-79
-50,27,12,-1350,1927,-798
58,-1,58,-3535,3458,-1003
-86,-118,103,-3490,4117,1966
36,-124,103,-2776,4165,5658
-85,11,67,-3392,2614,6147
-79,30,36,-3294,1726,8896
-18,-67,-47,-4244,317,2439
4,55,-51,-298,-2935,5593
-12,120,63,-2264,-1729,3024
-47,44,68,-862,-1057,978
-124,-28,32,524,-673,1439
22,-87,-2,1793,-1102,623
11,-114,-41,1069,-593,-58
3,93,-55,459,-191,-231
-10,75,-69,-804,-40,-334
-7,41,58,176,-245,61
27,35,38,-614,772,-1
22,94,117,-735,-342,-137
50,43,89,178,260,-162
41,77,85,-386,-137,-118
41,67,-112,180,-329,142
54,71,-82,487,39,98
69,108,123,-84,50,-93
74,104,103,31,-39,-129
75,100,107,134,77,-44
73,109,107,202,-45,7
45,-35,-68,-822,-2703,-6397
-82,-76,-114,-653,-4414,-6881
-78,44,-94,4519,-6824,-5727
-27,-108,-16,-877,-7011,-4256
105,73,100,632,-4992,-1833
-76,80,49,1006,-2259,209
-124,117,-93,39,-658,218
42,-69,33,687,150,598
-29,41,115,262,494,-176
-53,42,55,-265,-168,117
-10,21,78,-38,-181,263
70,36,-116,-157,214,-37
-111,-105,11,452,1513,1153
64,76,64,371,3384,1241
-23,90,13,-521,4142,1788
97,108,-60,-1136,4244,3265
-61,-37,85,-3496,4416,4953
80,-41,-50,-2319,3725,3677
-62,-49,-52,-3270,-797,6706
35,71,117,-2351,-1267,2862
95,-40,-114,1608,485,4423
48,-6,-73,-607,1239,2928
-3,-44,-70,-412,-69,3082
-14,-61,-71,-660,-579,2099
-107,-17,-91,-986,-1009,939
82,-48,-98,-146,-853,-391
65,102,-111,1346,-263,-1044
66,68,-125,1829,-98,-486
36,48,119,1564,-458,39
16,56,-33,1205,-184,326
62,60,112,-568,1240,-278
37,47,95,83,-1100,399
93,68,116,-1298,77,-285
102,45,60,-520,707,-753
89,62,81,-1163,-33,-463
83,28,-125,100,-89,168
94,52,119,462,-35,213
111,109,68,98,-253,139
121,115,75,10,59,-91
118,121,78,-139,61,-84
122,118,76,-216,-6,-66
-128,114,75,-40,10,-9
-125,122,66,-9,-42,-2
-119,127,62,70,-3,0
-118,-118,58,21,-50,-5
-112,-114,62,46,-27,-3
-108,-107,56,-58,-50,-11
-106,-108,54,-2,-50,-21
-101,-109,51,22,0,6
-100,-101,53,79,-13,20
-21,15,-122,-565,-2972,-5657
90,-25,60,233,-2597,-6608
-55,-33,95,53,-3484,-7139
44,63,-78,1838,-2990,-6474
124,1,106,1248,-4864,-3757
95,-51,35,1813,-3408,-930
67,107,124,622,-2133,1048
35,-97,-117,231,-150,177
-7,27,43,384,500,473
15,-115,95,-716,715,-1009
12,29,20,850,-46,788
66,58,42,-88,-101,-162
93,52,90,-233,-115,-241
120,49,123,-474,331,-558
-101,31,86,-91,223,-214
-68,34,84,230,-3,242
-54,60,100,-92,-84,61
-43,56,-119,-2,221,61
14,21,-53,-55,809,61
90,-99,55,-381,2298,855
-50,77,109,-1559,2891,2181
-106,49,45,-2447,3120,4161
87,77,-84,-1697,4464,5018
-90,113,103,-5888,2297,4352
-58,113,-50,-1871,2436,1018
81,26,76,-938,-1653,6974
-48,-104,-68,-1757,-3276,4925
-9,29,53,-1772,-1279,4304
-18,-25,7,-830,-1338,3569
-94,24,-51,147,-1206,2178
71,-18,-91,1429,-728,-217
15,-114,-100,2750,-403,-1007
-1,47,-100,2917,-365,-933
12,28,-79,1738,-450,91
-17,21,-64,161,-491,361
38,97,113,-1746,1080,-613
-25,55,99,-899,134,313
1,52,-112,-932,-1131,323
53,29,122,-576,659,-522
63,35,68,850,828,-878
40,59,94,-560,192,-655
49,2,-110,645,237,110
77,35,-55,463,105,251
115,88,-79,111,-199,162
98,-126,117,-526,-381,-133
100,107,104,-644,192,-229
106,98,89,-286,30,-36
98,110,91,-80,-114,44
102,115,102,29,-90,-70
91,124,89,435,-337,-8
-64,58,103,5087,1751,-2060
4,110,-124,1025,-2259,-4703
2,-29,29,-313,-2794,-5865
57,119,-65,-624,-4400,-7251
119,-117,99,-863,-7040,-7402
81,-73,-62,2109,-6400,-5517
-39,94,70,2046,-6707,-2404
-46,95,-110,834,-4384,-1045
-34,-23,75,487,-2364,-550
45,1,-116,741,399,108
-15,-81,100,-125,462,627
-51,-22,-65,-258,492,-17
-65,-40,74,460,-54,333
-16,-32,-116,123,-109,10
27,-34,-80,-171,94,-108
103,-77,18,-444,949,193
-13,91,71,-1074,2692,750
-96,30,81,-1832,3520,2018
97,68,-31,-2995,3539,4120
-52,40,-97,-449,3886,5979
-102,46,36,-3407,4101,4747
-23,40,20,1180,2240,5926
-10,45,-12,-2022,2883,5101
-15,-34,51,-1874,-2761,4540
88,-109,-30,-1383,13,2824
-19,126,9,-1457,-6,2320
112,63,-41,-559,-592,1464
71,7,-79,331,-731,415
64,-58,-110,685,-220,-136
8,117,-120,1351,-455,109
4,108,-114,1148,-697,473
15,111,-121,392,-462,278
29,115,-125,-737,-378,-328
101,111,-80,-2865,2575,-1378
-5,22,-91,179,-1170,116
42,102,98,-953,-969,219
93,80,55,846,582,-264
66,-124,23,605,55,-210
64,-116,43,-280,-413,32
96,126,-84,-262,716,-158
73,-111,105,-134,-424,104
104,-98,75,-368,-36,-107
105,-113,49,42,131,-17
104,-94,48,-18,-29,39
117,-83,83,-180,164,-109
116,-88,85,-42,-54,-2
125,-85,61,5,-27,-12
-123,-76,51,-17,9,14
-124,-70,60,9,39,-8
-119,-67,59,-44,-4,-18
