AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-110,-5,-97,5280,-1214,-5855
-24,-37,77,2851,-2312,-7570
79,76,79,1338,-2424,-9301
82,64,-42,-2439,-2478,-9043
-58,82,-98,-3536,-842,-7553
-125,113,112,-1029,-1339,-351
99,41,52,4501,-2620,11073
68,52,-75,1720,3592,11997
-68,73,-102,3757,2698,12103
78,-96,53,-10824,-2060,2934
91,100,-40,7536,-267,-9192
16,125,60,677,-2350,-10887
-58,-8,-26,-1826,-1248,-10538
-76,61,104,-4996,-931,-9464
74,-125,-110,457,1416,3753
113,-34,-19,1210,974,16467
-21,3,-59,-1921,1816,13497
17,22,-57,-2939,-970,5721
96,-84,15,4490,-4272,-10223
29,-61,94,1209,183,-14719
6,2,68,-4337,890,-15727
99,-126,-31,3948,1136,-9013
11,-74,40,1477,-387,9959
-16,4,125,-4569,-5133,9815
101,96,-102,884,-129,7459
24,-4,23,1667,-2426,3766
-93,15,-31,130,1472,112
-86,38,26,984,-650,-2132
48,99,-119,-154,1303,642
112,-29,5,-207,570,-131
36,1,-26,1402,684,191
-10,-2,0,1246,-1891,686
-42,-88,-72,299,-434,1697
103,-128,-57,-2258,295,1604
66,-53,-23,-17,-592,2580
-43,123,39,-755,-397,3019
99,42,62,-871,-731,2813
-14,27,1,-698,864,2568
46,73,10,1367,142,2874
85,25,-27,-222,-1041,3480
94,29,-108,-112,-2023,4948
43,57,34,-80,924,2802
-75,100,68,-619,-436,987
115,100,73,-673,-909,-10
75,-49,34,1574,54,-97
83,-19,8,481,466,-393
89,-21,-9,-695,92,-752
117,-82,4,-463,-35,-986
123,-108,5,189,177,-770
116,127,-8,636,201,-540
-33,127,30,5415,370,-5691
58,116,-10,5680,-2635,-7669
-64,63,0,2191,-4676,-9689
55,-80,-79,-2798,-2516,-10844
82,15,-84,867,-3147,-5662
94,-13,-30,-2154,1190,5676
-7,36,55,-1047,2365,12882
108,24,18,-1105,2482,13530
-59,64,91,2866,5056,11824
18,51,12,-872,-1835,-748
105,-96,-54,5117,-1961,-7802
78,75,41,1943,-3172,-9344
-127,5,117,-1034,-2084,-10176
-94,-3,98,-1528,-1301,-7839
124,-20,-68,57,-19,1113
-18,-93,68,990,2890,15784
-67,-75,-62,-7001,1138,11522
-122,32,6,2305,4588,9142
104,-49,39,-3885,-5750,-3000
122,19,83,6579,132,-8793
-46,-122,-25,1879,-2623,-10958
84,-108,-39,594,-1018,-12725
120,33,-111,1358,-281,-11738
-37,-74,-50,1172,-1063,-2597
3,44,117,1103,24,7486
91,-39,-63,-5372,-2567,7930
27,57,0,303,1240,7549
-16,-106,-18,-1183,-3462,7118
121,26,-122,-7,2033,-43
12,-39,109,3276,-368,633
81,-5,22,-329,438,-670
-121,107,59,365,-55,391
-90,90,11,18,-543,-101
-22,36,7,92,261,-179
8,-75,67,1701,-787,56
-26,125,-18,1633,-892,998
-85,-39,0,154,-894,1919
-13,-21,-70,-641,1119,1750
-61,53,67,-591,-865,3352
-118,-12,-20,961,1606,2621
54,62,65,-542,-450,4244
-35,-110,16,-2008,1645,3089
-64,77,32,306,556,4292
-41,33,88,1627,202,5115
-14,55,38,74,524,3733
-62,78,27,-888,17,2510
126,40,32,-864,-343,828
70,24,39,219,-450,9
82,113,63,3419,295,-206
88,72,10,2546,316,-772
-100,3,49,12223,-882,-9086
-111,32,27,2762,-5270,-9050
70,37,-122,-610,-5064,-10565
-59,8,123,-1922,-3287,-8480
-117,30,-15,-1830,-1825,-4491
1,-82,-65,514,167,9397
-83,-42,25,-385,2200,15255
-2,-84,-64,-1763,2158,15396
76,-44,23,-6517,-41,6404
-120,-100,-50,6481,-1600,-7571
79,-50,40,3835,382,-10920
-69,107,-13,-3442,-499,-12609
