AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-54,73,-75,-9849,-608,-3806
52,116,-59,-15205,1047,-7603
-13,65,23,8812,-690,-2034
-16,103,-122,10920,845,-12946
104,-91,-82,12756,-5706,-15058
-22,-114,122,2959,-7074,-6704
13,88,44,-465,11110,-4724
-112,-20,-37,2838,18265,-3115
-128,22,-73,8303,13241,559
-92,-42,84,-9216,1309,-4912
-93,15,-101,1001,-2031,-957
71,-74,-109,419,-459,1653
-69,37,-38,-928,61,-603
-88,-38,-104,-842,-1060,50
-47,-29,-97,-1270,-1494,483
-62,-75,-92,-4012,-2822,-424
-36,-52,38,-5845,-4802,197
74,121,47,-9232,-3826,-1167
-32,-65,89,-8924,-1361,-1049
41,64,56,-7370,-1436,222
-41,18,-84,-5417,-1720,1900
-60,52,23,-2793,-1407,2753
90,-21,3,665,127,2899
80,52,101,1326,-1391,3984
-35,-112,-38,-604,-2304,6266
23,-85,-87,-342,-424,3790
110,33,127,469,-592,955
-88,-103,28,1701,-102,-1581
-121,9,-1,2590,374,-985
121,-62,-35,2279,557,213
-111,-122,-58,2081,666,273
-96,105,-47,1629,414,-4
-69,102,25,-13,-581,-705
-78,24,46,-168,-499,-898
-66,49,49,-1246,110,-815
-72,33,45,-1262,261,-658
-71,42,20,-749,144,-394
-69,75,28,-725,-248,-312
-49,77,8,-264,248,-120
-61,104,8,-502,-139,28
-52,117,5,-371,101,53
-53,-119,4,-541,6,109
-49,-102,-4,-722,77,106
-56,-95,5,-512,27,220
-43,-98,-1,-57,383,484
-35,-71,-14,-168,208,227
-15,-58,-26,-362,121,-42
-24,-79,-25,-123,48,-169
-32,-82,-5,-114,-12,-192
-38,-95,3,-155,35,-120
35,127,121,-1863,-321,-9849
84,119,-8,2326,-4716,-6610
-126,24,-78,2654,-2188,-11039
69,116,44,8368,-4847,-11519
6,-23,119,3243,2851,-5181
-121,13,39,-454,18227,-3964
102,-21,-47,7180,13393,-590
-102,20,43,1235,4609,-367
-75,-7,95,-5892,6190,-3072
95,-92,127,161,-5467,-1213
