AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-100,-125,-25,4028,-2306,-1757
-43,-22,51,2109,-4459,-2120
-31,15,-111,2152,-5470,-2674
-25,-43,-127,3470,-5547,-1565
22,47,-79,-236,-4347,-352
5,19,-79,-705,-2039,-367
62,-96,5,379,765,-610
57,-56,48,1113,1685,-257
-18,-16,-119,-1072,-92,3211
-125,-42,-31,521,-3724,7380
-33,-84,-116,-3190,1383,7332
-68,108,124,2177,233,4936
-93,-69,85,1909,1137,-1873
-93,-125,-128,-673,-372,-5523
13,45,-32,2272,-130,-7297
25,47,4,1517,-857,-6875
-122,-64,-97,-151,161,-2747
-106,-63,68,198,963,-544
34,21,64,-3130,-1148,680
-123,-112,116,398,-134,-181
-29,35,-108,3,877,116
114,122,121,-6063,2128,-873
69,-6,121,-6950,2042,1328
87,14,80,-6222,-78,3094
-52,15,-83,-2720,-656,4199
-126,100,40,-1796,134,3608
31,-110,74,-977,1032,3193
-119,-79,-94,-369,743,2168
82,127,-118,122,343,1516
29,85,-103,596,-88,1076
5,-52,92,2398,117,307
-15,116,22,2493,-4,-460
-34,89,-5,1105,7,-320
-63,26,-6,539,-77,-352
-61,-46,14,545,-10,-151
-56,-78,23,832,-46,-168
-43,-76,20,439,-20,-301
-45,-91,20,134,25,-440
-48,-105,14,377,103,-429
-45,-120,7,495,115,-333
-36,-98,-7,76,27,-262
-39,-97,-5,-1,-16,-306
-37,-96,0,154,-12,-367
-18,-114,-8,341,66,-305
-37,-93,6,-88,-251,7
-50,-45,5,-487,35,-229
-26,-66,14,328,119,-362
-32,-70,6,474,-113,-248
-32,-61,0,44,21,-394
-12,-84,6,234,51,-137
65,60,65,4018,-1898,-2415
71,119,33,5453,-2965,-2475
26,-124,-92,5423,-3995,-621
43,-81,-12,3591,-1983,587
-45,27,79,-639,-253,228
-45,117,-86,1283,21,266
-8,-46,8,701,-807,1407
-109,17,-31,-538,-1020,4939
76,-60,-28,-110,-1077,6167
-115,111,-39,-1316,220,5520
75,0,-28,-472,-1692,3741
-18,26,11,-1487,-501,2192
-103,-108,-108,-614,524,-2889
101,30,73,224,3116,-4359
113,51,-111,-1287,1460,-5013
18,-86,-61,2561,2228,-6558
-90,-32,-61,4272,3776,-6559
-107,97,32,-1259,-1288,-334
52,-16,-76,161,-1180,-408
-72,114,-8,-739,-1315,206
111,-47,85,-720,-381,63
-6,-46,74,-2871,780,-527
62,-111,15,-5611,697,-549
-16,-57,-45,-5290,175,1552
-48,-73,-126,-4345,517,2697
47,126,119,-1437,1206,4761
-25,-56,-71,-1376,217,5293
-51,-31,-21,-1595,138,4105
-40,95,61,1180,432,1818
126,-53,35,3186,646,787
5,86,-7,2478,272,-335
-40,35,-25,364,607,-647
-85,-43,-10,-186,393,-390
-80,-119,1,538,289,-301
-38,116,1,935,340,-740
-20,73,0,1096,215,-1028
-8,49,16,843,-63,-864
-25,46,20,442,-216,-666
-24,49,31,-58,-385,-472
-19,101,43,-796,-146,-439
-34,80,15,38,140,-626
-14,62,8,453,-161,-151
-24,-121,-1,-697,-287,90
-26,-106,-7,-754,-128,-91
-34,-89,-2,-481,-217,-84
-26,-61,-4,-410,-156,-267
-19,-53,-8,-321,-164,-382
-27,-51,-15,-224,-125,-437
-40,-43,-13,-311,-173,-375
-51,-43,-18,-72,-43,-318
-43,113,-14,3095,-2607,-2758
42,55,-49,6645,-5287,-1962
52,-115,-101,7682,-7264,934
-62,-16,-86,-2325,-3542,497
-77,108,3,-1106,-1784,-650
30,83,-37,-264,-1424,36
-29,-79,-105,433,519,581
14,-29,0,773,2265,2602
-114,-97,2,-536,-265,5111
-96,-26,99,-1188,-257,8562
48,72,-112,-3182,-3119,4869
-91,-47,-127,209,997,2414
78,-12,-106,1026,2212,-3220
10,-127,77,1662,2394,-6524
108,16,-6,711,-102,-6322
-81,-128,-17,2944,-361,-7437
-83,122,-89,3413,1272,-3515
31,13,-36,-2689,-648,-215
45,-37,112,-2930,-833,-144
47,84,-127,-3710,-181,-1031
-112,-81,7,-6527,1426,-1386
62,-56,-109,-4873,1161,805
39,65,-121,-2956,570,3038
110,-119,-94,-2967,320,4039
99,58,-76,-4356,-323,4686
-79,39,-110,-4775,-998,2849
41,-103,-86,-1635,-1711,1987
-14,-31,-39,7089,-1344,766
7,97,68,2518,1199,374
16,61,63,221,1840,178
-52,-123,40,2018,112,489
-10,107,0,1330,-243,5
-4,105,0,-61,-69,-61
-59,111,-3,-878,27,-303
-59,74,-4,61,105,-592
-45,54,-2,572,82,-736
-37,53,-10,825,86,-682
-34,52,2,453,-76,-560
-23,35,1,378,124,-664
-7,25,17,344,-197,-382
-22,41,27,-23,-270,-47
-50,69,23,-361,-160,-42
-45,91,10,-317,30,-23
-26,102,-11,-59,501,-20
-3,116,-22,-162,827,-264
1,104,7,-6,37,-208
-3,119,15,322,-275,-58
-5,-111,14,30,-66,-290
-8,-105,8,-24,104,-487
-5,-125,5,383,-52,-439
-44,-22,64,5225,-2427,1471
-100,102,-122,7394,-2848,7
63,63,43,123,-483,-4054
70,92,28,4280,-2946,-2671
0,110,93,4328,-5510,-1346
119,-56,103,1266,-4762,-649
-53,50,-72,-314,-2334,-317
-34,-101,-44,-268,-2663,312
53,9,-2,-1073,-151,-120
-7,35,-128,572,800,185
63,-20,-126,387,1461,1546
-57,27,53,-1105,-3789,7792
-70,-11,118,-1742,-531,7327
85,40,-97,565,439,4993
-40,-2,10,252,1067,2669
28,4,67,-497,-844,-2581
33,-103,-9,370,937,-6273
-4,95,8,820,2350,-6107
0,-64,-26,3979,1716,-6770
-65,0,11,3095,-147,-3946
58,47,-113,665,170,-1256
-84,106,100,-2388,510,-125
-100,39,-63,-1287,-731,219
-60,-119,-6,-509,-25,-354
105,57,-65,-5985,988,-1645
-55,-112,6,-7672,897,-1197
99,3,-74,-6735,941,1709
59,-83,-54,-2571,158,4350
-7,-6,45,522,216,5693
60,-58,-104,-1015,2538,3573
24,4,58,-1715,-462,3340
10,-104,56,-645,378,2120
-122,120,115,-109,-556,708
31,46,121,1215,-357,59
-8,-99,73,2779,415,-551
-35,118,43,1704,126,-897
-35,76,36,520,46,-542
-40,16,28,-107,25,-648
-39,-8,37,280,-45,-469
-33,8,36,-22,6,-403
-17,53,16,-764,9,-816
-22,67,24,-935,-97,-1040
-22,46,28,238,-116,-465
-38,59,39,517,-232,-127
-32,114,28,-506,-45,-347
-30,112,34,-72,-86,-179
-28,-128,32,162,-44,-213
-27,126,23,431,-48,-176
-26,-119,13,235,-47,-212
-26,-111,10,59,-56,-268
-10,82,92,3779,-633,-4127
-11,122,93,4554,-3201,-4048
-47,-67,-108,4556,-4290,-2166
80,-13,36,5992,-4890,-214
123,-8,-1,2569,-3084,154
15,43,43,-789,-1336,14
-91,-11,13,60,-1040,433
118,-107,-37,1137,-55,352
-114,7,105,-37,651,872
-100,20,10,-807,411,3127
-93,-80,20,-118,-3060,5064
-127,-82,38,-225,-956,4604
-65,-80,-27,24,-950,3117
120,43,75,-1939,-366,3350
-90,-64,119,-492,-751,2253
-83,-27,118,-1337,-845,-868
75,75,29,1014,3936,-3322
-125,-98,73,-1597,3797,-4205
95,53,42,2223,3213,-6385
112,-68,-46,7792,1104,-7132
-109,61,-42,1478,-2631,-1808
-87,56,68,-2346,-860,-807
-112,123,-51,-1198,-1194,568
126,62,-12,-509,-36,154
-30,-42,-44,-2896,1265,-299
67,117,51,-6434,1897,-115
35,55,-45,-5131,1615,1614
25,-47,105,-5557,1453,3576
62,7,-70,-3162,312,5968
82,71,40,-2477,-446,5776
127,-96,-106,-1938,1507,3578
76,74,11,797,873,1839
113,-74,-7,3427,-1114,672
8,102,93,1680,-528,-776
