AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-88,72,68,1222,-4864,-2125
5,98,43,984,-6544,-1971
84,59,13,1193,-6133,-1624
10,-49,-23,1360,-5991,527
80,-65,-58,-2,-1908,599
-62,-43,14,-1008,879,310
36,41,42,1902,1037,1466
-120,92,85,2406,-368,3355
-80,-13,-88,84,464,5365
121,61,-79,1379,-1689,5302
8,-125,86,165,-1151,4554
106,40,28,1005,-242,-1265
62,73,88,-404,-164,-3677
119,61,92,1048,-147,-4623
-105,-118,-85,-1573,-947,-3391
-47,-97,-97,-455,-788,-4516
43,-121,-103,2316,-1152,-4171
-63,-34,125,-2789,-432,1022
-101,43,119,-3077,1498,1703
82,118,55,-1164,2086,1707
-126,70,99,-3364,4611,2266
-51,38,102,-3728,3774,3798
-113,109,-56,-7385,4085,4931
45,-100,-35,-7099,1979,6444
64,-93,-96,168,-1184,4997
-63,21,9,5670,-1013,1867
90,81,-2,4155,-252,1006
-125,-39,14,2454,-215,-991
32,-27,89,2948,-337,-2094
25,123,-112,-14,852,-1245
41,84,-117,-379,444,-749
53,-48,-96,727,-217,-1047
72,-8,-85,-361,40,-523
57,-41,-92,-223,110,-415
48,-60,-103,90,98,-505
40,-41,-110,210,101,-169
29,-32,-103,425,-89,99
14,-2,-108,89,50,195
2,21,-111,-84,-94,315
-16,19,-104,298,-122,243
-19,25,-107,405,148,71
-33,50,-98,-69,18,135
-22,55,-114,-270,20,64
-42,27,-108,373,6,-77
-61,43,-107,84,197,-75
-48,47,-117,-62,32,18
-42,43,-122,8,-70,-19
-64,43,-111,65,-20,-38
-68,44,-109,-24,147,-74
-60,36,-120,6,90,-84
-74,76,22,2269,-2694,-3566
-36,-110,-65,3562,-4374,-3320
5,-82,6,3561,-5804,-1922
14,0,48,2731,-5490,-1205
-16,12,110,20,-3533,-433
-128,114,-49,1148,750,-542
-7,-128,57,2371,2263,977
104,56,-67,1185,753,5183
1,-14,-79,-751,793,6502
17,120,85,448,-1557,6965
-41,-62,67,1205,74,2495
125,35,94,-1162,-407,-1121
-80,-44,-21,854,1339,-5327
-102,103,-13,-1349,-113,-5015
-115,-10,-94,19,-1368,-5127
-128,-35,84,1794,-1769,-4171
44,31,71,-593,-1429,-479
-38,99,-120,-1374,-86,1846
98,95,-101,-3573,781,2099
111,69,-92,-4235,2986,2592
-102,-25,42,-3438,2469,3299
74,-46,-120,-6150,4305,5227
-57,-89,-17,-9166,3359,6438
-54,-86,-117,-1213,-1274,6849
-28,17,14,6663,-2165,4248
24,-18,-57,2511,-317,2112
-45,102,85,901,-1535,495
96,81,-108,1811,-58,-1175
1,55,-81,2385,836,-1729
19,29,-70,791,611,-1526
63,-6,-58,-66,653,-547
57,-45,-79,-159,126,-323
35,-78,-74,238,-149,-442
35,-46,-91,-439,112,-236
26,-82,-108,161,147,-373
26,-44,-99,-134,90,-47
12,-9,-112,-224,-100,42
4,-13,-97,190,9,105
0,14,-100,52,267,-152
6,52,-87,-304,412,-352
9,57,-79,-40,416,-181
-13,59,-57,314,84,-70
-10,70,-59,-19,-50,24
-16,66,-62,-94,-156,143
-16,44,-74,41,24,45
-40,62,-70,-54,-62,124
-39,49,-77,147,63,64
-40,63,-72,140,54,-18
-46,65,-72,124,98,-50
-54,70,-68,-33,-1,29
-9,-73,-46,3298,-1211,-3672
49,110,92,4107,-3282,-4093
-124,-118,12,4274,-5803,-2985
9,-10,-69,4962,-6988,-1948
-76,5,-43,1367,-5654,630
16,2,-58,-1281,-1097,-160
73,-10,-21,586,1619,136
10,98,28,1113,983,1651
-78,14,45,18,1408,4530
13,-7,-118,775,-609,5664
-66,29,37,2594,375,5134
125,-54,85,428,-1478,4080
-123,94,3,441,592,-1593
-111,-25,-17,-122,403,-3335
-1,28,-82,-930,-384,-4272
-73,-103,-108,-339,-459,-5158
119,-110,124,-750,-1839,-4032
-36,-77,88,626,414,-2027
84,79,34,-1542,-631,783
13,-84,54,-1661,-180,1798
-57,-68,79,-2515,1087,2220
13,-117,-15,-3450,2993,1516
-109,56,27,-4173,4372,3238
58,-64,-40,-4568,3976,2353
-28,33,-4,-2097,5176,6238
45,21,100,-4323,1369,6326
-10,117,87,2439,-154,6156
-58,-76,-98,2233,-1698,1431
89,-109,118,2885,-1308,-2379
52,68,-9,2591,432,-802
14,106,-9,-446,334,-1048
87,-117,-18,16,168,-1248
90,76,-12,490,273,-768
60,122,21,-491,-375,-175
72,126,-19,-85,29,96
55,-106,-25,-152,12,-138
25,-79,-38,-13,-110,-26
24,-75,-45,-156,22,39
0,-41,-54,-14,-43,-1
-9,-17,-60,-126,13,-4
-8,-19,-69,84,-9,-40
-6,0,-70,-7,229,-209
-20,19,-53,-24,-147,111
-28,10,-53,41,-51,59
-25,23,-58,-96,43,-46
-34,18,-54,-1,-7,83
-44,34,-62,-116,-7,76
-45,33,-62,-65,16,44
-54,37,-65,-8,54,26
-55,50,-71,10,36,45
36,38,33,2017,-2937,-3359
85,29,13,4084,-4486,-2958
