AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-105,-1,22,3500,-1276,-3809
29,29,-57,3781,-3991,-3873
10,44,65,4285,-5940,-3475
9,-99,-67,5418,-6296,-576
-106,113,-41,2755,226,330
2,-10,94,577,-2225,2569
55,39,44,2289,4927,327
99,-81,-23,-69,-2457,-1449
-128,35,29,5204,1102,2566
1,75,35,-2733,430,-273
-50,116,-92,-1411,-929,1351
65,-3,-74,4275,-303,-4067
-3,-106,-31,-1360,-1019,6113
-88,106,-39,-368,2621,6412
-30,-122,104,8618,-2494,38
-69,114,-48,2484,908,6321
44,-35,-49,-4724,1819,-5293
107,29,64,1830,1462,3534
81,1,13,-792,-1534,-5047
11,67,35,2146,508,-269
18,121,-46,-668,-1903,-7748
23,2,-5,1156,15,-6220
62,-118,1,2179,150,2312
-110,62,106,-7930,1707,-1155
-43,6,19,812,-668,-65
47,-25,117,763,-532,1082
-46,103,56,-954,-542,-823
9,-60,-6,-749,-428,-2321
-108,-29,100,-7962,790,-3916
-125,6,-32,-10705,5167,-1514
-121,-104,-116,-9904,3302,5091
-68,22,43,-3417,-675,8279
-34,83,16,-1698,-893,6534
93,112,-68,503,-675,2823
44,-22,-31,2258,-7136,2664
-94,-92,-25,4332,2744,-3534
-24,25,-25,-1324,65,-328
62,44,-3,-1565,-323,80
112,-120,-59,-2069,1499,-83
-54,-48,23,-1019,588,-191
26,31,120,892,-90,-103
12,81,76,11,161,84
-29,52,29,-385,-79,2
-46,100,49,-332,-196,-9
-22,109,22,-820,215,-618
-5,47,-5,-93,246,-628
-19,58,-1,-399,-184,-25
-2,96,24,-495,-98,281
-15,-123,34,-25,109,-133
-15,-114,17,-292,21,-38
-31,-5,46,-5258,2551,301
-80,117,-60,835,1584,-5759
-19,-49,46,10697,-8119,-5113
-30,-81,-82,9432,-8243,-1091
-86,-109,-123,3059,-6913,1112
-16,25,-51,1128,-571,479
56,73,-87,-1365,-1832,2460
105,-43,125,4016,5590,-3306
-21,35,105,-1680,-1494,1019
-99,46,41,166,2584,-379
17,31,127,-6186,-4943,5306
109,104,117,6535,485,3860
106,-97,32,-6860,3009,5215
-109,10,91,1604,252,3592
-54,-18,124,-1605,-2279,-2923
-15,-25,124,-2580,1528,-2006
45,-61,-74,2452,87,-2734
-46,87,-115,-2453,-1285,-6004
80,-107,-98,1850,-189,-2904
77,-42,-20,4450,-1205,-6044
-81,-60,-121,-1902,1637,2660
-72,65,-39,-1690,-530,548
-118,35,-57,-2268,-35,-326
-113,34,-24,412,1296,-1862
96,55,-116,-5006,2177,-2975
-11,109,-128,-7127,2364,-1641
97,-111,73,-10760,3813,73
51,88,-117,-9847,4768,6386
-8,-128,-111,-4864,-1066,7725
-64,-121,-51,1898,-719,4894
89,-69,118,1494,-4999,2488
-103,-88,5,8668,-4870,-931
-79,-63,-80,-679,5358,-3897
47,-99,115,1067,-589,973
102,48,5,-398,-483,327
-83,61,-3,-1703,551,-379
-54,42,-54,-1764,605,-331
-52,103,-39,-1320,659,-90
-66,126,-8,-547,338,-544
-60,-117,-5,313,-2,-739
-46,-109,7,297,-333,-532
-15,-72,13,-588,20,595
-51,-95,1,-613,32,309
-69,-75,5,-705,-61,-472
-49,-68,20,-591,-60,-400
-39,-65,18,-46,142,111
-38,-58,6,61,-2,99
-31,-43,0,-13,-76,149
-31,-30,0,-222,31,47
-39,-30,7,-302,25,-78
-68,-14,-128,2465,-2417,-4923
-48,-58,-80,8692,-7633,-3501
-103,-54,-48,5669,-7394,-982
-88,-81,-108,3651,-2574,768
67,-66,118,3319,-2970,2649
-34,34,-115,-8658,4467,-3274
113,112,51,7028,554,-10
118,37,-68,2403,1048,1566
114,66,-124,-1556,380,323
-4,-33,-105,-3087,-751,4442
-61,-23,125,1886,1626,912
-36,67,57,-3059,-413,7911
-61,-45,-46,-1849,2169,3389
-40,53,-12,3851,-2146,9768
-18,90,103,-6651,-3423,-9450
-37,88,-49,3708,1331,4040
114,-70,-99,-801,811,-3606
-45,-78,-117,-170,433,-4750
36,58,-83,2027,646,-3064
15,-53,-115,1241,798,-6188
-87,18,-30,2483,-2074,-2940
-47,-111,-21,-722,-2144,494
14,22,125,-3247,949,91
-67,-83,-5,-269,2824,431
-31,-90,-5,-2121,1258,-518
75,55,56,602,1202,-638
-14,-69,71,-6144,1852,-1971
-87,56,-2,-10817,3308,-2351
26,-121,-124,-13739,3740,1612
-42,-70,-83,-13664,-1219,4395
-96,-34,-92,-7885,-6532,3007
-121,-109,-25,9543,-4956,3749
-66,-53,-82,6106,-623,1136
-87,-41,9,2972,-1073,-1485
58,-90,125,3025,2597,-1880
-105,67,-101,1344,-628,124
-25,82,-47,223,-359,-213
-41,64,-99,-134,300,-589
-90,50,-89,409,-26,-33
-30,126,59,1449,383,-5
-11,-61,-92,-44,113,77
-10,110,37,-116,199,198
-23,13,-25,498,148,-3
-21,22,15,958,340,150
-7,72,68,638,426,126
-16,77,77,403,214,334
-5,110,50,-474,289,228
1,93,60,-308,157,165
-2,63,-128,538,143,140
-3,76,123,-85,16,361
-75,-16,31,-5588,2030,-495
-77,7,10,5116,-2612,-5973
-39,51,107,14882,-9895,-6015
27,-97,-67,6764,-11419,-422
9,-11,-19,-1346,-3459,3169
-98,-89,83,-4172,6281,-1378
20,-63,-94,-273,2179,-1758
99,-57,92,6727,-3368,2513
-117,72,-117,-2562,-2122,8878
-101,81,94,-2098,1488,8492
-67,-112,36,-3158,535,5086
66,-119,25,677,-1462,380
19,-81,0,-1041,749,-1281
60,-41,55,-557,415,-5576
51,-51,12,3916,2532,-6300
-119,-127,-125,3184,102,-8031
-73,70,-20,653,-1789,-1654
-63,35,-69,-1357,-1322,3341
103,-105,-59,-536,1626,-1661
4,-47,-36,-2840,3284,-1352
88,81,-38,-1454,2180,-2821
-72,-7,7,-7550,2392,-1904
56,111,104,-10518,1915,212
11,-49,-122,-11105,1132,5030
23,-28,-103,-1675,-760,6054
-17,-99,-97,-457,-738,4402
-40,126,54,-434,-1305,3218
-3,-85,42,7709,-5479,949
-19,-107,-17,745,1883,-2476
-35,48,-66,-3620,662,-1288
-100,112,-36,-2276,-341,-1133
-88,14,-52,1717,580,-397
-58,70,-41,2198,579,-263
-12,-113,-25,-215,185,-87
12,-126,-43,-1209,315,-433
-1,118,-41,-1200,218,-557
-11,127,-28,-832,-75,86
-24,-66,-12,-1392,-298,-129
-36,54,-107,-2327,-469,-477
-12,16,-52,1158,303,366
-23,-34,23,1116,151,126
-20,-32,-39,-229,140,-115
-19,-60,-62,-253,160,163
-19,-17,-25,-445,-198,294
11,7,15,-11,52,-10
13,19,57,122,-88,-153
-9,-15,30,-68,2,-129
-28,-36,0,-249,-40,-48
-27,-38,-5,-124,1,-51
-15,-13,-2,-168,-76,66
-114,44,-8,9371,-2389,-6346
18,15,36,7846,-8126,-4237
6,-64,15,5521,-8188,900
64,-87,-94,-350,-4470,1656
-88,-115,-85,-4022,80,-300
-24,-69,-79,-3131,1903,637
-33,51,49,-2304,3225,-1050
-100,-1,-69,3641,744,1452
-40,-41,46,-3797,-3314,8167
-64,108,-121,-3733,-380,9832
70,-74,70,-3892,-4608,7763
103,-32,-79,-3456,-2,-1126
0,-38,85,-1998,25,-1719
127,111,92,5000,1280,-4156
115,-35,-91,1692,2770,-5807
-58,71,10,4795,2611,-5924
-113,85,80,7518,2126,-7917
-120,-48,52,-2307,-2933,671
-115,-24,24,-397,-2556,3372
57,-95,19,-2723,705,-1076
-64,-34,-56,-6438,3303,-3633
-113,-66,-50,-10608,3521,-3806
18,45,-37,-11408,1896,-651
-108,-122,-92,-7769,244,4473
-110,-23,44,-1644,-2560,8948
-103,-37,-97,548,-3099,5803
-119,-35,-36,-6068,-1639,1340
90,-30,65,901,-4931,993
61,4,-121,6197,2102,-1559
17,104,-32,-4086,1498,-2747
-59,127,-17,-3536,5,-1720
-53,-27,-59,1491,468,-145
-26,-7,-38,3072,675,485
14,53,-26,804,318,192
20,78,-23,-1086,-68,109
6,69,-12,-1186,-547,-55
5,78,-3,-1141,-518,-280
4,106,-5,-1400,-355,-242
-36,-42,106,-2245,-258,-369
-57,5,-124,920,-55,667
-6,111,28,2802,945,302
2,-93,-11,-379,-183,146
32,-99,-35,-1088,571,-208
-1,107,-38,-39,303,-219
-22,95,-6,693,-472,63
-17,111,-19,-204,-215,211
-13,38,-75,-3448,-384,-727
31,62,-33,250,532,626
-35,-15,-118,741,110,-143
-16,-78,-22,644,23,456
60,-81,15,2581,-1789,-3633
-27,-18,-65,6059,-5400,-5070
-87,11,123,11350,-9438,-1095
-37,92,16,4376,-7641,2059
50,126,114,-3986,-353,-500
47,-113,115,-1091,1871,783
15,-112,-17,-1038,914,603
-31,71,73,1664,851,-89
69,-91,-51,2384,1045,1250
-112,81,6,-1531,679,4317
120,49,111,-2858,1591,8437
-77,-101,25,-3863,1801,8128
88,90,72,-1496,-2468,2621
-32,-51,-73,-660,358,-1854
-65,20,49,227,797,-4544
-99,-41,-105,3176,441,-4959
36,55,-12,1775,2512,-5550
106,-120,-49,2796,386,-4992
68,20,47,2028,-326,-5883
-18,12,-57,-845,-2945,2536
39,-40,-85,-1938,-546,2662
86,-51,-113,268,875,-1685
77,-108,-98,-3053,-473,-1255
-47,-48,42,-8720,-58,-1336
90,118,47,-10177,1598,269
-101,-62,44,-9646,3512,3470
-71,-100,108,-6856,1256,7424
98,53,-10,773,-3850,8202
28,-49,-52,8864,-1567,5081
-14,101,124,-729,-1991,393
-13,112,-114,10122,-1475,-1548
-53,-15,-64,-1762,1002,-2772
-48,8,-7,-4318,215,-589
-83,119,-76,-3034,695,39
-70,104,-117,-1494,236,131
-24,-113,113,175,41,363
-18,-82,86,232,117,164
-21,-59,94,-472,82,-337
-20,-85,123,-52,311,-284
-27,-102,-98,1456,1,139
-39,-75,-88,1878,-275,453
-30,-27,-109,471,-208,383
-13,1,122,-900,157,-24
-16,-6,84,-1195,304,-169
-25,-32,86,-583,92,-182
-29,-33,98,-321,111,-235
-35,-38,106,392,-105,28
-25,-15,110,675,-245,124
-15,9,89,160,-87,5
-1,19,81,-419,-5,-69
-13,-82,-73,4862,-3444,-2249
5,72,-93,14954,-11362,466
24,-71,-120,3528,-9013,5267
-52,-79,15,-6246,-2579,1799
-2,-2,60,523,2874,-675
122,84,91,-3096,794,-111
-84,-70,28,230,-1549,449
-38,-22,-108,536,128,437
-62,-103,76,997,32,-936
110,-16,94,-1688,645,4332
-13,101,-101,-4792,2839,9954
91,-48,-72,-2172,-1312,8692
-43,103,-32,-1933,-2773,-1153
4,41,36,3844,1218,-3836
-98,123,-38,2697,876,-6721
-66,-44,123,3380,654,-6251
21,-95,107,2441,-436,-5277
-37,43,-124,-1506,-1993,-1702
-23,112,121,1591,-418,-910
101,-73,21,-345,-695,2918
-43,69,20,-1864,-312,-85
-40,-39,-18,574,280,-509
126,-72,-7,-3293,972,-3135
36,-35,101,-9717,1369,-4283
-10,109,25,-13851,1643,-4098
122,67,59,-14130,1431,-121
-22,-46,123,-6513,-3175,5416
70,95,64,2522,-7011,7134
44,-27,-20,5486,-2800,5150
12,105,104,773,-591,2860
77,110,22,-3007,-2328,-738
-41,-103,80,8749,2995,-2170
-68,-68,109,-395,-625,-483
-88,96,-3,515,-712,793
-43,67,-14,105,274,24
-51,31,-42,584,330,194
-54,24,-60,389,-100,336
-19,93,-26,-466,260,-111
7,-123,67,-378,819,-527
-15,84,106,1323,335,-75
-27,67,114,1413,125,179
-11,56,112,823,151,102
10,5,83,718,246,144
5,3,85,592,5,140
8,25,111,434,61,-33
2,28,-121,468,24,-94
-4,28,-121,517,-49,36
-2,27,123,199,-16,16
11,17,103,-130,92,-3
7,23,97,-548,41,-64
34,65,52,3890,-2869,-3308
-118,-31,18,14244,-10543,-6286
29,114,-19,8647,-12310,-826
0,-102,-10,-2352,-5358,3947
5,-80,-100,-2091,3478,756
40,-93,105,-1410,2037,-1075
-126,-52,-114,578,356,-182
85,49,-21,1133,781,704
56,-74,-74,453,4087,1270
-101,-62,123,-4897,-1138,9311
-64,-69,-57,-1905,2670,1537
-19,17,16,1423,-1438,6958
-110,-51,47,-2800,2185,-2721
44,-2,126,1874,-3031,182
-93,9,-102,-963,564,-2326
-6,-31,123,231,1590,-3659
82,-24,126,935,2071,-7225
115,-94,54,5006,358,-6449
-77,-11,-29,676,-2812,-4820
69,67,-91,632,-3124,4797
-26,122,-14,-1831,858,355
43,-59,-6,-1714,507,-1046
44,117,72,-5425,2481,-2010
-89,15,-90,-8335,1161,-506
-6,-90,-62,-11310,1865,2152
-32,78,105,-10652,2180,7908
87,125,-106,-12850,-2404,8488
-119,-26,100,7390,-6567,1549
-22,-72,-1,18756,-3155,-2259
41,-55,42,-8135,2082,-795
-87,42,21,-1727,265,-1249
-29,58,-67,4260,-1294,509
58,-74,-122,-321,1471,-133
-119,-58,-112,-1439,1270,-563
-65,-122,-24,860,282,-16
-23,-98,55,2371,73,90
-17,-89,36,2837,-344,318
13,-108,-27,1797,382,-88
-9,-68,3,-414,291,851
-79,-98,-6,-998,-425,-130
-84,-125,-32,135,-162,-583
-54,-104,-13,-17,10,-194
-56,-84,-17,-633,107,-58
-64,-86,-9,-830,274,-100
-49,-105,5,-670,207,-35
-29,-125,5,-195,55,115
-11,121,-9,47,31,-28
-14,121,-8,201,-176,-172
-5,-121,-10,-411,43,120
-23,-115,4,-515,-15,131
27,37,92,3220,-1943,-3246
90,-63,-2,9273,-6086,-4369
93,-71,-71,12163,-9514,-1211
28,38,42,903,-9209,4207
99,-95,61,-3120,-341,173
81,114,43,-1927,3132,-2534
-90,-106,-30,-33,-9,199
91,-55,-83,-1143,2250,757
123,74,-64,-1671,2709,3810
-75,-63,-41,-3110,1055,10535
-106,42,99,-75,2856,7327
103,53,0,-28,-2517,2374
125,-55,-48,939,-525,-2074
29,127,44,-1415,352,-1088
38,63,-111,-1651,-140,-3582
-65,-21,7,-373,-52,-4506
41,-116,67,2193,-875,-8149
-96,74,-69,818,1160,-5806
117,-89,29,3190,1189,-1346
-12,-95,124,279,-1297,1265
-79,101,-124,-675,-1550,3203
87,-37,-120,-4102,-23,-1220
-10,-87,-82,-8424,208,-3198
-102,123,-74,-12581,763,-4921
31,0,14,-18222,1658,-2733
-57,-13,83,-5350,-4065,5768
-126,77,68,7110,-8293,12216
120,-28,-3,564,-2326,5774
39,55,78,-143,-1417,4078
7,-72,13,6996,-4582,1638
-25,88,-31,1749,37,-2026
-6,90,30,-4595,2340,-3054
104,4,-22,-1086,-460,-786
35,-99,-38,2219,-456,829
122,57,-40,442,619,519
-69,91,-31,-427,305,-233
-19,107,-7,-593,170,-220
-38,-124,16,-664,-30,-127
-67,-118,27,-786,97,-165
-91,127,22,-702,64,-20
-73,-122,-9,-454,93,249
-60,-60,-8,-1182,-269,308
-22,-60,0,-1079,158,131
-50,-73,-9,-856,-123,345
-84,-114,-21,-234,-34,142
-75,-114,-34,312,-54,42
-49,-79,-34,108,31,-167
-35,-56,-16,-188,112,-261
-57,-56,2,161,34,-245
-39,-62,-1,262,-47,-44
121,78,-118,5079,-390,-3880
-92,-47,82,15470,-8267,-6685
-20,102,-89,11599,-12192,793
23,67,-73,-3749,-7337,6160
-39,31,-40,-4442,-511,598
-115,-21,101,661,3360,-1170
10,-114,-30,-570,2691,-902
-2,117,-52,-954,1254,541
-43,-35,-92,2330,2473,894
75,-85,41,-4540,412,7008
-81,-72,66,-148,544,8078
-113,-86,8,-3443,-2275,4041
7,-9,100,-1446,-558,-437
76,59,45,1371,-962,-2625
23,-28,-35,344,682,-490
-116,106,-84,-837,-589,-229
100,-104,-22,47,486,335
-118,79,26,-514,537,-34
-123,5,-20,524,995,-2405
-4,46,-62,971,1657,-4606
-62,16,102,3729,1191,-5640
-32,-122,-66,3672,-1034,-6427
51,70,-25,1465,-3077,-2233
113,105,-117,-1352,-1341,3303
102,-47,-29,-728,83,676
121,-94,107,-1089,732,-1259
-14,99,35,-21,754,-368
114,-102,59,-4146,662,-1962
30,-126,18,-9322,1022,-3248
86,-60,58,-13964,3892,-3058
45,-52,-18,-16239,3543,495
-61,-112,-41,-4274,-9302,6757
61,122,121,5988,-6363,5732
66,83,-98,226,-232,1575
-61,100,60,4257,-2989,1416
35,116,112,4692,-1914,-431
45,57,-127,-3204,3133,-1772
-105,-47,-97,3077,-845,938
-72,-6,65,1312,-309,835
-40,75,69,-603,-64,231
-31,20,52,-431,417,-693
-41,-74,74,1540,315,-741
-9,-97,112,1963,4,-483
-4,-100,108,1195,126,-356
-18,-103,105,521,165,23
-25,-66,82,-712,167,439
-27,-36,66,-1433,236,696
-2,-22,67,-1131,141,614
12,9,65,-488,94,379
-29,20,67,360,-1309,345
-93,41,94,4437,-1891,-3876
-119,73,-36,10067,-6811,-5740
1,-59,-29,6562,-10931,-750
34,115,-13,-1456,-9810,5718
-51,-124,24,-2422,-919,1358
-41,102,-2,-2103,1867,369
59,115,-43,-1888,4158,-1054
26,80,-57,27,2744,-394
-95,-25,104,2348,45,1951
-82,-115,-94,-4422,35,8809
-96,-3,84,-3242,-881,10008
-117,51,31,-760,-2554,3071
83,38,-22,293,1273,-3168
67,-102,55,3648,-269,-4336
-60,95,6,884,1082,-3385
9,-96,-11,1552,1823,-6199
-127,21,-78,5531,139,-6048
-33,-62,-115,-547,-1952,-1921
-102,-70,1,-5,-461,1880
82,19,105,511,-1956,1027
-128,116,-109,-2788,-989,-1208
-6,-85,105,-5488,961,-1994
100,-14,-26,-9432,677,-2201
5,-21,-88,-12423,2001,2403
-106,75,64,-8625,-70,7411
122,-20,106,1746,1530,9087
18,37,9,-2841,-338,5133
-42,37,-22,17,-2964,2523
31,-49,93,3483,-1923,1157
4,-17,23,4053,-2566,249
28,-79,90,6554,-1294,-2202
40,-126,125,-3535,2468,-1957
-83,-48,102,-1357,89,31
-109,-25,56,-2196,-36,39
-63,-56,21,-827,212,65
-44,-74,1,1497,310,91
-18,-32,14,1534,366,-790
39,42,59,-356,260,-691
16,4,48,-393,332,-828
-14,-20,53,437,11,-707
-25,-26,74,621,-351,-82
-15,40,66,-736,-510,806
-12,108,71,-718,100,295
32,-87,-124,-19,224,112
36,-94,46,-1055,-91,79
3,106,10,-505,-196,6
-18,77,13,22,-100,-237
-15,70,0,489,108,-329
-17,72,0,504,24,-209
-19,68,3,221,-127,-146
-32,-120,-93,-4186,2520,-1581
-84,45,-11,4778,-5328,-6866
65,-73,81,13521,-10309,-971
-3,126,88,11189,-10812,1981
90,-2,55,-3496,-4469,2714
103,-64,-100,356,2411,6
103,-54,90,-2547,2013,-75
30,-78,-99,-723,125,324
111,-45,-105,1425,1499,890
0,15,-15,-2095,2039,4216
87,-11,57,-3685,1137,7797
-115,-92,-90,-2849,2321,9282
28,-1,-98,-3394,-186,587
-15,42,-83,1976,-1183,-1070
-34,-44,-107,799,708,-4352
80,118,84,843,-676,-3515
-80,-59,-6,3236,477,-7361
-62,102,-5,2898,-1820,-4553
86,63,-93,540,-932,-1844
-16,-115,-85,-269,-1079,3687
14,88,46,-2190,1082,-1026
