AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-69,-27,-114,-159,-2048,5995
-5,18,-64,1177,-3125,7974
-66,-86,-13,-491,-979,7050
-68,110,-52,-766,-3278,2660
38,41,16,460,628,-4878
22,99,58,-1909,2721,-5621
120,-107,-55,-617,1312,-4509
34,96,-91,1726,3747,-5212
112,-120,-121,-719,546,-3707
118,68,47,-2055,-1534,492
6,121,-86,-19584,2345,-4522
16,-32,24,-7945,-121,-575
66,70,43,10040,-1728,8669
-27,2,54,-1329,364,3379
102,-30,-30,-2017,126,5836
46,41,118,4250,-1238,8276
-100,-101,-127,-250,1958,3142
-108,-34,45,2393,-98,3128
-1,26,25,2432,131,462
68,103,46,-598,105,-942
80,-123,91,-667,-658,-1753
124,-69,-119,997,-673,-2081
-89,46,-98,2025,-240,-2072
-90,36,-58,1552,-260,-1579
-79,52,-12,387,-363,-620
-80,48,-2,-695,-474,-70
-69,96,-19,-2003,-324,313
-68,-123,-80,-2243,-38,408
-81,-107,105,-1341,70,555
-99,-69,90,-287,-142,836
-89,-21,73,-401,-71,687
-60,25,40,-872,115,511
-53,51,31,-1123,-120,440
-59,60,19,-831,-288,146
-87,74,11,-617,-257,-343
-94,49,12,-165,-82,-618
-102,19,11,247,-81,-491
-97,8,8,252,-130,-264
-80,21,9,-297,-144,-192
-66,18,6,-320,-171,-243
-69,17,13,-174,-283,-186
-72,35,21,-404,-197,-143
-69,52,21,-498,-63,-105
-62,55,16,-246,-58,47
-65,68,9,-150,-145,85
-63,79,7,-193,-65,45
-58,83,5,-148,-100,78
-56,89,4,-212,-110,49
-53,93,4,-190,-92,21
-49,96,5,-141,-124,-10
-109,-16,-67,2394,-1766,-4530
-77,83,28,5158,-4116,-3708
-1,-5,33,-524,-5253,-794
-95,-36,-118,779,-3107,-848
-40,-44,37,631,-2167,540
-67,-93,17,2002,-1764,883
43,22,-28,3111,1184,1943
3,-11,44,1461,-801,4668
-41,9,8,43,918,7142
-107,-57,114,-689,-1691,6521
95,-117,41,-2908,-2817,-68
115,-15,26,-1971,1387,-4672
-26,5,-16,246,3321,-6413
-31,117,-28,373,67,-6485
-39,-49,40,927,3461,-5430
-35,-10,82,-4528,-1085,2363
10,24,9,-7316,-1196,-483
-31,46,-54,-13099,905,-2593
-19,18,18,-4516,2337,2386
73,-24,-87,3592,-1112,5280
94,82,85,2036,231,5638
57,-44,63,-1837,-177,6642
57,-93,-17,732,-524,4884
-78,-102,-11,2904,228,3156
96,-62,103,3565,1276,406
81,-101,125,-298,74,-918
28,57,6,579,-288,302
80,-72,65,28,301,-27
98,-106,99,-175,-231,-9
96,120,115,-45,-348,-115
120,113,127,-386,-122,-217
114,122,-122,-116,-271,-212
112,-126,-106,-324,-249,-186
118,123,-125,-5,-161,-170
-124,-110,121,-77,-24,-244
-128,123,109,594,-282,-301
-111,-111,94,187,17,-37
-114,-92,65,-654,114,-324
-112,-123,54,279,-186,-57
-101,-87,33,-193,-67,-103
-106,-82,31,-237,-203,-10
-98,-69,25,-242,-231,8
-89,-40,15,-621,-175,-126
-102,-52,13,-226,-381,-39
-84,-39,3,-186,110,-118
-58,-43,-18,48,117,-163
-60,-61,-22,636,-7,-158
-67,-35,-17,83,7,-216
-66,-67,-14,635,45,-108
-86,-23,-12,-378,-177,6
44,-112,-26,-10939,1963,-1480
-45,85,-57,-5015,2309,1476
111,65,122,-5158,1628,4319
59,-8,75,-1815,176,6548
-22,127,-17,-1953,-1030,7735
91,-55,-108,1651,-363,3515
-64,25,38,3050,-352,2126
-8,-14,-87,2045,-833,-874
-113,-27,-92,-943,485,-1199
-43,-43,38,-610,-253,311
-79,45,-17,-181,194,-242
-76,51,-7,-306,-164,115
-72,49,-7,-141,-8,107
-64,61,-9,-56,-163,102
-52,83,-20,-339,-79,116
-52,88,-17,-245,-217,-100
-64,74,-12,145,-252,-22
-63,93,-14,-250,-248,-96
-61,88,-25,-180,-107,-100
-54,96,-25,-446,107,-7
-56,89,-22,-143,-132,-175
-54,88,-18,257,-368,-111
-58,85,-18,-129,-189,-45
-53,96,-22,-420,-86,-132
-53,84,-19,-34,-224,-45
-54,96,-21,-135,-188,-85
-50,99,-23,-245,-110,-79
-46,108,-28,-467,-79,-77
-44,121,-34,-589,-36,-82
-41,117,-30,-74,-214,59
-38,125,-36,49,-183,19
-42,-127,-37,-158,-104,-22
-37,-125,-46,-314,-72,0
-40,122,-48,80,-38,20
-24,-122,-53,-94,11,-70
-13,118,-60,181,3,-76
-17,106,-61,449,-162,-11
-25,90,-64,516,-67,-42
-26,100,-59,-152,14,-113
-14,54,-72,757,92,71
-17,66,-69,262,-131,26
-7,77,-53,-292,102,-55
-2,43,-32,464,170,-40
6,36,-12,606,216,-24
72,8,-8,374,322,68
-37,19,21,477,-440,246
-32,60,68,-529,-171,2
-1,38,90,-175,17,37
-8,24,88,492,-297,154
-47,49,99,207,-239,-40
-119,66,-77,2156,-3456,-2733
0,38,67,3185,-5422,-1953
-49,-18,39,581,-6685,-208
54,-64,32,-357,-5114,630
-109,-99,118,212,-2759,387
45,-82,91,19,-387,274
10,103,-27,944,-369,739
61,-33,112,2648,651,4406
-117,-127,70,-95,-138,5725
84,65,-105,1340,2554,5901
59,64,-96,2284,-516,4212
34,-97,45,-4548,-1511,-496
-10,18,-112,-3080,-1159,-3840
-57,-24,-98,-5454,1909,-5987
-111,85,-94,1198,2377,-6107
82,-58,-111,2540,1815,-6829
39,-61,48,-7360,1176,1556
-81,-86,31,-1014,966,1079
-12,-81,52,-9309,115,-917
-117,56,59,-6382,2229,1400
-29,43,-71,330,615,5620
21,-7,-60,475,1612,6204
38,-5,-30,-4365,-308,7247
-12,-99,-95,547,-632,4169
-128,7,63,2408,-1655,1664
92,-81,-24,1928,-1184,948
-108,77,0,492,-467,-9
56,-49,4,132,345,-675
75,50,2,564,763,-846
-90,49,1,-718,1179,-410
-113,10,19,-1410,101,-1091
113,-54,86,-240,-767,-538
-113,-51,72,-64,-65,-659
-99,-76,63,346,35,-730
-84,-53,61,4,-201,-434
-86,-51,53,-73,-316,-266
-87,-35,51,-114,-433,-130
-80,-4,38,-293,-150,41
-69,6,27,-559,2,65
-62,56,10,-1282,377,222
-70,63,8,-1030,200,10
-71,39,17,516,-213,110
-67,50,19,662,-374,102
-60,67,11,78,-383,-9
-54,72,4,-293,-51,-30
-62,54,7,-113,-149,-64
-62,49,11,65,-259,33
-63,58,9,-69,-272,-79
-64,42,15,304,-229,110
-57,63,9,-291,-50,-42
23,67,-59,2297,-3393,-2419
72,-59,34,167,-4437,-2583
-33,-24,-34,1079,-4869,-2038
16,-84,-115,515,-3847,-703
107,-123,-49,307,-2290,157
-1,113,-52,103,-1760,338
25,120,-124,2437,-1274,1678
-95,112,115,865,-471,4074
125,77,-115,-733,-116,5116
126,125,-58,2213,978,7474
70,-28,-112,-1894,-898,5602
-34,73,74,-1326,-1333,-1996
-30,80,9,-1613,224,-5588
-70,117,-64,76,1979,-5690
-38,7,-56,-948,340,-4313
1,25,-25,3297,1931,-5030
53,-55,102,-2515,-553,-767
116,-109,-97,-1506,-218,-1553
7,112,114,-9530,242,-1138
78,19,109,-6909,1401,1748
127,88,109,-2183,1247,4490
28,84,-114,-2651,1894,4456
30,44,78,-2386,1619,6209
-85,-15,3,-1753,-714,5834
-109,-65,110,-1404,-1825,3154
46,-92,36,-592,392,-50
21,-21,56,464,-137,464
-110,-128,63,344,-1010,302
123,51,13,430,-71,-4
-110,-49,-7,575,279,-252
-90,-90,-16,802,106,-550
-82,102,-25,1033,-234,-779
-79,43,-13,263,-603,-804
-77,11,-9,-152,-229,-689
-83,-31,-2,268,-80,-598
-61,-27,14,10,-137,-206
-59,15,15,-536,-179,170
-67,30,4,-387,-81,12
-72,44,6,-139,-73,150
-45,63,5,-262,38,233
-39,85,0,-247,-49,212
-48,104,-5,-145,-76,32
-43,103,-11,51,28,-170
-37,98,-1,275,-62,-151
-36,86,-3,391,-41,-232
-33,79,4,268,-5,-183
-38,80,8,43,-20,-98
-39,81,5,39,10,-152
-34,75,7,89,-52,-137
-18,71,11,38,-14,-158
12,57,34,-675,549,7656
-86,-114,93,933,1310,7476
69,1,-123,-2333,-3797,784
95,101,-114,-1547,-804,-5017
124,18,76,-1836,1610,-6791
57,-73,0,-422,525,-3528
-2,-42,72,2485,2949,-5104
77,111,57,-2818,-272,-2330
-112,-126,-50,-3817,-581,1026
-1,-67,-89,-8957,1946,-2224
61,-28,-73,-8386,1720,345
-61,-69,110,-1549,920,4464
-84,-98,-87,-944,409,6491
-19,108,3,-2811,-639,7434
20,18,-25,461,-1612,5568
-18,-64,125,2804,198,2426
-47,-110,84,2708,-3,1118
-117,51,-66,-3886,-1705,-993
66,-23,-35,-37,252,-89
14,88,-34,598,1751,-1657
79,100,-14,-408,1424,-1207
-115,75,14,157,199,278
-44,19,46,1154,-372,-41
-41,-21,47,1678,-363,-344
-75,-18,71,527,-538,-427
