AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-82,3,-49,5402,-1919,911
-66,62,93,4694,-1319,-1268
79,34,-98,5079,668,-1764
52,68,-48,2667,-4503,-2164
-30,-93,5,1000,-4950,-1694
29,20,113,2294,-3843,-2541
44,43,100,-594,-3838,-1099
68,-106,97,-1401,-4227,43
-111,73,-90,-244,-1472,-734
4,48,-120,1504,-26,-357
-108,54,67,81,-1019,2265
85,-38,93,2164,-1838,3935
3,-98,76,2078,418,5636
2,26,-51,2639,911,6528
84,-47,30,222,262,2943
93,-105,-68,-3458,-113,-2170
37,-88,-3,-759,1141,-4614
66,94,-72,-2186,1255,-4577
60,-93,37,433,526,-5451
-7,61,-54,-391,436,-4127
64,86,-93,-347,-1405,1973
117,112,23,-791,-272,611
72,49,-6,37,440,354
-65,-108,-41,-1089,563,-682
29,32,-115,-3541,1405,-1124
126,-37,60,-11498,2745,424
-126,34,-43,-8122,2568,2895
34,-84,-60,1025,-1083,7728
101,-59,105,178,308,5728
38,-67,-122,-174,1045,3503
107,-120,114,3873,-147,3295
65,71,8,1160,-401,155
115,14,-9,3076,-721,549
42,-27,-40,-191,311,-125
61,-87,-14,-1099,268,-167
76,53,9,872,58,-94
109,-24,38,2034,155,-222
116,-54,58,2255,45,-32
110,-32,100,877,-408,39
112,-19,118,-494,-76,-169
110,-54,100,-206,112,-164
109,-50,86,-104,-82,42
100,-10,67,-380,-84,24
99,10,41,-341,183,-200
105,14,16,52,177,-182
97,26,-2,227,-97,-125
111,54,-1,-296,-43,-165
125,59,-6,-206,52,-195
-120,71,-15,14,64,-349
-121,64,-20,275,4,-373
-111,105,-67,1046,-3975,-2989
1,114,102,2218,-5647,-2613
-34,-38,84,850,-5119,-1614
106,-119,-112,-1833,-4941,-1097
68,28,-89,-1048,482,516
-40,-106,-57,690,-402,-156
19,106,49,2064,-3020,2943
53,7,20,3322,-3017,4877
-31,59,-128,347,-1632,6084
95,-53,-22,3040,203,5356
-6,64,90,-115,-1570,2053
52,114,121,-2804,481,-3904
-96,-77,123,-650,2844,-5606
-24,-102,127,-695,1864,-5677
-112,33,49,4025,2000,-6168
116,102,-9,-1377,-1581,-1280
110,75,-97,-749,647,1854
15,-8,-93,-756,-786,413
41,-99,-96,-2110,248,-83
-72,-119,42,-5004,1678,-985
11,125,-8,-5237,1215,-458
22,-54,-88,-5753,1283,889
-112,53,110,-2174,1201,3841
31,38,-67,-1282,796,5262
-53,-48,-38,1008,531,5127
40,10,28,-1164,489,4131
-41,89,6,2572,486,2155
91,59,-35,2025,533,1510
-102,112,-38,2047,-399,1039
98,18,-15,330,-462,508
85,-64,-5,-234,-486,355
91,64,12,930,-296,-159
100,62,29,594,58,-403
100,29,25,292,58,-477
105,-5,39,699,-108,-179
96,4,30,333,-99,-241
108,34,53,-234,-119,-150
117,-1,26,646,206,-154
-128,35,8,-42,58,-202
120,41,-5,-287,-103,-159
116,45,-17,-149,15,-172
-120,57,-24,-143,90,-129
-116,68,-35,-39,6,-132
-123,87,-39,-20,-86,-176
-120,98,-36,-137,-74,-217
-120,108,-39,-67,-56,-234
-115,115,-40,41,-38,-298
-109,112,-45,279,15,-314
-104,110,-46,337,-80,-271
-101,118,-40,262,20,-328
-5,32,-60,3116,-860,-4149
-98,36,79,2021,-4593,-3458
-34,-74,85,-2391,-5288,-3009
-58,49,21,1654,-3518,-3165
-126,43,-54,2370,-4491,-1495
-86,81,23,941,-1194,-909
43,58,-38,1071,265,100
-86,-100,93,3401,-703,2966
14,14,-59,-163,-2084,3631
-128,45,-126,918,-889,7270
-107,125,25,1393,-616,6201
25,-42,22,-450,89,543
-78,24,11,-679,1164,-3756
-33,73,69,-772,2332,-6933
-79,-120,75,150,291,-2904
125,48,-77,3481,2594,-4668
66,103,68,-2058,-694,-1628
-72,103,20,236,-480,1589
68,-23,71,-823,-1273,179
67,114,68,-59,-497,-379
-45,-112,119,-3082,909,-2115
-24,84,122,-5279,832,-1194
-47,64,-112,-5590,2678,2112
-10,105,111,-2541,2373,5391
-64,-128,120,-1828,1782,6277
-30,-128,71,816,1327,5471
-48,26,-53,3531,332,3438
-47,-68,98,2640,1117,1283
-47,-124,-72,-440,-471,506
83,3,-41,-1128,-583,60
96,104,-14,663,-306,487
-95,49,-1,1380,369,249
120,51,26,971,-31,90
93,-62,57,2262,-394,41
76,-55,82,1062,-171,-495
114,-80,71,-215,509,-909
-91,-120,66,-467,366,-638
-80,-112,61,2,-6,122
-116,-44,39,-446,-14,31
111,-16,4,-480,115,-431
-126,-13,6,-346,20,-260
-111,6,2,-184,46,-53
-93,14,-29,233,295,-147
-80,14,-50,64,269,-263
-94,8,-51,26,-128,-87
-99,8,-39,163,-77,14
-88,22,-29,77,73,-52
-69,27,-25,98,0,43
-85,57,-12,-173,-170,-7
-120,67,-9,-37,-122,-86
35,64,75,2241,-2908,-2985
-83,93,-94,1602,-5135,-2983
-113,81,-111,1179,-5121,-2726
-35,-120,-104,653,-3954,-2094
-24,86,34,-36,-2531,-984
98,-12,49,682,-1269,-342
-16,-85,-48,3226,-841,846
75,89,5,1756,-2506,6338
-34,-82,37,400,-1198,5301
-30,34,36,1928,1184,6812
-112,-85,-68,81,-183,2502
-110,-123,73,-2454,-233,-2991
122,-65,-7,-995,1722,-5426
32,70,-40,256,635,-3884
120,2,-117,-71,626,-5853
84,-14,35,-2794,543,-2439
28,-35,49,-72,-504,2134
40,87,100,-31,-755,-757
-20,-52,-88,-1006,-816,-50
126,63,100,-1487,1542,-186
-89,100,38,-3685,2413,165
37,-109,83,-5234,3132,1610
126,-8,73,-2365,1442,4878
-21,-22,9,-2123,1860,4366
-22,88,57,-3290,1494,4448
-94,97,-57,2436,-1318,3728
-68,-93,-5,428,1061,1393
75,7,-126,316,1256,1354
