AccX,AccY,AccZ,GyroX,GyroY,GyroZ
21,33,58,4485,3477,-2672
-116,-72,-52,4284,4224,-4065
83,-10,66,3252,3888,-5727
64,50,92,4962,3312,-5721
-120,40,-98,4895,2495,-7311
69,-128,-26,5335,3844,-7923
100,-39,-56,3317,3351,-4098
-82,-103,-95,1292,2502,378
4,56,-38,-105,637,1684
50,127,52,-6786,-5425,4387
56,-106,121,-10937,-14441,7492
31,98,-5,-7557,-8426,1353
-19,111,56,-274,2816,1181
-26,117,101,5045,-1479,-3406
46,-98,-75,-1122,3744,-2657
0,-32,-46,3166,-1111,372
-87,18,73,3702,-401,-213
-43,71,-55,2193,243,1347
63,73,78,-1659,-5115,6012
44,117,12,-3434,-2500,9978
-82,61,120,-3527,-576,3336
76,-93,25,-1704,-2550,4161
-111,-86,62,-963,-3022,3109
-51,24,23,1141,-3256,612
-111,-50,-68,570,-1347,296
63,119,-52,-365,-169,646
91,108,-67,-860,656,535
58,44,-57,832,-397,111
61,37,-96,-157,-198,-169
47,15,122,-974,185,-115
48,-11,114,-324,57,279
68,-5,104,48,-59,299
77,9,92,-17,-246,170
94,20,92,-620,-39,-4
100,36,90,-1033,132,-170
80,-11,110,200,-177,71
92,26,96,-489,-55,60
105,24,103,-443,-3,122
101,14,100,32,-109,137
116,18,98,-106,-29,184
123,23,96,42,-111,320
-111,54,80,-415,37,-67
125,38,80,-308,-3,-220
120,4,89,9,-67,192
-122,23,79,-455,-30,101
-115,18,80,-353,-58,141
-110,12,87,-41,-165,207
-98,24,82,-171,-57,149
-102,27,75,-47,-76,77
-101,31,69,-331,-102,50
82,38,-126,6434,8430,-4087
-24,120,-75,7213,6697,-5793
121,-59,-42,6677,4049,-5624
35,-29,114,6932,4670,-8405
63,-109,29,5808,5518,-9633
75,58,14,1242,4189,-3631
-40,-2,-67,-495,2972,-180
-91,95,-6,-11524,-9763,5457
111,-8,-62,-9055,-19794,7575
-25,-74,-95,-10697,-212,-660
-70,-52,-123,4635,-1356,1686
-96,-24,-124,4390,1347,-4225
54,-98,-126,-1492,1527,-1702
-51,126,-125,1953,-901,-290
105,70,-3,3590,-2030,365
10,14,-40,3225,-3714,4744
34,118,33,-869,-6742,9238
73,11,-126,-3364,-2512,5888
12,79,73,-2189,-1739,1674
80,-56,71,1088,-1173,2589
70,-102,62,307,-555,3141
75,11,-107,27,-448,908
68,-127,-94,81,-1551,1242
-83,102,-91,-331,-235,694
-128,46,-105,1502,237,865
69,30,-127,1536,-304,119
38,-14,-125,625,-527,-137
42,-42,-126,31,-52,70
58,-49,117,-427,162,218
83,-38,102,-818,11,549
80,-8,93,-1035,-215,570
90,14,88,-1084,-203,228
115,6,92,-700,64,-531
120,-42,86,425,218,-868
78,-62,86,412,-252,-364
90,-40,77,-585,-89,-95
111,-40,84,-699,13,-141
98,-26,86,-451,-29,-76
101,-16,86,-253,69,-86
122,-12,84,-205,159,26
-128,-2,83,-98,30,345
-125,8,82,-98,-103,325
-119,9,84,-24,-15,298
-109,25,78,-425,-28,167
-101,26,83,-408,-11,90
-92,22,87,-215,-60,71
-97,24,82,-153,-32,-6
-97,19,76,-75,-26,-12
-90,12,74,-13,-60,8
-76,11,70,-123,-59,-104
110,83,35,5864,3992,-3543
42,-114,-116,5284,2435,-5588
49,91,-31,2873,4131,-7300
-14,-60,-22,2837,5191,-7661
-5,68,-64,-231,5238,-8530
-74,-47,84,-1979,5179,-7599
-1,92,21,-3220,5216,-6164
46,10,118,-3518,3905,-4535
-34,-63,120,-1708,2504,-3364
-31,-47,69,-170,-616,-418
-81,86,-54,3553,144,1605
117,-103,-91,4493,1709,2352
12,84,-68,4849,1165,2646
106,-23,-9,3012,437,3756
87,43,9,-2431,-811,3873
-111,71,17,-7555,-15153,5157
-41,-23,-80,-2675,-19569,6707
-73,-82,-107,-3720,-3041,3207
-16,76,-28,4019,2897,-4785
-73,124,123,-1918,313,-1511
85,64,-121,1372,2994,-2144
48,54,6,2909,4189,-2089
126,28,-119,2566,2343,-2276
-80,-54,87,4101,1121,-1106
32,-93,5,3411,2510,2935
-72,-22,48,-3070,-3214,10447
56,59,-6,-2352,-2632,7355
-100,39,5,-4763,-6343,6332
-53,28,13,-632,-884,466
-106,95,-9,-2443,-2700,5085
55,48,-35,-550,-2699,3266
107,-59,-77,870,-3993,3661
71,91,-36,1697,-995,-40
-57,53,-87,689,603,-2412
-74,-90,-37,1816,180,-1060
-60,-85,-65,1258,-212,1243
-48,-90,-81,781,-59,1209
-21,-87,-109,270,242,659
0,-66,-122,-767,381,541
14,-53,113,-970,224,354
6,-50,121,-493,-216,176
12,-52,122,88,-132,139
17,-50,124,163,-86,-31
23,-52,115,-35,-42,-147
37,-61,113,-181,-101,-207
20,-65,122,-224,-272,-6
29,-56,109,-199,97,28
46,-48,97,-427,154,-195
61,-52,88,-473,17,-201
59,-57,92,-256,-167,-20
58,117,-95,1798,3984,-4692
35,34,92,922,4532,-6814
-10,13,126,1884,4430,-6313
-94,-5,-94,171,5240,-6965
-59,-46,126,-1017,6398,-6754
52,82,64,-2233,5113,-4746
-127,35,-81,-4569,4535,-4366
81,-68,119,-3245,3682,-2481
-48,1,52,-2373,2749,-2545
64,-100,-31,-2269,1464,-1556
-107,105,68,132,1808,1308
-49,-15,-31,2861,3346,1570
-16,-64,15,4397,2240,3254
-45,-104,-50,4614,1441,4185
95,-68,-124,-143,-1574,4985
13,68,-89,-5293,-9782,7688
124,58,-116,-7611,-17654,9906
66,74,-113,-12494,-4918,-260
-46,-13,-46,5089,1655,-236
123,94,-115,4026,1472,-4139
-100,-116,-2,-2647,938,-1696
-121,-110,-32,3114,-919,-653
87,-52,32,3618,-708,-1177
-43,-26,4,1772,-1338,1240
80,-67,119,967,-3504,5073
26,66,-85,921,-2681,8270
-100,-126,30,-1417,-3560,6792
110,11,106,-1560,-1992,3441
76,-94,-7,-974,-1526,3450
99,39,107,1526,51,550
61,0,-29,-430,-401,737
-30,107,-40,530,-2005,257
-22,14,22,1004,-2408,203
71,56,0,-818,-705,546
34,28,-5,319,-141,1148
0,16,-60,1363,50,705
-29,19,-114,1008,-41,243
-29,17,-112,-574,-183,19
-30,0,-113,-1176,-179,-314
-19,-25,-108,-925,-43,-93
-1,-27,-117,-735,141,-128
13,-38,126,-363,152,-93
15,-43,104,65,-4,-5
16,-29,101,-249,-139,111
22,-27,105,-57,-140,294
28,-14,106,139,-174,286
40,-1,97,-97,-36,162
51,-1,83,-196,40,30
64,-6,82,-236,-51,52
61,-3,86,-317,-31,22
-108,-96,22,3883,2863,-4788
-97,-88,-107,5154,3147,-5747
-59,-76,-65,2718,4860,-6402
-60,97,-123,2314,4973,-6874
-17,125,92,871,4952,-6608
73,-90,-68,-1158,5035,-6632
-83,-38,55,-3414,5210,-4489
-2,-76,-31,-2309,3103,-2306
-85,92,121,-840,1672,-1389
96,-61,-95,2510,1111,134
68,110,-123,4147,363,963
117,78,69,5133,-409,2595
-55,50,-88,3592,-276,2048
107,102,-121,-2213,-4981,4923
48,25,56,-8710,-11399,7527
16,85,49,-4331,-11147,4636
-73,121,27,-1100,-629,2487
-8,-90,-85,1758,934,-5782
-122,50,65,-213,2720,-2784
30,-15,-75,286,-93,-169
-72,12,113,2884,885,-1776
-9,83,76,1852,742,-370
26,28,-19,2239,-893,252
-108,-30,-31,2076,-1734,4265
-25,63,23,-165,-4611,7223
-82,-83,-48,-2035,-2433,5388
-3,76,74,-1394,-725,2666
-81,-17,4,-658,-2623,3156
-18,-106,-60,-724,-2680,1870
-9,33,-112,-581,-1638,909
-35,-112,96,328,-1251,1218
8,-83,39,-433,-625,1359
13,115,-10,-223,-773,536
-9,127,-47,-1044,-886,480
-25,48,-58,319,-921,588
-9,14,-95,576,-438,422
-4,30,-110,-449,62,99
-1,29,-127,-816,93,-32
0,-13,-127,92,-99,91
10,-13,126,167,-34,130
16,-3,114,-10,-13,211
21,-10,109,188,-110,263
35,-4,105,69,-84,228
38,-10,105,358,-41,334
50,-36,111,1019,-29,312
71,-40,101,726,119,298
68,-34,84,-128,21,124
66,-44,83,-196,38,138
73,-50,77,-95,122,156
77,-54,66,108,78,220
85,-1,2,4051,4140,-6056
-99,21,60,3627,3964,-6421
-47,-90,-10,3310,6724,-7008
117,-48,-95,4031,7102,-6820
-43,-107,87,-1218,5673,-6813
-96,-27,26,-2617,4051,-5327
-110,112,-14,1458,43,-723
-100,112,-15,1811,-544,-655
-16,101,2,3858,256,-1720
42,-110,44,4509,1264,256
33,-104,-126,4521,1018,750
-10,-37,22,-235,-3022,4066
-81,118,-11,-10891,-10319,4537
-25,68,-27,-3596,-19454,7360
75,-21,80,-7425,-958,3439
62,37,-36,2831,1305,-4788
-8,-27,-106,1665,1387,-2142
