AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-58,117,84,5800,2157,-3652
-89,124,3,5206,4737,-6103
-3,-59,5,1849,-1083,-6648
-34,81,-51,5772,2098,-7047
-14,59,126,11158,6205,-5999
-81,-68,43,-4954,12373,-1710
-26,119,56,-12618,-6859,19417
27,54,-106,-11136,-16641,-508
-41,63,-46,4432,-8416,-2941
-49,-18,87,-2307,16376,-3224
30,-118,105,-19342,-10283,15311
-115,-13,-67,10867,-5108,-5842
-21,-95,40,7944,7570,-12684
73,115,-77,7347,1450,-18341
-87,82,96,4583,-1126,-11169
-4,-42,116,12183,-1374,-6645
-71,66,44,-8117,16526,-2408
34,101,22,-946,14718,-6214
-26,-107,-46,-14460,-3053,13560
126,39,66,-6141,-8111,13826
-15,65,-122,832,-4175,4891
23,-70,-63,-1974,-416,1534
111,96,71,-4981,884,337
83,36,89,-1988,-1023,-330
107,73,-6,-1673,26,102
31,41,-46,-1313,782,384
-70,108,69,-2080,2491,1112
89,-91,122,-2828,4048,1382
-114,103,118,-4114,5160,2634
-51,88,-48,-5993,4013,3854
56,112,33,-2341,1864,3808
-123,-76,-100,-2707,2390,3316
-42,-86,-51,-3131,1591,2002
-81,-109,79,-1844,-469,1557
-18,42,-123,1777,-342,1896
-37,-80,-90,4357,-527,2544
-43,110,122,3317,221,1459
-54,126,-124,-117,830,652
-77,88,118,-2062,715,-156
-108,64,107,-1585,-45,-203
-105,55,111,-720,-130,-69
-101,59,116,-114,-94,-164
-112,71,110,99,-77,-47
-109,76,108,207,66,-13
-111,41,109,1026,-63,-152
-97,25,113,1007,-201,-158
-91,24,111,734,-122,-57
-80,38,107,214,185,8
-92,32,98,35,130,-233
-97,39,94,-188,160,42
-89,27,113,2140,1727,-4568
-87,-12,73,3784,1103,-4639
-89,-11,-6,5276,2747,-4394
-10,91,-92,9156,5033,-4583
-43,-54,-104,6656,6821,-3271
72,79,56,1972,8189,2828
37,121,-85,-7249,387,11395
24,45,52,-7672,-9328,6290
-108,101,-98,-4130,-7670,-751
38,-120,-104,-1227,-2738,-6450
-18,-119,-14,-1701,408,-7025
-110,120,73,1892,1518,-6986
36,-85,94,-1399,4721,-5662
-109,-33,44,2695,6421,-4720
60,-91,119,9266,4724,-4105
25,124,28,4291,10842,500
82,-71,97,-5828,11989,-299
104,105,51,-717,-2277,11605
-78,-102,123,-1432,-608,13081
-20,-52,59,-1273,-7489,7890
82,105,-82,-2648,-915,1668
-107,110,64,525,-430,1329
57,-91,-69,-4618,1367,497
-94,-35,109,-2964,3932,512
78,-88,-28,-7997,4995,2609
9,89,-125,-6339,8025,3666
-27,69,-13,-9667,4094,6965
35,118,-88,-6840,-38,6294
-19,-123,76,-766,755,2619
43,55,-56,2261,585,2847
-4,29,-108,1241,-539,1781
-19,113,114,2430,-206,961
30,124,87,1473,-885,1610
-51,15,59,1549,-913,-86
-99,-48,80,-915,-144,-1400
-123,118,120,-1202,6,-745
-113,43,119,279,284,-166
-90,66,85,582,253,-147
-73,-54,41,-3050,486,-593
-101,-84,15,-1932,-389,69
-91,-70,39,-262,-363,297
-77,-27,56,-384,-20,-104
-76,-36,67,141,198,-206
-89,-47,67,202,-127,53
-76,-36,71,243,-71,62
-78,-74,71,1094,84,-102
-77,-75,44,887,137,152
-69,-70,23,321,184,109
-80,-76,29,211,26,162
-72,-98,41,646,35,320
-41,-118,69,-2793,877,-4635
1,29,103,-84,1170,-6029
-65,96,67,1348,370,-5910
95,-20,50,2605,2850,-4725
23,-44,5,10339,3262,-4103
-125,-55,97,5416,5344,-5840
-67,22,63,3903,9669,-3124
-98,79,-114,-2423,5091,8819
70,0,-119,-12515,-6226,13204
56,32,-13,-2944,-7893,-969
97,109,-105,-938,-4150,-4716
-95,-120,29,-2191,465,-5663
-114,66,-27,1160,1676,-5558
24,23,-62,-2102,3835,-3175
86,52,-94,243,4807,-1558
23,-6,-48,-317,5474,2516
29,110,-90,6115,5136,2762
49,-50,-119,1905,12323,-2371
114,-72,-27,1580,-3159,18799
-32,-35,94,-2651,-5743,11253
92,-67,32,7185,-6437,3527
-31,106,-34,-5056,-1345,5326
51,-125,45,-2504,-1371,1739
-84,-31,-91,-2490,-379,28
66,75,77,-4144,2268,1293
-26,14,-128,-5216,3764,278
109,41,-15,-6488,3661,2569
-28,-80,26,-4773,4827,5672
-20,-95,-34,-3083,9320,6914
34,11,-67,-4096,2729,8892
88,-41,-115,200,2549,202
0,-68,25,-1128,3157,3457
121,-115,27,-9,-577,1439
-3,-58,36,3715,-2486,-176
-36,-60,97,2151,-2824,-159
14,-82,94,-155,-886,-926
-45,-120,118,-772,-132,-462
-92,67,118,747,344,-209
-87,71,98,1213,862,-219
-56,95,96,586,663,-478
-65,107,124,8,-347,-555
-69,81,-88,-326,-893,-801
-59,126,-83,-2074,-338,-555
-37,125,-107,-1796,452,55
-53,119,114,-503,104,440
-65,-120,88,363,-304,464
-45,-96,67,110,-71,179
-28,-80,53,-344,212,-93
-63,-70,58,-510,6,27
-69,-64,70,-441,-53,40
-41,106,64,4942,1421,-5251
-112,-59,126,7857,5284,-8809
58,-117,68,7984,4767,-8908
33,65,21,1635,7282,-5432
11,-97,-11,-6764,1542,18224
37,-109,100,-10043,-7922,12681
-111,2,44,-8025,-7700,593
66,-63,-77,-1277,-1366,-5871
-107,82,40,225,1732,-7697
-116,-3,-78,-933,3600,-8831
-69,127,70,-3921,7495,-7094
-5,121,-23,7242,8031,-7706
46,1,-89,-3348,16218,-6508
-117,112,21,-1891,10096,12278
-56,109,44,-8300,-5778,13491
20,54,-9,2991,-11149,13574
37,76,48,-2439,-4000,3540
98,-86,116,-2922,-578,1488
49,-80,93,-1580,1264,14
-119,-87,86,-4052,1340,481
-15,7,116,-3376,2939,2000
-7,-68,-38,-4996,4670,4963
2,22,93,-2601,4749,4693
-98,-99,-8,-1153,7922,5017
79,40,103,-4702,6452,5895
63,62,80,-228,1482,3295
62,-105,69,-509,-974,3902
-91,10,80,884,521,2826
-97,-7,108,625,569,1569
-1,25,73,965,-241,165
-124,-87,97,2806,-1149,-1537
-89,15,-42,3245,-1205,-1901
-40,-11,-33,950,-36,-1483
113,-22,-5,-745,-106,-68
94,-11,-42,-1358,169,1138
-128,24,-70,-1490,-80,1586
-84,67,-105,-1320,-189,1084
-96,97,121,-997,-35,-242
-85,65,104,126,331,-1162
-79,29,111,940,261,-929
-88,25,114,657,-17,-604
-97,28,105,308,-142,-528
-87,28,90,248,264,-99
-67,38,80,-90,437,182
-61,56,78,-528,-42,251
-93,94,90,-780,-151,34
-55,-118,112,-648,639,-945
-2,-92,103,-173,920,-387
-39,-102,107,487,-4,-132
-48,-86,110,247,-219,109
-48,-92,47,8366,1360,-5928
27,-59,124,11626,3074,-9848
16,4,-67,3982,6820,-11313
-118,111,116,-5106,15358,-2202
33,48,36,-17227,-7132,21798
-124,-9,-106,-7346,-11716,949
20,-50,-111,3444,-1713,-4244
73,-113,25,-1548,-224,-4403
7,0,86,4311,2280,-5470
98,85,58,-1258,5280,-5479
32,78,119,3295,5193,-3770
107,25,71,7532,5257,-4271
-21,120,53,10754,9082,-8269
46,64,-72,-4228,12884,12273
-68,-110,55,-17750,-6713,12474
114,20,-39,4438,-11253,8748
41,-1,87,-487,-3493,3609
107,62,120,-4204,-1860,1831
74,-46,1,-2762,-1956,1971
98,75,25,-1982,-565,357
-27,33,-7,-1708,653,812
126,54,-70,-2420,2468,1667
42,74,-18,-3240,4937,2669
101,-121,8,-3126,6740,4528
-53,-3,94,-1960,4607,8694
