AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-11,15,-55,-2034,3249,-4807
126,-97,90,-1912,4213,-4226
2,83,75,-1277,4486,-3135
13,-10,90,-1332,3810,-1871
83,48,11,-283,6012,-494
20,-126,34,-392,4080,-140
12,2,-48,-1296,2615,1763
67,94,-82,-1427,406,2816
103,5,127,-1131,-1010,3606
38,35,72,-217,-4044,3128
86,47,90,-1968,-5165,-3979
51,92,-126,338,-3049,-4229
-39,39,-61,172,655,-3678
-67,-78,-107,33,2355,-2549
103,-110,-79,213,3781,-654
82,126,10,-120,3276,1276
-50,-66,-29,-540,2764,1492
-29,8,8,-1207,464,2668
21,9,32,-912,-892,3521
-81,99,65,481,-2898,3026
-108,70,-54,-750,-4476,-908
-100,53,31,302,-2623,-3131
-100,-78,-39,571,780,-3378
-127,-41,-60,468,2393,-2943
112,-41,-61,691,3234,-748
29,-5,109,-397,1412,-266
-100,102,40,-691,114,-223
-115,-111,-38,-630,-164,548
68,-83,-63,-157,-1171,1104
-115,-13,110,-790,-4150,2038
-113,-2,-101,-440,-4708,3418
-14,62,-83,-2,-3145,3124
-79,48,32,1608,-3064,3712
-25,-86,-20,763,-2044,3451
-83,127,10,2160,-1680,3085
-58,-85,14,1058,-932,2532
-113,87,-2,927,-120,2038
110,84,10,686,-782,1661
73,-90,-41,1658,-117,2072
43,-117,-71,1110,-750,1912
32,-87,-86,-94,-780,972
49,-84,-55,-315,-302,257
63,-123,-98,200,280,-140
60,102,114,-162,154,-515
86,65,83,-160,-6,-516
113,22,74,140,153,-477
-118,33,47,-210,168,-653
-128,-13,37,14,-5,-569
-126,-14,19,-59,156,-35
-125,15,-5,-178,-28,77
99,-18,-126,-2900,3237,-4873
93,26,76,-416,6475,-3272
66,-86,81,-212,6040,-2123
92,36,51,-998,5604,-1549
-119,-55,-51,692,5148,2152
-81,17,-123,-2167,840,1630
-44,-27,112,-1163,143,2723
-79,-59,3,-814,-2844,2814
-22,116,124,-767,-4936,-2217
35,75,60,545,-4996,-3624
-43,-49,-20,1779,977,-3118
113,-128,-110,-66,2049,-3836
-6,72,-69,808,4175,4
25,-77,112,5,3379,576
-16,-14,41,-815,2605,-29
13,-42,59,-2223,585,1441
77,125,3,-1952,-70,3504
-14,-55,20,-1945,-3328,2938
-7,-95,-110,39,-4116,-824
52,-108,-124,1045,-3534,-3101
2,-65,-40,1749,-210,-2920
106,46,-46,1419,2009,-2053
117,-34,-32,635,3577,-860
70,113,71,442,2995,249
-18,24,-105,-1113,480,-171
-20,65,-19,-1005,-746,328
18,-69,-41,-1083,-3800,2204
-37,15,55,-478,-2929,2123
-79,8,106,-534,-3488,2635
-58,-42,-111,713,-3193,3716
-36,19,-127,-154,-1697,3239
-95,101,-48,771,-3106,4164
