AccX,AccY,AccZ,GyroX,GyroY,GyroZ
15,-8,-91,1325,2735,-4558
-42,14,-61,1773,3768,-5139
-83,105,-41,2067,4203,-4526
103,5,15,1898,4857,-3272
97,57,47,1070,4971,-335
-14,-125,-51,-166,4526,1122
63,24,68,-2240,3460,2766
37,-113,-53,-3601,-429,2432
48,-54,-77,-4955,-2980,-785
109,11,0,-1800,-6266,2285
22,2,-16,1523,-3420,650
106,-97,121,3560,-873,-4124
-123,44,-83,3857,1166,-4685
-71,43,37,2272,2648,-4345
-43,60,91,556,3620,-2553
92,92,-117,-1617,2853,199
-97,109,-55,-4246,774,2800
57,10,-52,-4076,-2014,1946
-91,100,-124,-3015,-4512,688
69,44,-89,944,-4930,-1001
-30,110,12,2074,-2051,-2194
57,104,6,2340,-1774,-774
95,73,-97,2085,-4595,783
25,88,87,-64,-5583,568
30,32,46,-2574,-4792,3937
43,45,123,-699,-5770,5432
-24,-20,-75,-4,-2826,5300
43,51,-85,410,-3134,5662
123,83,-104,1581,-2646,4199
-85,-32,28,4477,-1165,2458
112,26,-52,2185,-345,-182
-12,118,-82,2299,-314,-1807
0,23,-58,1194,50,-1621
-2,-32,-44,106,104,-1306
-6,119,-46,703,2,-934
-25,92,-44,1541,15,118
-23,115,-62,1453,188,1152
15,-86,-85,613,196,1243
35,-54,-92,-427,197,362
39,-78,-93,122,-75,-254
43,-103,-95,547,-110,-259
52,-102,-99,-167,19,-330
49,-113,-99,-174,-76,-119
61,-118,-94,120,-60,56
72,-103,-97,171,-5,23
79,-96,-107,139,-46,-7
85,-92,-116,96,-50,-11
92,-84,-118,-64,-17,-59
99,-83,-115,-34,-44,-95
104,-86,-113,16,-18,-43
126,-86,-60,-2190,3438,-4325
-120,102,108,-361,1448,-5622
-62,45,30,676,2443,-5077
111,98,-100,805,3330,-5976
20,102,-64,1700,4466,-4910
29,8,-26,1334,4731,-3310
-68,-121,39,-361,5664,-846
112,-91,72,-2578,4204,2500
80,65,60,-3259,1326,2516
41,-48,76,-4199,-1782,714
-64,-126,94,-3223,-6120,-2365
1,82,-54,1608,-3342,-3364
69,-38,126,3628,-781,-3706
86,19,3,2382,4038,-3765
-102,-16,34,1224,4235,1412
-80,-106,62,-256,4015,270
-46,105,1,-2664,2468,447
-57,-34,40,-3483,-201,2594
41,-114,-118,-4572,-2579,491
-73,61,127,-3576,-5856,-24
32,-53,-117,-959,-7883,-346
115,4,-115,1726,-2273,-75
-42,33,107,5247,274,-2137
11,-56,-122,4399,1846,-3468
112,-52,-42,3293,2670,-1493
-87,52,-17,576,189,-659
29,83,-84,-1051,-2232,-177
57,58,-72,-1941,-3945,1409
-71,-80,108,-1284,-4935,2649
31,98,38,-1507,-5685,4576
39,27,58,-614,-8013,5006
-114,-82,-9,-855,-6583,4875
50,-26,-123,-803,-3414,2360
108,51,74,3766,36,315
47,13,-49,3621,-172,914
-22,-72,30,2657,-773,707
-45,-13,-30,-1878,-1307,311
-86,94,19,-59,203,-787
-96,-13,-4,478,1153,-958
-94,-26,-47,636,157,18
-74,-17,-81,816,11,263
-44,6,-104,324,179,41
-47,8,-102,-102,-288,-12
-27,11,-83,-149,-22,-40
-24,9,-78,-72,29,-91
-12,-3,-95,-12,43,-28
-6,0,-113,-47,68,-43
2,-13,-126,128,40,-30
10,-14,-118,273,-48,76
21,-8,-116,299,-25,70
58,1,-10,-1130,7320,-4537
87,49,-100,1119,3346,-4650
-7,95,-76,-422,4123,-6346
-12,-84,-16,1969,4667,-5153
-43,115,40,30,7547,-3692
-115,94,95,-1098,5735,-199
100,-12,-11,-85,4391,3581
38,41,118,-1337,1628,5332
-111,35,-107,-2714,-2463,941
-19,22,-4,-2304,-6610,-413
-31,7,84,1156,-3751,-286
-124,-2,59,3061,469,-5631
-83,-16,55,2665,3901,-4620
-15,99,67,1061,3833,-1915
54,35,42,-1388,3259,-1108
125,-5,115,-2802,1775,1914
-101,45,66,-3965,-845,4160
-32,114,-51,-4139,-4383,3660
-67,34,10,-2000,-7624,1384
44,-39,70,3844,372,-3728
62,-74,47,2117,2446,-5157
-50,-43,-120,1488,2531,-1103
62,-75,-56,37,898,1252
-101,-71,46,334,-3829,1967
118,15,-39,-813,-2781,1888
-98,76,-104,-913,-3855,4646
-71,-40,65,-1506,-4184,5036
-114,-101,-56,-2215,-5376,5344
-9,-64,28,-1591,-3629,3724
15,112,40,72,-3155,3094
74,98,-16,-780,-2424,3173
1,127,-114,2872,-2741,2089
6,82,80,4059,-972,360
10,54,-17,2035,714,-726
7,-18,-79,-740,1548,-1188
1,-92,-86,-521,1074,-708
-2,120,-85,789,90,148
14,-104,-85,545,-286,729
33,-82,-83,138,-106,409
40,-81,-82,406,-51,286
34,-75,-73,679,-193,177
45,-59,-69,-54,86,-236
58,-74,-81,-180,191,-377
64,-100,-97,-237,28,-280
77,-89,-95,-480,15,-125
72,-74,-84,-229,-30,-56
92,-71,-76,252,109,-9
102,-61,-91,179,19,1
108,-64,-101,241,-29,9
109,-59,-105,193,-74,23
44,33,-102,-1242,6628,-6959
-98,-80,17,1328,850,-5797
56,39,-74,2134,3509,-5165
-62,107,-47,2025,3012,-5022
-38,93,-17,507,3960,-5407
41,-14,45,-184,5678,-3092
85,127,42,-1653,3903,1823
-37,52,-20,-2174,3149,2727
-117,62,28,-3082,-693,4364
112,-60,-109,-4086,-3403,-906
57,-110,117,-1004,-5101,-1635
-126,-115,-32,1412,-3492,435
105,-111,-66,2985,-1064,-3539
121,-4,-81,3782,441,-2693
-106,-117,-10,1777,2903,-2805
-45,87,25,246,3141,-1676
-9,-63,-85,-1161,2699,209
57,-44,42,-1826,2005,1042
-103,47,12,-1816,1246,1862
27,86,-95,-3494,-593,1094
121,-111,-86,-3312,-3979,278
63,-99,-1,-1334,-4135,759
19,24,108,438,-3265,1891
54,109,-7,1676,-2277,-489
45,48,93,2716,-1329,-1771
59,-125,-43,2922,946,-2318
116,96,-37,2301,1830,-1787
-60,-105,-41,1365,1948,-858
24,-40,122,839,2376,198
-105,-27,19,-466,1320,554
23,66,-109,-1285,311,1202
122,-83,-3,-1600,-471,63
63,32,-99,-2655,-2220,576
-128,-112,-98,-2481,-4729,2880
24,-24,0,-1553,-3466,3522
