AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-23,42,-114,-1884,-2168,-4329
-23,-14,62,-2626,-1783,-4496
-124,-45,122,-1420,-1051,-2695
-19,24,34,-1175,-325,-995
126,-68,-123,-1496,-276,551
25,83,-42,495,-485,2419
20,7,-2,-960,1026,3905
-24,63,1,167,-179,-705
-3,64,87,-30,-767,-1188
118,9,-7,82,-74,17
-92,101,-57,901,697,-237
-56,76,108,1729,488,237
8,-89,-77,414,-769,-47
-40,91,-44,101,-1724,390
-62,24,-83,364,-653,507
-67,102,-85,-106,-434,1448
-125,114,126,-527,-362,1980
-21,-107,-10,799,-1483,2631
0,-109,-66,698,255,2208
44,-58,-3,967,-441,3046
115,-72,-60,629,-1077,2554
84,-6,66,-1397,-1508,2140
-103,75,-6,1273,470,2211
-123,9,37,1243,-832,2372
-53,-43,17,1174,921,2315
-23,-114,23,2158,636,2407
-64,-95,12,1698,-25,1904
-83,-91,-11,499,147,733
-103,121,-38,310,277,-146
-115,50,-64,708,289,-243
-103,33,-69,611,231,-226
-86,23,-86,303,99,-318
-69,18,-97,-103,-144,-513
-50,13,-105,-315,-217,-504
-61,13,-103,-179,-254,-480
-50,10,-111,-36,-65,-460
-61,22,-117,-174,-251,-306
-60,26,-114,-72,14,-139
-67,40,-119,18,82,70
-60,58,-123,-116,62,231
-54,83,-127,-246,208,254
-51,112,-112,-54,235,406
-46,-128,-112,49,323,527
-40,-110,-111,69,200,313
-31,-79,-113,-49,131,230
-34,-75,-119,42,109,106
-36,-79,-123,186,58,-8
-27,-86,125,157,75,-33
-21,-88,122,144,5,-92
-20,-90,118,82,-3,-185
-20,56,33,3276,2200,-3318
-51,-62,-26,1272,-2186,-3099
90,-66,-89,-1299,-271,-4349
77,-65,-92,1242,-1355,-3163
120,74,-46,-2967,-1683,-5915
10,-122,77,-2008,-1237,-4374
35,4,-104,-1315,-181,-1475
117,-40,-106,-495,170,1449
55,54,-81,632,472,5163
65,-7,-17,-2028,408,5202
-128,-58,-26,264,-1134,-1300
-68,-125,-88,94,-617,-1475
-39,60,-64,-362,8,-824
-56,-25,-26,1229,818,-350
-4,62,80,2036,150,100
-2,-95,-40,-109,-2066,-203
-3,83,-32,917,-1860,1021
-83,113,-43,13,-1081,1646
-95,73,-65,1200,50,1730
-55,-88,-105,-320,-1156,2285
-16,111,1,1026,-524,2577
118,46,-124,2030,1452,2949
107,-109,-101,251,-708,3100
-49,53,-56,304,-591,3457
