AccX,AccY,AccZ,GyroX,GyroY,GyroZ
44,-60,-91,-716,1029,-6622
-30,-25,-110,-1228,2439,-5552
-72,72,92,-1814,2244,-104
56,8,-32,-1036,3777,2188
-32,-35,66,-891,-4983,786
-58,46,58,315,-2756,7316
123,-57,-79,3525,2029,-5738
18,7,-30,-1247,2753,-2716
-113,-19,119,2700,-1745,-735
6,-97,102,658,-905,-716
-2,47,-19,2288,-1482,642
-40,23,-7,1901,-3207,3779
-125,-61,74,-1678,-2067,3876
-82,23,-89,-948,-1471,3004
44,29,-124,-187,-3342,3710
-89,-33,-5,1136,-2164,2854
-88,13,-41,577,-743,2237
99,-35,-58,118,-1052,4772
-49,-5,87,2909,-2394,4351
99,-98,-94,1825,-836,888
-32,102,71,-553,182,-3263
-78,68,-105,54,1139,-3244
-72,20,102,-61,1081,-1627
19,63,91,-480,-741,562
-31,114,85,-275,-1163,1835
82,-97,93,-536,31,1224
-89,-54,86,-547,791,526
-111,-62,78,279,232,-364
126,-94,85,643,-502,-1216
124,-100,106,-422,-441,-1332
112,-101,103,-848,69,-846
110,-104,91,-790,341,-452
115,-97,84,-396,214,-51
113,-83,75,-66,24,248
119,-60,76,168,-133,437
-122,-48,79,254,-21,455
-120,-41,73,254,2,365
-103,-31,67,-40,122,267
-102,-27,64,-139,33,207
-102,-26,67,17,-3,170
-90,-22,67,4,92,7
-87,-22,66,-59,65,-30
-89,-18,63,-129,20,-95
-87,-14,63,-244,91,-216
-80,-19,67,-111,94,-278
-78,-21,65,-15,43,-313
-74,-25,65,-73,80,-334
-68,-27,67,-185,104,-276
-71,-25,65,-245,91,-242
-66,-18,70,-370,137,-306
19,64,-69,-396,3122,-4878
11,-111,-68,-3050,2930,-1021
103,-89,-69,-1847,2545,1638
-49,-58,-65,-5087,-2132,4758
-20,-86,97,-497,-2422,301
70,-63,27,2801,-471,3280
-127,7,3,4451,1027,-4448
114,18,118,-3613,1354,-2010
22,9,6,2461,-162,15
61,-126,94,535,-2588,-1281
43,-122,-123,1629,-3107,110
92,49,126,2591,-3089,2713
19,119,13,74,-605,4285
57,-4,-80,-357,-2414,3574
-109,47,-44,-1840,-2709,2148
-72,-37,-106,-1993,-3729,3007
39,-128,-56,506,-2630,3184
62,-43,79,4186,-2079,2907
38,121,-39,1244,-543,1843
81,66,-125,1788,356,-485
65,-31,90,-130,967,-2067
87,83,111,-244,677,-1699
52,49,114,-939,-13,-434
36,93,115,-824,-398,910
80,-122,112,-193,-139,537
114,-94,111,200,25,232
106,-77,109,-94,-25,34
106,-76,106,8,237,-103
124,-95,93,3,294,-177
117,-96,83,-288,118,47
106,-92,86,-117,34,97
-125,-76,86,-121,85,6
-115,-76,76,21,38,-30
-118,-76,84,-42,-44,44
-121,-67,93,-24,-29,86
-124,-58,87,153,37,-27
-97,-64,75,151,76,-47
-93,-60,85,-64,-47,77
-101,-44,91,-251,135,-50
-96,-47,87,-229,169,-84
-87,-52,75,-189,110,-37
-85,-50,73,-101,54,-27
-80,-41,73,-80,86,-63
-86,-43,75,-13,10,10
-77,-37,80,-33,61,25
-69,-28,84,-43,40,-29
-70,-27,77,-89,92,-96
-70,-37,80,61,22,-33
-63,-33,84,8,16,8
-59,-28,82,40,60,-14
110,-84,-84,2047,910,-5151
98,0,65,1098,1233,-6043
16,27,5,107,323,-3396
27,-58,-115,-3131,2023,-672
95,-51,33,-763,1368,1854
-58,56,-7,-7489,1787,3283
58,-8,43,-784,-5039,982
104,-8,51,6803,433,1508
-59,122,-102,1376,853,-2868
-11,-74,103,-984,826,-1801
-38,-78,-120,2387,-227,143
22,-125,29,137,-2081,653
-72,0,82,1357,-5000,2290
116,66,-8,495,-3962,3829
-35,44,-46,-2021,-2243,3539
107,33,57,319,-2793,1758
123,65,50,178,-4180,2878
-125,19,53,4409,-2736,4422
62,42,-73,8054,-357,5810
-28,117,51,5833,1794,3805
-58,83,38,-2108,1231,-229
9,-15,39,-3636,-550,-3373
93,13,122,-1501,-312,-3255
106,-7,119,7,340,-1383
60,22,107,60,-31,-320
25,48,102,-90,-365,132
53,74,106,-487,-7,160
96,93,114,-483,110,265
94,101,120,119,-134,480
94,115,115,469,-104,467
98,-121,100,527,37,310
105,-120,90,202,154,114
106,-113,78,-135,99,19
114,-112,73,-213,41,-148
122,-114,72,-262,114,-237
123,-119,75,-166,56,-183
123,-118,75,-90,59,-84
125,-113,79,18,8,78
-122,-101,76,26,95,46
-113,-89,67,13,69,28
-108,-83,60,-136,56,-91
-107,-82,61,-161,48,-91
-104,-80,63,-170,66,-97
-100,-79,64,-85,65,-51
-94,-76,65,-46,47,-7
-95,-69,62,34,33,22
-90,-64,61,109,51,12
-83,-57,58,10,50,1
-79,-52,56,-22,49,-43
-81,-50,55,-108,49,-80
8,5,-65,2898,5071,-3309
112,-114,-76,587,1083,-2590
39,-26,27,435,-1460,-1589
83,7,-99,-1121,-226,-3359
-57,-33,-69,-134,877,-5460
92,-47,-9,-48,2120,-5169
-50,-17,80,-2662,3317,-1378
40,51,-57,-249,4320,1880
-70,41,40,-5373,1964,5227
1,-15,37,-695,-6400,5188
-91,-78,71,-462,-2238,2933
-38,0,-63,2179,3109,-5927
49,51,-121,-553,1807,-3749
-128,-58,40,2153,186,-1083
-113,-23,6,2526,-1374,-1079
-19,-120,-90,2604,-3685,-1157
43,14,117,2807,-1413,1545
66,-120,1,383,-2329,3768
-63,-124,-40,-1203,-2649,4213
-81,-42,-127,851,-2515,2628
-30,65,-91,-1197,-3147,4500
66,-20,55,4361,-3771,7338
4,-91,-35,5538,-984,5761
43,58,25,5100,1752,557
62,26,92,-3208,1949,-120
90,35,-126,-4906,-503,-13
22,98,94,234,-269,-2421
49,13,113,2099,476,-2553
52,60,101,-40,289,-1148
35,96,100,-1217,-148,445
35,96,109,-441,-460,865
61,-127,125,-118,-271,758
95,-92,125,161,77,555
101,-90,109,473,223,2
94,-105,93,752,118,-171
94,-115,69,338,163,-132
95,-112,62,-146,90,24
102,-113,68,-24,-70,75
108,-99,76,-259,18,-72
115,-102,83,-10,40,-103
119,-101,82,33,66,-71
124,-96,71,19,86,-30
123,-89,61,-76,20,-22
-126,-86,61,-99,11,-38
-120,-79,67,-110,33,-58
-117,-77,70,0,13,-60
-111,-75,69,-32,65,-62
-109,-75,62,55,78,-29
-107,-71,58,-25,13,3
-100,-68,59,38,39,0
-91,111,37,-2754,4358,-2465
60,74,-113,1072,3442,-2618
-72,77,57,1453,3262,-4325
-76,-63,-6,1456,41,-3637
104,82,126,1762,2883,-5538
41,122,62,-680,2431,-4118
-34,-18,-91,-2146,2072,-1086
68,-104,77,-308,2702,632
-111,94,124,-6851,-5195,2723
-2,-109,-18,1278,-3583,2147
84,-66,41,1259,-319,4677
-43,65,-40,4085,4531,-5678
11,-54,51,-253,2583,-1447
-11,12,-59,307,1074,-319
16,86,99,909,-946,-375
39,115,83,1551,-4640,830
97,22,109,1979,-3727,1880
119,77,113,33,-3216,3671
