AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-94,-92,-108,-3098,-5068,-6576
-88,-128,-24,-3913,-6322,-9105
-120,103,-19,-4591,-6530,-8619
79,-85,11,-221,-5705,-6376
69,-107,46,1081,-4259,-3593
12,-100,42,1116,-2077,-478
81,86,-5,-2232,3719,7689
-128,-83,64,76,5211,10811
-88,112,36,-1465,1446,5002
-115,94,10,773,187,3019
118,-91,-86,1643,-3228,-7288
56,-32,125,153,-2209,-4878
-44,-36,44,1465,-26,-1892
-128,-106,31,-487,2023,1492
-76,-5,44,-1822,1823,3117
63,63,99,-1815,475,4550
-40,13,86,-1188,-658,4214
47,127,118,-227,-1345,5720
109,-3,-115,198,-1360,4045
-105,-49,-103,1017,-1060,3079
-102,93,119,2167,-199,1562
-81,-121,84,5282,809,1181
-27,-115,71,3910,1372,1239
-65,-83,82,643,1330,929
109,119,92,-669,52,-192
81,63,114,-55,-726,-360
106,31,-115,650,-561,-219
114,32,-114,701,-37,-270
111,30,-115,308,129,-325
107,24,-116,163,-21,-33
98,26,-118,137,-186,87
107,19,-119,171,-92,-188
-125,19,-117,196,135,-103
122,22,-126,449,78,45
-128,36,127,202,60,105
-114,44,118,-1,69,71
-119,57,114,-231,-4,37
-119,64,111,-212,93,-92
-105,68,102,-211,114,-233
-102,63,100,20,-15,-115
-104,66,96,143,-21,-60
-97,77,94,-65,45,-71
-97,81,93,-36,6,43
-92,88,91,78,15,62
-86,97,89,164,19,61
-85,105,85,88,10,26
-84,111,80,-7,49,-5
-80,116,76,-131,64,-47
-73,115,71,-30,46,-53
-73,122,66,-123,13,-80
-13,-83,-102,-1006,-2116,-5593
-82,122,114,-507,-4499,-8369
78,-105,2,-3821,-4675,-10142
126,90,-124,-2523,-5982,-9340
-70,13,92,-2661,-7202,-6211
18,53,20,1818,-4266,-2320
-108,-73,-35,814,-2495,64
-44,-79,21,1220,3579,8665
-47,79,104,2449,5555,10333
-21,26,-108,6756,3859,9526
-126,82,-64,7146,2637,6897
-47,123,112,107,-358,4216
-103,-72,-48,1585,-1844,-83
97,-66,43,1408,-437,-474
59,-1,41,-1722,69,-1724
66,-79,29,-5128,1483,-2265
38,114,-30,-5180,1295,-590
-10,-47,-31,-3792,110,1785
39,-16,55,-806,-716,2748
