AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-101,-19,98,2910,-2834,-3537
-88,80,-59,4765,-6216,-3655
126,18,-25,1023,-6449,-5449
-30,14,-89,305,-7011,-4253
6,61,116,-2643,-5466,-2702
123,83,111,-69,-3994,-1547
2,-106,85,-605,-2154,-1201
-72,-44,79,-180,114,-312
67,-9,-16,382,1170,333
-31,50,-114,-1014,207,278
109,105,115,-1123,311,146
-48,-11,-25,64,755,-180
32,-66,45,-642,1308,776
31,-50,-102,1534,2277,2406
-16,102,108,619,3399,3250
62,1,76,-1131,4990,4062
27,-107,-68,1914,3430,6689
-24,115,-117,276,3709,6615
25,-6,82,-1201,2370,6876
-33,-111,-12,2559,2344,3751
-28,-12,110,2743,1546,1589
-8,-79,-88,-290,751,979
104,123,-64,608,-276,1376
7,65,-25,1698,-841,256
-15,-26,61,1941,-772,-597
25,-46,59,776,238,-552
23,-85,56,309,144,-570
28,125,60,373,-111,5
25,-109,49,154,-80,123
32,-89,38,-171,-23,-104
48,-93,19,-219,79,-133
52,-90,3,-76,-5,-26
56,-74,-12,-40,4,17
57,-58,-26,-226,18,-140
68,-48,-40,-255,49,-105
72,-39,-59,-75,29,-146
85,-36,-66,104,24,-127
82,-30,-74,179,-16,-37
90,-15,-82,7,103,45
98,-5,-93,-37,124,54
107,2,-109,-23,128,9
114,15,-127,-182,80,-56
114,14,125,-6,-6,-21
119,18,123,96,-8,40
127,42,120,-112,14,-16
-122,47,120,-42,38,-71
-122,53,115,-58,10,-69
-112,55,112,49,65,-78
-109,58,108,69,64,-32
-105,66,98,83,42,-15
-25,-39,-119,1172,-4920,-4571
-13,-45,-101,1735,-5489,-4901
51,12,-108,616,-7287,-4217
82,-63,119,-119,-6655,-3755
-66,11,-23,-469,-5800,-2693
69,-67,95,-1964,-2563,-2399
54,57,98,-376,-1726,-505
13,110,-9,655,-354,120
-99,-2,-113,511,232,299
99,-52,91,131,319,235
100,-42,29,368,48,-272
-98,-82,21,-81,-155,29
-19,124,51,-29,223,188
7,-88,-9,142,125,48
22,-85,9,-118,230,13
85,-93,9,75,428,59
-90,105,93,153,1032,605
96,12,-75,-430,2793,1569
-34,-120,-121,-873,3695,4014
57,-32,-23,-733,4515,4836
-109,57,98,-718,4599,4940
-34,-64,56,-540,3956,4311
-1,9,114,-1752,2290,5671
65,-128,-123,-955,-279,5709
-109,-70,-38,3328,536,5661
-104,79,63,4219,54,5240
-31,-73,-28,1483,459,2613
-18,23,-33,-1900,-787,119
-119,-125,-5,-541,-1082,-1921
-81,-86,57,2238,-341,-2182
-41,-57,29,1519,750,-1013
-46,-29,16,-273,576,-224
-63,-44,6,-757,-379,151
-42,-36,-4,-571,-333,74
-22,-34,-4,-281,-57,-204
-14,-32,-28,-200,129,-103
-18,-21,-51,-143,44,-49
-15,-8,-57,25,-125,-1
6,11,-59,166,30,45
11,33,-71,-56,47,-76
19,43,-84,-95,49,-32
29,54,-96,-172,67,-213
35,47,-107,-114,107,-160
50,49,-123,-43,75,-48
52,66,126,-176,16,-102
64,69,124,-48,45,-101
72,79,120,16,14,-60
79,90,118,-44,31,-44
84,97,114,-15,56,-91
94,101,107,-5,101,18
-84,-45,-126,1146,-3696,-3719
-67,73,-15,2139,-7293,-4211
115,-4,-79,2095,-7040,-3897
-65,-43,54,22,-7231,-3785
71,-102,90,474,-6114,-2996
-115,-62,-50,-814,-3884,-2624
-54,-121,101,-2994,-1196,-1645
-67,46,48,-233,213,-816
28,122,-66,-463,113,824
120,-82,24,-73,542,134
99,-78,-26,199,267,-158
-86,-116,32,28,95,177
4,-72,-32,102,295,-339
7,-127,-7,194,143,157
59,-87,-10,231,353,-35
113,-118,27,385,549,451
-24,88,-122,560,1611,668
-115,-1,-75,-88,3683,1398
22,68,46,-1706,4497,2321
103,49,-51,-1842,4712,3186
-75,115,-116,-2573,3472,4046
-3,4,116,-3889,2191,6041
-45,-109,119,-4478,380,5463
22,124,5,-85,-965,5247
116,53,101,3521,-340,3633
64,-54,37,-581,143,2148
-80,55,-32,-333,370,1297
63,-22,-32,314,-409,1378
11,-105,-38,904,-280,-75
25,79,-44,1158,-168,-427
3,-3,-17,1329,-316,-157
10,18,-21,189,32,180
24,81,-42,-1723,206,69
23,64,-77,-985,-75,-88
16,43,-68,119,-74,111
77,58,-70,165,382,22
59,43,-93,403,284,108
55,28,-100,625,109,131
111,24,-97,409,291,168
73,24,-96,632,-84,361
74,27,-94,285,-19,227
91,55,-89,-342,181,-106
90,26,-105,320,138,160
99,47,-96,457,-2,-9
123,44,-101,383,156,-107
117,40,-93,252,111,-7
117,71,-98,-557,-247,374
88,57,-102,-415,-813,9
99,-24,-79,816,263,447
-107,110,-125,-675,801,503
-14,46,-4,3784,-4156,-3772
87,125,29,2111,-8888,-4379
-116,-76,-65,-115,-9189,-4225
55,53,-24,-612,-7741,-3917
123,-49,-53,284,-5262,-899
-113,-52,71,-794,-2138,317
86,-49,-48,-161,-25,624
-2,63,-51,814,949,-64
-33,123,-47,479,1175,422
24,-69,120,227,754,295
124,-97,107,81,354,-354
-52,123,-125,-883,370,730
111,-97,125,-276,931,180
-63,91,123,-136,1600,1050
14,47,74,-672,2556,1749
-119,71,-10,-1435,3140,1042
-48,112,-52,-2001,3360,3064
-6,-121,-107,-1387,3613,3450
75,3,105,-332,3181,6212
50,57,-23,-283,1779,7283
106,-13,-36,-3724,167,6582
-75,59,-46,-718,-268,5197
-15,24,-56,256,300,4313
-73,-124,-99,2411,-351,1814
-41,-113,-29,1259,-925,1646
-126,-77,30,573,-1102,1981
-44,-81,-35,1389,-326,-222
-84,98,-22,1726,-332,-1496
-44,0,-17,1757,193,-1281
-36,4,-15,751,185,-152
-45,15,-17,114,-102,235
-22,9,-8,231,-319,55
-3,8,1,384,-113,-167
7,12,-18,31,149,-470
3,14,-34,-511,17,-453
16,2,-48,-458,75,-236
25,17,-71,-422,138,-122
35,32,-90,-333,153,-117
37,46,-109,-158,131,-213
53,34,-124,420,119,-191
78,38,127,310,168,-34
53,52,127,370,-289,169
65,74,-114,13,-145,86
107,85,-109,-249,119,-180
119,66,-121,71,78,-218
85,83,-126,-319,-181,106
80,104,122,-516,203,66
104,101,107,-35,321,69
119,107,88,146,182,227
-126,125,78,20,21,162
19,106,11,3989,-2943,-4880
30,84,117,4151,-7723,-8635
56,-112,-92,2819,-10063,-7381
15,53,88,-447,-9505,-4318
-5,-64,-65,455,-5258,-1026
-101,52,-95,-1130,-716,142
113,-12,99,-103,1555,-442
-45,-79,2,1286,232,-50
83,-102,90,-52,255,51
116,-64,-108,-610,307,220
-76,-123,-17,-145,194,103
31,100,71,397,844,-347
-115,93,-126,983,2024,58
81,-87,-24,347,3830,2082
47,69,-107,216,5176,4389
-118,53,-104,-2923,6426,3035
-91,18,49,-1618,5430,5785
70,9,55,-1062,4863,6451
-128,-79,100,-1987,3605,4432
-103,54,-42,1398,912,4477
-26,-11,-20,1290,1250,2758
100,55,-41,164,-207,2909
105,2,-61,-653,-1282,1439
-8,-117,-53,-499,-917,184
-7,55,-24,526,-225,-542
-12,15,-15,946,136,-629
-12,-12,-15,817,16,-513
9,-23,-13,481,-42,-293
8,-36,-21,368,-142,-269
15,-31,-6,-30,-252,-87
27,-22,-12,-323,31,-66
37,-21,-26,-66,229,36
43,-20,-57,372,149,175
52,7,-71,75,26,126
67,20,-81,-90,130,-25
70,20,-90,-78,118,3
72,28,-101,-66,19,-43
82,42,-117,-97,99,-270
95,47,-124,-74,104,-249
102,44,120,21,-35,-109
100,55,127,51,-105,24
105,61,-126,33,32,-9
110,67,-128,61,83,31
120,81,118,-31,-26,75
124,87,115,103,-101,-97
-127,95,103,114,-43,-161
-127,96,97,26,-13,-200
-121,93,88,105,0,-136
-112,104,76,-100,70,4
-116,108,78,-16,-13,-33
105,-7,-7,2998,-1687,-3382
-114,-124,47,1183,-2236,-5432
-113,124,-46,2433,-7587,-5865
60,-60,-116,1576,-12748,-3397
89,-118,121,11,-8275,-2153
49,11,-11,-1540,-3250,-722
-63,10,-104,-1118,-700,-269
82,-84,17,1149,180,45
-114,69,-94,-42,415,215
50,-3,-126,-432,662,137
109,-97,112,92,883,-246
-20,89,123,-247,1253,662
-84,-65,-97,1040,2246,1125
91,96,-46,1359,4521,2403
-17,-29,-14,-334,5624,3950
24,-92,-69,-1455,5982,4496
103,120,-109,-2098,5450,5772
-40,37,-126,-2862,3861,7289
114,41,75,1397,1659,6052
59,-64,-70,1084,227,523
18,-1,56,2998,-555,2662
-13,-15,26,1646,1075,5369
120,62,-122,447,791,-1339
-27,-113,-104,-132,-604,-1475
44,30,-39,185,-1031,-732
41,-20,-32,521,-496,-464
19,-37,-32,779,-90,-246
26,-28,-28,722,-180,-394
60,-29,-15,367,-288,-304
58,-24,-7,-103,-497,-466
64,-21,-3,-396,-277,-461
57,-23,-16,-332,-64,-131
69,-18,-34,-14,271,280
77,5,-70,302,225,417
98,25,-87,95,321,223
104,39,-104,-213,217,189
107,45,-123,-217,192,197
111,54,126,-119,82,227
125,79,-127,-103,-55,95
116,90,-123,-1,-8,-293
-125,66,-128,350,-10,-566
-110,49,-117,149,-22,-135
121,71,-127,-126,59,141
-122,81,119,-37,176,27
-102,90,112,-71,106,145
-98,106,101,-177,22,25
-93,122,102,-252,-11,-7
-89,126,103,-37,85,-70
-85,-113,102,-121,8,-206
-80,-113,103,2,-3,-311
-51,28,-86,2451,-750,-6250
-80,-55,-81,3569,-8449,-5954
-22,-118,125,2153,-12377,-4502
-26,81,48,-1077,-7909,-3808
-20,55,46,1380,-5147,-842
-98,-60,-52,-925,-1763,-77
45,-66,-70,-44,726,25
-79,13,-100,658,647,332
87,-107,64,304,332,151
112,-52,115,-353,394,-55
-88,-127,77,-124,440,-272
-18,84,60,-4,543,42
68,62,93,184,1471,323
-76,-27,-116,254,2754,1264
43,-36,106,-1136,3879,2734
96,-20,8,-1055,4229,3405
-30,-23,-72,-1398,4510,4259
-118,63,70,-290,4247,5979
-61,-56,87,1214,3289,7014
101,122,-124,-1283,4174,5138
-8,69,-63,-332,53,1058
56,-79,-16,197,548,2342
-36,-115,-73,6,668,1881
