AccX,AccY,AccZ,GyroX,GyroY,GyroZ
98,-56,50,2993,1660,-3579
16,-51,111,5002,-1992,-7245
-8,-44,20,3539,-5141,-8328
50,31,-16,-1348,-4294,-7678
-66,13,6,4505,888,-2662
-34,-127,9,-664,7060,10479
96,29,-10,2251,5217,9037
-53,119,-22,-1252,-3345,-4919
-35,-38,90,-1444,-7907,-9240
64,59,99,672,-713,-6239
-63,-118,5,-2835,3873,12298
-40,72,16,5344,3984,5012
20,-62,116,-506,-7006,-8970
41,-48,-6,-2878,-8301,-12287
109,63,-74,-3873,-4728,-11320
123,-93,-11,-1731,-3502,-6098
-121,-85,-46,751,46,-2583
34,-15,29,-1245,1536,486
-113,-13,62,3901,6919,3161
37,-55,-124,-5598,9573,14637
-88,64,62,-890,-1150,19279
109,13,50,-8025,-5489,5272
40,-4,-71,8928,1443,-6950
-26,-100,-76,740,-1276,-102
-5,-44,-33,-900,3458,-1229
-111,106,-87,-2800,-106,2294
-5,-124,-54,-3819,-761,3522
-107,102,103,-2161,-2404,6244
120,8,-21,-707,-2841,7689
-72,62,35,-330,712,5274
8,77,-61,261,-1322,4098
-58,-70,-52,-399,526,3407
-14,-19,21,1415,-1418,1834
118,119,-73,1782,-279,634
55,-16,-111,3279,-331,-449
70,102,-96,3059,18,-790
81,34,-122,1130,414,-1018
77,22,-116,-833,416,-224
86,17,119,-1998,364,294
116,8,99,-1847,-47,-17
119,1,88,-740,-115,-228
99,26,90,-256,-271,24
110,71,84,-452,-35,146
121,82,78,-371,63,176
118,89,77,-62,-64,176
-126,100,76,110,-43,127
-127,107,70,111,-72,-12
-124,112,65,148,-185,-10
-112,-127,60,-130,33,179
-114,-120,55,-293,81,42
-95,22,16,4634,3133,-8091
126,42,81,8796,-2677,-9761
87,-125,-41,1718,-5091,-10510
-109,-6,107,5504,2569,-3346
62,102,-20,-3685,1165,12264
57,62,-63,851,2709,4601
-94,83,-43,-112,-6105,-6775
-109,-7,90,-2412,-4240,-9658
41,-24,27,3809,3479,2531
17,-68,-88,-4847,2183,11405
28,-35,120,116,-5493,-8475
100,103,-102,-108,-7531,-12416
-76,-36,-96,-5827,-6301,-11280
-97,-78,-105,-185,-2957,-6652
84,39,20,-1012,-459,-3068
120,86,46,893,2584,1663
-118,-72,104,-16,7323,9871
31,-10,103,-6952,2622,23352
20,-128,124,-8950,-2505,11535
98,-23,-10,9507,2776,-7764
-14,87,72,-126,-3190,-1958
-24,49,-43,2204,3009,-2040
48,-96,81,-3497,-487,1442
103,-112,66,-2783,-678,2169
-88,-28,99,154,-3228,5203
122,28,17,-36,-3085,9512
-124,-36,77,-3433,-448,8000
-28,-45,-10,931,-3257,3198
-27,-54,64,1547,1514,1439
6,59,-63,2806,594,1133
55,-92,119,2358,105,1740
37,77,88,526,-500,1298
50,-56,76,-481,-163,354
73,120,82,-1394,412,-846
87,90,77,-906,489,-228
95,95,85,-489,218,-297
117,104,79,-67,57,-308
116,95,69,748,-126,-270
121,110,61,330,-32,-197
-127,124,54,-584,51,-280
-126,-128,50,-795,-68,-132
-126,-117,52,-701,-193,-55
-121,-99,65,-566,-64,52
-116,-94,78,63,29,116
-108,-88,73,647,41,191
-112,-78,61,490,-1,271
-101,-78,51,291,35,186
-100,-73,39,-189,-30,198
-101,-52,40,-806,-22,163
-91,-49,35,-574,124,40
40,13,-48,3366,2069,-5801
-23,20,-32,7400,-1955,-6682
-18,76,-113,3117,-2943,-8398
53,15,117,1608,-1739,-6575
72,-20,-95,3372,2594,2621
21,-79,-49,-3681,2553,10195
-67,26,117,1565,1659,860
0,-15,7,976,-6066,-7030
6,25,33,-2130,-2444,-7646
-5,-9,69,1750,3927,1257
-42,-37,-85,-5889,2217,10339
0,-101,127,5174,1615,-4146
41,81,-85,-263,-7600,-10686
70,109,59,-4630,-9044,-9415
-20,17,-11,-753,-4399,-9406
-19,-39,7,-3412,-3007,-7371
124,-52,-38,605,1098,-2657
70,-45,13,1333,4008,499
-8,-27,117,1601,7510,8994
-79,50,-66,-3535,2676,21428
84,112,37,-9665,-2387,11011
-85,-83,-17,8896,1372,-3241
