AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-74,-121,-78,27746,-1364,-3030
-31,84,-85,30883,-13222,-11651
74,104,104,-210,-4337,-4434
-118,119,64,-12845,9761,3054
96,66,12,3382,-1947,-697
51,70,72,-556,733,881
-121,58,-6,-3793,1303,1117
-87,-88,15,-2002,490,898
-10,-7,13,-5650,2119,1073
-86,-6,-14,-8471,2820,1079
-117,-28,-67,-10474,3193,1769
-101,120,18,-9369,3499,1973
-43,117,-10,-7649,1243,1819
25,-114,9,-4242,-567,1694
123,94,-109,-4023,-2329,1897
68,-101,-30,-884,-1661,2060
68,-117,-79,1699,749,1226
-25,-36,-76,902,-335,218
-43,-20,-89,-521,102,-331
-52,-81,-93,328,659,-700
-28,-96,-114,355,748,-827
-25,-120,107,512,472,-740
-25,104,94,890,208,-401
-37,90,79,528,-176,51
-50,108,87,-267,-323,332
-53,101,103,159,-406,769
-39,103,113,535,-332,921
-45,-116,118,-60,-431,707
-47,-123,113,42,25,235
-47,119,102,389,281,-179
-52,114,92,410,170,-90
-43,113,81,247,229,-93
-45,117,73,-40,141,-97
-41,111,70,115,25,-70
-30,110,69,263,26,-59
-32,107,63,315,-96,-39
-53,-128,78,-70,-174,19
-45,116,80,270,232,-129
-46,123,72,146,-15,-47
-44,125,73,212,-24,55
-42,122,71,328,33,-9
-42,-128,74,329,-53,165
-43,-119,75,212,88,19
-39,-120,74,183,105,-2
-37,-121,69,205,14,80
-38,-117,66,182,72,12
-38,-121,63,183,43,9
-38,-115,68,93,16,69
-35,-113,66,156,83,-12
-38,-114,62,177,20,-30
51,-81,2,4449,419,-3867
108,92,78,8999,1477,-2814
-30,51,33,17918,-3998,-2650
-110,89,48,16230,-6535,-1841
-7,-51,52,3897,-2018,-8150
98,-71,-54,15370,-4665,-6414
-109,12,125,-12465,5909,842
-101,72,-7,-2471,-384,2345
32,70,-53,568,-2091,1040
-100,-45,-84,-5801,-215,1802
-41,73,-11,-10456,-151,2286
-123,44,-14,-9356,-117,1721
-30,114,58,-7932,544,1646
9,47,106,-7304,-260,2931
5,-94,-101,-6231,-1639,3165
56,34,-1,-1421,-1018,3583
-84,-50,118,-282,-454,2675
-40,-59,102,-117,-78,3056
-24,104,-30,-593,-1330,3379
-39,-77,-84,750,-1758,3173
-4,67,-88,2582,-1412,1966
24,4,-76,3991,-288,1144
-49,111,-96,736,461,620
-118,59,-55,-352,210,85
-116,39,-105,-1451,1011,-760
-65,-39,70,-140,1839,-1630
-41,-85,79,1283,1156,-1136
-102,-38,114,1077,-508,300
-79,-3,123,-213,-604,305
-62,47,-123,-1262,-56,32
-58,65,113,-1210,409,-97
-63,49,107,160,-11,-36
-59,45,107,770,80,-115
-62,76,102,38,27,-361
-62,81,84,-661,-113,-176
-68,112,109,-745,-499,91
-56,95,99,670,-89,245
-46,107,78,797,233,-251
-68,123,56,42,104,-308
-48,105,57,-19,138,-166
-49,101,67,-17,70,-66
-38,88,60,793,84,264
-56,120,78,381,-252,296
-74,-123,82,-50,48,183
-55,-123,80,-334,89,417
-28,-56,78,-1482,-109,351
-32,-46,81,-1401,-2,-618
-49,-111,72,606,426,-665
-68,-120,53,1257,246,-262
-52,-85,61,218,-132,230
-38,106,-124,3268,1336,-5943
5,-51,-111,5143,-538,-5258
31,-88,-47,9007,-2604,-5550
60,43,-79,11114,-5579,-5552
-124,74,-104,11076,-1512,-4264
-102,85,-7,5621,989,-7664
-43,-50,107,12367,-1173,-8157
105,-92,-17,-10496,3695,3126
-26,-27,-58,-663,-1033,2555
-63,-87,-126,-2380,520,1325
-39,43,3,-7846,401,3937
28,-23,-1,-10498,1015,3970
-87,-40,71,-8903,80,2810
106,-92,-105,-9177,143,2092
-75,40,85,-7121,-641,1991
35,-114,-110,-2954,-990,2933
-65,71,30,852,-1703,3227
47,-94,39,1421,-62,3209
84,-37,-19,-1081,719,2935
104,80,-11,-950,6,1293
81,-36,65,2015,1069,1179
2,46,2,-172,810,894
-81,-14,-8,-1096,-220,1393
-64,-101,-24,573,-667,1539
-47,120,-71,1078,-391,414
-45,117,124,518,107,300
-53,99,110,488,126,404
-73,67,120,1088,-292,326
-84,86,-109,399,-546,369
-76,70,-111,173,-362,53
-74,56,-101,158,-157,-10
-83,68,-99,-52,-7,-43
-78,52,-110,387,173,-57
-73,50,-118,529,399,-146
-72,64,-127,357,378,126
-73,70,113,94,79,13
-66,70,106,152,-26,-22
-63,68,102,308,-9,-149
-58,70,107,232,-41,-91
-59,78,110,27,-108,-54
-61,86,123,14,-3,-36
-57,90,125,43,61,101
-58,101,120,152,121,46
-54,103,110,227,150,16
-51,107,100,184,141,41
-54,112,90,144,20,47
-53,115,90,150,36,42
-53,118,89,172,48,-7
-50,123,88,148,10,-21
-48,125,93,180,-38,-49
-56,49,-50,5595,2008,-7927
-63,72,79,14163,-1954,-9164
123,122,-71,24908,-12496,-7115
86,84,-66,-1047,-1433,-8057
-15,-112,-14,8987,-929,-13551
-30,-66,45,-12009,6575,5354
-94,116,4,387,470,1034
-31,110,20,-1486,-203,285
-126,33,-25,-5979,504,1751
21,-118,45,-10226,-286,3513
0,37,108,-8853,-285,2686
100,63,-105,-7926,-631,2778
-1,92,82,-9069,-836,4088
-12,44,56,-3743,-632,3615
-45,-88,-32,3293,-1334,4228
123,85,42,2117,-361,3400
-117,-52,-50,-1951,1358,1983
18,53,-28,-2323,-733,1470
-21,-56,-64,-120,-324,1535
-25,3,-60,-1210,-355,1611
-38,4,-103,-975,28,1104
-58,-23,-116,196,-69,645
-77,-83,118,1283,-56,31
-82,101,82,1842,315,-304
-103,88,62,1314,227,-79
-101,61,61,875,-30,140
-73,106,97,-441,-435,521
-75,102,121,143,-228,368
-77,78,-106,1111,-183,43
-90,79,-118,731,228,-602
-96,55,94,633,517,-708
-66,35,71,369,426,-297
-62,79,79,-345,-39,282
-63,75,96,-86,-226,334
-55,93,120,341,-98,140
-60,77,-127,1322,14,-66
-73,58,96,1376,326,-442
-61,70,52,78,421,-332
-61,49,47,16,25,3
-65,50,82,372,-323,334
-51,68,126,260,-165,262
-31,91,-121,-491,463,-102
-39,92,96,-698,393,-141
-55,108,89,-708,139,259
-48,122,83,-347,451,132
-45,119,65,244,280,45
-36,107,58,741,-13,90
-43,-117,80,-112,-303,231
-33,-64,120,-1337,-297,258
-41,-52,-127,-1083,272,-60
68,108,-68,3155,1777,-5039
36,-114,-112,8580,-953,-4555
52,-103,-22,12871,-4363,-3525
34,42,-15,16117,-10867,-4380
-78,-65,-78,5312,-2304,-11349
121,-77,-79,13037,-5069,-8506
5,-82,-64,-5025,3180,117
