AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-59,38,72,3803,3194,-6461
-16,39,72,4485,3037,-8214
84,84,86,4037,1804,-5837
58,-7,68,863,-902,-5719
-92,-38,-33,901,-1077,-6522
-26,-96,-125,1796,-2496,-7392
-51,-121,-87,1378,-1046,-8199
124,-63,43,1128,982,-6934
33,54,-64,-1220,1042,-1024
-69,-113,19,2014,308,2300
-18,104,2,-1911,-3515,7027
-29,-124,-101,-3754,-6263,8747
55,102,50,-3243,-5557,6941
-57,48,-80,-7874,-4164,5102
113,6,-97,-1541,-26,883
-90,-34,123,2038,-471,-1959
37,29,105,-1121,-551,-419
66,85,94,706,826,-820
21,77,18,934,-608,-668
-108,63,-76,-178,754,-2499
8,-32,108,345,1134,-2915
-123,75,70,784,1181,-1962
-8,91,-42,-367,531,-1555
-115,-2,-41,880,-342,-29
61,-16,-56,2061,-1824,2174
78,-94,-92,-43,-3146,6028
102,-106,57,-715,-4488,6151
-95,-89,68,-754,-3885,5090
-90,84,79,905,-4254,3580
1,0,-126,1063,-4231,3071
-70,-83,42,643,-2511,4154
-110,47,-99,2046,-2354,4498
-43,108,84,2784,-657,1643
99,-6,50,1368,-98,-2314
-95,4,13,247,1143,-1115
-79,-99,-32,645,843,-749
-84,112,-31,731,-20,-993
-66,90,-23,299,-282,-293
-39,97,-31,-102,13,145
-28,100,-41,-550,147,-110
-15,80,-77,262,170,-27
-15,97,-68,-179,-34,-82
6,115,-83,-285,118,146
6,109,-94,125,56,27
13,114,-100,104,21,-93
25,-120,-105,-448,70,-68
36,105,-116,154,78,20
41,91,-118,458,31,31
62,123,-113,-150,76,310
59,127,-120,-408,-47,27
-7,76,-71,3267,1474,-3426
-108,-39,45,2877,1453,-5468
103,92,89,859,1750,-6917
95,-23,30,718,2219,-6798
9,-96,88,-826,2218,-7199
-81,-121,-83,-2111,2297,-7107
-3,-77,-125,-3491,2590,-5104
-66,107,118,-4052,2059,-2849
14,118,101,-2796,1194,-1416
89,-89,22,-402,871,-1909
-99,-105,-97,1190,-329,-2523
-125,115,111,4103,865,-2992
127,-42,-25,4439,503,143
55,54,-119,2362,-693,3021
113,-77,5,934,-1613,4829
-7,78,71,365,-5135,7159
86,57,-68,316,-5183,4757
-67,46,-107,-2993,-4881,6290
117,43,-123,-428,-388,2075
-122,109,77,2199,-1012,-2355
-4,86,59,-1553,-184,-607
19,99,60,598,477,-453
30,112,50,789,-107,-479
-107,-61,-56,263,196,-2543
92,83,39,606,420,-2753
-124,-68,-51,424,-403,-1637
-107,-100,-101,-71,-573,-925
60,127,-61,614,-286,958
-3,122,-4,2080,-1866,4307
107,-62,111,802,-1835,6491
-114,23,50,2538,-2349,6644
66,-3,113,487,205,5851
-4,-10,46,-470,-1683,5466
69,-111,3,363,-2208,3048
86,-49,-76,1679,-1658,2547
26,123,122,1218,-785,1396
16,61,82,1486,272,1284
-50,-8,44,1772,109,586
-81,-95,37,2125,-431,-283
-89,-128,62,-292,-463,-1005
-55,109,56,-2046,-66,-568
-56,67,5,-1607,-21,-125
-64,52,-18,-605,-257,35
-44,82,-20,-484,-79,61
-32,108,-36,-549,83,57
-15,114,-52,-288,79,146
-1,122,-71,24,91,163
-14,-116,-82,-33,50,50
10,-117,-95,-152,113,-91
15,-118,-108,-189,-23,1
12,-32,43,1876,2215,-5619
-61,13,87,1332,2450,-6146
-34,-85,49,-198,3276,-7181
-109,30,124,-1085,3657,-7209
35,13,-97,-1553,3418,-7073
-100,-52,-35,-4673,4310,-5799
-122,92,-84,-4302,4293,-3104
28,56,-71,-2634,2268,-1149
61,-73,62,735,236,-385
-76,107,-34,1985,-579,-594
-57,103,20,3607,339,-1662
-70,-82,63,3774,-202,-1027
12,-10,-3,2336,-1876,2573
7,-116,-102,1547,-2750,3391
-29,63,-91,-875,-3628,5999
-51,60,-6,-3614,-5097,8280
84,92,-119,-3813,-4820,5659
-120,-18,-100,791,-642,1657
-66,-96,93,3156,-1230,-4060
-117,-102,62,-2534,410,-1968
-102,-58,-28,654,-560,-1505
61,-2,-37,1920,122,-2367
-6,-55,-84,1940,-1214,-1848
126,-93,-78,780,-1462,279
13,27,16,175,-2847,4762
-40,-71,-103,1220,-4123,6136
-55,11,64,2924,-3899,4683
122,-64,-122,-35,-2747,5163
92,120,-101,-1258,-3255,2658
-53,-60,19,2271,-1965,2799
-17,62,-120,1252,6,2753
12,-11,95,685,-507,820
-104,83,58,2254,-462,-470
-93,-7,2,1642,320,-1314
-70,-22,8,-72,601,-923
