AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-50,-52,5,4368,1885,-5960
-109,123,-36,2174,5701,-5023
104,53,-90,280,7321,777
55,-17,78,1625,6469,5118
85,105,94,-3084,-2190,10992
41,7,-85,-3912,-8538,3915
-105,-96,83,-1761,-6999,-2003
-108,-42,-61,-5901,-3442,-3817
-29,93,11,-2594,1207,-6424
-33,43,-97,-3602,2603,-4885
71,101,54,405,2523,-4609
85,99,89,-2310,5625,-1271
9,42,-44,4529,5082,-2463
-112,56,-120,4048,7929,607
-29,48,16,6053,7704,3513
-86,-85,-23,-1696,1565,10914
79,-113,60,6684,-9920,4750
-100,-63,80,141,-1764,5640
67,-64,88,326,-2186,-1298
9,84,10,-127,-1948,3909
-44,-26,33,-3451,183,2484
-29,28,1,-2610,2217,2824
-124,-98,-1,-7539,4683,4410
-110,-28,-99,-6171,3505,4391
-87,-73,20,-2802,4833,5394
9,-53,5,-722,2952,5445
30,-111,124,-969,3583,5831
44,-25,33,485,749,2618
102,61,75,929,-260,2582
1,-26,127,210,-1220,1341
17,108,94,1780,-378,909
-91,106,113,1251,88,185
-110,38,-119,1078,-97,-810
-105,-100,-86,1815,-432,-1389
-69,119,-36,1235,-570,-1092
-57,-111,-32,-306,-726,-906
-31,-103,-42,-439,-522,-412
-12,101,-105,358,296,-808
-21,-109,-72,-145,-448,-595
-1,-106,-83,-366,-392,-195
-8,-97,-105,-499,-201,-59
-21,-71,-124,-678,-239,128
-31,-70,100,-201,-77,171
-35,-47,94,-38,-42,273
-35,-20,78,-120,117,344
-39,4,67,-418,-106,146
-35,15,59,-393,-113,144
-42,19,52,-187,-173,-239
-44,19,51,54,-105,-224
-31,35,43,-129,66,-43
102,-79,12,-1157,-3220,-3868
-119,-42,4,-277,-2213,-6453
96,1,35,-1035,-1861,-5870
-58,-114,99,4123,54,-6289
-68,0,-16,3259,3522,-4540
-40,-85,84,980,6612,-256
-38,44,86,1755,4794,7542
112,5,27,-71,-2378,8414
-115,-125,5,-1870,-5770,2793
117,-100,-92,-2128,-5463,-3106
-106,126,-99,-4854,-1451,-6385
0,80,-29,-2957,422,-5578
-122,73,-112,-3793,2111,-3212
-80,119,51,-1275,3333,-2309
-69,92,23,498,4236,-1699
-128,87,-84,3896,5536,-1937
-93,104,-121,3782,8548,3945
67,68,113,-2030,4244,12691
20,-9,11,13021,-11430,3894
-120,-31,66,-1978,-1866,5278
-58,-99,-65,1142,-4662,889
90,-123,108,-841,-3684,3225
73,-74,-19,-3369,-1207,1363
-33,8,-61,-1772,-146,1489
44,-47,-60,-2853,970,1216
-30,34,-114,-4147,1527,3497
-120,-128,-42,-4620,3346,5154
-91,-110,79,-4192,5955,6924
74,-59,-114,-2063,5243,7913
107,-77,-17,-570,1653,5490
24,-4,123,2621,1144,4651
-32,-121,-77,1904,1184,1873
-29,41,63,-20,-46,704
-85,127,95,839,-17,12
-83,-3,-127,2098,174,-469
-60,-72,-99,1908,165,-1067
-54,-81,-77,676,-49,-929
-30,120,-41,-176,-570,-655
-3,91,-50,-236,-571,-498
31,93,-68,8,-232,-270
23,95,-87,17,-14,-442
14,116,-75,-116,-226,-46
9,124,-73,-145,-338,0
1,114,-75,16,-224,-282
4,-121,-64,29,-333,-366
35,-113,-102,61,298,-268
7,-79,-119,-327,-54,-256
-8,-50,113,-397,-482,121
0,-31,103,-195,-288,188
1,-9,93,-97,52,-9
-96,113,30,-4375,1827,-4368
39,114,-29,1252,-910,-4439
-123,76,-117,-3521,-2340,-5098
-88,117,-59,-779,2,-4619
66,-120,21,2840,374,-5696
19,38,92,2610,4358,-5735
-51,-67,7,2354,7626,-3213
77,-6,62,1750,5650,6295
100,-85,-26,-2982,-2543,13141
94,-36,-100,-4113,-5798,5351
93,41,82,-2725,-7880,-1863
-89,-3,-33,-4824,-5294,-4260
-67,0,93,-3738,-1230,-6355
-58,-30,-18,-3416,1811,-5655
31,61,-57,-3356,3827,-4258
-78,122,70,-2907,6045,-1172
-77,-113,17,-614,7392,312
45,-125,36,3730,8077,-1659
-47,-92,36,3619,8511,4728
15,-97,-56,-3787,4148,17257
-64,74,16,9669,-8202,-4123
3,54,40,9597,-12133,6119
70,-125,124,-380,-2227,7464
57,9,-98,-3109,1124,182
-70,91,-89,1544,427,-2397
-67,-50,-100,-1656,-1490,1539
79,39,11,-711,-1110,881
47,49,-99,-1283,-722,1231
91,56,43,-2957,633,2309
27,80,-10,-5776,2458,3214
-64,-73,39,-6852,4175,4646
-36,106,-26,-5080,6217,6127
63,11,18,-3055,4324,7825
-93,74,104,-1257,2086,6745
57,-21,-47,-430,528,2791
61,127,84,3840,-711,1060
22,-113,-74,66,-748,1122
-32,-55,-115,631,253,-306
-70,18,-101,1370,370,-452
-47,16,-93,298,485,128
-50,-44,-74,-231,-511,-418
-31,-100,-79,-177,-572,-565
-24,-108,-91,33,-416,-446
0,-112,-104,241,162,-182
-15,-88,-101,-82,-70,92
-19,-69,-111,-351,-241,74
-4,-56,-122,-381,-60,224
-13,-69,114,136,83,-57
-3,-45,106,175,316,-76
-16,-30,120,143,-147,-314
-99,-2,-12,-2193,-1374,-5591
-31,-15,24,-1001,-977,-6356
-7,40,-17,1730,2004,-6155
66,-120,-13,5982,2265,-6573
-90,-82,-54,3277,3302,-6284
105,-31,26,1756,9143,-4085
15,58,-13,-4056,5999,10184
79,-71,-81,-2614,-4067,12599
119,-114,52,-2635,-7809,2461
117,-63,-128,-2743,-6263,-2100
-109,-23,114,-3890,-2674,-5202
62,-6,95,-3112,-494,-6858
85,-102,-58,-4083,645,-4018
-104,-90,-123,-2314,1934,-3187
78,-52,-97,-1513,3964,-823
-125,-127,104,-1205,6320,1601
78,-116,96,2545,7717,2855
68,101,17,3571,9323,5855
-60,36,-59,-3091,422,11923
-37,78,30,9161,-6597,726
50,110,94,-96,-4787,6420
113,71,46,4277,-9090,1299
46,-115,-17,1265,-5468,2906
-96,74,-89,143,-2549,1399
-67,-89,77,-1258,-315,1027
71,80,87,-2502,694,2042
-80,-48,-31,-2613,3080,830
-89,68,49,-6887,4261,3301
43,-112,-30,-8105,4913,4732
-5,94,46,-3659,5465,6780
-119,93,100,-1142,3853,7346
-20,-60,40,-2153,2141,4105
119,-43,-30,1543,1723,3287
70,65,-59,2231,937,1520
105,-43,-64,1480,1588,1424
6,-124,-43,205,972,1440
-55,22,-46,1117,-114,914
-104,106,25,2873,-1392,-28
-69,80,51,2687,-973,-603
-57,107,99,991,-187,-841
-60,96,-120,-174,-209,-780
-33,79,124,-666,-555,-655
19,69,85,-962,-574,-545
17,58,45,-741,-369,-507
13,62,21,-518,-245,-430
6,75,-9,-179,-165,3
0,95,-20,-162,-12,107
13,116,-44,-251,151,249
-6,-115,-66,-305,-59,329
-3,-92,-75,-411,-27,103
52,14,-106,2361,667,-5754
-56,-35,-40,6646,74,-7735
-97,89,-35,3074,3230,-7614
-97,-41,121,-2802,9664,767
122,-125,-116,-5647,4543,12230
-28,-41,117,-9426,-8079,14179
1,122,-4,-2544,-8867,-830
103,60,106,-3676,-4298,-3418
124,14,122,-1902,-124,-6096
104,119,28,-1131,1578,-6429
53,-119,74,-2340,3200,-5746
63,-73,39,-980,4771,-4980
120,107,49,-571,7027,-3505
-87,64,6,1472,9135,-3800
-60,-34,-32,-3059,13127,480
115,-37,73,-2945,-2934,19277
