AccX,AccY,AccZ,GyroX,GyroY,GyroZ
6,-75,-121,-569,4472,-3824
-51,-78,112,-367,5310,-4515
-61,-108,58,-1091,4903,-4527
-116,58,126,-1519,5687,-5004
46,-36,-12,-1957,4681,-3493
51,121,-50,-1793,5282,-3434
-57,99,-78,-1477,4391,-2312
-34,22,-46,-733,4166,-2522
-121,112,-46,-901,3213,-1813
-65,-18,-76,239,1992,-767
96,-72,107,-897,980,55
-114,-121,-123,1378,-357,1166
-120,-66,42,755,-1873,943
74,31,7,320,-3640,1754
95,113,-92,1014,-3336,1850
-116,-68,118,3129,-3237,2484
47,-2,23,-107,-3466,3037
33,45,108,2132,-3416,3639
-34,10,-85,2211,-4590,4759
-82,-64,73,829,-4398,5773
-49,-98,107,2765,-4187,4475
-124,-33,-88,983,-2448,2997
-23,-105,97,1724,-1869,3243
-99,-83,31,1443,-337,2455
-37,38,-117,2892,-457,1163
-121,-119,21,2225,-1016,-62
-114,32,10,491,-823,-1868
-117,-110,-1,1193,-460,-1572
-120,-96,17,998,92,-466
-127,88,18,1388,130,-1038
-97,54,-5,1284,510,-722
-80,98,-15,-145,348,-633
-44,62,-33,-729,27,-761
-49,43,-45,-697,92,-459
-42,51,-64,-817,346,-487
-20,40,-91,-123,320,-343
-18,84,-102,-708,259,-39
-15,87,-126,310,105,-70
-6,113,125,519,56,-254
1,-127,-126,261,29,-252
11,-122,126,7,108,-114
19,-106,114,-160,33,38
7,-94,115,-67,-129,0
35,-87,115,84,55,-108
38,-81,112,168,141,-120
40,-74,104,110,58,-222
52,-73,100,72,62,-357
58,-78,97,63,113,-385
63,-82,92,61,117,-319
69,-85,86,109,100,-201
-52,-7,94,-1460,2328,-5310
41,-53,73,-959,4287,-5276
30,-104,8,-2582,4022,-5389
-43,-104,102,-1962,4664,-5411
0,3,19,-3186,5126,-4461
-52,41,-108,-789,5365,-3931
-63,35,-77,-91,3886,-3301
-7,2,-124,-1899,3829,-3195
120,16,22,-2038,2508,-2009
10,66,-118,376,1539,-969
-50,47,50,1289,177,660
-85,0,-6,1649,-1056,2051
-14,80,92,794,-2903,2778
82,-10,72,1314,-3566,3548
60,-127,-114,-88,-2412,3363
112,38,75,-1398,-4876,4020
31,23,-56,739,-3635,4119
-20,-97,-10,1231,-4044,3244
-123,55,51,-845,-4693,3590
116,127,67,1119,-3434,2431
59,-89,108,704,-3441,3014
64,-74,-108,1254,-1837,2534
-98,-9,-84,-255,-1634,2138
20,77,91,1451,-1293,737
-95,-122,5,-3122,-2411,816
-51,100,-128,225,-618,-6
-23,94,81,2395,1084,-460
-86,-112,-2,956,503,-597
-118,42,15,771,-932,-672
-73,17,31,-3,-207,-114
-22,53,8,-189,577,571
-40,48,-29,-379,698,-527
-48,-11,-62,-289,-152,-513
-26,-13,-71,26,-84,-106
-14,8,-90,-136,154,15
-18,-24,-113,697,80,-113
-4,-8,-115,669,-12,-90
2,20,-113,145,5,-140
5,-22,-118,526,40,-376
24,-8,-119,342,137,-237
34,-7,-117,64,94,-279
41,-3,-116,14,102,-91
52,-4,-123,26,40,-133
56,-10,-128,45,109,-204
63,-12,120,81,120,-135
63,-17,111,223,99,-151
72,-6,107,92,189,-149
79,-11,94,221,83,-214
89,-1,99,19,52,-152
104,-13,112,238,-16,-107
-26,-94,87,46,4756,-3297
14,-124,110,-608,3983,-3813
6,-85,-115,-2426,5607,-4711
-60,91,-70,-926,5057,-3200
65,-89,-1,-2686,5762,-3164
82,-85,-61,-2909,5416,-2380
121,-26,-33,-1584,4915,-2444
-38,-73,81,-276,4313,-1588
-26,-59,-86,1499,3600,-233
-50,-81,77,410,776,1006
-40,-57,27,-1019,-1631,878
111,-33,-121,723,-3605,956
40,-98,91,151,-3961,1567
-31,123,-5,1789,-4244,1510
59,4,34,1120,-5324,2962
-62,-104,-7,309,-4782,1888
-55,96,12,2877,-4659,1973
-99,-75,-5,1341,-5428,4044
-101,-75,55,636,-5498,3654
61,97,126,2649,-4922,3402
-32,-101,-48,2778,-2862,2255
-35,106,-19,2280,-2912,2065
71,121,93,921,-488,2473
-60,73,3,-1357,-37,-265
-67,107,-128,491,579,-1202
-97,-4,32,1496,821,-1047
-121,-13,18,994,419,-868
-119,-46,6,-63,46,-484
-88,-59,-28,-896,386,-75
-78,-75,-52,-547,181,-210
-66,-87,-62,270,27,-237
-62,-70,-66,290,128,-367
-49,-50,-77,-24,211,-124
-40,-44,-90,-143,210,-127
-31,-47,-101,133,63,-100
-19,-36,-100,136,39,-203
-10,-38,-95,-4,33,-240
18,-30,-103,-231,242,-104
12,-41,-119,167,95,-176
