AccX,AccY,AccZ,GyroX,GyroY,GyroZ
31,-84,86,-1273,2242,-7399
99,-30,118,-2150,3940,-7093
-51,-110,98,-2807,6285,-4168
34,37,49,-1476,5939,-521
-23,-35,112,-2295,3723,1435
116,-21,116,-745,3483,3977
-119,-52,-112,-3108,-1236,4412
-37,50,-112,-3192,-6354,913
2,76,61,1321,-3432,-1801
-100,-98,-52,2972,-1548,-2800
-23,55,124,509,588,-6708
75,-41,-126,967,3334,-3865
55,52,-72,-1108,3758,-475
-21,-68,113,-2294,2379,1612
-66,29,43,-840,909,5328
-21,-36,-4,-2127,-321,4516
-89,-88,67,-3341,-3368,3908
-32,19,64,-1136,-5864,-84
-128,-32,119,2176,-2983,-1915
-84,126,-123,1818,-1756,-3804
-20,-44,124,1657,212,-4094
89,12,-124,2842,804,-3207
-23,84,124,1850,1238,-1670
-5,-51,29,531,-197,1106
-58,-34,-67,-708,-1297,1840
66,-26,127,-783,-2184,2825
-52,107,-61,-619,-4087,5941
-76,-89,82,-547,-3298,6613
53,-18,48,472,-2245,5534
116,29,-119,529,-1753,4422
-118,-60,-8,719,-1134,2492
84,-34,118,1498,-855,2377
45,-90,59,1468,-379,1487
-15,-128,3,818,-210,1220
-79,-46,-6,1303,-610,-667
-35,-107,3,786,-11,-1630
16,118,-5,28,391,-862
10,114,-21,-177,397,233
-7,98,-48,387,37,406
5,93,-62,839,13,162
30,105,-66,654,97,98
38,114,-60,255,-24,115
40,113,-57,36,-38,173
43,115,-57,52,16,149
56,110,-69,324,88,59
68,123,-76,6,84,-2
81,-126,-92,-284,69,10
79,115,-97,41,-29,-91
88,119,-95,67,31,-74
98,-128,-97,-125,78,-47
-127,-24,-80,-2202,1925,-4786
81,-39,127,-1602,3953,-5817
71,-95,124,-2186,5022,-5930
97,27,87,-2375,4477,-3209
10,-92,51,-1381,4528,-745
77,-6,40,-891,4473,2000
-66,13,-29,140,1188,5469
121,78,-70,-1290,-2106,3229
-102,106,-35,-3393,-6030,-431
-86,43,-9,1033,-3076,-1912
2,-60,-57,1219,-808,-4004
67,50,-98,-1505,1548,-4950
-64,-79,-72,687,3648,-1511
-108,4,-36,-1249,3736,-724
97,49,75,-206,3039,3878
-77,-112,-49,-2530,183,5355
71,72,37,-5059,-3596,4014
57,24,70,1248,-5549,2181
45,-12,9,1018,-1648,-1907
-38,-77,-82,1380,214,-4742
-45,25,-73,1909,2084,-4577
-44,-74,-44,1376,3040,-2412
-78,71,127,3028,1997,163
-50,71,73,1793,2698,1013
23,13,30,-851,1811,1379
64,-61,85,-2793,-1753,3403
-5,53,76,-2963,-3086,4595
55,28,1,-2703,-4571,4716
14,-110,106,-838,-5148,3736
99,54,94,-1482,-2752,4472
-17,69,45,996,-4445,2914
123,-75,-24,2318,-3924,2268
-81,96,-65,-858,-68,3927
-53,9,81,-1155,167,713
-94,111,42,392,151,-983
-28,-51,1,1820,568,-878
-15,-92,-18,1139,710,-154
-10,-54,-11,-773,345,44
7,-93,-35,-210,-55,138
38,-111,-53,422,-56,243
40,-101,-46,80,8,330
42,-113,-54,406,-87,433
44,-100,-42,310,-160,288
64,-93,-46,-39,82,-78
68,-102,-59,269,163,9
72,-90,-58,130,85,161
75,-70,-67,-235,82,6
87,-86,-77,-24,136,-120
101,-100,-81,179,103,-57
114,-93,-84,70,71,78
0,-4,73,-1640,3346,-5623
39,-85,114,-1732,4268,-6932
32,-126,126,-1971,4891,-5827
78,-33,-82,-1228,5361,-3650
121,-117,-101,-894,4629,-169
-58,-60,-95,-979,4018,2919
-38,69,37,930,-176,6023
