AccX,AccY,AccZ,GyroX,GyroY,GyroZ
118,55,78,989,4474,-4422
-23,90,90,-465,2453,-2970
-107,89,-116,782,2114,-2001
-51,-49,-68,840,139,-2402
13,-7,-112,-524,202,-3204
13,11,-88,-704,1069,-3953
-92,12,-56,-2895,2755,-2827
101,44,11,-2194,3800,-428
-125,-24,-34,-971,2527,2171
-48,11,66,-1546,1242,1924
29,87,44,-778,-3337,5222
-80,87,48,323,-163,2532
25,-120,-128,4988,391,-4448
22,-55,-9,70,-69,-2942
52,0,14,-2495,-1828,-872
96,81,72,3073,-3162,-356
-16,73,-6,2161,-3840,1221
31,50,-64,3082,-5890,2414
-44,54,64,3366,-2321,3880
-17,-4,107,2180,-2394,3018
8,-114,20,2218,-2123,5230
-42,64,56,5378,-937,3844
45,60,124,6035,2000,-308
96,-37,93,7766,1963,-2872
-61,71,58,3299,3075,2359
106,-31,-83,-2674,1697,2117
24,28,-61,-3234,-2641,-756
-28,-10,118,-2725,-2051,-795
68,-73,34,-1380,-330,-709
25,-116,21,-231,475,-853
-20,-90,31,234,147,-303
-11,-66,23,448,-232,225
2,-45,23,292,-220,299
19,-19,19,-325,-126,161
39,12,11,-1168,4,50
44,6,-11,-481,-11,29
40,13,-17,14,15,-72
46,32,-40,104,102,-63
59,21,-70,434,167,-74
70,34,-81,371,-55,88
69,43,-76,286,-205,89
74,50,-70,226,-98,-23
87,59,-69,78,19,-43
94,62,-76,19,-7,-11
100,69,-87,-116,1,-17
109,72,-100,-154,21,-72
110,78,-101,-163,-43,-51
118,84,-106,-82,-14,-52
126,88,-109,20,-19,-34
-123,94,-111,111,-26,10
56,-62,-37,-2452,4550,3534
-66,-98,21,-1193,-4865,4075
46,96,-77,-861,227,4082
26,54,6,4171,154,-4416
-113,-19,64,799,585,-3878
-8,3,-107,-1368,-709,-1427
24,-36,-106,1695,-1053,331
0,-111,118,2228,-3239,-1732
72,-52,-126,2133,-3231,954
51,-25,-58,1211,-2077,1866
-33,89,37,294,-2508,4453
-120,57,83,784,-4854,3765
5,-49,-107,2058,-3217,3761
-113,29,70,1427,-1023,4947
117,-89,29,1883,458,2368
-13,29,-23,1426,-1077,-806
-36,127,-30,3166,-1135,-914
40,70,-41,3781,-286,-48
30,81,-14,1758,783,201
-7,58,-15,67,890,2
-23,40,-8,-830,239,-160
-23,-3,-14,-269,-262,-389
-9,-15,-21,-155,-79,-405
16,-10,-46,-50,332,-220
23,-8,-61,141,151,-125
26,19,-53,-347,-102,-44
35,10,-64,221,-68,66
45,13,-66,506,-23,-12
54,26,-71,555,-32,24
63,24,-79,617,-43,-50
66,25,-83,499,-55,-54
76,27,-84,253,-12,-29
79,33,-88,34,-5,9
90,32,-98,-4,46,-23
97,41,-106,-125,21,-5
102,51,-111,-135,-51,-54
104,47,-113,58,14,-138
119,58,-113,27,-8,-3
120,62,-119,115,-13,2
127,69,-126,82,9,-20
-125,77,122,13,-15,-5
-113,81,119,7,-23,18
-118,92,124,-11,-37,-16
-105,92,120,81,26,-83
-98,97,117,85,-12,-1
-96,102,116,121,-4,-24
-94,107,112,97,23,-57
-91,107,109,106,-11,-29
-84,112,105,92,-18,-18
-79,117,106,69,-18,-43
-64,-109,33,-1745,3537,-5440
-73,41,-30,-1668,773,-3549
-66,95,-23,-532,951,-4462
-60,68,69,-439,-319,-4326
-46,-122,127,-733,1903,-5012
76,83,48,-2478,3745,-3124
-109,-52,-76,-713,1179,461
-25,31,70,-3183,3141,2628
-75,-14,81,-3285,-4779,4894
-73,-38,47,-1700,-242,4771
25,-82,49,3412,776,-4960
16,19,43,4050,-32,-3151
-70,-49,-7,-1818,-760,-1915
-83,60,-40,-778,-93,-512
-3,2,-114,4162,-2395,78
120,-50,74,2390,-1870,787
106,-14,-119,1207,-2779,2710
-115,-21,-36,1047,-2340,3651
-72,21,41,1062,-2722,2979
51,77,-4,284,-2924,3087
-26,-57,112,534,-3356,3619
-72,-70,37,670,-1291,5034
86,-71,-51,5361,-568,1016
94,-117,-81,4702,-327,-563
81,-126,-75,2635,-4,-560
36,85,-28,940,269,-155
-2,40,-7,-277,537,-344
-44,-13,0,-779,222,-641
-16,-43,-23,70,102,-530
12,-25,-31,221,74,-26
16,0,-32,-29,-14,321
20,3,-47,-64,67,138
34,13,-59,75,-4,100
40,17,-57,254,-92,28
48,29,-61,146,-1,-11
61,34,-74,-7,38,-112
62,36,-79,-45,-50,-49
66,40,-83,-50,-6,-87
81,44,-91,-43,53,-85
86,47,-97,17,-17,-37
94,56,-102,85,-21,4
94,60,-106,229,2,-38
100,65,-114,218,16,-59
-128,71,-123,81,-21,6
123,78,-115,91,-94,61
123,88,-108,107,22,-42
-123,91,-119,102,93,-97
-127,92,126,-13,-39,-61
-107,96,119,-102,30,-23
-106,99,119,-64,-21,-82
-47,72,-74,-3865,-4426,7155
16,113,-56,-3620,-1147,2591
48,-9,22,3073,867,-2038
85,101,-47,5177,-318,-4884
-100,52,-24,-1311,1251,-2486
25,-24,-77,1419,874,-1461
-82,97,44,3010,-1876,-356
52,-46,57,1988,-2772,43
127,87,-80,2044,-3663,2829
127,51,-69,183,-1237,4754
-44,-13,4,-2,-2021,4764
-18,-98,30,-474,-1282,1266
-71,-12,-48,-611,-4387,3964
58,-72,97,-746,-2870,2935
-84,-38,34,-202,-49,1823
40,-28,-15,2940,-708,225
20,-70,-69,2720,-138,36
47,110,-100,3752,36,281
71,87,-74,3171,265,339
31,81,-24,1021,353,-162
6,52,-12,-596,117,-381
-3,3,-43,-433,93,-224
10,-17,-63,446,8,-231
70,-16,-72,444,-23,-235
69,13,-56,-116,-220,54
50,21,-47,-175,-171,-13
61,19,-44,385,43,-9
77,20,-55,618,116,-54
80,30,-73,349,41,-80
89,27,-87,135,34,-33
95,29,-96,82,14,-41
102,31,-94,95,-81,-33
110,40,-86,40,-35,14
117,46,-86,134,20,7
120,55,-98,59,56,-35
124,65,-112,-233,66,-24
-127,59,-125,-13,-11,-73
-117,70,-123,-116,-80,-57
-114,77,-115,-125,-59,-12
-105,80,-114,77,4,-21
-90,86,-121,238,31,21
-93,94,-124,234,-7,13
-96,103,126,167,31,-55
-90,103,123,111,-11,-83
-79,106,121,-14,7,-15
-77,109,120,-46,26,7
-74,119,123,-85,-22,77
-73,127,124,-47,30,21
-61,-121,115,-113,89,-43
-57,-113,109,-273,65,-67
-37,-26,71,1403,2220,-4570
-106,119,-13,1381,1526,-2427
-62,61,15,-1966,851,-2535
-87,-9,-11,-392,-347,-2210
-44,-54,-80,-1001,772,-4850
-34,-82,-14,-1195,818,-4638
-99,-119,51,-2336,4283,-3990
-51,2,-65,-1761,2649,1548
113,-36,43,-3504,2607,4686
25,65,-58,1314,-3854,3235
10,-28,67,-6355,-3644,2498
-8,-98,-34,3946,3658,-5653
32,113,-116,5208,-806,-2854
102,80,-89,-4619,-2361,-1007
-87,-24,39,3448,-537,-293
18,-114,15,2370,-2884,-1141
31,37,-115,3450,-3619,2695
51,57,-75,3850,-3733,4787
-61,93,-63,3911,-212,7103
54,57,-65,238,-2600,3821
-51,-48,98,218,-2922,3795
122,74,-27,-3420,-1094,4882
-59,-53,-40,2301,-1752,162
-29,-3,109,2508,-1644,-857
-90,-59,117,2406,-378,-786
-89,-57,-52,-1441,2252,-510
-100,77,-94,-326,1569,-1005
-28,36,-79,1017,993,-514
-19,70,-53,692,21,-322
-17,64,-78,731,-256,-8
-1,50,-83,520,294,51
0,35,-98,529,455,-64
-8,16,-108,1196,449,-213
25,83,-50,270,-293,343
75,64,-88,154,-54,208
69,51,-112,84,276,-212
54,44,-117,-146,132,-325
73,41,-127,-361,-4,-94
79,43,-125,-299,-167,49
75,52,-123,-61,-116,80
82,70,-123,-92,-33,38
91,72,-125,8,-149,-31
95,87,123,-15,-256,-81
105,112,116,-94,-92,83
98,118,112,-224,67,-46
113,115,102,-41,165,-26
124,111,97,176,73,28
120,121,98,14,-47,-22
-123,126,88,-77,73,-13
-121,-127,86,-33,-9,-73
-105,-29,15,-570,4525,-3825
114,-79,20,-809,2647,-3363
