AccX,AccY,AccZ,GyroX,GyroY,GyroZ
103,-5,74,-3592,-3307,-5128
-126,116,-91,-6176,-4478,-5971
-128,93,-64,-5944,-4615,-5845
65,-57,79,-4297,-1933,-4952
73,84,110,-482,-1058,-4443
47,2,95,550,-699,-1691
57,67,-19,1435,862,944
-93,-30,-80,4117,3017,4959
-103,121,124,5275,4851,6931
-79,41,96,5115,4069,7979
-116,114,-108,-1829,1078,8017
-36,103,-89,3609,375,1987
-60,-120,3,-500,-1125,707
77,120,-87,2408,-492,1226
62,-69,-74,-71,-366,2745
65,-22,-117,-1879,659,3080
73,5,114,-1809,1057,2852
116,-19,82,498,1414,995
79,44,125,1077,148,587
58,-40,-120,2454,-1008,-362
57,-91,-104,2510,-1042,-747
88,83,-89,1894,4,-1284
80,6,-88,2181,353,-983
91,-25,-69,1486,340,-590
101,-30,-42,698,-84,-105
102,-70,-42,958,-69,4
121,-49,-32,216,113,15
-128,-56,-48,-9,120,-86
122,-73,-59,191,20,-53
-127,-63,-69,116,101,-18
-122,-50,-75,-17,62,61
-113,-39,-86,-41,88,32
-110,-37,-98,76,109,-68
-106,-30,-106,-7,79,-61
-108,-32,-108,117,0,48
-99,-11,-114,-14,99,52
-96,-3,-119,-42,26,74
-89,5,-124,74,33,42
-89,15,-123,102,66,-22
-84,23,-128,30,65,-18
-72,27,122,74,61,-31
-75,27,120,119,84,1
-76,37,116,64,102,6
-66,44,107,132,47,39
-69,48,109,171,37,-5
-63,57,106,133,112,32
-61,64,103,18,45,92
-61,66,101,49,19,128
-56,77,97,64,103,52
-54,79,95,149,17,68
76,-116,-23,-981,-3407,-6597
-36,-3,-71,-1029,-4273,-7320
27,77,-59,-1397,-4377,-8620
54,46,24,-1178,-3891,-7127
-28,-6,5,1015,-1550,-4793
42,-83,48,328,-575,-2369
-97,21,-75,365,106,1793
-40,-45,95,-178,-229,4386
-7,69,-59,1733,976,4740
104,-116,13,1549,491,7609
-75,-42,89,1127,574,7138
117,-54,24,1718,1596,3551
-17,-20,-36,1108,-221,2203
-33,-32,-122,850,-892,-942
-96,101,-27,-1664,-346,1162
-96,-68,-78,-1012,-1058,3921
-29,126,-75,-8,-287,4271
-58,-60,-46,1569,-1061,4313
-121,94,-35,2486,-442,4270
-1,-96,121,2421,1379,2905
-92,-40,86,1090,749,1626
13,-103,119,-105,-597,357
20,-22,122,2040,-220,-889
3,60,-122,4058,-320,-1361
27,115,-92,1133,183,-1327
64,36,-77,432,139,-952
88,-15,-86,231,262,-502
90,-14,-89,35,133,-272
71,-11,-68,-44,-505,-161
102,13,-68,-333,-316,208
83,29,-70,-583,-77,244
85,37,-94,-352,99,46
98,37,-105,53,191,-120
107,38,-119,325,128,-105
107,58,-122,15,26,13
113,64,-127,-137,54,106
122,69,119,-15,112,72
123,74,112,125,62,9
127,85,112,11,5,27
-110,90,106,34,75,49
-124,92,111,114,-4,38
-107,103,107,47,149,55
-106,103,99,109,68,46
-105,109,100,89,-34,76
-98,117,102,41,115,6
