AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-108,-127,125,2614,3409,-3630
-122,-69,89,3124,-289,-5115
-90,-110,-18,3003,-2277,-7542
79,-48,-123,4379,-5847,-7274
-97,32,47,-590,-5513,-6099
-83,6,17,6361,-425,-2109
77,38,-57,-1098,3640,8152
43,14,124,2084,3993,7029
-72,105,-91,-2696,-1982,-1072
-110,-73,108,-1051,-5368,-6233
41,-13,-61,-3712,-4210,-3953
-90,-92,-79,1628,837,-2440
81,-126,-72,306,4064,6004
113,-1,2,2333,3000,5507
124,-99,-122,-2073,-5232,-5148
-112,56,-33,818,-7324,-11221
42,112,32,-5497,-8068,-8675
-119,-72,-10,-3905,-3905,-7658
-41,-81,-97,-1662,1366,-2910
-107,87,41,1187,3055,-425
-38,-128,91,-74,7097,6983
-26,-28,27,841,1551,19284
52,-36,-17,-3786,-278,8099
-100,115,6,1971,770,-2390
-92,83,93,68,-219,-345
-7,44,30,-178,678,14
112,-38,45,-553,-216,-357
92,-70,-35,-1776,-801,141
18,81,74,-2026,-1325,466
-93,102,41,-955,333,1632
123,82,-63,-185,-240,3805
13,-53,81,3818,-2472,8482
109,70,-89,-1099,-464,6686
-64,82,-10,2054,-1927,5804
30,-95,85,3119,136,1470
-103,-88,-36,820,2463,3819
-112,56,-58,2540,1128,1712
-15,-24,-66,4501,-63,1876
-12,-103,-14,2918,-558,714
-17,-22,105,1247,-799,-1339
67,-24,82,-692,393,-805
80,-28,34,-1719,611,-156
69,-67,-31,-1531,-104,-128
65,-70,-49,-698,-479,-293
88,-56,-62,11,-217,-96
85,-26,-55,12,8,-92
86,-20,-72,205,138,70
89,-4,-78,234,4,433
100,25,-84,88,35,574
97,63,-100,-230,75,377
-54,110,-121,-553,4372,-5591
21,-50,119,5584,-386,-10072
3,76,70,4720,-3889,-8149
-79,109,-88,-1700,-2758,-6497
-94,-48,24,2588,56,-3335
-24,12,56,3656,1924,3565
-111,109,30,-2977,930,8457
37,-55,94,2035,2371,2377
13,113,-37,1703,-4899,-5339
-82,-37,48,-1918,-3773,-5267
49,0,106,-667,-2088,-4321
-105,-19,-104,2622,2741,2057
125,14,41,-1753,2850,8972
-48,-79,112,3704,2726,726
72,-102,-33,-1397,-5874,-8175
28,64,-122,-3290,-7509,-9280
-88,-122,84,-2674,-5001,-9592
124,69,23,-2338,-3457,-6121
14,-112,111,-1886,613,-868
32,111,-112,1419,3343,3428
0,-33,97,-3987,6263,12832
-1,44,-14,9517,-3463,17239
113,4,77,-5312,4524,4987
46,0,19,4208,-1900,-3997
65,11,19,45,-1238,-466
31,16,-54,-4201,554,-740
-97,-71,48,-845,229,152
-77,-72,56,-1792,1480,-221
18,-118,90,-3144,48,1123
59,-49,-77,-2944,-1506,2540
59,-114,25,437,-869,6633
-83,86,-28,-113,-413,5425
-86,55,69,-62,-614,3659
8,-111,-103,1694,-3598,1818
-20,35,-80,1430,684,5312
67,-97,-47,4454,3214,2768
84,46,-112,6697,1024,2353
44,-107,44,2691,-237,-332
99,25,-117,697,-1095,-908
-112,-78,-121,-1773,-730,-658
126,-98,61,-2445,-499,150
110,-78,-3,-2451,-706,635
