AccX,AccY,AccZ,GyroX,GyroY,GyroZ
112,64,-107,-4449,3094,-1323
48,-69,50,-2545,1816,-5337
-27,-70,-47,374,-624,-3672
-19,65,-62,1060,13,-6100
-109,-88,104,5359,-39,-5257
-111,31,101,15424,1901,-4978
-116,-114,33,17176,-3198,-4226
116,-18,-82,7473,-3940,-5334
-123,-35,47,3464,2549,-9610
-70,-53,8,6153,997,-6386
-7,-28,125,-12712,1178,6055
37,-53,-108,4432,-2136,468
-116,-74,63,-3119,-39,2130
70,31,119,-6329,-226,3149
1,-17,124,-8330,62,4156
-122,-53,-8,-8222,368,3342
34,-125,-104,-8907,676,4290
-123,15,69,-6501,350,4899
-78,57,-22,-3731,-1316,5588
-118,-53,-8,-1461,-1088,5131
63,86,116,2070,-1025,1913
-124,16,52,2837,13,1615
-112,-71,-18,3584,557,1685
47,-66,-19,1853,593,1541
-82,114,31,413,-338,153
-123,-8,43,-230,-912,-1964
-55,-50,1,1064,-76,-2029
-21,-100,17,2057,340,-1581
-21,-30,47,482,367,-401
-31,-48,76,8,100,26
-20,-44,54,-482,183,31
-26,-62,36,426,-8,-3
-29,-34,25,538,-26,223
-31,-28,30,546,88,126
-21,-40,0,860,376,-9
-15,-28,2,642,94,60
-26,-23,5,410,-83,24
-27,-19,13,279,-54,-174
-6,-27,-1,361,179,-299
-4,-15,9,116,4,-229
-5,-10,1,141,160,-166
-6,0,11,-66,186,-258
0,0,0,145,-13,-238
0,11,0,227,-34,-214
8,15,-8,179,159,-270
2,24,-6,62,-31,-98
3,32,-15,157,-82,0
7,43,-15,191,26,4
9,58,-21,43,119,-32
8,71,-16,34,167,-2
-51,-47,-43,2904,-1753,-4779
109,9,-65,5388,-3265,-7366
110,-2,-2,9741,-7004,-6968
120,6,122,13431,-5812,-4922
-27,122,15,-103,1879,-6317
72,81,-125,5244,2309,-7553
-15,90,-65,1574,2623,-3855
109,50,-24,-4918,463,2367
104,-65,-59,568,-2536,1700
125,109,58,-5175,-1346,3933
27,-96,-66,-8817,1104,4784
58,6,-91,-9679,1395,4813
-119,-61,-8,-8745,1172,5274
-103,-24,24,-6734,322,5294
49,120,-1,-2904,-1682,3138
-28,93,25,2210,-1354,4123
18,119,18,2181,-893,3137
-76,113,117,874,495,3736
88,-36,96,979,-1252,2790
73,-75,59,245,-1185,2926
-73,34,35,1200,-1057,910
-128,104,-16,3722,-393,-2121
91,-41,-58,5636,-437,-3601
-93,-22,-8,4239,-120,-2494
-30,17,72,139,680,-1025
-37,48,106,-3897,340,140
-61,-19,8,-2162,-280,496
-66,0,0,-724,-421,257
-55,36,-12,-27,74,-158
-62,62,1,210,188,-212
-57,59,-20,558,288,-106
-59,91,-12,272,-8,128
-53,108,-10,-112,12,128
-34,115,-11,-134,138,-42
-39,105,-23,374,148,-175
-45,111,-21,422,-46,-138
-34,121,-22,227,54,-129
-31,127,-21,63,29,-96
-31,127,-29,235,213,-135
-20,-109,-7,-100,209,-105
-21,-122,-14,288,-123,-94
-16,-102,-6,182,11,-95
-14,-100,-8,-2,106,-200
-9,-99,-15,87,121,-104
-13,-91,-14,45,100,-57
-13,-86,-11,107,-13,-57
-8,-82,-18,260,31,-82
-7,-71,-13,78,5,-133
-5,-69,-10,114,73,-161
-5,-71,-11,203,22,-123
117,32,49,-4760,1303,-2475
121,-113,20,-666,1610,-6345
-25,-56,18,4759,-1812,-5409
-127,19,-4,11338,-2504,-6108
-104,-32,76,12865,-5792,-5354
-1,12,-101,9529,-4165,-3886
-91,127,112,939,616,-6380
34,-69,7,7836,1,-7811
-76,74,17,377,2033,410
31,77,63,-3426,-1327,2182
-89,26,91,-1272,-1626,2597
-27,-45,57,-8230,-752,3657
85,-83,-59,-10205,-900,4766
-63,-62,14,-7404,-201,3491
23,-46,117,-5535,-516,4880
16,-72,-79,-4002,-1101,5915
-128,-104,68,-1747,-1062,5918
121,42,121,8,295,5994
49,19,108,1337,305,4426
98,-96,84,4490,-1087,2042
-48,118,-77,3269,1317,1161
14,62,-72,3637,1166,1698
0,-116,9,1258,256,1965
72,-31,89,940,-1998,-1174
123,103,76,2027,-1583,-2750
1,95,81,2283,351,-2151
9,-116,117,463,839,-940
-26,-112,-99,-702,-99,-289
-23,120,112,-580,-426,259
-24,-117,86,-357,-214,323
-30,-94,65,-329,76,-68
-18,-74,58,-304,113,-234
-19,-65,49,-34,105,-200
-39,-45,50,197,-1,-272
-30,-51,36,434,173,-544
-12,-49,39,535,163,-390
-4,-32,36,161,283,9
-11,-12,42,-249,143,227
-6,-2,18,-40,250,327
-6,2,11,312,366,40
-3,8,2,477,250,-76
-2,14,3,470,-66,-17
5,34,7,82,-31,67
8,44,10,-103,58,-106
-2,35,-2,261,-116,-311
10,35,-3,418,-148,-462
20,46,6,164,-263,-436
8,40,12,205,-141,-452
10,47,19,242,-20,-61
0,55,14,202,205,89
-120,-74,63,-3366,3789,-3351
-97,34,-123,-288,-86,-4023
84,73,41,233,-2596,-4112
-2,83,-122,4483,-4363,-4935
65,81,55,9625,-7028,-5741
40,35,-58,11708,-8429,-3060
-47,99,57,2777,-2632,-6310
31,46,19,3444,684,-8181
24,-53,-60,7348,-503,-5683
104,34,81,-6883,2425,2876
114,28,73,-1147,-1155,2439
45,9,-74,-2744,-481,2055
23,-74,-117,-8132,1290,4033
118,-72,-36,-8879,2113,4110
-63,64,125,-7148,1892,4311
-84,-32,-108,-5595,1364,5684
40,-114,-105,-2720,1709,4368
57,-29,27,-978,-205,4850
99,-108,-20,867,346,951
-75,75,74,11,-1092,1769
-68,-92,35,1519,-15,-263
21,-126,-1,2937,1221,1195
-41,89,-30,2341,1681,683
-80,-44,-19,2599,482,-678
-48,125,55,1335,-97,-496
-10,40,63,1273,-68,-406
11,28,102,248,262,-233
-3,0,68,256,306,57
-4,-10,23,351,356,-61
22,-18,-1,749,-30,-36
8,26,10,413,67,30
-5,45,15,81,-298,-368
24,22,23,690,-17,98
16,8,40,1132,690,401
-1,-47,58,1213,-70,-553
51,-15,65,216,342,-537
18,8,66,-241,86,501
4,59,78,-890,-48,674
