AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-85,105,-92,8827,2944,-1603
92,13,25,8334,1215,-1341
-40,-91,48,5766,1561,-1707
8,121,89,6590,2764,-3750
0,92,45,4221,3984,-6724
6,-119,-14,-330,121,-7597
-10,-73,112,-1975,-2240,-6691
111,20,71,500,693,-6738
121,57,46,1834,572,-6107
117,-103,-101,2429,315,-4599
-122,98,4,4135,440,-5138
-50,-120,-2,4740,645,-4855
-74,-62,125,5354,3012,-2575
39,60,-25,5348,2092,351
-51,-21,87,3679,-236,2883
103,12,-83,1776,-4411,3993
57,49,43,2001,-6573,5598
73,90,-61,2423,-10328,5364
113,-2,111,-668,-4909,1832
-43,69,13,4111,-584,329
-12,106,-104,-241,-2182,-1133
-2,-88,-100,129,-680,-378
-116,127,119,687,150,-506
-87,36,84,2297,-358,-1591
55,-65,61,2272,-2822,170
-40,110,-8,2817,-2605,2518
13,-13,-120,3616,-3833,5630
-88,52,83,2978,-4963,5698
-18,-4,17,3090,-1073,2521
8,-125,-120,4381,1468,4970
9,-3,58,2381,462,2849
-13,65,-7,3163,-923,-806
-42,123,-96,2353,331,-2287
-37,118,-115,-391,1312,-1213
-91,-31,-109,73,148,-713
-113,-112,-78,2202,-493,-742
-68,-115,-70,1675,283,-1218
-24,125,-70,530,71,-1136
-7,113,-27,-131,-786,-679
26,74,-49,-123,-196,-836
41,45,-68,125,98,-877
48,44,-71,168,44,-718
59,54,-95,-144,107,-572
63,44,-119,-71,81,-453
61,48,125,-90,-70,-184
53,77,115,-298,-122,114
83,89,95,-76,-10,218
59,107,88,92,-179,266
42,126,99,69,-250,335
66,-121,113,86,-20,387
111,-92,-21,5768,1702,-1901
111,85,-17,8087,1799,-4025
-2,78,-107,4060,1662,-3895
74,-112,-115,4180,1901,-4946
104,94,110,5334,822,-6346
52,71,72,2267,-70,-6102
-43,-82,-22,-914,762,-5282
93,108,97,-57,1287,-5132
-61,71,24,-3032,-675,-4830
-119,-98,-96,103,-598,-4736
6,89,-4,720,-698,-4221
86,65,62,1558,210,-3363
-52,-63,89,3991,200,-3092
100,-10,13,5097,1038,-3145
20,-94,-127,5745,2266,-1395
-108,-44,77,3944,1270,682
81,-100,69,2482,-2607,3105
-37,-13,-94,2796,-6271,4793
113,23,9,3561,-8021,5397
29,-117,124,2329,-7412,2812
-73,-49,89,1225,-7454,2378
97,-25,73,1917,-41,-1668
28,-92,-4,2343,-1040,-738
-54,-82,-13,-524,-522,-677
114,0,-105,1882,2154,-1191
117,-126,100,2936,1499,-1574
66,15,-71,2493,39,639
-69,-56,5,1799,-2449,2570
5,-26,-11,2987,-1825,5329
115,-92,-32,3555,-4209,8971
111,-78,-33,-1372,-2618,6912
-107,-50,94,3953,-2651,716
-99,-123,89,7019,1499,1474
-11,-88,57,2403,1005,-1353
-119,12,-9,557,1088,-758
76,78,-25,1115,620,-528
-119,-49,-78,2456,953,-1696
-61,99,-113,2710,1079,-1782
-70,82,-74,1806,532,-976
-46,38,-21,1031,-34,-258
-18,6,-7,824,-224,-125
7,-11,8,952,-152,20
9,10,7,312,4,167
16,10,-17,300,31,258
18,22,-51,377,9,268
17,40,-62,110,-100,140
39,48,-77,32,-3,82
40,37,-87,455,19,-180
49,34,-85,433,103,-344
47,38,-83,108,47,-316
90,-101,-97,5658,1376,-1778
115,46,-70,8319,2559,-3429
-100,-70,57,6523,3175,-4262
-44,22,-91,3889,1611,-5550
95,-107,-107,1515,738,-5402
-111,-82,53,1658,1286,-5160
-7,-4,63,1378,986,-4596
-126,-125,41,385,413,-4594
-7,-55,-52,-202,-898,-4587
-5,-48,-95,-1514,225,-4049
30,-125,-62,1538,-5,-3492
118,-118,-108,1828,1301,-3594
15,-121,124,4812,1128,-4162
49,-71,-76,5170,2458,-2492
5,104,58,5197,3077,338
-25,-70,-52,3770,2265,2272
-69,91,35,2136,-1619,5104
84,60,-21,1491,-5265,4718
63,66,61,404,-5367,3853
-75,75,-49,153,-9244,3964
-10,91,117,-792,-10964,3864
-112,30,56,-195,-1019,-389
46,85,-27,4214,-41,-765
-105,7,-93,23,477,-283
-75,-27,-123,308,935,-599
66,-124,-29,2987,1248,-1271
87,80,-3,2355,26,-1594
65,31,2,1379,-1663,321
3,-9,4,1620,-1690,2549
-41,55,48,1857,-1865,4808
-21,22,-99,3633,-3784,7065
-58,84,-12,960,-2771,5645
-123,-4,-28,2358,-2030,2845
77,15,-86,4389,903,2914
-80,8,46,2855,1087,1667
91,18,87,1805,-468,2053
-45,-43,21,836,50,266
-94,103,-3,1088,272,-1241
-104,-5,-44,1403,432,-1389
-88,-40,-60,1065,318,-964
-95,-63,-48,525,-146,-751
-51,-121,-51,546,-9,-1108
-11,108,-39,295,-148,-1275
2,80,-33,33,-155,-1223
1,59,-23,-330,-180,-1096
10,43,-28,-179,-54,-780
31,20,-65,407,271,-464
28,27,-72,522,68,-239
28,47,-80,239,52,97
31,56,-94,185,-25,339
46,105,-25,5729,1055,-1633
74,118,28,5857,1610,-2147
-105,-111,109,6264,1567,-2852
-19,110,-82,5053,1483,-3666
11,-12,-63,4030,92,-3963
72,-112,88,1649,-648,-4576
42,-57,30,136,436,-4172
-60,-35,-25,-792,1313,-4355
70,57,114,-1982,1091,-3099
-61,121,10,-1272,-906,-4472
-25,-79,38,2131,-1872,-5112
-9,-3,61,3514,-210,-5354
45,95,-116,4591,-805,-5498
120,97,-109,3372,466,-5511
-4,127,61,4444,2955,-3200
86,45,-53,5251,3938,196
-97,20,118,2979,-897,5187
-123,52,-85,1173,-5493,5246
-88,122,16,504,-6058,3665
92,-68,-117,516,-9637,5249
110,-127,-33,292,-7086,2528
20,109,105,1320,-2513,236
96,-28,-41,3237,-1233,-833
-10,110,-77,484,-587,-346
42,113,-102,-732,1128,-1244
21,-39,-48,1538,986,-2377
20,126,16,2541,-807,-1595
-52,37,27,2595,-2410,384
-113,64,41,2261,-2850,2939
-88,-54,-111,968,-3899,4125
18,122,-57,-16,-3491,3782
51,-51,-122,1966,-3995,2659
-56,87,96,4783,-1443,2423
53,-83,19,5605,371,3489
115,50,9,6295,2626,3837
-118,-85,-41,4953,318,2455
83,-128,103,-16,-2276,-837
-81,-67,48,-1347,-116,-1953
-64,-47,4,1291,1241,-1237
127,-72,-5,1695,758,-2117
-78,-56,2,-32,867,-2205
3,106,1,-373,202,-1618
13,-3,-1,614,-291,-1136
42,62,-10,-359,-351,-749
47,73,-36,-814,-404,-695
40,74,-33,-479,-305,-289
13,63,-56,285,-146,-209
18,83,-54,201,13,-14
26,108,-70,58,-19,319
33,117,-68,201,-190,548
109,101,57,5405,1286,-1955
-105,-74,119,4715,1376,-2804
-25,63,-40,3741,823,-3575
22,-116,-19,3888,774,-3843
50,92,30,2612,384,-4209
17,-74,9,935,1079,-4567
-45,-31,-67,306,1825,-4190
46,114,-34,1008,1064,-4443
113,-36,-84,2390,-1625,-3826
41,17,69,-597,-965,-4495
-64,23,18,-1752,-1437,-3832
-74,103,40,2086,-759,-6143
91,-1,94,4232,-1214,-4799
9,9,-105,4454,-949,-4887
-113,80,85,5346,2121,-3267
-32,54,105,4375,3874,-207
36,65,-22,2927,-1301,5525
81,-53,-119,2303,-2989,5399
-2,-35,46,1086,-3748,2487
122,2,-124,1150,-5053,4220
