AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-45,-97,-85,4441,1902,-4337
-80,116,13,2998,4822,-5533
-30,29,15,1904,7645,-7756
63,59,-52,458,7234,-7420
-44,12,81,-945,6018,-8450
-118,-100,-59,67,2838,-8277
-35,15,-90,1972,1167,-8366
-113,7,39,1915,821,-7949
80,29,-35,4271,1380,-3392
-32,-42,-108,4006,1430,-14
-70,88,39,3193,-350,5302
98,-113,80,958,-4254,6522
-38,95,47,1936,-7061,6527
-29,33,124,775,-13040,6236
66,59,32,-2734,-18737,7916
-91,-30,17,3773,-1253,2370
59,67,-64,-3980,1669,-4695
-91,36,81,-1656,1727,-6388
-22,70,1,7917,-3670,-1628
14,3,99,3846,-5792,5797
-110,25,105,-1223,-1863,3304
-24,-1,125,2951,-2168,391
77,115,5,5013,-1342,634
-54,-36,-2,1803,-989,651
-16,54,88,2467,-1957,530
-21,3,104,3697,-37,-1614
-6,-13,-113,321,2933,-2389
-74,65,39,-1525,-770,1115
125,-60,-25,-723,-1101,415
-103,-61,-62,-815,401,-99
-95,-61,-93,-530,730,-102
-87,-43,-109,-750,377,5
-67,-52,-128,-229,9,38
-49,-61,115,227,25,-130
-39,-52,107,132,-24,-143
-37,-52,106,-112,-200,-8
-42,-54,110,-208,-370,142
-37,-48,119,-363,-456,392
-27,-25,-108,-721,-724,531
22,-11,-57,-2,-555,521
76,-22,-32,1576,496,-109
13,-2,-113,742,-444,147
16,18,97,-785,-50,375
31,-2,79,-854,218,455
28,-15,71,-186,-317,361
45,-24,75,571,-464,-11
41,2,92,-144,-455,138
70,28,116,-820,-449,520
94,25,124,-401,22,239
84,41,118,-519,-167,217
2,44,-120,4283,2565,-4099
-64,61,26,1098,4138,-5956
-82,84,119,1308,7848,-7138
-2,88,122,-215,7716,-8138
12,7,84,-816,6510,-8492
86,-124,50,1050,2983,-10190
14,37,-91,13,2717,-9955
-22,110,101,1885,5716,-6404
41,107,-19,4631,2716,-522
55,84,41,2952,-1115,5485
-70,-107,-127,4446,-5446,8753
59,-58,-7,-2521,-8834,5969
-12,3,-122,-4424,-15973,4375
64,22,29,-4878,-13596,1093
23,-123,-113,9675,-2704,2889
-42,-56,43,-3851,4529,-5129
-35,-124,-110,1818,1070,-7780
-21,-1,3,13224,-7206,-2859
-105,107,-75,4320,-5404,3753
-30,39,-108,-645,1946,4058
-16,-116,-43,4423,-1961,2370
14,-16,75,5425,-3053,3433
-15,107,-82,1504,-989,4301
97,39,93,26491,-7221,-5229
74,-27,-49,-13904,4191,-3727
112,14,74,-8852,767,752
62,4,60,2039,-375,3000
76,-35,-86,439,896,1107
-100,15,-121,-375,549,-9
-26,18,95,504,333,177
-28,5,82,741,-297,-424
-48,-11,112,-191,-1030,-1194
-22,-35,-119,-826,-1024,-1091
-28,-59,-103,-1086,-917,-554
-58,-62,-84,-1246,-1021,-263
-63,0,24,-2568,-1212,308
-48,-77,42,-227,-664,438
-25,-117,-45,2462,850,-28
-45,-77,115,3234,788,-340
-26,-27,108,605,532,141
21,-22,73,-835,384,1161
29,-28,71,-601,-257,1384
37,-18,72,-292,-367,818
52,-10,66,424,-275,397
39,3,82,359,-433,164
42,0,88,390,-512,41
57,-9,109,365,-408,-93
109,18,-85,-1134,427,261
97,-1,-101,-1364,0,547
104,-6,107,-589,-316,290
15,-38,46,1589,4192,-4631
-93,81,-20,504,8066,-6892
-118,8,121,-2171,9943,-8572
-96,13,-119,-2902,7632,-9893
39,45,-68,280,3802,-10341
120,-30,-107,1917,2663,-9697
13,-22,35,2785,812,-2661
-127,116,-108,7837,-2064,2180
-128,-37,127,-338,-3981,6944
58,78,-61,69,-4025,2738
-45,-19,4,3998,-7363,7043
-36,54,-79,-4067,-12169,8285
17,85,53,800,-9350,6280
-60,71,-128,-667,-1719,-2175
77,-69,95,-5887,1633,-6660
-96,100,-95,1866,-3506,-4403
21,33,-39,2061,-4210,636
-111,-51,-65,2305,-3139,469
60,-23,-100,3107,-2088,-390
26,60,45,3035,-265,-239
97,100,-76,2853,-205,623
120,75,-70,1900,-130,756
1,-33,-24,2523,-1404,114
-9,109,10,2388,-620,-1125
5,36,28,2850,-301,-132
-15,-28,-17,2855,546,106
-84,-53,-15,1840,257,200
-68,-93,14,1318,-406,330
-86,127,-1,1387,-307,-534
-33,115,-3,323,368,-641
-8,110,-4,-1848,921,-80
-20,16,-59,-684,728,-336
18,-37,-80,915,541,-700
33,-3,-63,509,265,-1105
81,6,-116,-13,86,-852
100,52,-59,-1257,484,-224
113,68,-79,-840,196,-132
-83,-111,-64,-813,1541,-313
-73,-64,-8,-2011,2092,-286
12,-29,-51,-1906,2104,1127
-71,-49,35,650,-1436,379
17,4,66,-304,306,467
-50,-62,37,1124,-962,233
-41,9,79,-409,-755,625
-19,-47,58,362,-222,456
-66,-71,31,1007,-929,314
-61,-44,47,367,-1202,822
-53,-94,6,793,-257,-237
-107,-89,-4,115,-1027,403
-94,-105,-26,364,-922,858
-104,-80,0,2516,4233,-5647
12,-98,-42,2417,4705,-6182
54,-120,84,-1132,7179,-6927
-9,32,-127,-1606,6283,-8301
61,-21,-83,1150,6984,-7837
5,49,-28,5069,5004,-9483
-111,71,21,4423,-3055,-10089
69,-49,-28,-148,3740,-4351
77,54,-37,2985,1817,3543
-9,100,-25,7518,-3617,9543
-49,116,-69,384,-6128,5763
-88,28,-12,-1569,-9163,3578
70,-102,-64,1221,-11487,5202
-33,122,-64,-3181,-9224,6085
111,107,111,-1513,-5557,2230
85,-124,37,2530,-2296,-1672
45,-97,-5,3148,-785,-4329
9,-25,-56,4321,-1968,-2034
103,-110,-115,3689,-2828,2023
85,-60,85,3056,-1298,2012
-24,-18,63,2180,-1014,1402
78,115,43,3724,-1654,876
23,-76,68,2369,-2338,1150
63,-124,-103,766,-1778,1302
20,34,19,733,1643,39
-116,-74,-38,633,968,-913
108,25,-23,673,-281,-756
-85,-2,25,239,519,-71
-76,5,50,-1367,256,335
-106,-60,-31,-67,-490,321
-91,-91,-64,1045,-170,-139
-75,-74,-82,820,21,-412
-64,-74,-91,202,106,-91
-48,-76,-110,-144,128,206
-32,-93,120,66,123,195
-27,-98,109,310,-43,34
-28,-93,111,210,-220,75
-26,-102,116,105,-235,131
8,-99,115,11,-172,482
34,-75,112,-169,-202,586
34,-70,109,124,-247,365
18,-65,114,135,-289,82
76,-81,121,287,-220,158
47,-69,118,145,-373,452
-7,-36,-119,-519,-526,342
51,-30,-117,-893,-61,372
82,-54,113,-153,165,68
81,-77,87,856,38,-291
66,-74,66,820,-134,-392
66,-60,70,-40,-238,-63
18,106,-94,3234,2265,-3959
28,-43,-15,3444,5232,-6225
-9,-20,-49,2115,7332,-7760
-93,-77,5,-2086,8346,-8417
28,1,33,-3,8887,-8347
-101,69,-56,1156,4289,-10230
127,-34,-63,1798,1238,-10141
