AccX,AccY,AccZ,GyroX,GyroY,GyroZ
38,104,79,-4850,3130,-491
-43,-55,-102,-3610,3048,-342
-31,32,-25,-1707,5795,-1414
-90,66,70,-291,4132,-1409
-76,88,31,820,3776,-1264
-66,118,-8,374,2634,-429
-40,125,5,1467,1765,1752
63,31,-43,3608,-448,3739
42,76,67,4173,-4031,4489
-76,14,94,3303,-12588,7641
76,-31,87,-5437,-18954,6150
50,93,7,1731,-12680,2105
-91,-38,122,-2360,1793,132
-116,49,57,2577,-1499,-4137
35,-117,-80,-3966,-2267,3658
97,13,118,1504,443,-1120
-45,12,-75,-1824,1686,-1480
-53,-80,-15,-127,1552,-1089
-61,-115,2,232,439,-961
-98,-122,-87,1258,-301,-351
-81,-100,-42,629,-1397,423
-48,91,-8,894,-968,843
90,-63,-8,-131,50,1388
-111,-80,37,342,638,-26
-125,115,68,1610,-125,-126
53,-94,93,-289,-324,326
34,53,19,887,-261,171
19,107,-2,-1026,-273,16
7,19,-56,-306,-314,-657
25,28,-79,-568,-19,-843
51,-12,120,214,618,-775
44,-7,108,16,557,-1017
43,-49,68,425,321,-1390
113,73,93,-2485,1281,-273
72,-39,42,-460,652,-913
70,-63,40,547,257,-1137
113,47,70,-1567,513,-275
122,-3,47,-507,500,-51
123,25,63,-760,296,-333
-111,44,62,-561,65,-383
-104,47,62,-310,159,-438
-88,90,73,-929,455,-249
-102,73,66,-537,302,-368
-102,73,68,-223,106,-391
-98,76,64,275,20,-601
-80,112,65,-768,371,-363
-70,117,62,-867,494,-309
-83,78,55,169,255,-726
-75,98,59,-157,322,-629
-68,124,63,-843,473,-412
2,-55,-104,-1338,4094,-2911
-75,2,-100,-2559,3946,-2281
79,-15,123,-2319,4276,-1773
-29,-127,-110,-2905,3833,-646
69,126,-100,-3387,4149,-218
-121,-112,-27,-3873,3021,652
-54,77,93,-3749,1895,1082
-52,39,-107,-3705,1483,1093
-86,-107,-16,-2955,659,999
4,-84,-50,-273,2425,591
-39,4,76,-3691,1758,1049
19,-18,1,-865,3047,915
-81,46,39,-2050,4053,-144
50,-48,-43,-1895,4397,-538
-44,88,6,-1067,5041,-1865
-112,47,97,-255,3859,-1815
123,-19,-121,1612,3272,-1071
-39,123,67,809,3788,-873
-119,-23,-14,1239,3534,796
111,3,2,327,2932,1594
-65,-102,-128,-28,1303,3219
58,8,-71,5460,-2345,6476
82,111,86,3887,-10780,8598
26,-101,-120,-1478,-19315,7642
-70,109,66,-2904,-11301,1455
44,-112,-17,490,-5709,4049
83,-11,87,-1216,-1608,-3436
-1,-58,-97,-558,-2634,1433
124,7,12,436,-3234,1298
-67,110,-20,-451,-544,-737
-71,-103,40,-37,2328,-1295
43,97,63,79,1405,-1574
-72,42,-99,1974,1087,-1223
-92,-73,-47,-412,-228,-141
-104,64,-45,300,-698,-85
-102,-20,-53,1355,251,-224
-94,34,-115,432,304,-481
-31,79,-86,-719,-298,134
-33,12,-122,86,80,-384
-33,38,-125,-682,413,-380
-35,13,117,-340,114,-324
-13,21,123,-513,278,-291
-3,22,119,-569,392,-396
15,-37,106,384,350,-816
29,-1,104,-776,735,-527
26,-27,67,-804,572,-537
53,-21,57,-1306,471,-211
57,-20,31,-747,486,-367
58,9,21,-458,409,-540
72,84,40,-1751,218,-194
-13,-68,122,-1564,3082,-3607
-1,-24,95,-1652,3574,-3614
-81,49,92,-2547,3749,-2443
124,126,42,-2576,4657,-1314
2,-79,10,-2405,5048,-1262
-116,-50,69,-3827,4773,30
-17,101,109,-2564,3967,27
87,101,-9,-4437,3785,649
-3,-120,31,-899,3510,-233
-112,-52,-68,-3893,2918,-50
123,46,-30,-3674,2508,105
101,119,3,-2834,2696,-222
30,-53,-66,-1863,3927,-844
-75,102,98,-834,3754,-1683
124,46,-62,-1229,2966,-1951
109,-64,58,-90,1405,-1799
-61,-10,-75,867,1836,-1120
-66,111,-35,1583,2306,-1481
-53,54,-21,501,2852,-756
-36,-110,84,1457,3449,-178
-91,67,76,-441,1762,999
78,92,58,2418,-1602,3983
-5,-51,-5,4339,-6048,6974
-102,-92,-39,4220,-11373,7604
64,-95,115,-2996,-17848,7106
-76,85,-21,-2060,-13127,4921
-15,-88,-59,-1788,-54,-753
-96,37,-104,3738,-4122,-2086
103,93,89,-2370,-4394,2801
-66,44,-104,-416,-1090,-56
94,-39,73,2853,724,-2406
115,-20,-69,-666,2089,-1007
-57,-77,-20,-285,529,-170
-97,85,-35,1710,-481,-635
-113,-111,-51,293,19,-534
-97,68,-78,419,597,-943
-87,12,-116,778,698,-1206
-69,3,122,219,748,-1048
-61,-51,111,384,655,-1060
-32,-62,99,-149,760,-880
-10,-98,78,58,586,-756
4,-97,81,-157,395,-646
34,-90,85,-484,545,-449
49,-112,67,-150,495,-542
60,-72,67,-741,372,-258
67,-54,60,-1015,267,-189
78,-49,44,-732,327,-355
97,-25,37,-951,492,-370
105,-1,29,-887,373,-375
121,10,26,-857,517,-510
-36,11,-107,-2191,3365,-3240
-18,7,-102,-1373,4165,-3216
116,35,-113,-1515,3925,-2550
54,70,63,-2090,4587,-2304
11,89,-26,-1873,4817,-1352
-45,79,9,-1963,4906,-977
32,114,72,-2046,4519,-613
-98,-46,-95,-3967,3873,-30
42,100,-20,-3243,3336,-8
-92,-58,65,-2269,3391,-339
123,119,-113,-3410,3401,-607
69,-62,-99,-2270,3490,-47
-7,-86,-65,-3583,3718,-75
-27,36,118,-1710,3115,-1413
-78,-15,18,-918,2590,-2068
124,3,79,-671,2125,-2142
78,-109,-8,1046,2218,-3153
-127,-19,-42,760,1813,-2106
-36,-26,-123,1207,2292,-1672
19,93,-122,666,1813,221
-112,-49,-54,1588,626,2458
86,21,95,3315,-1837,4784
104,-50,-75,3807,-5693,5395
84,-111,24,1477,-11922,5546
-101,-5,-112,-5045,-16128,3925
-68,-10,-22,4381,-13599,2066
-44,55,-127,-3010,-1023,1696
-84,32,111,319,-2786,-2248
112,44,75,-458,-4788,2235
37,89,15,-100,-2197,854
-80,98,-23,744,1136,-1497
-77,-54,38,-489,2517,-1759
-56,116,68,936,677,-1486
-61,-110,-40,1249,365,-715
-116,-55,-75,-496,230,-554
-110,106,-94,-459,437,-1005
-95,45,-120,-48,1042,-1515
-88,-7,105,536,1093,-1610
-77,-50,75,981,778,-1542
-46,-28,75,-148,971,-940
-30,-98,46,410,835,-693
-1,-60,32,-327,873,-211
11,-97,4,544,397,-182
41,-73,9,212,220,148
66,-51,13,160,22,423
88,-116,32,2112,-240,-293
106,-5,38,-285,351,-144
95,-24,22,-771,531,-416
100,-94,27,-75,50,-582
114,-26,38,-1474,299,-121
-72,-8,41,-1007,4876,-2181
-117,95,100,-1831,4593,-1447
23,106,98,-1413,5268,-1247
-101,-31,-61,-3584,4621,-389
29,109,-27,-2694,4448,-265
121,50,47,-2125,4171,-588
-20,-66,96,-1831,3780,-1249
-81,-96,-62,-3751,2994,-775
72,61,-19,-4624,2146,-796
50,-119,-78,-2094,3549,-2066
-54,-5,-124,-1332,3516,-2420
122,92,-1,-961,3041,-3254
54,-32,112,29,1845,-2882
