AccX,AccY,AccZ,GyroX,GyroY,GyroZ
60,5,67,-1843,2903,-4928
-116,-79,51,-2893,5024,-5769
-28,47,93,-160,4818,-5217
93,-52,77,-955,3376,-3539
-114,83,38,-1157,3444,-1195
-53,-90,94,-2335,3134,758
-6,-21,18,-2537,2132,4784
-42,-86,81,-648,606,7855
-31,101,98,-1914,-2170,10250
56,-3,21,21,-3526,6359
-19,-98,-117,-1513,-6652,-422
8,-105,118,764,-7067,-4240
-92,-61,-63,-1968,-4734,-8596
-56,0,111,-3642,-1818,-8989
-122,99,45,-4113,2247,-6282
85,-19,36,-1573,4771,-2855
13,108,78,-796,3527,169
-90,90,111,-1937,3432,2568
-94,77,-26,-4098,2566,4989
-19,-10,107,-2852,3789,8477
30,3,-15,202,3691,8095
90,-119,-65,-6402,-2525,10863
61,-125,7,-56,-2641,-686
105,43,-8,-2591,-10630,-2432
-56,70,2,-1417,-9839,-6501
-90,22,-41,201,-7937,-6578
-72,-58,-14,-2100,-6431,-6127
-14,-3,58,-2871,-3686,-5615
64,-60,62,2079,964,-919
-113,85,91,-319,-468,857
71,-59,-101,-2328,-608,891
-79,88,-100,-1774,115,1004
42,-118,-126,-1450,277,1698
-106,64,-91,686,1224,3813
-12,-28,17,-1260,1270,6539
36,59,80,1305,-952,10044
103,29,46,-1349,-1548,8580
-114,-38,-9,-1030,-2129,6299
-80,-55,-86,1027,-1546,3672
-122,8,33,3295,2832,1818
-74,59,37,2921,791,721
12,-46,77,470,-422,-726
20,20,75,953,92,-1657
38,-63,76,584,474,-1737
84,-127,104,58,147,-1436
118,71,125,-40,-79,-1292
-120,12,-110,-16,-152,-951
-122,18,-115,-269,-72,-788
-108,30,-124,-548,-12,-694
-109,42,106,-367,33,-278
-95,34,90,-1354,5178,-8070
33,-69,2,-1808,3773,-7916
84,-82,54,-5534,3341,-5439
55,-120,83,-3766,2814,-2577
84,-126,91,-4874,1503,-1621
-91,-126,100,-3261,3273,2001
-73,-44,9,-859,216,6327
-128,-62,17,-390,-2131,6651
127,23,-26,-1222,-6962,8782
-97,-18,79,-476,-8433,7531
-71,-34,-53,-1373,-5850,-927
-65,102,93,3058,-3098,-8370
-23,13,88,-2152,-2099,-9989
-26,-44,65,-3591,554,-9572
-86,55,33,-3509,3405,-4824
38,-106,30,-3216,4324,-1560
11,67,17,-3658,3580,1934
-77,-16,21,-5457,3734,6265
50,108,-68,-2217,2320,8075
101,-45,-80,-4015,-364,10267
-34,-66,-48,-4110,-1319,7059
-127,10,41,212,-5776,4956
-34,-67,70,-5271,-9093,-984
-111,28,91,-7939,-8359,-7645
26,9,63,3213,-3715,-13812
84,42,-80,514,-5971,-9892
-23,-4,-120,-4646,-5307,-7768
-123,-10,75,-2099,-1473,-5589
-61,-61,-10,-698,-39,-2229
-27,-93,36,-664,-899,1217
-74,99,-76,-705,211,753
78,-72,-103,205,-522,2440
95,69,-114,168,-592,4165
110,-17,82,392,-433,5952
91,-103,82,2649,-2468,9522
-95,-60,-61,5820,-266,5671
-26,-40,72,7841,1836,3165
63,26,-55,-6647,1382,4939
-91,-14,121,-2447,-3182,4701
32,122,-34,-2396,-1181,4201
75,-24,-69,-14,1269,1789
68,95,-70,3471,1137,-423
-7,107,-126,4241,114,-881
-16,-116,-101,905,-181,-650
0,73,-125,-798,533,-753
-4,-11,-121,-603,-23,-871
13,-20,-110,-663,-125,-1298
62,-34,-116,-1302,254,-1407
62,-47,98,-2711,-237,-1018
56,-36,56,-3611,-602,-169
-25,63,-57,-1432,3184,-6195
91,103,58,-641,3870,-8503
-126,85,11,-3668,4666,-7609
-41,59,-9,-552,4281,-4587
36,-26,-90,59,3559,-2204
-23,-87,-39,604,3254,-66
19,-46,-89,-3616,1483,3310
-80,-43,-116,-376,1022,5967
104,-35,78,-3229,-1164,9241
-128,124,84,257,-3290,12698
99,-97,121,-5715,-7350,-2377
106,58,75,-274,-9142,-5362
-7,75,-88,-2928,-2310,-9949
-73,75,115,-2353,2059,-8564
24,3,45,-2644,4501,-4548
11,84,27,-2717,3701,-1667
-14,7,-32,-2204,2853,1482
-64,-59,45,-20,3591,5305
-56,-120,-104,2192,5000,6146
99,-2,-47,-3575,5755,9262
14,40,-23,628,6151,8018
65,95,49,-13772,-3374,4872
-109,-104,-53,-1860,-10072,-844
95,-103,-20,-3613,-8660,-7846
118,117,121,1704,-8787,-8818
117,45,-21,-5157,-5487,-8800
-62,-11,-98,-2713,-3039,-7855
-27,57,-56,1886,-855,-4485
-111,-59,-22,2729,-270,1935
-24,10,-81,466,-939,964
-97,31,-74,-415,452,1864
-21,120,84,297,1605,2388
-38,-25,-22,-811,1481,2962
-11,23,58,-645,2055,4658
78,-113,121,2038,2378,6835
-127,54,1,-2455,1599,7052
45,-40,61,552,-590,5069
-111,-98,-44,759,561,4114
-54,-65,2,106,2840,1690
-12,84,26,438,2797,1323
-25,66,69,403,656,2062
-111,-16,110,-184,-620,395
-127,-77,115,-43,-657,-750
111,-124,119,75,-118,-760
105,113,116,117,460,-629
111,111,125,29,113,-476
-115,-126,-118,-519,-267,-510
-97,-120,-119,-769,-159,-785
-69,113,-128,-410,-10,-1032
-69,108,-124,-82,-56,-929
-41,-9,-49,-1555,2179,-6874
30,110,-32,-4212,3633,-7501
-14,53,-63,-3963,4470,-6983
119,19,5,-688,3002,-3433
-34,50,-64,-1456,2742,-2264
-81,96,-109,-3391,1381,-1236
-36,83,122,-355,1167,2103
61,126,23,179,1156,3815
86,-19,125,-1338,612,5855
61,43,92,-717,-1756,8960
43,-111,-69,910,-5862,7959
-64,111,80,-2944,-8542,-6264
-54,109,56,2140,-3719,-7541
106,60,126,-3941,-1191,-10159
125,-124,42,-1968,2720,-6209
48,-80,34,-2731,2824,-3002
97,95,-74,-1842,2817,277
-3,-55,-49,-2254,2566,2966
68,-97,62,-4361,1859,5834
2,31,-18,-3011,1481,7938
101,-81,-111,-1003,1768,10213
53,73,-111,-1931,-1327,7683
-74,-125,58,-1328,-4013,3310
-73,-118,-77,-3707,-8014,-1195
51,-75,120,277,-6081,-7668
-45,116,-110,1585,-5791,-9354
-38,63,-61,-3367,-6187,-8687
-20,103,-92,-3760,-2794,-7204
-6,1,-81,452,-769,-4698
63,35,-119,-648,-460,821
-58,74,-15,-1068,-169,159
50,97,-59,-223,300,1765
51,-21,-69,-135,149,3645
113,-39,-114,-603,347,5344
-43,82,114,393,-776,7950
97,-46,21,2152,209,7294
89,-11,-9,389,345,6015
43,50,76,740,231,4944
68,-127,63,1249,766,3254
47,-12,-114,1927,846,2665
-8,-90,123,1459,670,1548
125,88,-99,561,-209,570
101,-69,-94,1610,-19,-732
103,108,-81,1666,676,-942
103,50,-49,843,718,-956
111,20,-30,358,290,-608
117,-1,-17,54,-8,-413
-121,17,4,-682,-383,-164
-94,25,-9,-858,-159,-258
-58,16,-42,-82,44,-535
113,-113,34,-1473,2135,-7971
-76,91,-109,-1686,930,-9169
117,-120,-62,-4172,614,-7270
90,-17,113,-4078,2496,-5053
43,4,27,-2332,3335,-2667
-84,-35,-121,-1312,3224,-1929
16,-113,114,-1084,508,2146
-51,109,-59,-3142,962,4849
68,-105,69,-1579,-532,7654
