AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-28,-67,-54,2970,416,-7492
17,-19,56,-2571,1459,-6541
36,-36,39,-1707,3790,-4399
-51,-78,48,1047,4062,-3011
-7,120,-21,301,7421,-516
-121,-48,46,-2671,8724,2532
-111,99,114,-2658,2994,8679
96,57,52,-7448,-40,17384
-49,-40,27,-2375,-12207,-5862
4,98,-72,-7115,-17976,-5305
-14,33,120,-2180,6032,-7150
34,68,-107,2222,3938,-8671
43,-99,-95,-3609,10858,-4163
-21,-121,-128,-3478,12017,294
127,39,-4,-4163,5212,8200
37,-62,127,6276,5844,14194
-107,115,-49,-826,-1974,2998
-37,31,5,-9453,-4112,-1062
-95,-5,-10,2306,-10567,-2559
64,25,-38,-462,-11415,-1733
-48,-38,58,-2834,-14712,90
14,-58,107,-7021,-11436,1402
-23,119,105,-498,-3251,3880
125,15,40,-1344,1276,-181
-25,-42,72,-4247,1124,-3318
99,-40,-114,-3247,-1698,-2266
-49,-75,10,-61,-2766,465
106,-88,26,8097,-1198,1902
49,100,-94,10882,3520,3247
76,-107,59,-761,11401,6717
-79,-48,121,3679,3259,8026
80,66,-78,2650,1444,7240
-42,-43,-8,1765,-101,6852
-6,-11,110,484,-1048,5098
26,-40,99,-2464,1833,1433
-111,7,75,1166,-990,-4438
-95,89,98,1947,-532,-5554
-20,78,111,2832,-186,-2036
-50,48,-115,2212,-31,225
-63,111,-93,-540,-64,864
18,-81,109,-2065,39,948
73,-25,114,-4012,192,165
-83,83,-127,-13724,1429,1967
83,5,-66,2020,1608,-2278
42,-76,-119,1390,228,-2454
0,-59,112,4404,-1144,-458
-11,-74,41,5629,129,-1596
97,22,-121,2076,1264,-37
103,-111,72,4831,327,219
122,126,65,4569,312,-203
104,-45,-58,2067,3812,-7291
89,-110,31,3653,2348,-9184
80,105,68,3112,1312,-10823
54,-5,123,682,3986,-10177
-82,111,7,459,5260,-7823
17,-53,73,745,9595,-5649
38,79,-121,-767,11143,-2214
42,109,49,-9060,16990,5570
-85,-70,96,-11735,-357,14295
-122,61,-115,-9297,-12879,3664
34,4,-91,-10937,-9760,-79
16,48,-70,-5973,-3324,-11616
-82,93,-74,-3080,1278,-7051
-56,77,-101,2039,9962,-6913
-94,94,87,-1447,9287,-2444
-11,-123,-4,1161,9008,1104
-41,48,79,5306,12566,4774
-124,78,56,-892,11844,253
-32,123,-8,-13202,-1585,4881
-112,-81,102,-1685,-8761,-1033
126,-31,8,-1149,-9969,4151
74,-87,-91,-2324,-10451,4738
-19,-104,104,-5776,-10402,2592
-85,-104,9,-8770,-973,1992
123,90,2,-4917,-1710,660
87,-109,-24,-3945,-4246,-707
11,25,-41,-2316,-2311,-329
5,-32,55,-1432,-1100,-905
-94,17,-62,-705,-1905,587
-91,62,3,183,-463,2237
14,79,-85,2454,325,2679
-41,-21,21,3650,1049,4138
-86,-88,-95,1838,1245,4972
75,-119,11,2185,1576,5077
-9,5,-125,5595,2239,5137
-107,39,89,9309,1034,4302
60,-56,-75,5760,-2271,4609
-107,102,-14,-3100,-1421,3927
-6,-2,107,-5611,-284,461
-7,27,62,-157,970,-1447
