AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-31,34,-84,-3656,2732,-1805
8,-104,-92,-1932,4549,-2262
26,-127,-100,-1609,4007,-1638
-90,42,93,-960,4649,-1148
76,-8,22,-141,4630,-638
49,-34,-122,559,5879,-524
-37,-88,29,1902,4920,616
1,95,108,2426,5884,574
31,22,-45,3216,5138,2354
69,52,-31,-803,5098,3969
35,57,-75,-219,746,7859
-107,-35,-42,-2356,-2526,6790
-126,108,43,-6481,-8227,3877
39,102,36,-8810,-5849,-2098
82,4,64,-9578,-1752,-5969
-106,13,119,-6151,2707,-5029
88,93,-2,-954,4687,-4576
-102,111,-98,-384,4392,-3688
-41,-111,83,3140,3670,-3196
-121,119,114,2986,2733,-2558
-5,-127,-87,721,4462,-1222
-61,-120,-88,-317,4754,243
4,19,120,2665,6375,-571
54,-22,52,3014,4960,-31
-41,117,73,4428,6135,777
68,-122,2,1360,5680,710
-67,29,-109,3370,9182,1507
105,-49,34,-14962,6244,13551
88,-86,123,-1769,-6023,1589
-106,108,45,-2207,-8807,-1076
73,-6,-35,-153,-12153,1118
-114,-60,95,-1432,-14350,1334
-88,-77,85,1056,-5287,2849
-10,-64,12,-1002,3012,-411
88,-22,34,686,1434,-2260
65,14,-14,-416,2121,-2287
2,-74,22,-1199,647,242
37,-113,-40,-302,689,-632
-73,3,4,-1226,1397,-108
11,0,8,-825,780,-263
71,-48,120,-602,1194,-33
-50,35,-79,-2138,2646,1192
-8,27,-72,-2353,3209,1693
-4,81,-117,-1800,4161,1623
46,-75,88,2440,4224,678
-58,-105,-53,1192,4257,1032
-22,17,-118,-353,4740,983
-14,95,101,-737,3814,140
0,-29,-92,-1203,2606,2154
-11,94,-17,-2395,3605,1542
-28,-30,68,-3942,1929,2615
-81,14,54,-4007,1874,1657
-97,5,54,-3636,1228,2179
81,18,41,-3770,66,1410
95,-34,-41,-2164,266,12
113,-68,-66,-385,447,-872
124,-59,-88,-130,183,-1347
-111,-55,-117,-348,190,-1400
-74,-48,103,-419,319,-1136
-63,-43,86,-652,577,-991
-48,-33,69,-796,361,-873
-17,-5,57,-964,258,-579
-8,17,45,-1015,382,-581
2,41,32,-860,316,-457
9,73,35,-949,257,-239
15,104,29,-987,365,-224
27,-127,20,-791,489,-280
32,-114,15,-496,470,-329
36,-86,8,-444,445,-323
42,-64,7,-625,444,-262
51,-49,7,-608,423,-237
62,-30,2,-529,429,-348
68,-17,5,-543,384,-409
71,1,8,-572,373,-501
68,3,11,-488,374,-571
71,18,15,-617,452,-482
73,29,13,-595,427,-429
74,46,14,-645,335,-371
84,67,16,-758,388,-410
91,76,15,-582,420,-562
91,88,18,-630,397,-554
87,101,21,-737,375,-516
85,108,27,-629,395,-542
85,122,31,-717,399,-482
91,-103,44,-1086,410,-396
87,-109,46,-800,428,-450
89,-110,48,-393,403,-457
86,-75,53,-693,469,-392
80,-74,51,-620,362,-347
81,-56,52,-915,379,-176
84,-85,112,-4280,77,933
109,42,-26,-6377,-739,1357
52,114,-43,-7316,502,1284
73,-84,75,-5357,3524,112
2,-36,104,-3013,5581,-1315
-50,-31,39,-191,5907,-1468
-43,111,-46,-725,6390,-1077
-122,122,112,11,7382,-459
-21,83,34,1350,6675,436
-95,38,120,2302,7327,894
60,50,-32,1235,7293,1854
109,-76,2,-4544,6552,5017
2,122,-34,-4567,-819,10309
115,122,71,-4047,-4266,9794
-107,42,-86,-11748,-10581,6733
-100,-73,-81,-3663,-6516,-7889
22,89,43,-18865,-3502,-1991
108,14,32,-465,4413,-4164
110,-24,-50,1456,9570,-5309
80,-106,-51,3015,3787,-5714
-30,-49,-23,1583,5010,-5997
-113,-40,17,-216,4363,-4111
-121,82,-11,821,3980,-3132
-24,110,106,-146,5002,-817
27,-71,124,-1604,5728,950
7,-118,8,4292,5561,1282
-48,-124,-66,6463,4878,838
100,113,-95,4523,7684,-1512
-81,109,-12,2622,4780,167
-26,-43,-9,-11330,15640,7488
-119,48,-23,-4930,-8418,9288
96,113,106,4770,-8666,-2900
-59,-114,26,-3256,-9606,5876
48,-52,69,412,-12628,2310
-46,90,122,-2513,-4358,4950
11,126,-96,-1056,2905,-1851
109,59,14,872,1776,-2721
107,-1,120,-471,1453,-2120
-32,-112,-36,-858,834,-255
113,-56,-39,-1055,1451,-45
-93,-20,10,-886,851,-377
68,23,-10,-862,1831,-540
104,43,72,-1218,1135,184
-86,32,56,-551,1752,-24
-86,-96,95,-1267,2313,340
-66,-125,-127,-1070,1962,701
16,-22,-128,-1983,3507,1196
21,122,-67,-1641,3476,1446
-125,80,-117,-3935,3619,3740
85,81,-56,-1449,2997,3045
-60,-104,26,-2057,2767,3947
-33,-109,28,-1923,1883,4145
-2,10,82,-755,1922,1654
60,39,-6,-1195,1579,1853
2,40,79,-2753,27,1957
-65,-87,-17,-1616,655,1288
-116,-108,-16,-808,520,604
127,-106,-34,-683,270,-288
-118,-110,-57,-475,358,-683
-104,-121,-88,-306,580,-1046
-102,-124,109,-6397,1415,761
35,59,89,-6281,2527,-232
59,-25,-25,-3051,5891,-1036
40,-79,-116,-1541,6512,-1492
-34,108,14,822,7355,-945
-3,109,15,902,8516,-684
-44,26,20,912,6867,594
-34,71,31,-711,6820,2438
-110,-87,119,-2182,4500,4297
4,8,59,-3181,-843,7168
28,68,105,-4850,-5026,7401
-128,-92,4,-4596,-10236,5772
-115,-1,-68,-3180,-7754,-2137
87,21,-121,-7692,-8807,-2253
67,-69,-111,-14273,135,-3032
-28,-61,-1,992,8820,-5001
-107,-47,-106,-491,9047,-5599
-92,-99,71,2862,5204,-5168
-39,-122,59,2525,6305,-5739
65,16,-89,3120,4004,-4143
47,90,-21,5350,1991,-2244
-64,94,0,1682,4247,-127
-45,-36,-103,-2072,10051,3085
115,12,-1,7119,6552,3369
-2,-93,86,14447,815,-7158
62,32,40,-10781,16656,4815
86,-52,-28,-10387,-3517,12250
-55,127,50,5983,-8036,-3472
20,51,67,-6383,-10643,6115
-114,-116,127,481,-13341,-31
-108,-40,70,-3066,-5065,3740
69,125,98,-603,4951,-2019
-27,-111,-17,626,1407,-1482
42,85,-85,750,2418,-2159
-39,50,-10,-740,2666,-224
78,103,-41,-1979,3944,531
-95,105,0,-1161,3649,1052
33,-92,-9,-899,4849,1198
5,-97,-54,-57,5463,887
-118,20,97,-5468,5835,3446
23,-108,60,-272,3004,2489
-87,-80,-77,-2266,3191,2761
-111,-35,68,-4159,1843,2500
119,-111,83,2353,813,274
-60,34,-24,188,614,-119
-39,122,12,-4394,850,753
-81,-6,117,-4965,782,717
-73,-83,49,-2481,676,58
-69,-59,26,-1175,645,-568
-56,-12,58,-903,269,-699
80,19,-106,-7370,362,1479
2,0,85,-7862,2224,844
28,-80,57,-3866,4927,-899
-97,-11,61,-980,6647,-1961
