AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-93,-78,28,-1111,4023,-3889
30,49,17,-529,4130,-4729
126,-37,122,-1800,4717,-4515
-87,-114,53,-1826,3548,-3882
-124,114,31,-3026,3146,-3133
-32,11,81,-2229,1953,-2370
76,-99,94,-1506,2262,-1442
124,-104,62,-931,2439,-1452
39,65,-93,2,1827,-1363
103,7,-85,1609,1005,-1020
-20,-106,78,935,-200,510
12,7,-73,-720,-2193,2295
-63,-8,104,-512,-3395,2016
102,68,-125,788,-3504,1665
-28,-62,-71,252,-4229,1254
-125,-19,40,983,-4989,1545
-80,-77,73,1750,-4604,1565
-1,126,7,3118,-4263,1863
-48,-72,-94,1488,-5032,2706
84,-122,-115,2364,-3604,2586
-114,-16,-66,1572,-3413,3395
-51,29,3,498,-3683,3692
-58,-52,78,1707,-1814,3168
5,-38,95,1464,-1940,1725
120,-1,106,882,-1125,1335
40,-24,75,786,-126,415
-53,-85,-48,1024,267,-987
-80,36,69,-123,768,-1746
-51,-55,-17,-1390,879,-1261
-54,88,-56,-658,-485,-379
-58,-113,-19,-1145,-567,-195
9,-91,-35,-729,120,-18
31,-28,-40,-1178,-334,-333
25,-36,-46,-342,-503,-6
-4,17,-31,-1025,-4,-118
16,-49,-51,206,129,-165
39,-31,-98,498,63,-259
25,-44,-96,399,-152,-268
37,-17,-96,279,-188,279
58,10,-93,61,-369,132
78,5,-99,465,-311,-76
88,-20,-94,737,-397,-337
83,-67,-87,1203,-269,-501
100,-57,-100,536,-93,-340
106,-42,-82,-53,-806,-215
100,24,-61,-1411,-589,-440
113,-19,-99,-763,63,-1036
127,-56,-123,331,173,-1063
88,-77,124,806,18,-878
37,-107,-121,690,12,-465
-105,65,57,1616,6452,-6776
7,81,-98,762,5105,-6381
80,-82,-121,-2549,2830,-5921
-110,-98,-1,-3222,1831,-4508
-24,73,-99,-3130,3754,-3811
-85,58,12,-3363,2984,-2998
-72,-3,15,-2198,2975,-2505
74,-77,5,-576,3165,-2442
92,14,100,2130,1760,-2181
-118,-18,50,-1653,74,-2763
-19,72,41,-125,-570,-867
120,-37,54,1273,-597,2071
38,38,-75,-776,-2139,3259
-28,-24,-105,812,-2739,2531
117,79,-112,790,-3373,2594
-25,115,-89,302,-3820,2401
-57,92,-70,2143,-3691,2523
31,-87,12,2197,-4599,3201
126,-100,-57,2496,-4093,2794
107,-51,20,-129,-3689,3541
-102,-102,54,92,-4524,3073
-31,-64,-94,-1142,-4269,2975
-106,115,91,-579,-3777,2729
-75,-43,-29,3054,-963,1291
12,-64,48,1540,-2303,1910
86,-97,-111,1851,-641,457
-16,-124,107,1387,-277,-815
-39,44,9,1669,591,-1306
-55,-19,-22,1829,341,-1376
-101,-32,-29,761,93,-644
-122,-37,-27,-396,-273,-407
-60,-73,-67,-603,159,-1143
66,106,122,445,378,-1686
51,100,-110,333,-465,-1780
42,108,-108,-943,-252,-1491
45,85,-117,-1481,-364,-1024
47,66,-111,-511,-362,-368
12,77,127,-27,-363,-244
4,-127,-114,-868,-533,260
33,-111,127,-561,-318,379
52,127,96,913,-439,242
41,-70,126,172,-376,638
37,-41,-120,-493,-502,496
46,-70,-128,62,-241,235
63,-73,-125,152,-198,257
65,-60,-121,-104,-111,315
96,-74,114,194,257,91
-105,-91,72,469,217,50
114,-91,88,319,-253,344
113,-74,99,-195,272,278
-71,51,59,-3541,2463,-2710
11,60,-103,-551,4771,-5223
-30,-48,61,-490,4438,-5510
-124,-35,-56,-2413,4205,-5276
-12,125,-24,-1880,3165,-4597
-25,89,-54,-2594,3522,-3898
117,93,-24,-3703,2952,-2794
-24,41,-17,-3007,2678,-2270
52,-31,3,-2153,2619,-2264
-126,110,-31,-702,2396,-1908
29,45,-127,-107,1546,-1671
-41,-73,-42,665,-1045,-368
-21,124,-61,289,-198,800
-56,-75,21,975,-1736,1411
-45,-86,85,1308,-2670,2535
100,2,71,1908,-3060,2305
64,-118,15,790,-3089,2537
-78,-56,93,1123,-5508,2356
-38,-50,75,1178,-8416,2428
65,124,74,3397,-6373,2676
126,-104,-63,2159,-957,1676
-56,-65,-23,2097,-2400,3336
-21,53,77,-1470,-4926,4434
-46,-63,-92,-279,-5924,2692
-19,104,8,2187,-2987,1384
38,-112,-87,2305,-1871,673
-85,-85,90,2206,-95,229
-38,-93,-22,1611,229,-1086
-120,-115,80,-598,1441,-1603
-105,3,17,-692,1608,-1937
-106,-101,-39,504,802,-1411
-110,-52,-11,-207,-493,-177
-61,-54,-23,-576,-194,-365
-9,-77,-26,-316,215,-809
34,-84,-22,-435,422,-904
38,-105,-57,-491,689,-1040
30,-123,-99,-625,527,-887
52,-121,121,-813,487,-348
52,-106,112,-393,-141,134
-3,-98,-85,-195,-748,505
71,-72,-91,197,-131,802
72,-25,-67,77,-569,601
80,-20,-98,206,-197,316
84,-20,-109,302,-445,221
82,-25,-107,502,-570,293
84,-77,-118,1840,-476,-34
85,93,-115,3896,-599,-289
81,55,-110,4429,-352,-852
-124,48,-119,2256,570,-696
-99,72,-92,-534,309,201
-122,-126,73,143,3938,-5351
25,84,24,-410,2799,-5041
-109,96,-13,-1382,3113,-5449
-30,32,12,-1253,3083,-5479
-73,52,9,-2962,3337,-4503
-19,21,-20,-3560,3848,-3286
13,50,28,-4600,3378,-2371
49,-121,66,-1689,3066,-1519
-64,127,72,586,2469,-1246
-91,-92,-19,1265,2856,-2192
29,85,9,747,2678,-3240
117,-122,-105,-542,788,-1917
-71,-41,10,1285,-899,414
19,-108,-72,315,-2992,2836
-3,-46,58,713,-3071,2500
-123,69,72,1184,-3494,2198
-41,-101,115,-38,-4233,2005
77,-97,-39,1304,-5855,1948
124,-121,46,1430,-6080,2314
-63,-112,19,2112,-5121,2055
-32,-109,14,1252,-4077,1874
95,-70,52,789,-4572,2598
-80,-54,-10,637,-5245,3584
101,-73,126,1154,-4192,2842
62,-35,-13,1320,-2593,2002
19,68,1,-134,-1430,755
116,-23,-49,-266,418,-612
-50,84,-6,1733,1147,-1355
-106,108,-128,1453,616,-707
116,49,50,1424,111,-446
-118,32,9,814,122,-195
-112,31,-16,-22,-169,-25
-81,-2,-30,80,-73,-423
-32,0,-14,-317,22,-537
-22,-21,-13,-794,-537,-433
-22,-94,-43,-309,-460,-310
-24,-87,-64,-649,-409,-83
15,-78,-77,-484,-394,-58
14,-69,-79,-279,-387,-117
28,-44,-99,-607,-268,-100
-13,-47,-111,-423,-479,-138
-4,-37,-112,-565,-508,72
9,-6,-109,-781,-697,239
13,17,-82,-579,-749,346
29,33,-75,-569,-578,247
34,52,-62,-530,-393,184
40,63,-57,-649,340,-6
51,58,-36,-165,110,100
57,57,-40,29,25,-21
87,60,-53,128,265,-99
-87,-110,56,1406,4758,-5102
-121,-82,-59,550,4383,-5410
-121,26,-80,-2118,4380,-3714
-10,-2,-106,-1996,4391,-3669
-37,-8,-82,-1643,4481,-3574
36,43,-58,-1992,4341,-3087
90,65,39,-2246,3507,-3022
-73,2,11,-1007,3538,-3115
-63,-127,-43,564,1878,-3879
126,5,-111,-634,133,-2023
17,110,52,498,487,-852
-38,-8,40,1579,-300,674
39,35,-112,-218,-1932,2441
-97,-95,-104,1321,-2730,2125
83,79,103,1730,-2963,2273
2,-111,34,1252,-3151,2381
113,14,-112,836,-6122,2556
-102,-2,29,492,-6667,2404
26,-111,-73,2085,-4294,1452
46,125,-12,1854,-3268,1277
92,69,28,3137,-4158,2354
-39,101,10,2014,-2429,3225
65,-88,117,1137,-3457,4020
34,67,91,-1482,-3591,4880
90,0,59,738,-1068,861
84,55,41,3478,161,-2522
5,-117,-90,1299,1341,-881
-93,100,85,-534,960,-808
-102,-99,-18,1809,172,-951
-71,-63,-31,434,211,-623
-49,-52,-58,-758,92,-441
-22,125,-80,245,-171,-678
-1,-125,-78,13,4,-858
20,97,-105,-15,387,-1468
67,98,-100,250,662,-1418
65,94,-91,323,-57,-800
45,103,-72,-268,-486,-302
50,100,-82,-405,-381,-11
65,105,-95,-141,-292,199
67,-119,-104,-224,-483,549
59,-93,-101,-399,-694,696
71,-84,-90,101,-461,767
90,-67,-92,324,-320,687
89,-47,-95,134,-387,529
88,-28,-89,-198,-399,332
94,-33,-107,-202,-127,-42
101,-52,-124,215,-168,-290
114,-52,123,-45,-182,-385
126,-60,116,-149,-163,-429
122,-82,106,60,-267,-536
27,9,120,-695,5227,-4902
-34,-101,-52,-1123,5259,-6466
-126,-56,-47,-2690,3733,-5268
66,-70,-12,-2862,4335,-4601
-16,-111,37,-3062,4291,-3316
-32,-91,11,-3712,4337,-1918
18,104,68,-2922,3080,-1865
-70,-35,29,-482,4331,-1970
109,-118,-112,75,2449,-2026
-80,28,58,-795,932,-1821
-28,4,-50,390,316,-894
-106,-56,46,752,-1575,1033
45,-92,-95,-162,-2553,1604
-52,-10,-59,1648,-2703,1634
114,126,-75,1443,-3125,1297
-60,-101,-57,1033,-3809,1357
32,-107,3,2286,-4904,1990
99,-78,76,1791,-5624,2429
-73,-55,97,1925,-4824,2090
-7,-48,-106,1783,-3835,1894
-15,-91,-76,2339,-3795,2088
-8,-93,-68,2166,-3661,2693
28,117,-123,2070,-1962,1746
33,80,126,2375,-1054,2428
3,-86,-22,611,-966,2441
-69,34,120,3488,-252,795
40,-124,-89,1389,-389,652
-43,63,105,808,-42,92
-76,-8,55,1113,-71,-265
-87,-53,-24,1128,-16,-665
-82,-106,-59,1207,-145,-951
-48,126,-89,349,-16,-993
-32,120,-87,-820,-278,-948
-16,73,-77,-494,-553,-1014
23,43,-67,-342,-417,-1084
34,25,-59,48,-320,-1042
38,4,-76,342,-215,-877
34,20,-80,-142,-281,-411
28,30,-92,-424,-357,89
37,38,-107,-240,-354,378
42,60,-109,-71,-304,537
52,79,-123,83,-192,540
66,101,120,175,-249,536
69,116,114,64,-226,487
71,123,110,84,-271,412
79,-124,103,114,-228,312
86,-119,112,203,-265,224
88,-118,101,272,-149,-27
82,-117,104,89,-195,-219
90,-121,100,-177,-193,-258
-84,-1,-66,-1173,4104,-3662
79,-24,-76,-696,2765,-5029
-10,20,83,-1355,2556,-4975
-126,66,-106,-2509,5352,-5269
116,-55,-45,-1488,3413,-5044
67,-73,11,-3269,2842,-3606
-112,110,54,-2969,2487,-2456
12,114,62,-3464,2788,-2014
71,-91,-21,-366,3526,-2691
-128,45,-79,1292,2601,-3096
-81,-33,51,100,1188,-2234
-21,111,-73,761,-313,-1248
-30,49,-53,1065,-1419,1973
90,-31,-90,-1315,-3003,2434
-44,23,-62,619,-3096,1515
108,-77,2,-346,-3710,1322
-73,-69,60,83,-4319,1155
6,107,51,2189,-4306,636
64,99,86,3307,-4423,1583
88,116,83,3160,-4387,2220
-121,-123,90,3301,-4461,2671
-4,22,-108,907,-3792,2784
109,-24,-84,1658,-3317,2365
112,-14,-19,516,-3332,2638
52,-119,-14,1570,-2046,2167
-20,-105,-4,1406,-1373,2154
99,-48,33,177,-1193,1512
17,89,-114,2233,245,-667
-65,70,93,1780,9,-1090
-112,44,32,273,251,-593
-127,-34,5,512,126,-573
-97,-78,-44,645,128,-719
-59,-79,-49,45,25,-786
-34,-114,-62,58,-89,-912
-14,112,-59,-24,-236,-1005
4,90,-64,38,-7,-974
18,79,-74,-96,-93,-753
9,76,-83,-79,-180,-388
9,75,-90,-68,-227,-151
29,94,-105,-77,-267,230
40,105,-114,41,-182,239
68,-126,-114,78,-44,378
59,-118,-126,208,-91,261
61,-114,-121,256,-447,296
70,-101,121,-23,-259,231
72,-100,125,9,-348,264
76,-95,117,84,-341,198
80,-88,117,30,-327,73
86,-86,112,14,-310,-89
95,-87,106,-100,-342,-193
-28,10,87,596,3914,-4732
115,90,96,-1869,5062,-4989
57,31,126,-1125,4387,-5084
64,-16,7,-2562,4357,-3848
-12,-93,-5,-2605,2971,-2813
-12,-126,-35,-2743,2561,-1728
-92,74,33,-22,1663,-946
-66,-43,13,871,5060,-3269
96,52,82,17,3015,-2942
-2,-75,-12,-502,1157,-1239
96,-82,109,306,557,-316
46,-9,-58,211,-2594,1734
-103,-41,78,-962,-3347,1135
69,16,-93,1174,-4179,1685
-47,-93,-30,148,-5194,1668
99,-67,-16,829,-5363,1303
-97,-109,12,2295,-6018,1388
27,94,20,5050,-5733,2157
103,-126,-28,4380,-4712,1597
110,55,-122,855,-5065,3381
45,-3,-17,1508,-5593,3961
-114,48,102,1450,-3234,3169
39,-29,-77,-2069,-1079,2088
-65,-15,53,1060,-908,233
31,-6,-6,616,56,437
115,11,121,-811,-266,-337
100,-124,13,616,2,-494
-105,82,-86,382,162,-466
-52,30,100,930,654,-898
-30,-2,31,934,787,-1389
-17,-18,-30,147,541,-1549
-1,-24,-26,-720,48,-1163
6,-63,-46,-660,-130,-1044
11,-73,-58,-514,19,-718
20,-98,-76,172,-30,-446
38,-90,-95,270,-212,-84
54,-97,-91,308,317,-717
35,-92,-65,995,599,-411
62,-46,6,129,-522,672
79,-31,-3,-320,-746,1058
49,-46,-14,369,-920,1350
61,-40,-14,569,-780,1327
106,-50,-54,425,41,404
96,-69,-64,884,545,116
88,-80,-52,841,107,73
113,-78,-55,273,381,-14
-79,-99,-68,354,223,-150
-62,-101,-50,128,0,-229
-104,-122,-55,-17,78,-522
-99,-126,-45,-344,-202,-253
-84,-93,91,-808,4019,-5939
-23,-13,0,-621,4683,-5683
-63,-32,80,-1947,3985,-6134
-17,-82,29,-2006,4177,-5611
56,105,1,-2595,3586,-4624
46,90,3,-3067,2947,-3074
34,13,54,-2710,2026,-2492
7,-100,61,-1114,3342,-1802
-30,44,-75,1125,3729,-2542
86,-92,-84,307,3483,-2933
123,-124,71,-310,-726,-817
-6,-82,-14,-361,-1774,2203
-106,-64,-87,958,-2923,2871
30,7,55,-266,-3429,2706
-38,107,99,1071,-4064,2287
-8,-99,-82,420,-5243,2090
68,-109,-31,1168,-5493,2216
-104,-126,83,2071,-4988,2264
-69,-74,-38,2775,-6127,3116
-25,-62,-96,1812,-3882,2343
25,-39,-58,1862,-3316,2505
91,-15,37,522,-3631,2449
-95,-41,88,580,-2498,2714
99,-122,-7,2857,-1019,1931
97,-21,-12,1984,-1317,1159
53,112,85,3923,198,-200
-8,81,54,3496,-281,-392
-84,81,72,1446,-546,670
-115,95,71,-152,-232,633
-111,51,26,-374,-57,-390
-60,-20,-10,116,245,-1736
-3,-82,-44,276,312,-2090
69,-106,-55,-1936,1123,-1879
48,15,-78,-1193,765,-1698
49,13,-73,237,-347,-470
58,76,-75,-331,-776,-269
54,100,-78,-482,-555,-137
42,92,-89,150,-709,-40
41,-128,-77,228,-671,31
62,-102,-81,-92,186,136
57,-125,-59,818,-96,236
67,-91,-52,671,-538,192
69,-45,-59,-298,-580,331
78,-45,-79,-467,-163,-16
90,-36,-94,-187,48,82
92,-33,-103,-230,-163,-111
104,-30,-98,-304,30,-144
106,-58,-104,15,-126,-365
121,-36,-102,-419,-30,-69
-120,-66,-102,-69,-16,-181
62,-8,81,-267,4653,-3235
20,-94,39,-707,4607,-3394
96,99,-88,-879,4590,-3560
-26,40,73,-1028,4550,-3800
19,31,63,-1934,4024,-3146
-13,28,46,-2425,3545,-2229
83,2,79,-2334,3013,-2054
-52,-76,68,-1093,3320,-1774
60,97,-18,677,3814,-2596
101,-41,-80,2508,2348,-3194
-100,-110,-79,-899,375,-1324
94,41,9,1424,-75,498
-103,85,104,-1939,-1533,1757
0,-118,-114,541,-2678,1571
90,0,-78,320,-3369,1399
-68,66,-32,337,-3959,1538
81,90,-11,1689,-4237,1919
-45,98,13,2245,-4632,1926
29,79,-58,3265,-2774,2163
-9,-82,-111,2121,-6919,3826
54,-7,-56,-344,-4631,3177
-112,-65,97,1247,-3757,2635
-58,-62,-102,1052,-2732,2836
105,-83,-106,935,-2053,2489
-15,-79,126,682,-1786,2217
115,-75,68,1086,-775,874
-34,80,-80,2065,-23,-815
-83,43,-118,1061,244,-1031
-84,-31,91,818,449,-455
-85,-60,58,409,-151,-23
-56,-55,44,14,-331,-202
-20,-106,5,206,146,-670
-1,122,-15,291,219,-875
9,109,-24,-255,205,-882
23,-110,-42,-1664,33,-643
31,-127,-57,-1505,-486,-396
78,78,-60,851,-209,156
46,122,-48,812,-385,-67
39,-91,-47,-482,-160,-56
50,120,-67,328,-328,-42
82,-110,-64,96,-328,245
79,-83,-55,-326,-475,241
81,-73,-44,-352,-383,264
96,-75,-46,46,-357,300
99,-49,-45,-184,-355,282
93,-31,-49,-288,-387,141
103,-26,-50,-316,-380,51
110,-34,-56,-75,-315,-94
116,-49,-63,89,-191,-214
123,-46,-70,-225,-170,-239
21,-52,13,-1112,5043,-4037
78,-128,107,-1574,4284,-3813
-66,80,124,-1358,3956,-3325
-1,52,120,-1765,3903,-2985
23,74,-86,-2763,3457,-2011
-87,30,-59,-1855,3263,-1826
79,-54,-86,-267,4812,-3452
72,-70,106,389,3175,-3256
-88,110,-43,-738,2510,-3034
117,-24,20,287,1020,-1605
26,87,-33,380,-761,1475
47,9,-10,-270,-2372,2210
-24,-8,-73,-9,-3519,1584
86,57,-44,461,-3694,1675
-35,-101,45,-625,-4961,1703
90,-128,56,618,-5286,1104
-51,109,93,1781,-5004,929
-101,95,126,1842,-4550,949
-79,105,-33,2206,-5164,2071
63,109,-95,1500,-3397,1901
-124,125,-31,1313,-3768,1975
117,-119,25,196,-3546,2162
87,41,-7,1796,-2881,1582
47,76,53,2350,-1482,1352
-105,106,76,2277,-1698,988
103,57,-5,2894,-588,939
13,124,0,866,-446,742
-92,74,-125,485,150,-270
-79,-3,69,925,476,-1127
-52,-17,24,-141,691,-1285
-31,-89,-11,165,325,-1220
4,-110,-15,-23,61,-1226
82,100,-12,52,56,-1162
55,87,7,-403,43,-1178
55,36,-15,-494,134,-975
84,34,-18,-177,-171,-21
92,64,-32,173,-204,-105
92,93,-37,-46,-144,-213
97,104,-52,-294,-209,-36
100,95,-47,-50,-377,485
106,-122,-33,30,-393,810
120,-95,-24,45,-378,878
120,-80,-34,204,-397,771
89,-72,-18,260,-724,751
91,-51,-15,38,-761,833
101,-46,-50,-71,-420,266
117,-60,-70,-93,-16,-456
124,-69,-76,-97,-24,-698
-124,-77,-87,-303,-77,-904
-126,-104,-86,-461,-97,-964
99,-18,79,601,5398,-4774
-88,-49,88,-464,4264,-3819
104,-128,1,546,4667,-3576
49,-116,23,641,3129,-2904
110,-69,21,-718,3003,-1506
-53,14,-55,-1501,3220,-1815
-67,-29,86,-240,4495,-3132
55,-122,-47,869,4361,-3740
70,-66,38,1854,2861,-3291
-48,125,80,-959,-864,-896
30,4,89,-1818,-1493,1205
52,81,50,83,-339,694
-128,7,81,-778,-1249,1215
-74,-18,43,1414,-2313,355
38,58,80,-105,-2882,954
-33,63,96,200,-3811,1056
87,77,90,287,-4782,1140
-48,113,-82,-123,-6067,1346
69,81,61,-168,-6300,1266
-65,-62,-10,4344,-4648,1663
-83,126,-54,-550,-4733,2729
-44,59,65,717,-5757,2937
118,-123,-117,330,-4287,3293
-107,-59,-21,158,-3283,2534
-62,-59,26,1334,-2168,1247
-40,7,60,841,-1251,644
31,-6,126,113,502,-398
-63,-81,4,373,389,-1009
-103,103,-94,665,290,-1113
-41,37,81,508,1080,-1413
34,-65,5,1277,1184,-1058
-4,-85,-20,918,27,-634
-12,127,-8,560,-296,-700
10,78,-19,333,155,-492
12,44,-31,580,-20,-176
