AccX,AccY,AccZ,GyroX,GyroY,GyroZ
28,-100,-15,-3365,4635,-3448
-64,-49,39,-1002,5754,-2471
110,123,-89,-2490,5136,-2504
-104,-81,116,-567,4456,-2942
-32,109,-115,-1416,4177,-2316
51,91,-9,-1760,3401,-1322
24,75,-71,-4852,2138,-1081
-126,-19,-64,1491,2808,-965
-53,-68,-81,-1224,1788,-941
22,-68,67,1801,1434,-838
-86,-68,-41,468,-136,64
-116,-61,-34,-875,-1248,589
-40,-9,113,-534,-1614,1059
5,48,-28,331,-1845,1012
118,-121,-30,-594,-1762,1095
-88,-76,-29,-333,-2219,1041
-5,124,120,-86,-2991,1047
111,-116,88,4,-3265,618
-29,115,-123,1756,-3942,826
110,0,47,3055,-3668,1784
89,-115,60,524,-4107,1039
-117,101,-43,-464,-5018,3612
-108,-51,47,-152,-4779,1345
93,98,61,944,-2023,1185
-55,-38,25,2074,-4570,1886
0,-103,63,2835,-855,944
-115,34,49,-36,-1683,3072
58,-10,92,1458,-2032,3744
82,50,27,3948,668,743
-109,-1,-1,-1504,-647,371
67,-23,51,-572,193,-1515
-98,-35,27,509,1287,-1181
-118,123,-31,667,-36,520
-123,-57,-78,-567,19,544
-93,-76,-127,-584,161,159
-105,-81,119,-511,-3,341
-102,-84,127,-154,-178,660
-115,-51,118,-279,-413,670
-92,-52,120,481,-381,665
-79,13,81,48,79,370
-64,-37,92,361,-15,24
-55,-37,68,-821,-127,-169
-52,53,103,1303,-100,451
-62,101,-114,1007,-225,621
-44,-75,105,836,-146,379
-29,-89,93,672,163,320
-24,-128,75,1400,220,217
-37,118,68,1276,55,130
-54,-115,108,-195,-145,103
-49,95,102,-151,287,117
112,-13,-120,-1245,4281,-3033
-21,-115,41,-590,3882,-2372
110,-82,-17,-948,4207,-1791
-28,-102,-39,-752,3168,-2050
-126,93,-85,-27,3881,-2209
-92,-48,25,1341,2443,-1885
60,-111,-61,1020,1969,-806
-75,-75,-27,683,217,-283
87,-20,38,-1733,276,-614
46,100,120,748,-783,-24
21,-69,-51,-53,-1457,564
70,13,105,-830,-2220,1433
-120,73,-96,-1028,-2105,893
-99,-127,-27,-323,-2677,890
-27,112,-85,-1242,-3356,1251
124,78,97,1448,-2395,888
-69,-90,35,-866,-4563,1678
93,-96,-128,1077,-3520,1477
-22,-10,19,-3957,-7051,-266
122,125,-117,5160,-3022,1248
-28,-18,-35,1831,-4092,904
-27,-75,-2,2708,-2681,2041
-18,68,42,-1182,-3907,2345
-71,93,119,3453,-3356,2198
-47,-17,-78,1796,-1783,4044
-75,-40,94,5408,-1665,4889
78,45,116,-121,-3975,3839
63,-105,-54,3468,-3201,1516
-88,-62,54,7749,-350,-2587
-39,-123,22,-6888,2590,-1472
79,121,-81,-5910,1009,-803
77,-33,-128,-3740,738,31
101,-25,-113,-541,864,99
-123,-1,115,761,855,-438
-110,69,50,-1911,-8,-979
-96,28,50,-2699,-63,-382
-108,-35,45,-1089,149,144
-121,-5,81,-498,-356,12
-101,0,-117,666,-452,64
-73,-19,-24,1207,-39,329
-63,46,-79,358,113,178
-71,56,99,466,-261,286
-59,53,85,402,-61,262
-41,65,58,-29,138,194
-34,68,51,-340,-73,180
-33,59,56,-225,-180,78
-27,45,67,-199,-109,9
-17,38,76,-429,57,28
-8,26,91,-588,117,50
-3,9,80,-226,8,111
-90,64,-114,-4415,-5739,1025
34,112,-119,809,-4004,-46
37,90,-70,2618,-2489,804
89,61,-30,3267,-2829,281
64,-28,34,4282,-133,2000
48,-128,-25,-3624,-4066,541
10,85,75,12895,517,173
-99,56,37,-3494,1215,-1231
73,114,-105,-3242,-129,521
50,-103,-123,-329,646,-29
52,-96,-114,754,211,20
88,-26,-118,-163,197,299
105,-32,-111,-491,132,298
125,-46,-107,-188,131,199
-109,-51,-106,-221,55,33
-112,-54,-93,-601,-161,-239
-95,-86,-26,-580,282,-54
-101,-102,-86,346,-84,360
-92,-72,119,577,-124,297
-76,-44,107,-10,94,164
-64,-36,79,-242,115,197
-63,-39,79,-164,-150,143
-53,-43,78,51,-93,107
-46,-35,83,-262,-128,72
-37,-37,88,-336,36,47
-24,-55,90,-93,61,77
-28,-48,102,-293,-96,123
-13,-46,83,-261,12,123
-8,-44,57,-151,-24,98
-2,-48,49,11,31,142
9,-35,36,-134,-38,149
18,-32,37,-157,-54,126
20,-28,43,-231,-24,112
25,-38,42,-117,1,108
41,-31,44,-352,1,154
40,-34,42,-184,-22,139
41,-32,35,-223,-53,150
54,-27,28,-182,14,125
53,-34,15,120,-19,99
57,-43,6,83,-118,203
69,-22,22,-219,-145,294
74,1,35,-467,51,69
80,-13,24,-342,87,-23
82,-44,7,-53,-4,82
83,-41,0,-84,-65,160
88,-28,-1,-277,-74,169
96,-18,9,-241,-89,153
98,-13,15,-323,-3,104
102,-19,10,-232,-31,162
104,-14,-2,-188,-41,151
-51,-74,-6,467,5150,-2414
-80,-22,32,-1057,4814,-2816
-59,-15,80,-556,4536,-2560
90,-24,-106,-1288,3818,-2104
18,-68,107,-1419,4225,-1952
-123,-97,96,-651,3577,-1358
8,-114,-19,-2621,3216,-1649
125,94,-9,-1520,3005,-867
0,10,-93,-225,3109,-1137
-68,126,97,2565,3455,-1174
57,59,123,3010,2813,-1025
-124,-70,-49,1149,862,-1496
70,45,-26,-901,-1864,-11
50,27,-19,-526,-1855,586
71,-43,-34,-1113,-1931,1404
106,52,-18,-537,-2329,1076
-115,111,-19,-855,-2800,967
-13,-121,-53,-511,-2974,996
50,-116,-34,382,-2910,688
-112,-31,-35,-702,-2465,690
-73,-88,24,1377,-4012,956
-11,-81,71,1392,-2216,1566
-63,-88,-113,2462,-3434,1690
116,56,-57,-1003,-4179,1630
-103,116,-44,1153,-3581,1665
-63,-36,-35,721,-3115,1338
60,-128,46,-2157,-5739,1463
87,-108,101,-172,-3821,1041
73,-65,115,-230,-3636,1752
-28,32,-3,1086,-3568,628
60,17,123,2268,566,1458
-84,-20,80,15,-765,11
-128,-86,-50,12302,128,981
-126,23,-85,-3330,989,-1316
95,-126,-74,-2899,-496,110
88,-43,-50,-881,-299,165
113,-60,-95,276,536,328
-111,-12,-128,-356,727,79
-113,-15,109,-409,168,-55
-108,-50,116,226,-212,-189
-91,-63,125,422,-129,-137
-75,-42,110,-447,46,-104
-83,-67,115,-190,-289,46
-70,-58,114,-296,-158,179
-67,-52,118,-315,-212,140
-60,-46,116,-122,-195,185
-45,-43,-121,237,-89,210
-40,-41,-121,536,-43,249
-33,-22,105,-12,2,171
-27,-33,79,-28,-53,179
-9,30,-2,1323,4870,-2703
77,33,33,876,4248,-3250
-127,58,77,-244,3969,-2633
-126,42,26,-934,4744,-3041
-16,-46,78,-269,4667,-2916
43,41,42,-2717,4005,-2697
72,-18,48,-1585,3248,-1642
-109,-126,69,1624,3235,-1411
-25,-86,-65,943,2777,-1744
-39,14,123,1821,2105,-1693
19,68,-44,-1989,-850,-1080
-41,56,49,138,-1264,-677
-77,99,87,427,-2352,37
25,7,-24,-1318,-2304,1196
111,23,65,-68,-2506,813
-90,120,103,351,-2353,765
-70,110,66,1036,-3126,975
-14,-4,-1,-1863,-2935,530
57,-64,85,1038,-2107,-401
-16,-128,17,2161,-3711,974
55,-20,-100,-1002,-3025,836
40,127,14,104,-3210,-52
88,-98,-7,530,-2767,1200
122,-56,51,-207,-4139,1201
-28,124,99,1887,-3415,1298
19,-51,117,1378,-2694,1311
-61,-69,62,-161,-4694,1707
-29,104,101,1389,-2927,1572
-58,-119,-72,2410,-2604,1517
96,-37,-119,5465,-2661,870
-12,-22,48,14867,-314,-314
-67,-18,-22,-692,2577,-1604
-33,104,-118,-2109,-2216,1244
86,29,-102,-4608,468,727
71,-104,99,-3697,1076,-110
98,-124,114,-814,790,466
126,-93,-107,339,227,481
-120,-47,-104,281,-262,108
-106,-73,-111,858,-206,59
-91,-70,-123,257,-41,-184
-78,-74,121,-538,19,-296
-86,-87,-121,-717,-247,59
-94,-85,-106,-671,-91,164
-80,-85,-88,-108,201,236
-67,-60,-110,-65,-83,366
-54,-37,112,-271,-28,311
-42,-36,87,-146,154,65
-39,-48,73,70,63,19
-32,-45,64,-35,-69,184
-25,-42,60,-230,14,203
-91,-4,-12,3464,-2974,1940
-104,22,3,-260,-4204,1400
-124,-30,81,-2700,-3353,508
77,45,111,3,-3091,1028
78,50,-108,387,-1826,1328
116,93,67,-555,-3434,599
-73,-9,-117,781,-1559,1346
-127,-102,-73,-319,-922,1611
110,84,66,-191,-2445,508
-69,42,-73,2216,2,673
-122,62,-7,584,1771,-1138
101,9,-108,-956,1020,-828
105,-35,-123,30,-180,117
113,-20,-125,109,-190,-91
-104,-2,-123,263,136,-32
-116,-14,120,440,-51,-58
-102,-12,117,648,-124,-68
-94,-80,120,2345,-518,13
-95,-45,121,696,-244,-195
-65,-1,100,-1775,463,-160
-72,-93,80,-364,254,252
-63,-59,70,-167,-136,194
-44,-17,62,-735,-3,75
-42,-35,63,-303,26,220
-29,-12,62,-350,-5,166
-19,6,75,-329,188,248
-14,-5,56,-117,-83,-58
10,22,49,-882,201,-68
17,4,53,-394,242,1
45,-46,49,1151,302,1038
-27,18,93,-564,-943,111
40,-13,35,-579,524,359
42,21,56,-986,101,177
42,-13,38,-256,-131,-40
53,1,50,71,-264,-217
65,19,53,-501,154,-146
63,17,44,-81,-154,243
79,23,39,-157,457,59
70,33,32,-318,-271,147
83,11,27,-76,-73,-80
90,18,23,-118,-179,37
91,21,24,-211,-31,-44
94,10,17,-8,-263,194
96,39,21,-717,-98,55
95,27,41,-560,-158,92
100,50,-128,-267,273,-222
115,84,-93,-290,310,104
121,64,-38,487,1006,85
-12,-75,108,144,1416,-270
83,-38,-34,497,2105,-1199
94,-52,120,3603,-2757,1868
-34,-89,24,-1911,-5276,1266
-113,-80,45,-2724,-4491,1360
85,124,35,2448,-3192,376
14,125,-25,2283,-3043,2126
16,-43,126,-3056,-3658,1578
7,-96,-22,-1692,-5148,1340
98,-5,-109,-765,-3754,1786
-47,3,-58,735,-3352,109
118,-117,-49,2004,-2046,1196
-80,113,-73,-544,-2167,37
-91,-38,-47,8901,2031,25
47,22,-33,-4718,118,-1103
106,-22,16,-4434,273,-672
-107,33,109,-1915,655,21
-120,75,111,-836,-140,625
-113,-117,92,-1583,-494,84
-111,38,127,-629,-494,38
-80,-56,-112,304,332,37
-77,12,84,341,90,-250
-72,51,86,-538,-36,337
-89,-29,106,1839,-245,430
-80,8,104,1644,-639,447
-47,39,123,1166,-606,607
-38,77,94,-493,228,313
-51,31,76,-137,182,-7
-43,20,63,-272,102,-24
-25,42,51,-1186,123,30
-23,27,55,-705,-171,-87
-11,11,45,-481,-53,-8
-27,-28,69,164,-130,69
-15,-42,73,636,-109,291
-1,-3,32,664,-263,351
21,45,34,-463,47,90
25,12,36,-53,45,18
20,5,34,-192,-56,94
29,-7,44,-336,74,82
34,-12,25,-205,-27,146
44,-7,21,-131,-40,134
50,0,20,-174,26,102
52,0,21,-133,22,80
55,0,20,-194,10,140
65,33,22,-571,-49,8
86,24,19,-521,372,-306
52,-33,104,367,-462,125
119,7,-92,-487,1035,-5
-100,19,19,1684,815,-18
-4,-67,-87,-725,2479,-626
84,-45,-32,599,2267,-1308
25,-47,-5,1147,2936,-1629
21,-12,21,-2703,-4481,1004
15,-7,-88,1291,-4123,1397
11,-80,63,-515,-3539,707
30,96,-105,902,-2660,1347
-127,-125,-94,149,-2321,1048
56,-121,114,-444,-1762,1173
-45,-63,71,-289,-1879,846
-22,-34,94,9226,-1268,1231
-111,26,-89,-768,1059,-1438
115,-98,-41,-3205,533,-1114
-126,9,85,-1319,537,-452
99,-39,51,141,743,-157
99,-27,47,182,99,-151
-119,-9,72,-415,-717,365
-128,-8,-118,-232,-627,503
-91,-104,-73,1878,232,240
-74,-15,-102,-338,365,-222
-77,-45,119,-92,34,225
-72,-49,77,124,176,-69
-61,-41,58,1,41,201
-50,-42,64,319,-92,284
-9,-35,86,452,-87,362
-20,-29,101,-136,115,189
-50,-59,90,-128,189,-78
-55,-47,81,-457,-128,178
-40,-37,72,-499,-44,346
-9,-18,60,-524,77,317
12,-28,51,-114,45,220
20,-13,52,-402,-1,118
17,-25,49,-214,158,21
28,-41,48,1,94,18
64,-59,45,365,152,18
21,-76,30,781,-170,-4
44,-75,24,353,134,131
42,-77,11,119,-25,298
48,-57,6,-371,-196,379
59,-62,19,-128,-188,367
74,-59,36,16,-202,291
92,-39,46,-306,-98,301
77,-42,43,-113,15,61
70,-54,31,-21,48,7
66,-57,26,-124,-83,119
72,-59,23,63,-37,77
87,-42,8,-136,75,-38
122,-63,7,88,-2,-49
108,-58,4,-185,73,-196
111,-77,8,-262,107,-121
113,-84,7,-304,-73,190
112,-60,13,-386,111,245
-114,-8,-16,-848,51,303
-12,71,-37,-3045,-6148,2736
33,-44,-15,-2148,-4990,754
-31,39,81,2170,-3038,1014
-117,-74,-124,-554,-3300,1107
80,31,-82,964,-2245,686
21,67,-125,651,-2098,1553
-55,49,-61,-804,-1799,533
-57,0,45,2537,217,1497
103,78,-50,2585,-197,3
57,21,-101,646,136,-845
105,-6,46,-1576,255,-30
118,-32,-44,-837,-130,133
-113,-46,-96,-199,222,158
-106,-35,-105,-217,372,176
-101,-36,-115,-51,57,137
-89,-58,-123,142,-137,-185
-75,-55,117,-124,92,-223
-66,-63,109,-352,-32,-74
-70,-64,112,-225,-182,13
-69,-84,115,252,-302,78
-50,-80,121,480,-168,163
-50,-104,123,1193,-337,254
-39,-76,117,531,-118,253
-37,-72,101,226,-112,239
-31,-65,99,-269,-121,216
-21,-66,90,-359,31,232
-17,-61,72,-266,2,208
-11,-60,63,-82,-26,140
0,-56,58,-90,-42,73
6,-54,53,-277,-24,19
12,-63,52,-297,1,-1
21,-71,51,-216,-13,45
25,-70,53,-216,-16,58
31,-72,50,-172,29,84
38,-70,41,-53,-31,148
44,-63,37,10,-34,177
52,-42,31,-254,-13,171
65,0,27,-1617,303,99
64,21,27,-1972,187,105
79,63,23,-2413,333,-23
100,115,30,-3279,442,353
93,62,70,-27,-239,421
117,-125,65,-494,18,-422
115,-117,68,-723,-32,-241
108,112,56,-274,-16,78
100,93,56,296,-324,81
115,126,49,-474,-3,195
120,111,65,-237,-169,-139
126,93,97,322,-12,94
117,105,-52,180,-97,-453
126,126,62,-2253,4558,-1470
117,40,112,-454,4386,-1273
79,119,112,-1217,4671,-1432
-19,89,50,-874,4456,-1461
73,-80,-22,1121,3546,-1175
-122,50,-83,-2476,2708,-1437
22,-110,-95,-679,2742,-1094
-65,17,109,1804,3655,-1207
42,11,-81,3301,2973,-937
-121,-29,-119,1369,1514,-1822
-7,71,77,-860,-1239,-1267
56,31,22,-1383,-1980,860
90,-102,-56,-1796,-1997,1297
125,-14,18,-1056,-2169,945
-100,106,23,-1678,-2647,-113
-47,96,54,-623,-2944,613
23,121,43,244,-2430,442
55,-98,65,343,-2778,595
97,-28,49,-885,-3590,295
-94,-83,71,250,-3876,244
-59,-78,118,1193,-3013,-902
-113,119,-64,1775,-3272,1009
-78,-21,35,91,-4795,782
89,-58,-21,3293,-1922,-902
-96,73,-101,-2868,-6434,-367
-16,95,113,3519,-2743,1157
-88,97,-114,884,-3376,1025
-119,114,-67,-1362,-2742,1041
6,-95,-35,2379,-1067,1128
-117,-87,-110,-1877,-1821,1051
75,14,-23,8670,-851,2003
89,30,-31,-2448,872,-711
-107,65,-43,-2979,351,-1050
110,-123,-75,620,11,303
77,-100,-74,2124,-424,796
99,-50,-59,1457,-315,621
-116,-44,-82,806,377,326
-84,-103,-108,1593,385,89
-90,-65,-102,315,53,-69
-92,-98,-93,-62,22,-186
-83,-102,-108,-545,382,-197
-85,117,-122,185,266,-59
-58,113,109,428,138,108
-50,-113,106,-264,-96,288
-61,-109,101,-199,-121,311
-49,-107,107,-54,-157,273
-35,-101,109,18,-155,367
-25,-117,105,704,-308,342
-1,-108,111,864,-400,417
6,-94,115,205,-340,303
56,14,42,-461,5073,-3001
35,-11,13,-1123,3417,-4135
-30,85,105,296,4677,-3540
-79,119,109,-2292,2144,-3068
-23,119,-124,-3604,2462,-1779
-128,123,-47,-234,3008,-597
73,-33,-126,660,3490,-1641
123,-24,72,-535,2183,-1581
65,-114,-20,1394,2956,-1133
-93,92,28,-157,1529,-1235
32,-34,-67,892,-25,-1052
-39,122,-72,621,-220,-713
-37,115,31,-350,-1496,740
9,-63,118,-649,-1600,1017
60,32,-95,-658,-1833,1199
-126,71,-86,-287,-1877,1082
-76,-72,-83,-1125,-2847,1167
-13,125,-105,-1320,-3494,1083
0,23,-49,-2162,-3590,310
-99,-110,1,3077,-3463,977
-35,-39,-84,1360,-3260,-112
64,32,-90,-191,-2633,1010
-122,-25,81,2924,-6248,1849
86,-71,50,-450,-4865,1576
12,87,91,-648,-4279,750
57,-12,101,-140,-4201,1380
32,-27,-111,97,-2204,1761
-114,-40,-34,65,-4227,1378
104,-89,-82,582,-2012,2314
-38,-95,-22,1238,-2718,659
-36,-97,35,9967,916,885
-127,-120,-70,-2051,1006,-1539
91,-108,93,-3488,23,79
68,-57,-28,-568,101,41
120,-53,-73,866,933,42
-92,4,-111,-735,899,-17
-73,19,34,-2396,854,-64
-108,-37,38,-1388,168,242
-96,6,53,-770,-263,360
-60,105,86,-2660,-249,41
-76,38,-109,4,-615,230
-45,80,-96,399,-256,204
-51,-93,-20,-956,-668,387
-68,71,-51,554,-152,127
-52,101,-114,-316,-212,154
-33,22,-122,532,158,12
-41,27,112,415,-1109,-54
-17,19,90,289,405,-627
-30,21,91,21,-134,120
-19,4,74,-150,66,146
-86,-124,5,-742,5018,-2462
-49,-101,41,-721,3983,-2536
-92,72,46,-753,3847,-2117
-20,72,-44,-1706,3483,-1740
92,81,-42,-1596,2952,-1105
-15,46,-20,-1067,3755,-825
94,-14,-26,257,3212,-461
17,71,-63,-1788,2879,-643
-120,-86,-41,-548,3212,-658
-1,-127,-54,209,2234,-24
