AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-35,-99,-8,-1471,4776,-1879
-13,-74,-17,-1798,4931,-1560
-117,-65,-20,-1761,4434,-1440
30,-34,6,-2203,4277,-1099
120,-27,63,-2242,3901,-892
39,-31,97,-2368,3829,-516
-46,-105,-93,-1482,3763,-612
121,-75,-72,-2263,3927,-445
48,-119,-68,-2102,3661,-272
3,120,-66,-1909,4055,1
127,-96,47,-2879,3909,-53
23,15,114,-1297,3910,-1121
6,101,31,-91,1940,-1566
-93,64,-69,-1013,282,-413
-113,-40,36,-60,-1586,-628
37,66,-61,814,-2104,-56
-67,-108,95,829,-2277,-669
-126,-65,-70,1594,-2534,-638
-67,-55,-121,2336,-2450,-212
120,126,-115,1041,-3587,333
-35,-111,-69,-215,-4762,510
88,31,109,1731,-3748,70
-46,-123,-14,-200,-5267,813
-18,72,-94,828,-4516,408
35,66,-121,1868,-4626,656
70,120,26,7,-3866,643
-17,11,-124,260,-3951,782
98,-109,13,1749,-1327,-62
-8,-1,-98,-394,-2163,110
-121,-18,-34,3095,344,-1019
-83,9,-97,-971,-436,350
-85,112,107,-314,-188,-99
-79,79,80,-294,392,-132
-75,53,19,-90,802,-453
-65,34,-47,-247,825,-652
-43,-3,-120,-173,921,-753
-58,-19,102,-436,935,-782
-27,-7,63,-949,654,-404
-10,-24,50,-839,330,-330
0,-25,45,-709,405,-271
46,-13,64,-457,325,-136
33,-22,65,-132,438,-502
84,-1,69,-234,509,-478
83,-2,49,-278,598,-700
69,20,62,-851,403,-487
81,8,60,-664,172,-226
66,34,61,-713,497,-401
96,28,31,-384,548,-471
-98,56,0,-282,57,-198
-110,87,23,-840,-109,-248
39,-16,-85,-1627,4659,-1817
-49,-98,38,-338,5691,-2418
-25,-62,-66,-1318,5561,-2456
-127,-48,-94,-1459,5067,-1908
-7,-10,-122,-1926,5152,-2022
25,95,-79,-3637,4563,-1214
94,13,-53,-2683,4311,-828
-78,43,38,-3426,3774,-347
10,-62,44,-2125,3850,-265
-98,-39,-124,-2875,3262,460
104,-117,58,-1132,3823,152
-22,-84,-40,-2052,3565,-904
-94,-41,-43,530,4120,-2092
-128,34,75,-240,934,-1551
54,-100,-60,94,-929,-1222
-118,122,-13,482,-2906,107
121,0,31,1066,-3054,533
82,-109,-126,1869,-2552,120
10,24,68,2688,-2108,297
-115,-34,66,1212,-3965,1047
117,5,113,407,-4132,942
-77,109,79,2712,-4023,396
-23,-3,101,389,-4877,1457
-103,-80,104,539,-4410,1490
102,101,-102,1396,-5281,1645
109,-64,-21,-1064,-3931,817
126,-100,-52,2361,-1739,994
35,75,32,-730,-1818,603
-57,-51,80,-415,-999,513
52,-127,-93,1119,266,-565
-30,-86,94,351,-243,92
-88,125,20,350,-153,-89
-87,117,14,-279,-9,-271
-84,68,-63,-192,516,-745
-63,46,-102,-469,661,-915
-38,14,106,-167,866,-893
-32,-5,64,-212,849,-964
-30,-1,67,-571,576,-766
18,-6,71,-886,574,-609
20,-23,57,-537,595,-790
52,-15,50,-583,647,-628
55,1,45,-663,563,-462
55,6,30,-692,591,-514
77,21,25,-789,440,-335
77,32,23,-676,219,-204
92,71,43,-1040,115,-62
101,82,58,-912,-65,38
114,86,61,-627,246,-206
-126,103,56,-561,608,-420
-127,106,40,-459,515,-567
35,-13,12,-1445,4927,-2026
119,13,-76,-1618,5500,-2163
93,69,-76,-2193,5077,-1877
31,48,-35,-1885,5044,-1772
-68,60,19,-1796,5189,-1761
22,92,58,-2784,4540,-1428
-88,38,53,-2563,4967,-1169
-52,23,108,-2710,4155,-858
123,-26,43,-2362,4894,-831
-67,-51,85,-2464,3756,-732
-83,13,116,430,5129,-1162
-80,-105,-9,861,4262,-3064
93,-44,4,-1337,621,-1353
23,-40,68,-434,-1920,-502
-118,93,46,-289,-2753,1072
