AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-113,-37,94,-2480,3683,-3976
-30,-51,91,-2112,5801,-5579
80,-26,-117,-2174,5386,-4847
-57,39,-102,-2341,5548,-4221
118,-49,116,-2054,4372,-2253
-93,-42,-64,-2156,2491,-716
51,124,75,-1730,311,1444
12,34,78,-1564,-1204,2341
14,-62,122,-1554,-2125,2191
-39,4,2,283,-2709,3169
-27,-81,112,1775,-1356,1973
-50,-39,19,1169,-1820,-2900
-53,-108,-128,1552,134,-3699
-58,-40,72,888,1954,-3446
-95,37,88,-325,2999,-2039
-38,-32,8,-862,1751,620
-106,-32,-67,-1812,556,1890
-6,8,-10,-1574,-359,1986
56,52,126,-1089,-1985,2544
-91,102,23,436,-2674,1510
-109,-43,-44,1881,-489,-1722
62,-13,-19,1102,-409,-929
-73,-15,-75,1731,-982,1019
-44,13,52,1074,-3616,2545
9,66,-86,467,-3993,3881
4,-109,83,839,-5084,4448
103,55,30,2178,-6390,6370
-72,13,-65,583,-3778,3735
-29,55,-118,-71,-1978,3809
-128,-123,119,87,0,1422
20,-20,43,1732,418,370
-22,32,34,-160,-376,154
-44,-38,10,-491,-398,-342
-11,-93,-62,54,629,-25
-31,-112,-86,-19,1,-332
20,119,118,169,391,-154
24,104,100,205,310,-440
52,89,62,66,122,-288
67,83,45,-286,497,-185
70,73,28,27,189,-313
92,95,22,-291,197,-179
85,91,22,-167,-28,-19
87,91,27,-36,-163,75
92,104,34,-192,-207,252
104,109,31,110,-68,402
104,125,28,-13,-116,339
110,-115,34,-42,-224,413
116,-112,31,27,-167,341
111,-102,38,-6,-292,299
113,-114,43,395,-371,313
2,-113,-34,-800,4631,-4581
-69,-112,-48,-2398,5743,-5145
-24,42,-14,-1366,5661,-4559
35,-73,44,-2161,4880,-3704
99,-47,-32,-1609,4933,-1944
111,5,101,-912,3191,-431
-26,-17,-40,-1387,1161,993
-29,99,-44,-1448,-335,1176
-50,-67,-13,-1611,-1465,1347
-61,-103,51,30,-2027,1880
-34,103,-71,187,-2677,1191
-48,24,-16,868,-2305,-258
-112,-8,38,1284,-221,-1676
-105,125,-12,1319,1319,-2625
9,76,-4,207,2032,-3873
63,-27,22,-574,2527,-2390
-74,-43,-54,-142,2091,-199
13,-33,-64,-1482,1278,615
36,82,26,-1576,-173,1788
31,42,-41,-1845,-948,1812
-40,-14,-55,-1067,-2171,2441
28,5,31,326,-2054,2285
-128,69,27,1376,-1768,-17
-89,121,-11,1117,-257,-2659
-48,-126,-16,1451,-272,-1734
63,-4,92,1622,-144,296
-72,-68,-113,1454,-961,745
7,-1,-49,574,-1764,1861
0,78,104,-366,-2534,2400
-42,116,84,1407,-4043,4418
-105,13,-37,1718,-4495,5737
-99,-71,102,1951,-3054,5248
106,38,-52,183,-4110,5476
-79,126,61,2081,-2178,4655
-30,113,-7,1573,316,2477
-9,-51,5,770,-771,73
-64,-111,53,-1060,-435,-1266
-53,100,-11,367,667,-940
-66,74,-41,706,1,-202
-16,-4,-126,433,445,-726
-24,-43,83,-28,157,-403
-27,-52,72,80,209,15
-12,-3,58,-205,253,46
12,36,59,-4,-118,288
18,54,61,-48,-119,84
19,77,76,-370,-24,41
28,55,68,-62,6,145
43,67,73,-119,-20,158
50,85,75,25,135,147
41,61,50,228,278,-35
77,95,123,-2597,4871,-4913
-46,-39,51,-1673,5123,-5000
-127,-21,5,-3169,6294,-4441
77,8,-110,-2590,4693,-3833
-117,109,67,-4001,4354,-2820
-98,85,22,-2501,3002,-466
20,6,-105,-1837,1554,915
6,99,118,-1438,-123,1349
-11,39,114,-327,-2056,2438
-61,-100,27,2487,-2042,3470
-40,108,-98,1840,-1570,-404
-92,-22,72,1241,-643,-3424
-100,-45,20,632,859,-3833
3,-98,23,-282,2418,-2335
34,-34,26,-520,2043,-243
-60,63,31,-1444,1402,334
5,-84,124,-1647,279,1160
58,25,44,-1199,156,1959
-4,-81,-52,-1041,-1308,2746
-98,120,-86,-634,-2689,2774
32,-98,-2,131,-3066,1216
126,56,121,1318,-1692,-1998
-112,-125,-17,1096,-823,-3353
-65,30,-67,919,130,-1063
-1,111,-67,1875,198,1635
71,-96,-97,600,-2034,1672
80,95,-26,404,-3892,3616
-10,-61,-22,1343,-5086,4144
102,93,-57,2240,-5663,5821
121,19,-28,2291,-3543,5073
-103,50,-51,944,-2380,4686
-50,-111,93,924,360,2357
62,-103,-99,1307,-1065,1562
-22,-120,-84,-159,47,-40
-39,-55,11,131,1409,-972
-29,-91,-77,-258,910,-359
-19,104,106,121,228,-589
25,46,61,161,302,-398
36,49,48,-48,46,-167
50,56,33,-257,-84,-65
37,60,59,-278,-399,-9
53,53,80,-180,-270,113
65,81,112,-451,-291,206
59,98,110,-788,-412,145
69,-114,101,-1046,-225,562
78,-101,72,-310,0,356
78,-84,69,28,25,125
83,-72,55,-208,95,89
94,-80,39,-4,2,60
104,-86,37,-83,-5,21
-3,2,9,-1108,4561,-5335
-21,-123,48,-3869,4583,-5968
-93,-55,6,-2520,5620,-4621
21,27,48,-2726,3775,-4991
115,32,-19,-2694,4144,-3056
-128,9,-15,-1804,2528,-607
51,-70,88,-1052,2135,1111
9,72,-107,-2040,-669,1498
23,13,28,-1415,-2207,1499
-93,125,-113,1854,-3091,3207
5,38,13,1385,-2129,-70
127,-92,-117,920,-741,-2853
-98,42,45,648,2605,-2709
2,88,61,-58,2252,-1286
-101,-60,-38,-945,1815,76
49,48,-103,-1475,584,742
-99,-109,-92,-1438,-720,1933
55,73,124,-1536,-1844,2120
-40,-115,-121,-602,-3117,2277
-58,116,-71,1280,-2885,1153
-124,-28,4,1711,-610,-2720
-111,-128,-20,605,1589,-3887
116,-63,-15,1081,2430,-1090
118,17,14,176,2296,-49
-5,-62,21,-983,935,-77
57,-84,74,-1431,-770,261
73,23,-51,-865,-2192,530
-120,127,-44,-270,-2761,2537
37,90,-74,2638,-5225,4531
-74,-44,2,2384,-6988,5819
85,56,49,1013,-5930,4793
109,30,-120,219,-5020,4566
62,15,-51,639,-3445,4845
6,-23,67,214,-818,1809
25,-95,-5,494,-963,-332
-58,-9,-100,-97,422,-1140
-71,-119,16,226,938,-575
-86,116,-37,390,-207,397
-31,-116,-89,-332,314,201
0,119,99,-249,376,-150
3,88,70,162,348,-3
-3,120,72,-210,-46,-25
26,112,67,-88,39,45
34,119,67,10,-61,96
37,-113,82,-194,-295,165
49,126,81,154,28,110
58,-114,84,-45,-24,148
69,-112,81,-71,13,25
78,-121,75,-134,37,183
80,-115,64,-78,-47,224
37,95,-63,-1353,3183,-3743
77,-125,-94,-2277,4952,-4897
-63,58,122,-1956,5278,-4953
77,-100,-63,-2276,4672,-4211
102,-83,-100,-1523,3476,-2317
-100,-50,35,-998,2410,-421
48,109,-99,-950,1183,1174
77,-100,40,-806,-472,2190
111,-56,-24,-1179,-1526,2281
-97,-23,-128,663,-3431,859
-120,42,73,803,-1755,-2089
-128,57,27,1086,1073,-2766
-69,-59,12,-713,2178,-2853
2,84,41,41,2807,-733
-59,57,52,-1226,1572,123
10,102,19,-1626,378,1096
39,-46,-119,-1513,-809,1868
25,122,32,-1148,-2226,2298
-38,99,112,-376,-3977,2184
106,3,68,1006,-2813,528
68,-85,17,1207,104,-3457
-58,-110,-50,293,2104,-3855
-53,56,-24,561,2155,-2267
-52,53,-114,784,1627,-416
6,16,113,-272,472,133
90,-66,109,47,-742,987
81,-68,24,558,-2225,2606
47,-50,-47,528,-3263,3392
-1,-55,43,2250,-5522,5735
-9,105,-22,2588,-5644,6011
77,-95,-76,1790,-1234,3555
-66,73,-76,2287,-3328,3741
92,-40,7,-579,-3132,3953
106,25,-79,1515,-938,2355
99,6,90,2101,50,1054
13,26,24,750,424,-446
-52,-74,-12,46,-348,-553
-78,39,-92,585,-458,-115
-73,18,-94,363,-417,116
-49,8,-127,-106,-364,76
-35,-10,106,-172,-166,-25
-32,-33,94,-197,-263,99
-33,-23,82,-392,-207,126
-30,1,67,-485,-38,9
-25,10,52,-268,94,-118
-12,40,42,-294,265,-319
-8,44,46,-4,-52,-226
0,60,34,24,-186,-250
14,48,30,336,-325,-156
21,54,37,-127,-158,-38
-26,-2,-50,-1628,3014,-4264
18,61,-95,-2335,3771,-5513
-30,-75,-122,-2914,4288,-5421
123,18,-95,-2926,4429,-4257
115,-77,-122,-2298,4032,-2453
-123,0,92,-2139,2583,-346
19,-97,-20,-978,1608,562
31,-30,107,-549,-219,1921
-122,-84,-14,-1198,-1605,1958
42,63,74,1823,-3911,2604
-106,0,93,422,-2133,-1091
-115,122,92,1560,2124,-3143
-87,114,49,-733,1796,-3791
113,-83,77,-256,2852,-1790
-112,39,98,-592,1498,195
-18,-112,122,-1752,713,225
33,-115,-53,-1152,-282,1728
32,-6,-107,-1207,-1630,2802
-24,-29,-98,-1117,-3135,3656
17,67,104,347,-2386,3734
-113,-14,-77,1664,-1571,-1642
-101,-14,-2,434,-469,-4885
-55,41,-23,828,1401,-3352
4,60,-20,898,988,-1332
-52,-103,12,1133,848,868
14,59,43,114,-146,1243
80,115,112,-535,-683,2205
86,-3,24,-33,-2355,4101
-105,76,6,653,-5043,7366
-46,75,110,2552,-5390,8708
-104,28,112,627,-5298,7040
-9,50,123,-3607,-3434,2230
-68,-67,-18,1559,-1932,2039
42,96,-53,1899,-1150,1246
-6,102,114,157,1066,516
-53,11,-54,-868,-105,-345
-3,100,72,489,1065,-364
-21,94,-81,-302,1100,-627
-16,94,117,-219,136,-131
23,66,58,-76,286,-51
29,79,47,-228,130,-138
38,65,33,112,-58,-18
38,88,45,-281,-133,-22
52,103,59,-517,-164,203
52,100,86,-22,-421,173
72,-119,102,-46,-125,273
82,-84,106,-192,-55,-67
81,-87,91,-146,33,-58
92,-112,69,85,13,-31
103,-118,30,-185,100,-96
-34,-45,-3,-1982,3135,-5849
122,-58,28,-2244,4178,-6045
-67,94,44,-2570,4420,-5726
-127,-66,43,-3058,4533,-5096
-103,-36,-69,-2093,5271,-2800
-106,-3,75,-1350,2518,-379
21,-27,1,-1191,1115,861
-51,-12,-72,-1381,-614,993
-23,-115,-111,-1743,-1874,1371
104,15,-64,-401,-3626,2208
32,-41,-71,1122,-2106,761
107,-36,48,1807,-1051,-3017
100,-96,35,1303,2052,-2810
108,-100,15,-67,2352,-2328
-83,-111,20,-120,2628,516
-59,29,-17,-1517,665,589
21,-73,67,-1897,-172,1158
71,-10,-93,-1445,-832,2176
31,-3,54,-1003,-2483,2696
33,112,-95,468,-2742,2340
89,-62,-19,1095,-2851,-2058
113,-58,-23,1479,430,-3558
-127,-123,-49,1398,2238,-2793
97,-104,-16,1485,2121,-1081
-78,96,49,1019,860,301
49,-86,23,178,-1451,1099
-117,93,57,29,-2186,2023
82,-112,-21,713,-2520,2710
52,-50,-102,2055,-3953,4943
107,80,51,2058,-6544,6079
-106,108,-79,3921,-3713,5114
-114,-102,103,2447,-2754,5118
-100,110,-108,2843,-2363,4339
112,107,93,107,-637,2647
54,-26,73,-116,213,1087
-37,-115,42,314,428,712
124,18,42,-296,-474,-900
-114,-55,12,-1074,593,-794
-75,34,-96,112,710,-915
-64,34,-119,334,10,-411
-53,54,105,-515,127,-183
-34,41,63,-298,133,3
-16,67,54,-256,1,171
-18,80,40,-191,17,156
-8,94,40,-367,-5,320
-6,91,32,-179,-2,391
6,102,31,-190,-33,452
12,118,37,-265,-31,447
-7,113,41,-1,-52,363
10,116,37,412,310,294
-33,80,-116,196,4493,-4629
94,-41,82,-2123,4361,-5571
-123,-79,96,-2376,4500,-5190
40,-90,-58,-3506,4741,-4893
-116,18,37,-2938,5498,-4012
126,38,43,-2483,5347,-1987
-88,0,75,-1065,1625,859
-109,-56,-58,-969,-345,1688
-61,94,-49,-1395,-2020,2100
-71,103,-28,46,-3098,2437
62,-54,-36,1533,-1110,469
-95,-27,122,1567,-23,-4122
-101,48,56,-150,1209,-4225
5,79,68,-87,2474,-1786
18,-77,67,-186,2636,796
-42,-64,71,-1266,1704,1528
-122,121,-55,-1868,-574,1917
100,-100,-106,-2794,-2493,925
-32,56,-120,-761,-3047,2331
34,-125,-39,2025,-1723,2428
-96,-117,-66,2111,-957,-2019
-95,-78,-1,448,-705,-4561
12,107,-30,1061,1896,-3114
51,81,-14,996,2947,433
3,-22,-5,54,1429,1093
42,73,21,-84,-1292,973
80,116,127,-132,-2629,2514
-119,119,-45,245,-2786,3555
91,-78,-30,1142,-5165,6500
86,121,70,3677,-4891,6646
54,-17,47,1731,-2748,4253
-121,-58,-15,1369,-3438,4755
113,-13,-90,2060,-925,3528
34,-57,-54,606,-674,2791
8,118,86,-249,318,1476
