AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-87,-76,77,-3492,2786,-2208
-58,123,-108,-3220,2588,-4122
79,-67,91,-2281,356,-4930
-126,45,24,-2363,2341,-5877
86,122,-111,-3239,2163,-6887
37,-74,44,-4392,2263,-5497
75,-68,112,-3035,1694,-2339
50,-17,24,-1810,1578,2211
83,-53,84,1349,3178,3725
41,-25,112,1940,2332,3774
39,69,-35,2529,1715,3542
54,-43,-106,1173,-1998,3725
22,53,95,3363,-5581,-772
3,-123,-15,-549,-6262,-3632
-119,76,122,-701,-672,-4602
110,53,63,-4010,1681,-5220
47,-61,94,-3426,3248,-1282
64,-41,-86,-388,3809,3715
-73,24,55,-445,2967,3058
28,-101,30,314,2975,2001
-27,105,14,526,989,3366
18,-23,-28,1416,-2461,559
29,114,-45,1746,-5125,-899
42,-88,119,199,-9881,-895
-92,-116,95,753,-978,4482
-20,125,75,6352,-1154,4542
34,-37,90,1016,-1117,4865
93,61,75,3853,-2491,4861
-83,42,-51,3866,-1283,4877
-79,23,47,2729,-264,3490
103,35,-47,1001,9,2367
-26,73,-49,-1231,-485,1253
-99,-53,-69,-301,-325,-927
-113,74,-61,1805,-37,-1940
-114,72,11,2243,-669,-1474
-109,64,10,1713,-421,-867
-75,63,4,350,31,-564
-44,50,-19,-784,201,-492
-57,37,-44,-903,-115,-364
-73,34,-64,-777,-333,-366
-82,42,-71,-514,-115,-289
-95,21,-98,526,63,-573
-69,28,-117,853,-17,-341
9,34,109,671,241,-29
28,96,98,88,141,632
-39,-112,123,-652,-135,316
-12,-97,-121,59,126,-125
-10,118,120,983,1705,-2366
98,-98,78,2462,1196,-5
58,-85,72,1261,-163,91
-27,74,-123,-1692,2655,-4001
-6,82,54,-1099,3421,-5168
37,-18,44,-3002,2012,-5816
-85,98,-96,-2000,2886,-4266
57,-28,24,-1420,3924,-51
-41,-42,-51,547,3238,4363
-4,25,-128,655,2623,5155
-12,-84,54,863,1952,4680
60,-9,115,-37,-2697,376
107,-99,72,3167,-5289,-1520
-45,-7,43,2820,-7526,-829
119,-57,96,-1314,-963,-4763
-40,60,80,-4081,1322,-6677
36,102,122,-3190,5331,-86
-16,41,-59,-280,3204,3467
63,92,3,-377,3159,2411
107,-97,-33,595,1980,1189
11,-124,-6,449,971,1329
-53,-116,14,475,-676,2843
100,-93,104,-737,-3541,3274
-95,-85,-101,342,-3183,5135
0,83,127,393,-3926,5858
107,-79,98,45,-4327,5071
69,69,95,3001,-5729,5171
-9,-31,49,870,-6314,6136
-78,5,-109,1095,-3102,1683
39,-94,103,2076,607,-411
-107,119,95,-741,1530,-1176
-106,-13,-92,-63,451,-1190
125,-55,86,-1743,-319,27
-116,-88,-42,-387,432,54
-125,-116,-78,897,595,-599
-103,-107,-83,890,569,-1002
-80,-114,-105,651,395,-713
-62,-109,-108,-260,87,-494
-73,-121,-115,-291,8,-372
-59,-126,-110,-104,-30,-167
-51,-99,-107,-112,-2,173
-52,-76,-113,-98,-65,81
-4,-62,-103,229,-264,15
0,-70,-97,943,22,-198
-15,-83,-98,1436,83,-302
-13,-70,-110,1200,8,37
0,-47,-124,134,110,310
14,-41,107,-131,294,412
20,-34,87,-66,239,294
27,-32,79,334,-4,151
50,-21,77,493,-57,-20
56,-13,84,343,-85,-243
57,-12,106,-140,-9,-272
-39,68,103,-3116,4610,-1743
-89,4,-28,-2964,2882,-4844
-46,-13,-126,-2439,2584,-5687
-20,-97,-120,-1785,1200,-7288
-59,-44,-116,-3302,4628,-6335
1,-16,-74,-2033,4291,-3658
-108,23,-18,-1791,4325,532
-41,41,4,1012,3796,2365
26,-56,-42,-925,3339,2722
-65,100,-4,-1239,1271,4147
15,-40,-83,1468,-3206,2624
-37,-52,66,3456,-4324,2256
44,22,-88,2330,-6349,352
91,-88,-91,-1192,-3135,-3577
105,-98,84,-1747,-1373,-5350
-122,-46,67,-3357,2185,-3868
31,52,104,-2236,2161,-2444
-112,-21,-83,-2169,3409,1370
-66,65,101,-379,2338,1776
43,106,-78,390,2242,1434
118,119,32,736,1726,1677
99,79,15,753,590,1737
-126,111,55,-715,-627,3446
-96,-102,48,-868,-3024,5012
109,58,100,462,-5407,5490
2,-50,77,496,-4164,4760
48,-94,105,-442,-5631,5173
119,-27,99,4025,-8171,6610
78,55,109,5405,-6023,5694
30,105,56,4324,-918,1150
65,4,101,4131,2912,-3555
94,68,112,-2277,884,-3789
-101,-94,90,-2129,-185,-941
123,83,40,-1182,-442,540
107,48,13,-195,28,242
-123,59,-17,776,705,-466
-101,90,-38,252,692,-690
-71,105,-45,-591,283,-727
-56,82,-61,-267,337,-722
-59,42,-76,623,349,-996
-51,49,-77,674,309,-734
-55,40,-84,925,-51,-283
-38,49,-86,851,0,68
-44,76,-88,563,-18,341
-36,96,-79,449,-70,562
-7,-122,-104,68,16,645
18,-94,-99,-266,-55,553
24,-81,-119,6,-12,306
35,-82,121,203,-83,7
25,-42,-118,-138,-253,250
-118,0,-46,-5636,2084,-4739
-113,109,66,-2840,-1178,-7501
84,28,76,-3566,826,-7693
98,-28,10,-5154,2990,-5096
-100,77,-14,-1891,3906,-556
-94,35,-69,-53,3580,2224
47,-126,-30,2198,3325,2530
106,-97,45,1654,2347,5445
0,30,-61,-321,742,4572
-44,116,-7,3948,-6414,323
66,-27,97,1089,-5368,1716
101,-115,-56,1010,-4467,-3356
-42,-97,72,-4317,-663,-5472
-38,43,57,-3668,1595,-5918
28,8,107,-3534,2780,-908
-89,-49,-99,94,3040,2120
24,76,-98,-841,3090,1417
36,109,-79,-825,2305,1403
48,86,-24,1433,1055,2084
78,-75,117,1658,414,1942
65,-16,-100,-502,-1517,2208
4,55,-99,-2568,-4357,3460
-6,-49,-6,4348,-5898,4437
10,122,79,-180,-7777,3870
-7,55,96,711,-5930,2463
39,40,95,6583,-2488,5771
105,19,31,4904,-1535,6433
-112,80,34,9233,-1169,2298
-3,-66,-27,2675,-596,-606
123,64,24,-642,558,-2007
-88,114,2,-127,1661,-1878
-93,74,6,-701,907,-488
88,78,12,-751,83,378
90,33,-14,823,-326,-317
92,49,-10,677,-125,-660
-74,96,-6,-357,146,-239
-58,99,-48,-649,378,-190
-68,92,-56,-672,-66,-500
-62,75,-58,-370,-212,-666
-62,55,-65,301,-12,-964
-46,16,-84,1380,267,-1345
-20,23,-82,1383,99,-760
-24,83,-70,90,-174,540
-82,92,-82,-405,-468,394
-25,124,-53,-458,-596,783
10,-89,-84,-616,86,243
-3,-106,93,1437,482,-828
10,-84,106,1964,19,-311
-3,-46,117,423,31,98
1,-66,99,-359,165,31
99,-25,-18,-4698,2858,-1909
-103,-5,93,-1546,3423,-2704
84,36,-56,304,2834,-3266
-49,-26,-9,-943,2125,-3652
31,25,-20,79,112,-4454
104,113,58,941,-2060,-6096
53,-112,-128,-4701,329,-5191
-47,-90,-98,-2206,2207,-5293
-35,21,-82,-3215,4915,-942
-40,-100,-77,-939,4001,2286
45,125,-11,-909,4175,3437
-109,18,126,-365,2880,3755
-66,-29,-112,-2921,1558,4112
5,-8,33,980,-3825,1504
16,-24,63,3040,-5381,3328
-52,-61,51,4360,-6941,1204
6,123,127,-163,-4295,-3659
-60,121,75,-1839,-1883,-6755
60,47,48,-3549,1073,-6544
-22,2,64,-3043,4718,-1646
-46,-85,-124,-2262,3108,1199
69,106,57,-929,2909,2970
-122,84,118,125,2864,2152
-117,87,45,-706,2031,2287
107,127,-92,-901,-128,2564
81,107,14,-34,-2536,1760
99,22,103,1099,-5072,1446
-99,-25,-110,-190,-7571,6331
-125,-63,78,3231,-3543,6241
-23,-46,100,1313,-4861,6271
52,-102,-109,3502,-3223,5266
-109,-81,15,6892,-1782,4946
51,-1,116,5632,-1906,4383
-13,66,114,-617,-1549,906
76,125,88,-3961,-187,-1602
97,108,30,1077,1529,-2245
80,82,10,2628,1568,-1827
101,-90,30,372,292,-1064
-106,-116,11,-586,-136,-634
-85,69,-34,-195,-35,-987
-89,56,-19,-171,-113,-1433
-66,16,-15,91,-51,-1495
-49,-30,-44,841,391,-1450
-41,-52,-73,1135,536,-927
-47,-3,-60,440,-42,329
-89,39,-53,-190,-544,698
-59,63,-31,-404,-508,822
-2,-111,-16,-1158,713,360
60,-40,-96,-495,925,982
-2,-34,-111,265,-134,784
-126,105,-92,-6221,2678,-277
61,-58,-20,-2099,2827,-5078
-108,-1,-44,-4170,3362,-3942
-115,-124,-8,-2886,4236,-6155
46,51,7,-2982,4833,-4906
-104,79,24,-1728,5170,-2341
-70,88,-5,-1123,4802,141
112,55,79,-1513,4635,2137
-57,-120,-28,-614,5537,4048
-128,22,-37,1682,-452,4980
-104,71,76,-972,-3561,2923
-113,-19,61,4905,-7187,111
-113,-40,105,3177,-5983,-1883
-61,82,100,-3183,-555,-5651
-37,-46,77,-2565,632,-6283
-26,-96,117,-3350,3499,-2499
67,70,-73,-1306,3194,2090
-56,-33,-34,-386,3266,1978
118,-109,50,-596,2858,2212
101,125,125,296,2080,2746
81,-91,-9,-72,580,2717
54,-26,88,-270,-1834,1539
102,-64,-113,291,-3621,1846
81,-126,-19,723,-6845,1847
