AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-45,73,52,-3083,3434,-2527
-7,-73,-84,-3732,4187,-3768
-24,-88,123,-4734,6430,-3922
-51,23,105,-2895,8606,-3988
29,122,-12,-903,9898,-2966
21,74,59,-938,6931,-992
42,-116,12,-295,4395,-295
81,30,76,-1673,1503,1938
-7,31,102,-1541,-1160,3348
-11,-33,74,-1949,-2653,3118
-76,54,4,279,-4223,2851
-35,-66,1,369,-3743,2122
31,49,-90,-5003,-1618,-5289
-68,62,-111,322,-14,-5210
-127,-75,126,-1630,4572,-5534
-86,-13,-96,-1206,5193,-1872
-35,3,-101,576,3793,1103
-17,15,46,-3056,2559,1052
64,-29,-55,-1539,1063,2432
12,-117,84,-2015,-1305,2726
-14,-14,-126,46,-2832,2842
-14,124,16,-119,-4152,326
-71,36,16,-1357,-1901,-3104
10,49,-83,71,273,-4581
-63,87,-106,-1049,1437,-2762
37,54,59,2770,232,669
87,-111,31,82,-1200,518
-83,97,-62,-1932,-1367,1165
-58,101,-127,-265,-2179,2252
-45,-19,-111,1355,-3379,4161
-25,110,84,1962,-4114,5491
-125,1,-127,3961,-1961,4009
94,68,68,3415,-3222,4990
-123,-66,62,1746,-1889,1708
7,26,-6,3668,203,-406
75,-63,78,-2550,1824,876
-2,-93,-2,-172,1039,-629
19,66,19,134,-102,-1540
31,3,5,316,138,-1693
37,-20,41,-417,302,-1167
76,-23,0,-846,768,-546
78,-9,-19,-1252,472,-353
112,34,-51,-1766,525,-364
-126,64,-71,-1220,109,-183
-113,84,-56,-842,21,-369
-104,108,-56,-670,564,-602
-93,123,-53,-656,528,-655
-69,-97,-63,-911,599,-381
-60,-79,-70,-848,320,-152
-57,-68,-76,-614,322,-219
30,83,103,-5027,2541,-2199
-23,37,-58,-4177,2332,-3060
-30,71,52,-5291,3617,-4292
121,-108,73,-4683,5870,-4264
99,-5,-113,-4039,7261,-3470
-89,-56,28,-179,8612,-3013
98,-15,14,-1042,5278,-474
-12,-115,-23,558,4387,-67
53,110,-39,-1609,1730,1846
-19,35,-115,-599,-241,3860
55,-120,9,-2055,-2120,3451
-20,-110,28,-964,-4497,2729
20,0,23,-1307,-4208,109
107,79,-51,-2172,-1174,-4570
52,-122,-110,-2425,308,-5839
-30,25,-116,-1721,3970,-4352
84,94,115,-107,4416,-1074
-81,57,103,-624,3638,260
42,-2,102,-1138,3238,1597
-121,-55,60,-1762,1992,1985
-23,-36,93,-1365,211,2511
-50,-15,-98,-1422,-1913,2871
-64,-34,-57,-731,-2406,1739
-30,37,-87,-625,-4387,300
70,-35,89,-1047,-2705,-2004
21,-116,101,-1194,-1042,-3936
-115,-29,76,-279,2160,-4503
-85,9,87,-446,2507,-3091
