AccX,AccY,AccZ,GyroX,GyroY,GyroZ
11,-127,48,-2803,2932,-3756
-85,-105,-106,-1946,2677,-3989
-119,90,-14,-4764,2571,-4527
-33,-109,119,-4429,2016,-4326
47,26,5,-4715,82,-3786
53,-37,-59,-4058,-915,-3537
28,-80,-9,-3132,-443,-3645
-39,99,-24,-1865,421,-682
-60,-47,50,-848,-212,2179
34,-16,27,-1036,-911,2940
48,48,104,3322,-2928,1902
11,-21,-50,1324,2317,-3976
-36,95,87,-3712,64,-1040
72,-40,125,2145,-279,43
-30,95,26,782,-1909,1279
53,81,39,1476,-2470,2898
37,97,-29,3113,-3057,2974
-91,-81,61,3815,-4814,4386
-37,93,-66,1383,-2454,3822
23,-30,-36,2328,-1829,2988
117,89,7,-133,-2468,3749
119,35,20,1296,-1393,1732
73,71,76,26,-2948,3952
79,-90,47,513,-2174,3001
95,-55,-5,-357,-371,-418
33,62,-49,-835,1310,-1854
-6,98,127,85,1066,-1558
-4,-83,-92,-576,-401,219
21,-111,-114,-78,-477,-30
62,-92,-114,-718,-187,-217
86,-114,-125,-493,-34,-451
79,-126,118,-460,-94,-279
83,-87,115,-1023,-432,-13
87,-87,116,-819,-439,95
104,-73,118,-732,-304,142
86,-67,119,-616,-225,164
100,-48,110,-777,-131,258
-99,-26,78,-523,-96,159
-111,-34,59,-113,-227,89
-127,-10,70,-602,-429,122
127,-12,86,-659,-448,157
-106,-27,90,-261,-428,316
-89,-20,91,-120,-350,228
-94,-23,92,-307,-410,252
-90,-20,96,-563,-347,252
-92,-39,97,-344,-340,210
-98,-51,93,-283,-250,244
-106,-55,91,-312,-318,333
-99,-57,84,-201,-423,325
-94,-37,92,-582,-527,407
-60,16,-12,-3980,3640,-3478
-35,-8,-50,-3958,4309,-4526
-60,-99,119,-4077,3645,-4210
127,-85,68,-4661,-607,-3109
-19,57,-6,-1510,-157,-2331
56,-70,107,-708,-336,-1165
11,34,-26,-993,-1502,633
92,122,26,-918,-3334,5464
126,-119,83,1344,-3973,1124
67,-105,-33,4793,3611,-3885
77,-10,102,-4572,147,-1948
83,121,-48,1281,397,-937
127,58,96,1642,-29,880
-80,104,50,1084,-1322,1837
-32,-21,54,3389,-1533,3312
67,-70,6,1867,-1431,3620
106,-36,-79,1565,-2908,4192
-66,125,-105,741,-2049,3684
23,-45,-5,39,-2081,2832
57,53,95,-802,-2920,2875
1,-18,101,-1070,-3376,3158
-108,45,-102,-515,-2879,3408
30,-60,-96,-961,-288,900
69,-124,45,-98,767,-2100
94,6,-16,-1226,862,-2063
61,127,-91,-691,-68,-755
23,-118,-105,-794,-561,176
61,-76,-86,-476,-408,420
117,-4,-88,-660,-312,199
-103,6,-99,-740,-61,-250
-106,-12,-114,-640,-74,-547
-116,-18,127,-863,-119,-469
-119,-27,114,-753,-269,-327
-123,-16,115,-901,-462,-29
125,-16,113,-721,-624,213
119,12,127,-817,-755,350
127,14,-105,-518,-673,472
-108,4,-94,54,-480,606
-106,10,-105,515,-526,543
-94,4,-116,459,-438,466
-92,29,-110,-738,-307,269
-92,7,119,-882,-161,178
-98,-14,109,-385,-124,215
-95,-16,101,-225,-121,293
-80,-23,99,93,-197,323
-76,-9,92,-246,-68,242
-50,-22,86,-156,-150,275
-40,-28,86,-106,-256,250
-67,-36,101,-287,-318,77
-66,-41,111,-608,-341,144
-45,-47,52,-4557,2324,-5522
-30,64,56,-4510,2489,-5439
-46,33,-96,-5256,3781,-4899
-97,-98,-92,-4194,1747,-4288
-37,-126,-31,-3932,-247,-2329
112,-15,4,-2561,-1640,-290
-110,119,-106,-1762,-458,735
-55,-73,-98,1337,-79,2214
-101,-28,88,-377,-3925,3087
89,114,64,2581,-1074,-1192
88,19,-45,-1685,1862,-2573
122,-17,-35,-758,1826,-1785
-45,49,69,918,-784,670
122,6,-38,1813,-2214,2458
-94,84,-56,2120,-2850,2635
108,-116,93,3270,-2466,4253
-79,88,-6,1751,-3067,4221
-59,120,35,1259,-2723,2474
45,80,30,-1042,-1126,1802
22,-6,-43,255,-1970,2486
127,-80,120,609,-2042,4149
62,54,57,459,-3577,3785
43,-99,-92,-486,-2540,2068
106,121,62,-1346,927,-1619
64,123,-36,493,1532,-2339
36,113,-59,-97,97,-324
27,-117,-75,-763,-957,518
77,-76,-49,-843,-884,426
116,-85,-64,-411,-225,-231
121,-74,-86,-895,219,-526
101,-107,-93,-883,-191,-166
115,-96,-107,-888,-247,105
126,-78,-112,-638,-187,3
-122,-54,-123,-740,-254,-68
-121,-67,-124,-505,-338,213
-120,-38,-112,-606,-517,316
-103,-13,-101,-564,-349,120
-94,-22,-100,-392,-27,-47
-109,-6,-83,-486,-549,295
-98,5,-83,-739,-475,335
-93,1,-87,-542,-463,278
-82,7,-87,-571,-390,165
-84,-1,-90,-557,-338,214
-88,-7,-92,-462,-325,218
-84,-8,-95,-492,-250,181
-80,-12,-102,-452,-279,158
-61,-17,-106,-378,-294,225
-54,-7,-103,-449,-420,181
-73,-14,-98,-401,-353,185
-74,-9,-103,-397,-361,171
123,105,1,-3402,2437,-3782
-33,62,11,-3817,3042,-3936
-22,37,120,-4638,2940,-3960
-77,-101,-30,-3077,984,-3958
-93,-32,-104,-3865,-2017,-2882
-21,74,-46,-2467,-814,-3194
25,-109,-90,-1525,-321,-1044
-64,22,80,-1066,-926,1298
-80,12,17,-199,-930,2817
-73,26,118,2211,-2260,2814
-57,54,-19,3835,-1197,1151
37,-30,-127,-2830,956,-2578
-53,111,-101,-2309,2035,-2194
77,28,17,1342,-590,812
101,-121,110,-442,-363,980
-23,81,52,730,-1514,1496
-41,47,-66,1784,-1551,2302
21,89,-100,2113,-2814,3085
55,63,-45,3136,-4641,3534
-30,-46,108,2572,-3687,3331
9,-124,-40,-146,-3323,2400
-4,-81,-109,1096,-2055,1970
124,-83,-93,426,-1842,3743
-9,-68,-20,663,-1546,3072
-120,-124,85,660,-2931,3878
-112,-20,83,-1770,-76,15
20,34,5,-1136,1518,-2360
92,-114,-58,-614,2036,-1874
58,119,-81,-480,829,-994
14,-126,-89,-540,-237,-207
66,-95,-113,-930,-184,-23
110,-92,-122,-675,-310,-209
-112,-74,-126,-814,-183,-319
-118,-88,115,-407,-206,-454
-124,-82,110,-659,-138,-213
114,-81,96,-749,-406,67
113,-76,98,-534,-752,540
115,-43,119,-628,-902,738
-122,-28,123,-473,-731,790
-118,-33,126,167,-834,671
-121,-16,-120,66,-768,479
-120,-46,-122,693,-842,149
122,-67,123,1102,-712,105
-121,-13,127,-631,78,122
-117,-55,92,-748,241,-221
-116,-103,69,84,-80,-287
-88,-94,68,-340,-26,-64
-76,-91,65,-544,-103,254
-92,-106,64,-77,-248,237
-73,-85,76,-484,-113,317
-99,-59,59,-4292,521,-3795
-14,-83,-120,-4152,963,-4334
125,15,49,-4978,1276,-4345
-18,-52,63,-4243,-166,-4925
45,36,-26,-4577,-1513,-4151
