AccX,AccY,AccZ,GyroX,GyroY,GyroZ
80,-92,-48,-2202,5783,-4037
81,-53,-96,-2989,4815,-3462
72,41,-117,301,-2593,-6860
-47,-50,82,-2530,-1419,-8312
-75,-23,5,-6000,4695,-6522
-40,91,-5,-5329,1423,-3277
-66,-7,10,-2232,880,373
116,-112,99,-5006,-5597,3418
-13,127,57,-4124,-8763,3695
107,23,-102,2477,2895,3926
3,69,-97,5876,3173,-7907
78,-103,33,-899,4190,-3528
64,54,-56,4085,-82,-530
-45,0,45,4314,-517,167
123,-66,-52,4202,-1905,2381
26,-119,47,8842,-1176,5327
-56,126,-15,4627,436,5215
21,22,-12,4544,809,3677
53,36,39,380,825,4934
16,58,47,-565,-436,4929
-6,51,-76,-624,-89,6098
-118,-80,-122,230,611,2076
-27,65,87,1464,439,-1644
-50,-96,15,-127,-764,-3030
-15,-2,53,-226,-473,-2161
-50,-49,44,548,-548,-355
-69,-2,40,-336,-410,784
-38,91,24,-1862,-156,914
-24,118,-21,-2030,-121,717
-28,110,-60,-1238,59,287
-13,118,-80,-295,111,-54
-16,-118,-74,10,-37,-92
-8,-103,-88,126,108,17
0,-80,-99,-144,63,112
9,-73,-112,-164,93,74
18,-74,-124,18,45,-19
25,-66,-121,-67,-46,15
34,-62,-126,-91,45,26
46,-56,-127,-95,-14,-1
57,-57,118,-46,48,-27
58,-50,121,-185,-36,-30
66,-56,120,-103,3,-1
71,-53,121,-79,16,9
78,-47,116,-124,9,24
87,-44,109,-62,44,-10
94,-46,107,29,36,-31
103,-37,102,-56,8,12
104,-38,99,-7,53,-35
113,-36,97,-10,-22,-17
121,-33,96,7,62,-4
53,56,120,-1854,6097,-3474
-114,-128,-7,-2946,6959,-3774
74,-104,-79,2927,-1603,-6469
59,-25,109,1440,-1143,-7150
-9,-17,-29,-3749,-273,-8348
50,-99,16,-6795,2459,-4813
-13,27,3,-6077,-4502,2714
-44,6,39,-6594,-4127,3056
92,108,-35,-7258,-7584,1644
-19,-120,45,-1039,-38,5675
66,-54,-50,14552,3482,-3823
127,2,23,4428,3560,-7553
101,-121,-17,-1878,2513,590
114,125,-31,8081,-808,-455
65,100,23,4122,-1046,853
33,-6,29,6374,-1743,5752
-120,-43,-52,6777,-1444,5881
14,33,-23,4064,-69,5090
86,-61,57,-1625,434,5969
-89,97,-62,609,386,5029
4,99,2,1408,-1042,2025
-117,-69,-26,4540,20,2945
-14,-122,-54,-541,4757,5952
82,4,-86,-582,-1473,-4330
75,-63,-82,-310,-3198,-7456
100,-84,28,1534,-761,-2705
36,-75,25,1042,864,1721
-70,14,67,-1952,514,1518
-72,53,-47,-2917,405,1289
1,82,-118,-2307,635,1011
-2,98,125,-898,180,303
2,58,-100,899,-290,-1022
25,48,-113,1723,-39,-920
46,94,-71,473,-201,-136
50,93,-88,-280,-17,306
46,99,-87,-324,-32,367
42,106,-109,-63,81,318
55,122,-114,30,19,231
70,-105,-115,-106,3,180
63,-112,-128,46,78,-110
70,-120,125,106,54,-202
86,-121,118,-22,112,-93
82,-118,116,-81,-29,-40
88,-120,115,-2,65,-138
104,-123,106,48,89,-67
107,-106,105,-175,-47,78
110,-106,102,-68,5,-23
119,-100,109,70,-6,11
126,-81,103,-162,36,49
-122,-76,101,-156,50,-98
9,-16,-92,-2489,3199,-3428
97,32,-75,-595,7461,-5638
-59,21,-108,1790,-2492,-7354
-34,-6,63,-2072,-1623,-7770
-122,65,-25,-5524,2657,-7075
118,-32,125,-5599,1857,-3124
2,-99,-34,-5054,-5879,4198
75,117,-42,-6720,-2714,2648
-88,-84,-25,-11798,-7179,-1396
-94,-41,70,6228,11497,1906
-66,56,-103,11071,1404,-3750
-28,-89,-78,1472,40,901
15,-87,88,5704,-3154,-1701
-60,-61,-30,7372,-1090,564
-51,3,-115,4151,-360,1883
100,-49,56,9531,-1883,4418
-101,-82,-69,5072,2928,2488
123,52,101,3172,1680,4088
48,-56,-3,-1081,487,5635
-71,70,-115,-713,1151,3899
93,59,20,1301,247,2685
-27,80,24,2624,-263,4373
-26,-52,-40,-1788,2523,4180
-41,114,87,-1052,1291,-1066
-128,52,71,-850,-1989,-4394
57,-24,17,357,-118,-2439
-38,-112,-20,1781,-174,-816
-93,-5,-3,243,-163,352
-37,57,-5,-1215,-362,883
9,83,-47,-1213,118,696
-3,101,-71,-862,-6,152
11,86,-81,-227,47,-340
16,76,-82,236,-26,-252
15,89,-90,336,63,-32
20,118,-85,-196,-19,151
32,121,-102,-237,140,182
50,124,-114,-60,160,133
53,-127,-124,92,49,69
61,-114,-123,-45,-51,138
51,-99,-116,-210,-59,177
59,-96,-121,-231,62,132
80,-90,127,-221,59,118
105,-84,112,-131,85,-19
124,-84,113,-52,48,-25
86,-72,121,-218,25,-136
84,-83,115,-68,189,-174
99,-81,106,-177,92,30
121,-62,100,-337,-11,223
-118,-53,97,-369,22,106
-109,-36,104,-419,6,215
125,-123,82,-3949,5799,-2106
21,42,50,-145,429,-3593
88,124,-126,1954,283,-5974
27,-74,93,164,936,-6514
72,91,-7,-4607,1598,-7553
25,50,113,-4973,3886,-5198
-110,52,91,-3329,-3298,-304
-36,91,-49,-8180,-7614,4517
-81,119,94,-7210,-6545,864
-68,-37,-51,-2195,-1235,4683
-26,73,-92,14278,6127,-2938
60,-87,-97,6231,2082,-4777
-64,-123,100,-1273,540,-383
88,-9,-80,5159,-173,-879
-59,11,-22,5946,694,1368
-21,-52,68,4816,-2293,4883
-120,-78,26,6057,-992,6012
71,2,122,2022,238,4899
59,-111,-49,3070,-473,3457
-91,-120,33,-187,-384,5909
-36,106,63,-2637,-56,5913
13,119,-84,2490,-938,5357
94,-128,85,-1516,2690,3686
23,45,118,-193,-520,-4232
113,-82,88,106,-1836,-7399
72,-28,38,525,-8,-1130
-81,-51,36,-1780,566,2335
121,19,-1,-887,-199,868
6,-85,-56,-933,-42,1330
7,-13,-93,-2068,404,803
-11,-49,-124,-1509,415,-385
0,-121,119,452,450,-1006
-9,117,-117,1128,-265,-857
-22,113,-108,1319,-322,-369
1,-84,-102,-125,5,247
26,-56,-109,-884,240,375
36,-72,115,-285,259,291
29,-74,105,310,-42,-13
49,-69,106,368,-110,-80
66,-49,113,-51,-72,93
65,-45,117,-219,-22,73
66,-58,117,169,25,-135
61,-56,114,87,-49,-172
80,-59,105,-163,35,-45
93,-64,102,-100,3,-16
