AccX,AccY,AccZ,GyroX,GyroY,GyroZ
34,37,97,-3766,3014,-1833
-36,114,102,-2425,3504,-2277
-115,-3,-7,-3642,2110,-21
-60,-39,65,-1924,1932,-301
81,124,61,-1077,376,1170
13,9,-52,26,-1571,2037
124,47,-27,3,270,938
-114,-74,31,1367,-6383,2707
92,53,-13,-4317,699,-1446
-122,-24,115,433,10400,-6988
-63,118,-89,-1889,-1582,-603
-37,-90,25,-617,299,-1801
-77,-89,8,148,-1111,-2740
119,95,-19,2249,-1957,-263
66,-79,127,2965,-2321,868
93,-23,113,1912,-3573,3541
24,84,-112,354,-4443,3194
-103,22,-3,-37,-2453,2066
52,-47,-44,-803,-2571,1926
25,-12,-46,-1354,-1312,606
32,98,-37,683,-911,-292
73,-103,89,-716,-530,524
75,-69,100,-93,-846,-308
-102,-82,3,136,1731,-1161
-46,73,-102,464,1336,-1900
-20,86,-116,315,433,-1095
14,-108,-89,-943,31,-548
15,-121,-104,-531,-50,-797
-20,85,-117,-12,-282,-1679
54,-73,-87,-1608,442,-474
27,93,-118,-181,629,-433
12,124,-123,-374,329,-667
43,-102,-118,-831,378,-306
42,-115,-120,-783,400,-393
51,-116,-124,-328,218,-404
59,-100,-128,-420,194,-592
74,-80,126,-761,361,-268
74,-91,123,-604,259,-401
78,-90,120,-560,277,-402
94,-73,-127,-808,357,-365
94,-92,122,-306,147,-578
105,-70,-127,-728,377,-577
105,-86,125,-543,381,-519
103,-76,-126,-698,182,-400
111,-77,-127,-586,229,-445
120,-82,-121,-471,240,-419
120,-76,-118,-430,200,-467
125,-69,-123,-493,282,-499
-123,-60,-124,-657,274,-401
-128,-68,126,-461,340,-428
-90,93,78,-2906,4652,-3482
-3,-30,-108,-2070,4189,-4286
-124,120,-115,-4261,1283,1284
-49,121,68,-3450,352,2037
-21,-88,83,-647,2322,819
-12,-19,20,-1440,848,3060
50,-125,-89,2499,728,-520
92,-90,32,-2242,-9222,4934
-59,54,63,126,9103,-8803
-35,-50,2,-1033,5615,-3561
41,-47,-2,-1478,-4798,700
-56,-110,-16,-617,-1119,-1106
-86,-44,102,1819,-1040,-1771
-101,119,-33,1200,-2767,437
-28,113,12,2748,-4451,2234
-61,4,-88,-52,-2506,3548
-101,104,8,1962,-2294,1511
82,5,11,-810,-962,1826
-105,28,-123,-1059,-1859,590
-108,-96,-103,3181,-1208,-1384
18,22,14,-2133,-1389,1735
56,-82,-45,-855,-1217,688
-72,-103,-87,-1054,1239,-1385
72,59,109,-513,1879,-2129
97,87,-121,-18,919,-985
92,103,127,-239,28,-533
87,-128,-124,-590,-144,-455
96,58,116,1158,-379,-899
117,-121,-119,-851,456,-651
112,95,105,-405,523,-709
120,105,106,-790,506,-607
126,87,92,-458,419,-551
-123,83,82,-262,271,-471
125,-118,115,-1043,-101,6
125,124,119,-481,-25,-190
-104,-119,107,-369,479,-459
-97,-99,105,-588,334,-439
-107,-111,100,-420,95,-493
-100,-99,114,-754,321,-384
-93,-117,101,-237,252,-536
-78,-88,109,-712,249,-439
-85,-96,115,-771,258,-396
-90,-112,118,-340,203,-475
-78,-86,122,-608,250,-409
-81,-85,120,-520,225,-497
-74,-91,121,-349,281,-569
-70,-68,-128,-820,383,-417
-77,-85,112,-420,279,-520
-73,-74,118,-493,198,-454
-66,-89,117,-199,366,-470
59,75,59,-2813,5864,-4369
22,-75,-26,-2257,3825,-3336
30,-45,-71,-4722,691,2190
-18,19,111,-2272,141,1622
96,-102,78,-132,1716,1241
47,-76,-59,-482,1358,1389
12,79,106,185,516,-275
20,95,-83,-294,-9374,4611
-64,105,-38,-755,7075,-7083
22,117,-59,-1601,4344,-3241
3,-58,-40,34,-269,-917
-88,54,-116,-384,115,-675
116,14,-47,134,247,-1107
15,-121,-80,256,-1188,110
-20,4,-119,2027,-3048,-146
114,-78,-1,1832,-2844,2234
-3,52,-46,-471,-2898,3596
-48,86,-7,1149,-1767,2061
89,-81,-69,-702,-579,1323
24,7,-59,2163,-2920,867
59,54,42,-2797,-1294,1743
70,118,51,-250,-2477,531
113,53,-76,1456,-418,-981
7,111,-116,419,268,-83
-103,-111,-102,-1064,304,-159
111,24,114,-76,566,-1301
118,81,-127,-1353,659,-1050
53,-4,90,105,10,-2014
42,-70,72,2021,-608,-1977
120,-120,101,-1653,824,389
79,48,66,-940,149,-21
96,39,54,-177,-45,-552
-121,-122,74,-1585,473,-286
112,98,57,-695,207,-575
113,116,70,-560,90,-606
-127,-115,77,-777,234,-433
-122,125,74,-310,318,-627
-113,-104,78,-742,342,-554
-112,-99,78,-805,275,-545
-108,-108,78,-584,296,-588
-102,-94,81,-739,365,-499
-101,-96,78,-557,295,-482
-100,-92,78,-471,240,-464
-92,-77,85,-666,232,-344
-88,-82,85,-422,200,-368
-85,-73,86,-471,217,-361
-80,-64,87,-545,181,-304
-79,-65,89,-456,101,-317
-73,-54,93,-561,200,-276
-68,-53,94,-529,216,-323
-58,117,-88,-2073,4235,-3782
-102,127,-36,-3612,5309,-3273
61,73,-125,-3559,3316,-611
-31,67,-111,-3591,299,2144
-117,100,-124,733,1037,548
39,-76,-86,-333,1240,2187
100,-8,-19,1403,-782,842
23,-10,115,-4471,-9199,5002
88,-22,73,-157,13269,-9215
-99,-86,76,1428,2487,-3617
78,79,110,-2999,-2883,734
18,-128,99,1875,-1829,-1066
102,-115,49,234,1660,-1075
-3,-38,82,3126,-1972,193
-73,88,127,-1251,-4566,4848
47,38,-72,-403,-6214,2935
-12,-67,25,467,-1137,1374
-26,33,-100,-785,-1513,683
-19,-86,-61,621,-1384,652
-109,-118,117,370,-755,204
-14,-51,-117,593,-1320,728
65,103,-34,759,-786,-480
35,-88,20,-767,-987,510
-40,-115,-16,-1269,28,-693
-99,68,-82,209,1246,-1392
114,90,-92,-804,998,-1193
112,88,-89,-686,334,-542
104,68,-106,-118,2,-584
123,103,-109,-612,104,-590
124,82,-126,206,-88,-844
-123,65,103,987,75,-843
-118,116,113,-580,381,-667
-128,117,106,-1194,419,-396
122,81,102,-337,99,-393
-127,94,105,-156,-39,-408
-112,95,97,111,-50,-377
-95,-106,106,-1196,254,-170
-97,124,103,-685,100,-270
-88,-127,109,-493,169,-389
-89,-120,109,-475,171,-446
-86,-115,112,-559,215,-391
-79,-102,118,-758,284,-368
-82,-112,111,-434,224,-471
-73,-103,113,-414,231,-443
-73,-98,113,-471,232,-442
-68,-90,115,-711,294,-386
-63,-89,116,-719,296,-376
-63,-84,120,-700,261,-385
-62,-86,124,-531,256,-411
-53,-68,-125,-706,309,-371
13,116,-121,-1487,3741,-3263
