AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-91,-43,-71,4573,-3230,-230
14,-60,-109,-170,-2381,193
82,-69,-87,-5134,1553,-1817
-73,-64,91,-2438,2896,-2782
24,-66,-25,-1850,3339,-4244
71,125,-8,-3650,2301,-4896
-128,100,14,-5187,1379,-5458
56,-125,55,-4687,657,-5392
108,-65,-113,-5133,-360,-5177
67,-39,-14,-3263,-408,-5678
116,-44,-74,-1623,-911,-5692
-3,-94,-68,-329,-1530,-4490
44,101,117,688,-170,-2238
80,-47,86,1475,2460,1326
56,-19,-62,1053,1576,5309
-96,99,125,2920,2835,4586
0,76,97,3982,2633,4748
-91,-128,123,2383,975,5385
-68,88,117,1473,-1024,4263
-36,93,106,3303,-1592,4951
29,-46,25,3886,-3173,5434
116,57,-94,-196,-2034,6743
-60,61,36,-1318,195,5410
125,104,-72,1224,-1660,3653
-23,-99,26,1388,-1800,717
107,82,70,599,-26,-1358
-26,-74,29,1251,1005,-1548
-29,109,-35,1206,985,-1589
20,47,-89,982,641,-810
-4,57,-76,1,-98,-384
28,-3,-86,-199,-78,-560
59,-8,-101,-299,188,-747
74,-27,-110,-148,65,-732
85,-18,-118,-105,-17,-387
84,5,-125,-394,-54,-333
76,26,114,-536,-41,-254
71,17,108,-129,-93,-120
73,16,107,324,11,146
80,43,104,390,97,393
85,79,102,-214,-61,522
99,92,99,-319,-123,488
110,93,88,-27,85,269
107,109,76,-195,-21,131
83,122,84,-425,-176,114
97,115,74,-205,204,-60
118,110,57,98,29,-116
118,119,58,22,-16,-131
124,119,58,-32,112,-251
-120,105,51,162,17,-271
-121,115,55,-189,-98,-115
99,-111,103,-3033,1713,-4539
99,-41,26,-3976,833,-4634
22,41,4,-5290,620,-5166
83,57,83,-4586,132,-4957
70,40,-19,-3990,-352,-5298
122,100,91,-2549,-940,-5418
-10,60,-26,-361,-1035,-4939
-18,-44,80,338,246,-2720
5,-34,61,3499,1195,-375
48,98,-46,-406,3083,4407
125,-12,57,561,2966,5497
39,-93,-44,4022,3460,5057
16,-100,-122,3636,2721,5584
120,46,-102,1441,-921,6938
108,-84,62,411,-750,5617
112,-97,-66,3053,-1848,4665
-84,13,49,845,-1516,5913
-27,77,-114,-1405,-696,5811
-90,65,105,965,-1283,4062
-69,125,-49,1777,-1554,408
49,-29,52,2212,789,-2319
56,-88,83,1272,1329,-925
-48,126,84,914,-282,-105
-23,98,46,-380,68,-68
18,12,-43,-698,566,-786
30,-95,-107,1073,345,-930
52,-22,-107,-559,141,-799
81,-87,117,-246,202,-878
102,-119,116,571,28,-343
92,-75,127,-27,-151,-18
101,-43,124,-254,-181,153
105,-16,121,-41,-260,-28
111,7,121,-143,-177,-113
100,12,-128,-314,-127,-34
91,9,127,-203,-52,231
89,21,116,-194,66,389
95,64,92,-414,141,427
106,69,67,-58,209,206
105,83,56,-13,123,-109
109,67,53,34,114,-227
121,61,54,-57,-4,-113
125,59,59,-126,-61,-113
-126,59,64,-116,-43,-172
-114,55,66,-13,-14,-188
-106,57,67,-49,-8,-64
-104,62,64,-51,4,74
-102,74,64,-26,8,143
-104,89,64,-97,-10,180
-101,102,63,-102,46,167
-96,111,58,-6,88,126
-62,-64,-125,-2864,-520,-4773
6,49,54,-6929,-911,-4269
-75,-40,26,-8968,-1455,-3490
26,-128,-117,-9026,-834,-4373
