AccX,AccY,AccZ,GyroX,GyroY,GyroZ
103,-46,104,-117,3297,-4695
-61,122,-63,196,2137,-6539
59,57,35,-2079,640,-6112
50,95,-61,-1995,-236,-6010
10,-50,11,-1099,-2158,-5468
-89,-68,-49,717,-2986,-4538
-124,-120,-54,-4994,-291,1266
-86,98,-10,2552,-6803,-16656
89,87,-108,-1494,-3577,-6458
27,37,-62,3311,-143,-1187
-66,33,69,-1126,-758,5017
25,75,3,-12,2112,9121
52,-105,-101,-1228,-428,8206
20,-122,-55,-2671,-1373,2724
41,-14,-45,7018,3943,-4793
-47,-118,-21,5374,2095,-1139
35,-87,49,107,1247,2717
-106,-87,117,2655,1424,3132
-81,-97,67,4872,1306,3361
91,64,-21,3554,1339,6327
104,-95,14,3542,-946,9517
-54,-52,64,1353,-337,4715
45,-66,-115,5180,-320,2771
-92,-64,20,-205,371,3391
127,-68,-19,2089,-1144,2855
77,-106,59,4710,-3223,1128
49,16,-107,3236,-2489,-895
117,-85,57,-8249,2905,-808
102,-80,-32,-3619,-60,-972
-101,103,-107,76,132,-441
-75,-47,-96,1981,323,251
-93,37,-63,806,252,-216
-26,51,-100,214,453,-507
-5,-14,-108,1474,313,-819
-30,-42,-114,1755,47,-925
-16,-34,-95,515,-164,-670
11,-22,-81,-449,-314,251
8,-10,-95,-537,-487,698
-15,58,-122,-1089,-888,901
-7,58,-114,262,-350,541
-12,28,-110,1852,275,-295
10,48,-115,2119,426,-429
16,97,-126,5,174,216
33,125,92,-1194,297,645
30,105,70,-643,239,400
31,95,60,127,123,-45
46,91,54,937,-45,-159
49,121,60,371,-82,-49
57,-125,60,58,-107,82
62,125,68,199,-147,77
-20,-44,38,-1107,2968,-5392
-128,-96,-45,430,2130,-7165
-44,52,-48,84,752,-7337
-112,-120,-8,-1445,-557,-6078
-94,-85,-29,-1047,-594,-4153
-122,-121,-2,-867,-1562,-1876
-72,114,-30,-1125,-2282,-5684
49,62,88,1451,-6252,-12152
47,75,-100,2209,165,-5657
-11,66,-107,3087,-1173,1140
-105,77,121,-2558,1951,2978
86,17,52,-1535,2802,2964
112,-23,42,-2461,628,6626
-4,-32,-18,570,2344,6784
45,-27,-55,698,553,-1102
25,-79,-22,3309,-154,-1678
-57,-90,-7,1853,410,1134
2,116,-96,1205,76,3325
24,106,-9,2078,69,5810
32,-19,-69,3449,966,6524
81,-44,-79,2513,405,7642
16,11,-47,1021,-74,5529
107,-96,102,3721,881,5538
52,23,-61,3770,512,1508
94,-8,-7,2396,-932,1747
67,-7,24,76,-800,2151
-51,-58,55,-936,-1302,1332
-86,-94,107,-265,-1395,-233
19,70,-82,2182,1927,-1460
-81,113,-95,-1965,97,-276
-86,-15,-17,257,-56,-741
-83,8,-48,-255,541,-840
-57,-21,-94,-53,683,-630
-57,-22,-101,580,118,-226
-48,-10,-88,709,-295,-108
-28,18,-81,392,-230,-4
-1,41,-80,-169,-93,95
0,51,-88,-139,-191,207
-2,50,-84,434,-276,129
1,65,-88,614,-113,123
13,96,-107,251,134,228
22,107,127,234,8,385
24,106,117,510,46,27
27,114,101,359,46,-198
36,108,100,184,-11,-103
34,101,100,221,-94,14
46,101,104,384,-64,100
56,115,99,458,-18,68
63,119,92,544,11,21
70,-127,90,530,-41,23
-52,-115,-59,-1626,1367,-5577
63,36,-128,-454,593,-6098
25,-52,-37,-1577,117,-6326
-65,125,83,-2092,-114,-4839
-90,73,-72,-1356,58,-3699
-41,2,-33,-831,-649,-612
98,78,-12,-1097,-1417,2098
113,-97,-14,-1476,-1152,-73
-30,94,-18,1730,-3264,-13293
-80,-63,44,2373,-7338,-10005
-2,94,-50,956,391,-3355
32,-105,-119,1957,513,4500
-73,-126,-126,-1412,1131,3002
-7,22,80,-1699,-397,9574
-25,-49,93,-1815,173,8457
98,90,90,-242,-2629,1157
-11,62,73,6061,2551,-5408
119,-14,-9,991,228,154
-51,-53,33,-24,469,568
53,-71,-44,2025,1681,655
88,-103,41,3472,2527,2203
-83,-118,98,4840,2957,3759
-115,117,-76,3993,2311,5285
121,-83,-42,2000,1111,6030
82,-118,-66,-1641,-720,6171
77,-78,62,2716,-2515,2645
-69,89,126,2947,-946,3854
83,57,84,989,-363,3036
-7,-62,-124,1850,-1403,1797
-46,126,125,2801,-981,674
-82,-120,-108,1795,-981,46
-60,-86,40,380,-1580,-328
23,88,30,1066,1740,-974
-118,56,-61,-1040,-212,-310
-81,-18,114,-537,451,-190
-66,-51,38,-310,1021,-417
-74,-62,2,-124,737,-698
-58,-84,-43,595,354,-660
-41,-82,-52,806,157,-582
-1,-79,-64,635,43,-363
-1,-41,-56,99,-276,128
-44,-47,-48,48,-561,45
-38,-57,-45,454,-429,179
-8,-17,-22,246,-501,549
9,10,-24,384,-414,862
10,55,-38,354,-103,732
1,89,-46,-314,-47,311
1,73,-75,-139,241,-87
-1,62,-109,270,302,-53
-6,80,-124,225,95,121
114,-107,57,-2672,1897,-3635
24,121,103,-2274,1962,-5342
92,35,29,-1623,1107,-6021
48,-34,46,-2351,149,-5813
85,-54,-69,-281,-464,-4973
109,-106,65,-681,-1469,-3004
-70,11,-43,-201,-1349,-1808
65,83,101,-845,-757,634
49,82,109,-5890,-439,-3069
117,87,58,5482,-4596,-12123
27,118,112,2152,-1068,-5072
-5,60,-109,5161,-699,-3004
71,1,-119,-256,-1129,3930
-127,14,111,-3606,2012,3378
71,-8,76,-1380,-3416,9614
-5,66,104,-4312,1466,4454
-126,-12,124,492,-1244,2453
53,-62,-103,4880,1446,-4171
55,-2,-25,430,1357,-38
49,-75,-37,3345,2459,-485
80,-84,-61,2311,2019,1626
91,-87,-4,2913,3192,3349
87,115,-119,4938,3126,4286
85,-14,-75,3498,1950,5104
-31,63,14,-2084,338,5507
18,122,-23,2221,-538,6414
4,-29,73,4691,-226,2946
115,65,92,4738,-427,3247
45,16,-105,3305,-638,1534
71,-5,60,1915,-1782,1777
99,62,-22,-2507,1129,2333
-74,-120,119,-1294,392,792
124,39,-75,-374,-1866,-828
9,24,-14,-630,775,-956
-109,-102,-106,399,-503,-193
-114,-84,109,527,-321,-104
-87,-47,77,120,365,180
-77,-43,17,452,551,122
-71,-35,-8,629,129,-2
-44,-9,-12,140,33,143
-45,-10,-22,-142,11,102
-50,-25,-38,296,-7,19
-46,-14,-39,541,-49,15
-35,3,-49,482,19,101
-29,21,-57,369,6,124
-27,21,-70,421,23,89
-17,36,-74,232,-46,91
-4,37,-86,327,2,14
2,39,-92,374,14,-29
4,41,-102,308,15,-35
51,87,96,-2574,163,-5739
-20,30,-112,-58,-3186,-10629
16,-82,-8,2796,-2895,-4614
118,74,-111,2901,959,-932
-83,2,68,-1480,-666,1296
-34,26,72,-1189,2092,2341
6,32,94,-339,3529,5619
-77,125,-27,367,1404,7064
62,74,34,-35,-2311,-619
-92,5,-69,3971,-570,-1309
-108,-46,107,-253,-110,1495
-103,-79,-10,274,-722,2020
-79,-28,-21,-733,-1127,4020
-11,-71,92,782,-59,4966
-15,-16,17,1001,-260,5543
-8,-83,0,-689,-1253,6116
28,-80,-98,586,-1992,6341
44,33,-59,2457,-2292,4253
107,-98,-65,2250,-1404,2629
86,45,-27,3289,-1290,2221
46,24,-21,2046,-744,2002
-4,-71,4,2425,-1359,1511
31,-46,75,1915,-1692,1451
-19,13,85,521,-655,178
-94,-64,107,-342,-298,-1317
-73,5,-96,424,1513,-1409
111,-31,69,-584,332,-1483
125,-75,-14,2711,-275,-600
-88,-17,-14,2434,139,-242
-65,26,-17,451,546,-600
-30,2,-58,-254,669,-480
-20,-42,-85,225,287,-602
-1,-68,-87,742,-113,-707
18,-51,-85,414,-29,-514
27,-42,-89,3,-19,-215
16,-33,-94,-124,-170,113
10,-19,-98,-74,-178,229
22,11,-107,-21,-87,369
23,30,-122,115,4,401
31,54,126,198,-94,437
42,91,119,106,-136,488
47,107,113,143,-74,316
49,108,108,330,-37,-19
60,108,108,393,59,-122
60,108,101,349,77,-86
55,94,85,594,86,-131
66,95,76,567,86,-83
77,103,70,382,-31,16
90,107,66,314,-32,52
92,107,71,380,-46,37
100,17,-33,-363,1402,-6536
77,83,6,470,463,-6302
-72,-22,65,-1039,-213,-4387
39,-60,48,-314,-191,-3703
96,111,-127,1408,-825,-3125
-53,42,6,1113,-1268,-1185
-48,83,59,121,1117,641
54,123,-54,-3043,2268,-4005
46,18,-69,4779,-11288,-12996
-25,77,66,-2853,-1958,-3384
-32,6,-90,6182,1577,-1993
114,-119,62,-3781,701,3457
66,31,46,50,2156,4530
59,-71,19,104,2542,8115
48,83,53,-2543,6,2070
-33,21,98,3739,-578,-891
-40,-33,-45,142,-322,-271
73,-91,-79,921,-216,562
-97,-38,-32,173,780,3148
-111,54,-104,2035,206,2335
-57,-70,-111,495,-752,2680
123,65,22,-66,2319,1447
23,-37,96,1910,434,4435
48,67,1,245,864,5920
