AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-6,110,105,-2831,-2333,-5543
-2,-14,-125,-1229,-3939,-6264
-99,64,26,-5509,-4404,-5873
-83,-35,-125,-5172,-4885,-6617
-64,2,-116,-5868,-3946,-6116
-17,-122,-83,-4092,-3723,-5581
-20,-109,88,-2660,-2498,-4041
-27,45,-112,-2539,-1494,-4009
51,-72,106,-1219,1088,-1458
-69,-38,3,617,1180,2865
116,-74,-76,327,1781,4694
-42,106,42,3895,3496,5287
111,-35,-5,4808,4225,5715
64,-10,-28,7704,3591,4199
115,-123,-17,2105,1876,4914
-128,-48,55,73,2689,4072
123,-90,111,-1193,496,5970
73,-69,105,1141,1530,4642
117,-51,43,-622,510,5232
47,-29,117,1696,66,2642
-11,-18,57,190,787,1131
-46,60,-4,-128,-440,-69
-22,-83,82,-74,879,-284
-6,127,89,-448,681,-264
29,33,46,-183,558,-1041
49,-31,16,-516,500,-1240
60,-105,-21,-433,564,-1115
37,117,-26,-595,241,-943
47,104,-38,-543,172,-739
70,-112,-18,-1091,235,-397
96,-98,-33,-1027,308,-338
105,-33,-14,-1417,32,-234
-127,-35,-47,-558,546,-522
-125,18,-52,-1290,653,-487
-128,43,-30,-1531,170,-225
-112,76,-34,-1450,502,-174
-84,100,-46,-1153,643,-167
-79,102,-52,-550,502,-436
-80,-113,-39,-714,454,-558
-74,-122,-36,-472,446,-649
-66,-119,-39,-431,532,-592
-63,-104,-34,-675,381,-461
-57,-106,-36,-583,366,-442
-47,-76,-21,-1004,313,-385
-43,-52,-8,-1563,403,-307
-38,-33,5,-1750,411,-257
-37,-21,35,-1341,246,-241
-31,-31,37,-373,381,-379
-29,-5,45,-452,388,-391
-28,19,46,-771,402,-329
-107,-127,98,5996,-883,-2143
-1,-77,-8,-2656,2395,-2251
-82,-71,62,-2870,2676,-3048
61,89,-26,-1957,1509,-5394
-68,2,107,-2195,698,-6800
66,61,-49,-2515,-929,-7033
-39,49,8,-5244,-916,-6585
-59,-102,98,-5856,-1346,-7281
15,6,-66,-5216,-1737,-6929
41,22,112,-4226,-2581,-6721
29,-56,66,-3348,-2270,-5422
92,67,18,-1704,-922,-4987
-29,-64,26,-1777,1368,-2122
105,-5,-93,174,2767,1444
-122,-95,-3,382,800,3584
69,-39,114,143,26,4782
1,8,-81,5154,2027,4373
9,40,-27,3895,4470,4050
99,-33,122,10068,4053,4951
-101,-105,49,3284,1860,4870
-22,-110,33,-333,-776,4562
