AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-58,-106,39,-1186,-1444,-6080
-64,-55,63,-1723,-2802,-7313
55,2,120,-2429,-3559,-7345
-92,-114,126,1513,-1339,-6634
89,-124,-52,2745,-208,-4313
-14,-4,-19,1366,-383,-1382
20,119,88,-1593,443,1123
31,107,-62,-838,577,926
66,83,-33,-383,1098,1740
-125,-54,-27,-149,1692,2985
83,123,-63,275,2647,5190
21,16,15,-315,3528,6989
16,99,-96,-335,2782,7571
82,29,-103,-2814,886,8840
-52,-31,49,-4141,-1164,4868
92,7,91,4671,-2812,3152
104,26,-27,2608,-1975,2562
34,117,-94,-608,1136,2635
125,1,114,1514,17,575
10,-119,-106,2501,-833,-1385
37,97,-86,1073,-44,-1646
53,72,-76,-201,428,-916
35,-7,-84,195,-152,-520
63,-30,-84,572,-114,-526
97,-42,-76,144,0,-516
123,-39,-84,-179,6,-423
-123,-43,-105,-48,1,-551
-115,-41,-126,-2,74,-378
-124,-27,117,-17,37,-167
-128,-5,105,-69,-42,55
-123,9,102,-70,-67,259
-122,26,98,-17,-98,339
-117,49,95,-5,-96,304
-112,59,95,-9,-89,241
-114,72,95,-33,-95,163
-117,74,92,24,-17,103
-116,78,88,57,9,94
-113,92,80,-141,-45,92
-107,96,77,-151,0,29
-100,97,73,-195,93,-126
-90,100,70,-132,122,83
-103,110,74,-276,-202,218
-96,115,62,-381,-455,452
-111,124,65,-479,-99,109
-102,112,51,-40,-178,207
-100,119,64,28,-124,47
-93,-124,61,12,-125,149
-76,124,46,198,-120,89
-90,-118,40,-203,-304,135
-112,-106,44,-688,-453,335
70,-98,122,-2473,-534,-5453
-99,-31,-69,-624,-1796,-6668
-10,-78,-9,-1116,-3345,-8824
-99,109,101,-508,-4136,-7790
-21,88,-10,2656,-3682,-5698
-108,-96,-124,1157,-2502,-2941
64,25,-39,-341,477,-220
106,-111,-82,-556,1957,2039
30,95,-78,-1117,2326,3443
52,54,-38,-2742,2439,4412
5,-63,-112,1655,1269,5831
-14,-20,-104,2277,601,5582
119,-92,-64,-1338,223,3950
-44,66,-26,531,-1619,4634
29,-67,103,-67,-763,4325
116,-117,86,535,-1394,5091
-34,-61,-126,-74,-1439,4763
-14,47,-109,-1316,-200,2654
107,-79,95,2308,-763,51
39,-94,-117,1396,45,-779
-67,114,-108,-592,-147,-700
-31,45,122,-955,193,-854
60,-100,38,702,410,-991
34,95,17,910,21,-669
16,-112,42,-778,-49,-222
24,-118,24,-625,-258,-364
29,105,10,220,-157,-400
48,-123,40,-351,-216,221
41,-79,36,-664,-147,203
56,-82,40,-147,-92,170
72,-47,45,-118,-30,12
43,-50,41,-36,-55,-101
45,-47,32,-334,-194,202
61,3,30,-953,-376,424
56,43,47,-1269,-399,245
80,66,56,-1228,-302,134
84,55,48,-570,-157,76
65,63,33,-355,10,55
49,84,10,-427,-110,127
66,115,13,-834,-108,57
71,92,-4,-275,-158,-121
89,96,10,-283,-191,-178
85,89,26,-386,-209,-79
78,97,52,-364,-143,-53
96,96,57,-24,42,-133
109,93,55,103,50,-124
106,90,53,-52,63,-75
106,78,53,-65,49,48
116,68,48,63,122,127
124,79,43,-46,89,269
-123,-21,0,-1886,-398,-6391
-33,-63,94,-779,-645,-6896
88,-35,-124,240,-1993,-7540
101,-71,108,385,-4086,-7770
-6,121,-21,1252,-2963,-4772
-22,-83,-2,51,-270,-1280
55,80,103,-644,1541,688
-38,-76,108,93,1693,2875
69,8,11,-722,2174,4606
-94,49,17,-229,4213,5049
56,32,77,3201,4024,6801
-71,-85,90,-1221,2812,8752
122,-10,48,-3071,959,8219
125,102,83,53,-2604,5498
-2,-105,-79,-865,-1131,6114
55,117,-92,2401,-1189,955
102,12,-55,4748,-109,-1882
25,-73,-43,2282,639,-1884
70,39,-54,-586,312,-1214
124,14,-85,2074,-338,423
116,-77,-28,-202,-53,116
106,-118,-28,-112,-370,-340
121,113,-20,-393,-22,-67
127,101,-46,117,-38,164
127,-101,-60,-99,37,24
120,-101,-78,6,108,45
126,-102,-114,451,215,-71
-121,-87,-119,266,74,22
-123,-68,127,166,74,16
-120,-63,123,226,41,-6
-118,-64,125,334,-41,-3
-112,-53,-127,73,-11,15
-105,-58,127,166,-99,67
-104,-38,127,87,-58,14
-100,-38,127,117,-39,-14
-88,-37,116,88,-55,43
-99,-16,116,-251,-90,234
-101,12,104,-204,-54,92
-107,7,87,167,0,-26
-108,11,82,230,-13,-39
-88,-2,70,424,-68,-34
-85,6,68,196,-187,34
-107,30,72,-175,-235,-15
-56,38,57,11,-258,-174
-64,55,94,-201,-333,-214
-119,51,111,-578,15,13
-94,69,73,-131,267,-8
-58,58,22,596,180,-128
-26,98,31,-264,-126,-3
-104,46,41,31,-112,119
63,-3,54,1891,3154,-3295
93,-99,-104,393,2526,-4381
-54,114,-93,-1692,1005,-5843
73,10,-92,-760,-1676,-8380
100,-14,12,-515,-3441,-8742
57,-26,-62,2012,-3570,-6196
-94,35,16,1958,-3098,-4447
64,37,-37,1226,-420,-1223
115,-64,-63,-518,1502,1065
22,86,67,-851,2459,3400
-60,-107,98,-828,3575,5305
-34,-49,-55,1334,4860,6226
-40,-54,-107,2876,5960,6625
-99,-97,-72,-6564,1492,7071
100,-86,20,-1313,-3015,7412
55,-57,-88,-918,-4199,6601
-57,69,79,-972,-272,5823
-61,-34,-106,3219,-2170,-723
74,-20,-128,6369,-967,-3451
31,-42,-117,3316,1423,-2486
72,-109,-77,-322,1534,-1761
93,26,-93,200,-318,-1022
98,20,-82,215,-300,-590
113,32,-76,-421,-106,-1033
-107,19,-90,-185,-133,-925
-67,-14,-114,698,65,-655
-77,10,-95,196,-323,22
-99,51,-74,-1137,-595,397
-87,26,98,-803,126,103
-91,27,89,-46,30,183
-114,91,89,-540,-62,386
-90,95,64,-242,216,239
-92,90,38,286,136,88
-109,112,40,27,-210,152
-107,125,47,-330,-210,237
-112,119,49,67,-313,228
-85,-127,57,163,-230,128
-85,124,59,128,-159,-72
-93,-128,66,-133,-353,45
-84,-112,94,-558,-475,329
-86,-93,102,-486,-65,289
-120,95,26,1066,666,-826
-82,54,21,2031,435,-1078
-57,88,60,582,100,-245
-72,-69,106,-1770,-325,692
-85,-90,72,-1279,-222,492
-60,-107,11,183,391,97
-32,-101,8,718,110,-68
-58,-64,34,-251,-166,-2
-75,-93,34,-104,-161,-181
69,109,-77,-2204,-1046,-6993
-14,-18,57,-2052,-3020,-6766
-103,-109,-128,-832,-3547,-6912
91,65,-108,2906,-2633,-5698
38,97,25,2220,-2212,-3422
-14,-26,-47,-268,-166,-215
-59,-44,-115,-253,2157,2320
-69,85,122,-267,3101,4256
44,10,-123,-1060,3785,6040
-118,-104,-107,-3326,2104,7518
15,-60,121,-5352,-3938,7375
-112,-98,-71,8257,-2653,5081
68,32,106,2385,-684,4100
14,86,40,3937,-36,4444
-74,110,27,2648,930,4881
118,56,26,244,1010,3479
-38,-113,83,2434,-1645,-1285
41,-40,-55,2085,814,-2281
30,14,-53,1448,327,-1488
4,-99,-58,1347,-10,-188
31,-79,-38,433,172,56
93,-40,-75,300,-319,-168
-119,-13,-36,-440,-253,-662
-119,-100,-47,567,2,-640
122,-71,-54,-11,62,-393
126,-67,-87,-211,-52,-171
-100,-32,-125,-500,-98,108
-118,-20,94,-53,-116,19
104,-4,87,-137,-113,15
100,18,71,-335,-287,163
123,37,59,-372,-321,227
116,57,53,-345,-370,48
117,74,58,-558,-510,146
119,91,68,-658,-416,76
114,93,72,-451,-249,-127
102,86,65,-130,-90,-235
103,76,52,14,73,-199
126,76,28,56,56,-89
127,97,16,-172,-26,-25
-125,97,5,-75,-55,87
-104,116,-3,-36,50,114
-106,114,-6,268,-155,121
120,-127,9,-241,-346,199
-128,-110,22,-550,-386,320
120,-102,23,-148,-202,212
113,-67,31,-443,-255,210
113,-32,26,-691,-128,-59
-126,-47,13,-195,17,-365
-116,-34,8,-328,98,-458
-117,-57,-7,-54,147,-524
87,-60,9,-1601,-793,-6379
-120,102,-98,-2055,-1550,-7215
61,-76,85,-959,-2758,-8414
47,14,-34,1510,-3105,-6256
100,85,-109,1242,-2773,-4444
36,91,-2,1255,-709,-1610
-84,119,-102,37,1023,1025
111,20,86,-348,2687,3395
10,-75,110,-198,3824,5203
-62,26,83,347,4116,6658
-76,53,5,1181,4469,7049
23,110,-54,-918,2007,7895
79,40,18,-420,586,6798
109,121,-120,-972,-340,8639
28,87,-3,-276,-2366,5963
-88,23,-95,481,-734,-1663
36,-65,-46,6545,-477,-1650
27,23,47,928,892,-1049
27,110,-43,-492,-8,-1034
110,-24,-56,860,164,-853
110,-50,-45,328,118,-670
119,-40,-38,-446,189,-902
-113,-46,-64,-473,235,-987
-95,-71,-92,-18,-449,-895
-90,-50,-107,-43,-428,-213
107,-10,124,-348,-927,-147
125,37,113,-929,-643,321
125,63,83,-423,-582,51
-97,70,49,467,-119,-59
-124,93,58,168,-312,-141
72,90,80,-538,-456,32
103,92,64,-612,-264,310
99,93,45,-169,-42,290
112,-124,39,-431,158,252
121,-105,40,-487,-45,281
-125,-102,42,-503,109,215
-121,-90,49,-702,263,25
-115,-83,60,-527,-75,6
-117,-68,53,-498,-218,67
-111,-57,51,-507,-92,82
-113,-67,53,172,-93,-39
-104,-50,46,116,22,-2
-101,-57,45,119,122,-133
-105,-41,47,-165,-56,15
-102,-48,48,-19,-147,3
-96,-34,42,-186,69,-48
-92,-39,48,33,54,-83
-91,-26,48,-121,-97,-11
-91,-28,55,-71,-230,136
-85,-18,60,-227,-120,143
-119,-78,-117,-1465,2543,-5798
-102,-64,-23,-1469,1031,-5686
-49,125,98,-2301,-227,-5985
-29,-124,-61,-1191,-1024,-7368
114,-27,-63,-1689,-2409,-7895
-69,112,38,1009,-2571,-6635
9,-67,67,4767,-2824,-4509
-4,-18,6,194,-1765,-1715
-69,-44,-2,-1771,1035,434
74,-122,99,371,2946,2775
88,69,-96,-57,2657,4632
50,5,125,-1037,4417,5725
-45,-104,-108,514,3778,7152
91,6,67,1762,2262,7611
-46,-27,5,1955,1552,5387
118,50,-25,-1259,315,4786
-82,-112,1,-884,-1316,5325
49,31,51,-2163,-2006,4393
22,-92,-97,523,-2893,616
63,-41,-88,3400,74,-2162
58,-86,126,2681,1662,-2105
-27,118,91,1560,732,-1138
-39,93,89,491,-318,-547
-29,106,96,-1130,-898,-63
5,120,81,-2114,-737,-144
40,77,59,-1220,-393,-460
75,32,61,-58,227,-975
84,56,72,-317,638,-527
105,50,82,-325,138,-312
92,72,75,-216,-324,-181
92,82,67,-265,-269,-176
86,109,64,-516,-277,193
93,118,40,-253,-104,355
101,116,13,522,-78,502
104,-103,25,129,271,616
122,-96,50,-92,661,333
124,-115,54,526,59,147
-119,-85,59,-54,93,201
-94,-92,46,44,174,145
-94,-101,31,301,129,47
108,-103,51,-252,119,-77
-116,-113,70,-535,211,88
-73,123,50,31,232,71
-60,-118,58,149,376,153
-41,-126,65,257,767,-99
-29,110,94,455,532,-196
-35,103,109,243,450,-364
18,107,106,-13,553,125
-13,113,-121,-144,112,385
-36,114,124,225,269,365
119,65,43,2836,-721,-7743
-27,91,98,1362,-3000,-10020
-111,-25,-71,-3463,-5022,-7647
98,-37,-78,274,-3665,-6941
-51,-113,-54,3475,-3380,-4827
43,93,-70,3004,-3014,-2737
29,-111,17,901,-654,-712
120,-29,-93,-74,1549,544
-9,-78,-21,223,2313,1615
-61,-122,86,-327,3273,3471
-58,-50,-9,-2130,4974,5376
121,7,19,-1142,4353,8029
118,-22,-63,5718,3712,8870
109,-72,64,-6873,2744,6999
-73,-4,-110,-260,-2126,6364
64,-93,-109,12,-2535,5868
120,75,127,370,566,1822
-48,114,-116,4594,-424,-2126
