AccX,AccY,AccZ,GyroX,GyroY,GyroZ
84,109,95,-2330,-2648,-3258
-15,78,31,-1933,-3462,-4013
-116,109,127,764,-4853,-3448
94,-110,81,-3422,-4582,-1980
-70,55,-10,-1685,-4683,-2060
53,88,-25,-4225,-4374,-870
-32,-99,-112,-7640,3267,482
25,-51,41,2610,1384,-1584
-23,-97,64,-324,1811,1250
108,118,-128,2392,341,130
-121,-9,-124,2654,3737,786
13,-110,-98,1951,5387,2953
37,74,-111,1551,5009,3717
-79,-42,90,-2102,4716,4126
100,22,126,2359,1773,5161
-95,-37,-89,-5430,2489,5348
66,-44,118,2035,-1902,2802
-59,-83,65,-84,-492,-311
-88,-99,116,2444,1002,-1992
117,107,-125,1006,575,-1541
-93,29,-127,-126,667,-867
-62,-25,93,-805,488,-547
-62,-58,73,-622,499,-651
-46,-73,52,-611,506,-688
-25,-68,36,-502,535,-575
-4,-55,20,-604,528,-630
15,-60,3,-319,481,-714
24,-60,-13,-251,504,-792
50,-34,-12,-772,362,-597
59,-45,-17,-485,243,-557
73,-23,-15,-551,338,-573
84,-13,-17,-601,325,-584
95,0,-10,-695,257,-543
108,5,-10,-634,374,-511
119,26,-15,-657,389,-514
127,32,-19,-598,330,-535
-120,43,-18,-601,403,-549
-111,53,-19,-537,406,-546
-100,61,-27,-506,409,-589
-83,73,-31,-497,407,-624
-79,66,-38,-305,354,-699
-71,77,-27,-504,290,-545
-89,96,-11,-813,279,-344
-85,105,-11,-691,400,-421
-73,118,-25,-640,273,-496
-37,-117,-32,-647,272,-550
-23,-124,-30,-349,230,-670
-28,-100,-18,-524,244,-694
-46,-103,4,-696,302,-670
-64,-120,10,-490,475,-687
-72,-54,101,1036,-2648,-4591
-101,107,64,-2668,-2736,-2987
53,-23,-116,90,-4640,-3642
-120,44,-42,-2246,-3283,-1888
112,112,69,-4239,-2726,-1463
97,-108,-68,-3043,1226,-434
72,33,59,202,-115,-1389
11,-34,-21,-663,2317,528
103,-72,-37,567,547,416
-87,71,-121,-601,173,-431
122,31,-30,1047,546,270
-26,15,-115,662,1975,266
104,31,-8,1758,2445,973
-52,121,-62,-457,2404,1285
77,-59,5,315,3219,2423
69,-17,-67,990,1775,684
-13,6,-10,1972,2076,3154
7,-85,95,-977,3897,1856
52,66,-97,387,1744,3245
56,78,87,693,630,3048
14,85,63,-1484,1250,1119
-109,-100,-69,-422,2278,2527
100,124,-19,-133,943,1132
120,114,29,10,147,726
99,-105,33,-845,13,181
73,112,42,-565,-146,-791
83,23,50,536,133,-1548
105,15,71,513,300,-1511
-127,-2,65,350,461,-1245
-115,11,71,-356,308,-939
-82,27,54,-920,394,-709
-49,37,34,-1264,450,-378
-60,31,4,-1426,455,-468
-40,47,-24,132,529,-1031
-20,98,-14,-271,456,-781
-18,124,-20,-770,441,-559
-11,-115,-33,-780,439,-418
-4,-99,-46,-431,276,-543
10,-78,-43,-311,298,-616
16,-59,-40,-643,401,-562
19,-43,-36,-779,250,-472
36,-32,-36,-617,350,-531
42,-18,-34,-535,365,-557
43,2,-26,-697,307,-508
55,16,-27,-639,413,-549
55,20,-27,-445,379,-562
57,49,-26,-598,329,-591
59,57,-29,-440,373,-641
62,67,-22,-520,384,-536
63,89,-16,-661,338,-487
-94,-4,-90,-1706,-1432,-5173
50,97,66,-1125,-3459,-4729
-114,122,112,-516,-4655,-4581
95,-51,-49,-1962,-3863,-4331
-8,-50,-94,-4536,-5694,-3290
-7,-28,-60,-6948,-2404,-2426
-114,83,-101,3171,-441,-486
-15,-29,111,-1811,3665,3075
-68,-75,80,2207,2783,3083
-93,-57,-92,3700,2689,3508
-103,64,-55,2012,3323,3875
1,117,30,933,5005,4933
-82,-61,-80,2830,1483,7359
50,-36,-73,-5769,1357,5229
-30,-17,-7,-229,-1477,2953
118,-126,35,-1130,218,1070
17,-35,48,200,1240,-70
-68,-113,30,1081,449,-1179
114,107,3,1043,63,-1027
82,-98,6,-1192,216,-396
105,73,-21,-290,306,-591
112,86,-31,-467,530,-838
-120,78,-37,-717,436,-1237
-109,62,-37,-766,327,-1290
-84,46,-21,-769,235,-1207
-61,66,-14,-1127,421,-849
-56,79,-2,-1365,347,-692
-55,86,8,-1058,321,-514
-65,99,15,-878,468,-605
-59,-125,18,-829,498,-565
-82,-111,24,-837,347,-449
-67,-74,36,-1308,420,-213
-55,-57,50,-1082,414,-157
-27,-65,50,-589,588,-496
18,0,70,-1753,638,-211
-48,-46,104,-713,189,-519
-70,-43,-117,-702,358,-867
-35,-40,-116,-474,700,-543
-18,-25,123,-181,577,-417
-31,-1,120,-575,381,-557
-43,-2,-115,-695,111,-495
-32,24,-92,-1199,151,-285
-24,-5,-79,-575,205,-510
-19,6,-82,-350,353,-752
-34,-22,-100,415,229,-1033
-41,63,-86,-2031,447,-460
-37,17,-90,-1205,299,-318
-7,-25,-115,266,231,-835
-14,58,-96,-901,162,-677
-90,48,-73,-1209,500,-901
-122,-117,-32,-3535,2882,-4620
10,19,31,-2651,361,-3725
-37,-86,124,-751,982,-5302
-111,-101,55,-1506,242,-4901
60,21,-59,-810,-1093,-5102
-9,103,-113,-868,-1870,-4803
-10,95,-25,-502,-1934,-3401
106,-46,21,-4430,-969,-2292
2,-89,70,-2491,-1705,-3440
25,-25,32,-70,259,-2245
-61,93,-125,938,1785,2249
-35,10,-64,-731,984,379
-118,52,-47,2304,-523,-363
53,58,74,397,1234,755
-25,-53,-17,1943,1541,2014
-89,52,119,720,2316,3360
71,-111,40,906,2713,3929
-120,78,-74,2440,894,5726
-74,-30,-54,-1228,2125,3572
38,123,-115,2832,548,3382
-73,122,-35,-1219,396,3522
-77,-20,4,-137,-614,2574
-112,-29,53,-780,-222,1754
64,-52,86,-473,29,419
3,-77,114,-732,58,-974
3,90,110,-310,861,-1474
3,13,84,958,1285,-1511
5,63,78,-121,724,-904
30,62,67,-544,47,-498
59,26,35,64,340,-887
101,49,30,-426,631,-1021
121,39,17,-466,546,-941
