AccX,AccY,AccZ,GyroX,GyroY,GyroZ
94,38,-120,2412,3743,-3924
-37,-96,104,1918,7026,-7531
-67,-93,-29,-376,5212,-7444
118,43,79,-2038,2819,-7158
118,-119,81,-776,3233,-6153
125,-50,-47,-2070,-594,-3545
-43,-47,110,-770,-181,-755
-68,-37,-10,2491,-1051,5050
91,45,121,2436,-518,9170
27,54,-19,1376,2541,10934
41,106,-26,-3929,2652,3930
-26,114,-46,4296,-1312,-7167
118,29,31,-2430,-49,-6459
-93,6,-27,231,-130,-2317
98,46,-120,235,-241,7373
-14,87,63,-1155,-856,9087
-22,73,96,-1660,2230,2745
-91,84,-116,8042,33,-8705
7,-125,-25,-1285,-2915,-10426
72,28,-97,-2230,-3809,-12083
101,45,-86,3347,1358,-11056
111,-29,-103,4221,1786,-5343
66,31,99,2216,-276,1914
117,-21,44,4363,1291,7362
3,-122,-116,-1782,15,6577
-106,123,-50,-387,-2909,6590
97,77,33,-543,1059,-4686
-45,106,49,985,-1265,-5179
55,2,75,-69,-1349,-2439
-119,-12,41,-893,-582,539
-121,2,95,811,89,2940
11,69,-71,322,-1351,7180
-28,-69,89,4526,1278,9615
72,104,-10,603,854,9805
-39,-69,33,2390,-570,4584
51,-114,-126,-1819,-1936,5745
74,-122,102,-1322,-1551,2152
-116,70,87,-755,-1111,3548
-119,-16,-8,1512,-501,2136
-85,52,42,1401,-467,2030
22,82,-38,362,134,-286
-20,-10,-21,555,4,-1263
23,-63,-44,99,304,-1099
37,-73,-74,-441,-128,-570
14,-80,-62,-523,-497,-250
23,-110,-121,-129,146,-1047
81,-128,115,252,76,-1248
96,-108,-127,-229,-462,-647
48,-79,-104,-1142,-707,-430
28,-117,-123,-694,-250,-457
91,-63,-72,3412,7542,-8871
66,-80,113,76,2778,-6437
-59,-106,-62,-1410,-294,-7112
-124,-117,50,-536,1587,-6697
27,-122,-53,-519,2100,-5646
121,59,-105,694,-721,-3920
23,-80,64,-192,-1353,-1491
-51,-126,124,2899,-490,3739
72,97,-47,1031,75,8000
-67,70,103,1722,1162,10028
110,110,63,-2998,1082,3248
104,-99,43,3927,-922,-6452
-51,54,75,-1525,348,-5448
-101,-100,-97,-138,-750,-2069
83,-77,124,961,-1297,6047
-70,95,14,-1107,-1843,8296
-18,115,-61,1560,3645,6903
-89,-94,48,1077,-1194,-6868
41,37,-74,4087,-582,-9488
23,-95,-89,1285,-3407,-11205
41,-37,-103,2464,-2521,-11171
8,52,-111,4715,1296,-7282
-31,-30,54,5628,-77,-340
-71,111,-108,3165,-97,3103
102,71,101,1814,-347,6043
-72,126,-36,-3162,-1225,6036
2,-66,-24,300,-384,3639
65,70,-122,5754,2344,-7052
-29,-6,71,-1914,-1236,-5715
124,-42,69,-1265,-1441,-1628
113,-90,71,-601,-292,1020
-64,-56,-101,220,-1634,5834
10,120,-44,3978,-1245,10510
42,-29,-67,3404,820,12837
-10,-68,-47,1122,-5,9086
-94,77,-96,-2770,-2575,6423
65,87,64,246,-1185,3118
30,-70,-23,7665,840,939
13,65,-11,2487,-773,4726
39,-34,38,-3247,-445,2447
81,53,-33,-1009,478,-1892
-42,89,-48,1525,1212,-2823
-56,64,-39,1262,114,-610
-8,-117,-50,-413,-119,982
-62,-72,-58,-805,-330,54
-20,81,-114,1082,397,-1174
-17,15,123,1297,582,-1077
-8,36,113,201,161,284
4,122,97,-1329,105,267
36,120,71,-518,222,-91
-107,-64,52,7663,4323,-9061
-64,99,-65,-2817,1683,-8153
-34,-99,88,-1639,200,-6231
64,14,124,-1394,1820,-6894
-76,-66,77,-576,1290,-6257
35,63,120,-692,1436,-5592
-52,-78,122,-815,390,-2732
-57,108,74,355,-99,650
117,-99,83,1734,-26,6506
78,-97,-70,1712,-1639,10470
-83,102,62,1307,3438,9189
-36,-95,-23,-3002,-1294,-4361
46,-67,14,1064,-594,-7480
103,92,-100,-1439,-184,-4253
32,6,88,1293,945,-204
6,45,-6,-555,-2085,8218
88,-94,-108,-1034,-3190,9109
97,17,36,2900,3467,6836
62,0,-34,68,-879,-6780
78,61,37,3643,-23,-10088
-71,-37,75,1077,-2301,-11657
-99,79,18,2919,-334,-10298
53,125,-9,1983,1152,-5250
50,-62,-116,2672,267,598
-85,-54,34,1624,-232,4834
-10,-107,-72,-245,423,8855
-107,121,38,-1916,-1211,7076
-115,86,120,-4029,-953,-594
75,16,69,7314,1970,-6103
111,-85,50,765,-1854,-6153
-12,-75,90,-2624,-1901,-3884
104,-7,-52,-365,-831,-199
79,-80,-109,-528,130,2518
23,29,12,237,343,6986
